city |City |city,2014100223,8580,40,0.004662004662004662
city |City |city,2014100222,12009,75,0.006245316012990257
city |City |city,2014100221,14828,58,0.003911518748314
city |City |city,2014100220,15090,46,0.0030483764082173625
city |City |city,2014093023,7216,111,0.015382483370288249
city |City |city,2014093020,2478,13,0.005246166263115416
city |City |city,2014093022,2524,19,0.007527733755942948
city |City |city,2014093021,2547,27,0.01060070671378092
city |City |city,2014100321,9080,35,0.003854625550660793
city |City |city,2014100322,8671,41,0.004728405028255103
city |City |city,2014100320,9381,33,0.003517748640869843
city |City |city,2014100323,6929,21,0.0030307403665752633
city |City |city,2014100123,8836,26,0.0029425079221367134
city |City |city,2014100122,10378,34,0.0032761611100404703
city |City |city,2014100121,12311,98,0.007960360653074487
city |City |city,2014100200,11724,57,0.004861821903787103
city |City |city,2014100201,6861,46,0.006704562017198659
city |City |city,2014100309,9997,34,0.0034010203060918275
city |City |city,2014100307,6926,51,0.007363557609009529
city |City |city,2014100204,8387,15,0.0017884821747943245
city |City |city,2014100308,8532,33,0.003867791842475387
city |City |city,2014100205,14882,10,6.719526945303051E-4
city |City |city,2014100305,3838,43,0.011203751954142784
city |City |city,2014100202,5853,41,0.007004954724073125
city |City |city,2014100306,5526,22,0.003981179876945349
city |City |city,2014100203,5613,13,0.0023160520220915732
city |City |city,2014100303,5043,98,0.019432877255601826
city |City |city,2014100208,9640,127,0.013174273858921162
city |City |city,2014100304,4725,25,0.005291005291005291
city |City |city,2014100209,12321,93,0.00754808862916971
city |City |city,2014100301,4480,55,0.012276785714285714
city |City |city,2014100206,9203,27,0.0029338259263283714
city |City |city,2014100302,8095,49,0.006053119209388512
city |City |city,2014100207,9445,1069,0.11318157755426152
city |City |city,2014100300,6707,41,0.006113016251677352
city |City |city,2014100106,45483,755,0.016599608644988238
city |City |city,2014100105,7742,292,0.037716352363730304
city |City |city,2014100104,8731,33,0.003779635780552056
city |City |city,2014100103,1127,5,0.0044365572315882874
city |City |city,2014100102,2940,47,0.01598639455782313
city |City |city,2014100101,3598,250,0.06948304613674264
city |City |city,2014100100,1816,154,0.08480176211453745
city |City |city,2014100109,10999,74,0.006727884353123011
city |City |city,2014100108,14670,154,0.010497614178595774
city |City |city,2014100107,32104,146,0.004547719910291553
city |City |city,2014100210,10300,45,0.004368932038834952
city |City |city,2014100211,11008,64,0.005813953488372093
city |City |city,2014100212,11567,43,0.0037174721189591076
city |City |city,2014100316,10537,23,0.0021827844737591345
city |City |city,2014100213,10976,44,0.004008746355685131
city |City |city,2014100317,9832,78,0.007933279088689993
city |City |city,2014100214,12210,117,0.009582309582309583
city |City |city,2014100318,9075,45,0.0049586776859504135
city |City |city,2014100215,11832,84,0.007099391480730223
city |City |city,2014100319,8645,45,0.005205320994794679
city |City |city,2014100216,10725,93,0.008671328671328672
city |City |city,2014100312,10661,34,0.003189194259450333
city |City |city,2014100217,9835,47,0.004778851042196238
city |City |city,2014100313,9887,18,0.0018205724688985536
city |City |city,2014100218,9907,48,0.0048450590491571615
city |City |city,2014100314,9820,36,0.0036659877800407333
city |City |city,2014100219,11100,36,0.003243243243243243
city |City |city,2014100420,8163,56,0.0068602229572461105
city |City |city,2014100315,10271,30,0.0029208450978483107
city |City |city,2014100120,12122,34,0.0028048176868503546
