labor |Labor,2014100223,8580,6,6.993006993006993E-4
labor |Labor,2014100222,12009,14,0.001165792322424848
labor |Labor,2014100221,14828,22,0.001483679525222552
labor |Labor,2014100220,15090,17,0.0011265738899933731
labor |Labor,2014093023,7216,2,2.771618625277162E-4
labor |Labor,2014093020,2478,21,0.00847457627118644
labor |Labor,2014093022,2524,1,3.961965134706815E-4
labor |Labor,2014093021,2547,6,0.002355712603062426
labor |Labor,2014100321,9080,9,9.911894273127754E-4
labor |Labor,2014100322,8671,8,9.226156152692884E-4
labor |Labor,2014100320,9381,28,0.0029847564225562308
labor |Labor,2014100323,6929,8,0.0011545677586953383
labor |Labor,2014100123,8836,6,6.79040289723857E-4
labor |Labor,2014100122,10378,4,3.854307188282906E-4
labor |Labor,2014100121,12311,5,4.061408496466575E-4
labor |Labor,2014100200,11724,5,4.2647560559535994E-4
labor |Labor,2014100201,6861,2,2.915026963999417E-4
labor |Labor,2014100309,9997,7,7.002100630189057E-4
labor |Labor,2014100307,6926,6,8.663008951775916E-4
labor |Labor,2014100204,8387,0,0.0
labor |Labor,2014100308,8532,6,7.032348804500703E-4
labor |Labor,2014100205,14882,0,0.0
labor |Labor,2014100305,3838,0,0.0
labor |Labor,2014100202,5853,1,1.7085255424568598E-4
labor |Labor,2014100306,5526,3,5.428881650380022E-4
labor |Labor,2014100203,5613,1,1.7815784785319794E-4
labor |Labor,2014100303,5043,1,1.98294665873488E-4
labor |Labor,2014100208,9640,32,0.0033195020746887966
labor |Labor,2014100304,4725,0,0.0
labor |Labor,2014100209,12321,35,0.002840678516354192
labor |Labor,2014100301,4480,1,2.232142857142857E-4
labor |Labor,2014100206,9203,2,2.1732043898728675E-4
labor |Labor,2014100302,8095,0,0.0
labor |Labor,2014100207,9445,4,4.2350449973530967E-4
labor |Labor,2014100300,6707,1,1.490979573579842E-4
labor |Labor,2014100106,45483,0,0.0
labor |Labor,2014100105,7742,0,0.0
labor |Labor,2014100104,8731,0,0.0
labor |Labor,2014100103,1127,0,0.0
labor |Labor,2014100102,2940,0,0.0
labor |Labor,2014100101,3598,0,0.0
labor |Labor,2014100100,1816,0,0.0
labor |Labor,2014100109,10999,14,0.0012728429857259752
labor |Labor,2014100108,14670,52,0.0035446489434219496
labor |Labor,2014100107,32104,4,1.24595066035385E-4
