week |Weeks |weeks |week,2014100223,8580,80,0.009324009324009324
week |Weeks |weeks |week,2014100222,12009,113,0.009409609459571987
week |Weeks |weeks |week,2014100221,14828,145,0.009778796870785
week |Weeks |weeks |week,2014100220,15090,153,0.010139165009940358
week |Weeks |weeks |week,2014093023,7216,38,0.005266075388026608
week |Weeks |weeks |week,2014093020,2478,17,0.006860371267150928
week |Weeks |weeks |week,2014093022,2524,17,0.006735340729001585
week |Weeks |weeks |week,2014093021,2547,11,0.0043188064389477815
week |Weeks |weeks |week,2014100321,9080,64,0.007048458149779736
week |Weeks |weeks |week,2014100322,8671,59,0.006804290162611002
week |Weeks |weeks |week,2014100320,9381,63,0.006715701950751519
week |Weeks |weeks |week,2014100323,6929,36,0.005195554914129023
week |Weeks |weeks |week,2014100123,8836,54,0.0061113626075147125
week |Weeks |weeks |week,2014100122,10378,78,0.007515899017151667
week |Weeks |weeks |week,2014100121,12311,89,0.007229307123710503
week |Weeks |weeks |week,2014100200,11724,27,0.0023029682702149436
week |Weeks |weeks |week,2014100201,6861,30,0.004372540445999125
week |Weeks |weeks |week,2014100309,9997,90,0.009002700810243073
week |Weeks |weeks |week,2014100307,6926,56,0.008085475021657523
week |Weeks |weeks |week,2014100204,8387,10,0.001192321449862883
week |Weeks |weeks |week,2014100308,8532,170,0.01992498827941866
week |Weeks |weeks |week,2014100205,14882,8,5.375621556242441E-4
week |Weeks |weeks |week,2014100305,3838,43,0.011203751954142784
week |Weeks |weeks |week,2014100202,5853,19,0.0032461985306680334
week |Weeks |weeks |week,2014100306,5526,62,0.011219688744118711
week |Weeks |weeks |week,2014100203,5613,9,0.0016034206306787815
week |Weeks |weeks |week,2014100303,5043,54,0.010707911957168352
week |Weeks |weeks |week,2014100208,9640,218,0.022614107883817427
week |Weeks |weeks |week,2014100304,4725,67,0.01417989417989418
week |Weeks |weeks |week,2014100209,12321,133,0.01079457836214593
week |Weeks |weeks |week,2014100301,4480,55,0.012276785714285714
week |Weeks |weeks |week,2014100206,9203,25,0.0027165054873410843
week |Weeks |weeks |week,2014100302,8095,50,0.006176652254478073
week |Weeks |weeks |week,2014100207,9445,1019,0.10788777130757014
week |Weeks |weeks |week,2014100300,6707,78,0.011629640673922767
week |Weeks |weeks |week,2014100106,45483,23,5.056834421652046E-4
week |Weeks |weeks |week,2014100105,7742,6,7.749935417204857E-4
week |Weeks |weeks |week,2014100104,8731,5,5.726720879624327E-4
week |Weeks |weeks |week,2014100103,1127,2,0.001774622892635315
week |Weeks |weeks |week,2014100102,2940,7,0.002380952380952381
week |Weeks |weeks |week,2014100101,3598,14,0.0038910505836575876
week |Weeks |weeks |week,2014100100,1816,6,0.003303964757709251
week |Weeks |weeks |week,2014100109,10999,45,0.004091281025547777
week |Weeks |weeks |week,2014100108,14670,46,0.0031356509884117247
week |Weeks |weeks |week,2014100107,32104,44,0.001370545726389235
week |Weeks |weeks |week,2014100210,10300,114,0.011067961165048544
week |Weeks |weeks |week,2014100211,11008,97,0.008811773255813954
week |Weeks |weeks |week,2014100212,11567,95,0.008213019797700354
week |Weeks |weeks |week,2014100316,10537,104,0.009869981968302173
week |Weeks |weeks |week,2014100213,10976,156,0.014212827988338192
week |Weeks |weeks |week,2014100317,9832,89,0.009052074857607811
week |Weeks |weeks |week,2014100214,12210,613,0.0502047502047502
week |Weeks |weeks |week,2014100318,9075,79,0.008705234159779614
week |Weeks |weeks |week,2014100215,11832,326,0.02755240027045301
week |Weeks |weeks |week,2014100319,8645,93,0.010757663389242337
week |Weeks |weeks |week,2014100216,10725,232,0.02163170163170163
week |Weeks |weeks |week,2014100312,10661,93,0.008723384297908263
week |Weeks |weeks |week,2014100217,9835,102,0.010371123538383325
week |Weeks |weeks |week,2014100313,9887,81,0.008192576110043492
week |Weeks |weeks |week,2014100218,9907,100,0.01009387301907742
week |Weeks |weeks |week,2014100314,9820,61,0.006211812627291242
week |Weeks |weeks |week,2014100219,11100,125,0.01126126126126126
week |Weeks |weeks |week,2014100420,8163,77,0.009432806566213403
week |Weeks |weeks |week,2014100315,10271,103,0.010028234835945867
week |Weeks |weeks |week,2014100120,12122,95,0.007836990595611285
week |Weeks |weeks |week,2014100421,8099,52,0.006420545746388443
week |Weeks |weeks |week,2014100422,8432,37,0.004388045540796964
week |Weeks |weeks |week,2014100423,6306,34,0.005391690453536315
week |Weeks |weeks |week,2014100310,10343,103,0.009958425988591318
week |Weeks |weeks |week,2014100311,11400,89,0.0078070175438596495
week |Weeks |weeks |week,2014100115,14152,66,0.004663651780667044
week |Weeks |weeks |week,2014100114,11535,69,0.0059817945383615085
week |Weeks |weeks |week,2014100117,11365,92,0.008095028596568412
week |Weeks |weeks |week,2014100116,10904,94,0.008620689655172414
week |Weeks |weeks |week,2014100111,9571,65,0.006791348866367151
week |Weeks |weeks |week,2014100110,9126,47,0.005150120534735919
week |Weeks |weeks |week,2014100823,5727,27,0.004714510214772132
week |Weeks |weeks |week,2014100113,11543,73,0.006324179156198562
week |Weeks |weeks |week,2014100822,900,4,0.0044444444444444444
week |Weeks |weeks |week,2014100112,11651,105,0.009012101965496525
week |Weeks |weeks |week,2014100119,11403,64,0.005612558098745944
week |Weeks |weeks |week,2014100118,10294,62,0.006022925976296872
week |Weeks |weeks |week,2014100604,4638,7,0.001509271237602415
week |Weeks |weeks |week,2014100605,8675,14,0.0016138328530259365
week |Weeks |weeks |week,2014100700,5207,23,0.004417130785481083
week |Weeks |weeks |week,2014100914,3191,38,0.011908492635537449
week |Weeks |weeks |week,2014100602,8176,17,0.0020792563600782778
week |Weeks |weeks |week,2014100915,1000,6,0.006
week |Weeks |weeks |week,2014100603,9384,7,7.459505541346973E-4
week |Weeks |weeks |week,2014100912,2545,22,0.008644400785854617
week |Weeks |weeks |week,2014100608,13680,84,0.0061403508771929825
week |Weeks |weeks |week,2014100913,6771,51,0.007532122286220647
week |Weeks |weeks |week,2014100609,13287,104,0.007827199518326184
week |Weeks |weeks |week,2014100810,6053,48,0.00792995208987279
week |Weeks |weeks |week,2014100606,4334,19,0.004383940932164283
week |Weeks |weeks |week,2014100607,6194,78,0.012592831772683243
week |Weeks |weeks |week,2014100707,4802,36,0.007496876301541024
week |Weeks |weeks |week,2014100813,7061,51,0.007222772978331681
week |Weeks |weeks |week,2014100708,5400,38,0.007037037037037037
week |Weeks |weeks |week,2014100814,6011,46,0.007652636832473798
week |Weeks |weeks |week,2014100705,2740,9,0.0032846715328467154
week |Weeks |weeks |week,2014100811,6604,42,0.006359781950333132
week |Weeks |weeks |week,2014100706,3398,20,0.005885815185403178
week |Weeks |weeks |week,2014100812,5896,52,0.008819538670284939
week |Weeks |weeks |week,2014100817,6743,43,0.0063769835384843545
week |Weeks |weeks |week,2014100600,15771,47,0.002980153446198719
week |Weeks |weeks |week,2014100703,5792,7,0.0012085635359116022
week |Weeks |weeks |week,2014100818,7400,48,0.006486486486486486
week |Weeks |weeks |week,2014100601,8669,26,0.002999192525089399
week |Weeks |weeks |week,2014100704,3010,4,0.00132890365448505
week |Weeks |weeks |week,2014100815,5628,50,0.008884150675195452
week |Weeks |weeks |week,2014100701,13455,13,9.66183574879227E-4
week |Weeks |weeks |week,2014100816,7857,48,0.0061092019854906456
week |Weeks |weeks |week,2014100702,8524,15,0.0017597372125762554
week |Weeks |weeks |week,2014100509,9287,31,0.003337999353935609
week |Weeks |weeks |week,2014100508,6498,20,0.0030778701138811943
week |Weeks |weeks |week,2014100819,4300,31,0.007209302325581395
week |Weeks |weeks |week,2014100507,16911,21,0.0012417952811779316
week |Weeks |weeks |week,2014100403,6749,27,0.004000592680397096
week |Weeks |weeks |week,2014100506,11836,13,0.0010983440351470092
week |Weeks |weeks |week,2014100402,6613,10,0.0015121729925903524
week |Weeks |weeks |week,2014100505,6487,7,0.0010790812394018807
week |Weeks |weeks |week,2014100401,4570,26,0.0056892778993435445
week |Weeks |weeks |week,2014100504,3861,14,0.003626003626003626
week |Weeks |weeks |week,2014100400,5285,26,0.004919583727530747
week |Weeks |weeks |week,2014100503,4540,19,0.004185022026431718
week |Weeks |weeks |week,2014100709,5572,51,0.009152907394113424
week |Weeks |weeks |week,2014100407,7111,33,0.004640697510898608
week |Weeks |weeks |week,2014100406,10763,40,0.0037164359379355198
week |Weeks |weeks |week,2014100501,6148,25,0.004066363044892648
week |Weeks |weeks |week,2014100405,10366,14,0.0013505691684352692
week |Weeks |weeks |week,2014100500,11540,25,0.002166377816291161
week |Weeks |weeks |week,2014100404,3086,18,0.005832793259883344
week |Weeks |weeks |week,2014100409,9932,54,0.005436971405557793
week |Weeks |weeks |week,2014100408,10458,45,0.004302925989672977
week |Weeks |weeks |week,2014100903,4141,11,0.0026563631972953395
week |Weeks |weeks |week,2014100613,12260,82,0.0066884176182707995
week |Weeks |weeks |week,2014100904,4854,11,0.002266172229089411
