month |months |month,2014100223,8580,102,0.011888111888111888
month |months |month,2014100222,12009,26,0.002165042884503289
month |months |month,2014100221,14828,33,0.002225519287833828
month |months |month,2014100220,15090,30,0.0019880715705765406
month |months |month,2014093023,7216,17,0.0023558758314855877
month |months |month,2014093020,2478,9,0.0036319612590799033
month |months |month,2014093022,2524,15,0.005942947702060222
month |months |month,2014093021,2547,7,0.0027483313702394976
month |months |month,2014100321,9080,36,0.003964757709251102
month |months |month,2014100322,8671,42,0.004843731980163764
month |months |month,2014100320,9381,28,0.0029847564225562308
month |months |month,2014100323,6929,14,0.002020493577716842
month |months |month,2014100123,8836,22,0.002489814395654142
month |months |month,2014100122,10378,33,0.0031798034303333975
month |months |month,2014100121,12311,34,0.0027617577775972705
month |months |month,2014100200,11724,19,0.0016206073012623677
month |months |month,2014100201,6861,46,0.006704562017198659
month |months |month,2014100309,9997,45,0.0045013504051215365
month |months |month,2014100307,6926,32,0.004620271440947156
month |months |month,2014100204,8387,9,0.0010730893048765948
month |months |month,2014100308,8532,37,0.004336615096108767
month |months |month,2014100205,14882,10,6.719526945303051E-4
month |months |month,2014100305,3838,6,0.001563314226159458
month |months |month,2014100202,5853,13,0.002221083205193918
month |months |month,2014100306,5526,10,0.0018096272167933405
month |months |month,2014100203,5613,7,0.0012471049349723855
month |months |month,2014100303,5043,2,3.96589331746976E-4
month |months |month,2014100208,9640,28,0.002904564315352697
month |months |month,2014100304,4725,4,8.465608465608466E-4
month |months |month,2014100209,12321,23,0.0018667315964613262
month |months |month,2014100301,4480,8,0.0017857142857142857
month |months |month,2014100206,9203,12,0.0013039226339237205
month |months |month,2014100302,8095,7,8.647313156269302E-4
month |months |month,2014100207,9445,23,0.002435150873478031
month |months |month,2014100300,6707,24,0.0035783509765916206
month |months |month,2014100106,45483,14,3.0780731262229844E-4
month |months |month,2014100105,7742,0,0.0
month |months |month,2014100104,8731,1,1.1453441759248655E-4
month |months |month,2014100103,1127,0,0.0
month |months |month,2014100102,2940,6,0.0020408163265306124
month |months |month,2014100101,3598,7,0.0019455252918287938
month |months |month,2014100100,1816,9,0.004955947136563877
month |months |month,2014100109,10999,63,0.005727793435766888
month |months |month,2014100108,14670,35,0.0023858214042263124
month |months |month,2014100107,32104,33,0.0010279092947919261
month |months |month,2014100210,10300,33,0.003203883495145631
month |months |month,2014100211,11008,47,0.004269622093023256
month |months |month,2014100212,11567,42,0.0036310192789833144
month |months |month,2014100316,10537,18,0.0017082661098984531
month |months |month,2014100213,10976,31,0.002824344023323615
month |months |month,2014100317,9832,41,0.004170056956875509
month |months |month,2014100214,12210,39,0.0031941031941031942
month |months |month,2014100318,9075,30,0.003305785123966942
month |months |month,2014100215,11832,31,0.0026200135226504394
month |months |month,2014100319,8645,27,0.0031231925968768074
month |months |month,2014100216,10725,37,0.00344988344988345
month |months |month,2014100312,10661,63,0.005909389363099146
month |months |month,2014100217,9835,30,0.003050330452465684
month |months |month,2014100313,9887,32,0.0032365732780418733
month |months |month,2014100218,9907,33,0.0033309780962955484
month |months |month,2014100314,9820,40,0.004073319755600814
month |months |month,2014100219,11100,29,0.002612612612612613
month |months |month,2014100420,8163,21,0.0025725836089672913
month |months |month,2014100315,10271,24,0.0023366760782786485
month |months |month,2014100120,12122,42,0.0034647747896386734
month |months |month,2014100421,8099,20,0.0024694406716878627
month |months |month,2014100422,8432,13,0.0015417457305502847
month |months |month,2014100423,6306,54,0.008563273073263558
month |months |month,2014100310,10343,51,0.004930871120564633
month |months |month,2014100311,11400,54,0.004736842105263158
month |months |month,2014100115,14152,29,0.0020491803278688526
month |months |month,2014100114,11535,22,0.0019072388383181622
month |months |month,2014100117,11365,30,0.0026396832380114386
month |months |month,2014100116,10904,34,0.0031181217901687453
month |months |month,2014100111,9571,40,0.004179291610072093
month |months |month,2014100110,9126,37,0.004054350208196362
month |months |month,2014100823,5727,17,0.002968395320412083
month |months |month,2014100113,11543,41,0.003551936238412891
month |months |month,2014100822,900,2,0.0022222222222222222
month |months |month,2014100112,11651,44,0.003776499871255686
month |months |month,2014100119,11403,20,0.0017539244058581076
month |months |month,2014100118,10294,27,0.002622887118709928
month |months |month,2014100604,4638,73,0.015739542906425184
month |months |month,2014100605,8675,111,0.012795389048991355
month |months |month,2014100700,5207,32,0.0061455732667562895
month |months |month,2014100914,3191,8,0.0025070510811657787
month |months |month,2014100602,8176,187,0.022871819960861055
month |months |month,2014100915,1000,3,0.003
month |months |month,2014100603,9384,160,0.017050298380221655
month |months |month,2014100912,2545,6,0.002357563850687623
month |months |month,2014100608,13680,136,0.009941520467836258
month |months |month,2014100913,6771,20,0.002953773445576724
month |months |month,2014100609,13287,78,0.005870399638744638
month |months |month,2014100810,6053,24,0.003964976044936395
month |months |month,2014100606,4334,73,0.016843562528841716
month |months |month,2014100607,6194,68,0.010978366160800775
month |months |month,2014100707,4802,24,0.0049979175343606835
month |months |month,2014100813,7061,23,0.003257328990228013
month |months |month,2014100708,5400,33,0.006111111111111111
month |months |month,2014100814,6011,24,0.003992680086508068
month |months |month,2014100705,2740,16,0.00583941605839416
month |months |month,2014100811,6604,31,0.00469412477286493
month |months |month,2014100706,3398,18,0.00529723366686286
month |months |month,2014100812,5896,23,0.0039009497964721846
month |months |month,2014100817,6743,25,0.0037075485688862525
month |months |month,2014100600,15771,196,0.012427873945849977
month |months |month,2014100703,5792,24,0.004143646408839779
month |months |month,2014100818,7400,20,0.002702702702702703
month |months |month,2014100601,8669,139,0.016034144653362555
month |months |month,2014100704,3010,10,0.0033222591362126247
month |months |month,2014100815,5628,8,0.0014214641080312722
month |months |month,2014100701,13455,33,0.002452619843924192
month |months |month,2014100816,7857,11,0.0014000254550082729
month |months |month,2014100702,8524,19,0.002229000469263257
month |months |month,2014100509,9287,451,0.048562506729837404
month |months |month,2014100508,6498,865,0.13311788242536166
month |months |month,2014100819,4300,22,0.0051162790697674414
month |months |month,2014100507,16911,5598,0.33102714209686
month |months |month,2014100403,6749,3,4.4451029782189953E-4
month |months |month,2014100506,11836,3,2.5346400811084827E-4
month |months |month,2014100402,6613,3,4.536518977771057E-4
month |months |month,2014100505,6487,1,1.5415446277169725E-4
month |months |month,2014100401,4570,14,0.003063457330415755
month |months |month,2014100504,3861,5,0.001295001295001295
month |months |month,2014100400,5285,28,0.005298013245033113
month |months |month,2014100503,4540,10,0.0022026431718061676
month |months |month,2014100709,5572,21,0.0037688442211055275
month |months |month,2014100407,7111,5,7.031359864997891E-4
month |months |month,2014100406,10763,3,2.78732695345164E-4
month |months |month,2014100501,6148,9,0.0014638906961613532
month |months |month,2014100405,10366,1,9.646922631680494E-5
month |months |month,2014100500,11540,23,0.0019930675909878683
month |months |month,2014100404,3086,4,0.0012961762799740765
month |months |month,2014100409,9932,40,0.004027386226339106
month |months |month,2014100408,10458,50,0.004781028877414419
month |months |month,2014100903,4141,6,0.0014489253803429123
month |months |month,2014100613,12260,43,0.0035073409461663946
month |months |month,2014100904,4854,4,8.240626287597857E-4
month |months |month,2014100614,10247,31,0.0030252756904459843
month |months |month,2014100905,7777,7,9.000900090009E-4
month |months |month,2014100615,8801,34,0.003863197363935916
month |months |month,2014100710,7431,25,0.003364284753061499
month |months |month,2014100906,3505,5,0.0014265335235378032
month |months |month,2014100616,10833,55,0.005077079294747531
month |months |month,2014100711,13474,40,0.0029686804215526197
month |months |month,2014100617,11523,51,0.0044259307472012495
month |months |month,2014100900,3864,14,0.0036231884057971015
month |months |month,2014100618,10834,45,0.004153590548273953
month |months |month,2014100901,3052,12,0.003931847968545216
month |months |month,2014100619,10472,23,0.00219633307868602
month |months |month,2014100902,4916,8,0.0016273393002441008
month |months |month,2014100716,9756,48,0.004920049200492005
month |months |month,2014100800,3418,12,0.003510825043885313
month |months |month,2014100717,12018,47,0.003910800465967715
month |months |month,2014100801,4912,19,0.0038680781758957655
month |months |month,2014100718,9824,37,0.00376628664495114
month |months |month,2014100802,4582,16,0.003491924923614142
month |months |month,2014100719,8904,33,0.003706199460916442
month |months |month,2014100803,4750,9,0.001894736842105263
month |months |month,2014100712,10146,46,0.0045338064261778045
month |months |month,2014100804,8238,31,0.003763049283806749
month |months |month,2014100610,8565,37,0.004319906596614127
month |months |month,2014100713,7382,28,0.003793010024383636
month |months |month,2014100805,6904,16,0.002317497103128621
month |months |month,2014100611,8676,52,0.00599354541263255
month |months |month,2014100714,9294,44,0.004734237142242307
month |months |month,2014100806,7696,14,0.0018191268191268192
month |months |month,2014100612,7761,42,0.005411673753382296
month |months |month,2014100715,8494,34,0.004002825523899223
month |months |month,2014100807,6298,10,0.0015878056525881232
month |months |month,2014100519,13547,168,0.012401269653797889
month |months |month,2014100809,5933,21,0.0035395246923984494
month |months |month,2014100518,12589,186,0.01477480339979347
month |months |month,2014100808,7916,28,0.0035371399696816574
month |months |month,2014100410,8297,25,0.00301313727853441
month |months |month,2014100412,8252,20,0.0024236548715462916
month |months |month,2014100515,6526,81,0.012411890897946675
month |months |month,2014100411,8736,19,0.002174908424908425
month |months |month,2014100514,7337,159,0.021670982690472945
month |months |month,2014100414,8029,21,0.0026155187445510027
month |months |month,2014100517,16635,215,0.012924556657649534
month |months |month,2014100413,7649,14,0.0018303046149823507
month |months |month,2014100516,7164,93,0.012981574539363484
month |months |month,2014100416,8535,17,0.0019917984768599885
month |months |month,2014100511,8203,203,0.024747043764476413
month |months |month,2014100415,9288,19,0.002045650301464255
month |months |month,2014100510,7389,315,0.04263093788063337
month |months |month,2014100418,8794,31,0.0035251307709802137
month |months |month,2014100513,8653,152,0.017566162024731307
month |months |month,2014100417,9001,14,0.0015553827352516388
month |months |month,2014100512,7658,178,0.0232436667537216
month |months |month,2014100908,14247,10,7.019021548396153E-4
month |months |month,2014100907,7751,20,0.0025803122177783513
month |months |month,2014100419,8630,28,0.0032444959443800694
month |months |month,2014100909,1000,2,0.002
month |months |month,2014100721,11447,59,0.005154188870446406
month |months |month,2014100722,8294,59,0.00711357607909332
month |months |month,2014100720,10198,36,0.003530103941949402
month |months |month,2014100723,5300,23,0.004339622641509434
month |months |month,2014100520,14801,214,0.014458482534963854
month |months |month,2014100523,12605,207,0.016422054740182466
