afl |AFL,2014100223,8580,16,0.0018648018648018648
afl |AFL,2014100222,12009,18,0.0014988758431176618
afl |AFL,2014100221,14828,28,0.0018883193957377933
afl |AFL,2014100220,15090,26,0.0017229953611663353
afl |AFL,2014093023,7216,14,0.0019401330376940134
afl |AFL,2014093020,2478,12,0.004842615012106538
afl |AFL,2014093022,2524,3,0.0011885895404120444
afl |AFL,2014093021,2547,4,0.0015704750687082843
afl |AFL,2014100321,9080,14,0.0015418502202643172
afl |AFL,2014100322,8671,17,0.0019605581824472377
afl |AFL,2014100320,9381,18,0.0019187719859290054
afl |AFL,2014100323,6929,10,0.001443209698369173
afl |AFL,2014100123,8836,27,0.0030556813037573563
afl |AFL,2014100122,10378,18,0.0017344382347273077
afl |AFL,2014100121,12311,31,0.002518073267809276
afl |AFL,2014100200,11724,6,5.117707267144319E-4
afl |AFL,2014100201,6861,5,7.287567409998542E-4
afl |AFL,2014100309,9997,15,0.0015004501350405122
afl |AFL,2014100307,6926,22,0.0031764366156511693
afl |AFL,2014100204,8387,4,4.769285799451532E-4
afl |AFL,2014100308,8532,14,0.0016408813877168307
afl |AFL,2014100205,14882,2,1.3439053890606102E-4
afl |AFL,2014100305,3838,4,0.0010422094841063053
afl |AFL,2014100202,5853,3,5.125576627370579E-4
afl |AFL,2014100306,5526,2,3.619254433586681E-4
afl |AFL,2014100203,5613,3,5.344735435595938E-4
afl |AFL,2014100303,5043,1,1.98294665873488E-4
afl |AFL,2014100208,9640,10,0.001037344398340249
afl |AFL,2014100304,4725,1,2.1164021164021165E-4
afl |AFL,2014100209,12321,16,0.0012985958931904878
afl |AFL,2014100301,4480,5,0.0011160714285714285
afl |AFL,2014100206,9203,6,6.519613169618602E-4
afl |AFL,2014100302,8095,2,2.470660901791229E-4
afl |AFL,2014100207,9445,11,0.0011646373742721016
afl |AFL,2014100300,6707,8,0.0011927836588638736
afl |AFL,2014100106,45483,14,3.0780731262229844E-4
afl |AFL,2014100105,7742,14,0.0018083182640144665
afl |AFL,2014100104,8731,1,1.1453441759248655E-4
afl |AFL,2014100103,1127,0,0.0
afl |AFL,2014100102,2940,2,6.802721088435374E-4
afl |AFL,2014100101,3598,3,8.337965536409116E-4
afl |AFL,2014100100,1816,0,0.0
afl |AFL,2014100109,10999,11,0.0010000909173561233
afl |AFL,2014100108,14670,13,8.861622358554874E-4
afl |AFL,2014100107,32104,14,4.360827311238475E-4
afl |AFL,2014100210,10300,7,6.796116504854369E-4
afl |AFL,2014100211,11008,12,0.0010901162790697674
afl |AFL,2014100212,11567,22,0.0019019624794674504
afl |AFL,2014100316,10537,33,0.003131821201480497
afl |AFL,2014100213,10976,26,0.0023688046647230322
afl |AFL,2014100317,9832,22,0.0022375915378356386
afl |AFL,2014100214,12210,34,0.0027846027846027844
afl |AFL,2014100318,9075,26,0.002865013774104683
afl |AFL,2014100215,11832,10,8.451656524678837E-4
afl |AFL,2014100319,8645,16,0.0018507807981492192
afl |AFL,2014100216,10725,13,0.0012121212121212121
afl |AFL,2014100312,10661,5,4.689991558015196E-4
afl |AFL,2014100217,9835,32,0.003253685815963396
afl |AFL,2014100313,9887,19,0.0019217153838373621
afl |AFL,2014100218,9907,26,0.0026244069849601292
afl |AFL,2014100314,9820,26,0.0026476578411405295
afl |AFL,2014100219,11100,21,0.0018918918918918919
afl |AFL,2014100420,8163,28,0.0034301114786230553
afl |AFL,2014100315,10271,14,0.001363061045662545
afl |AFL,2014100120,12122,17,0.0014024088434251773
afl |AFL,2014100421,8099,11,0.0013581923694283246
afl |AFL,2014100422,8432,2,2.3719165085388995E-4
afl |AFL,2014100423,6306,3,4.757373929590866E-4
afl |AFL,2014100310,10343,24,0.002320409939089239
afl |AFL,2014100311,11400,16,0.0014035087719298245
afl |AFL,2014100115,14152,10,7.066139061616733E-4
afl |AFL,2014100114,11535,18,0.0015604681404421327
afl |AFL,2014100117,11365,22,0.001935767707875055
afl |AFL,2014100116,10904,29,0.0026595744680851063
afl |AFL,2014100111,9571,18,0.0018806812245324418
afl |AFL,2014100110,9126,8,8.766162612316459E-4
afl |AFL,2014100823,5727,8,0.001396891915488039
afl |AFL,2014100113,11543,11,9.529585029888244E-4
afl |AFL,2014100822,900,2,0.0022222222222222222
afl |AFL,2014100112,11651,18,0.0015449317655136898
afl |AFL,2014100119,11403,33,0.0028939752696658773
afl |AFL,2014100118,10294,27,0.002622887118709928
afl |AFL,2014100604,4638,1,2.1561017680034498E-4
afl |AFL,2014100605,8675,1,1.1527377521613833E-4
afl |AFL,2014100700,5207,1,1.9204916458613405E-4
afl |AFL,2014100914,3191,16,0.005014102162331557
afl |AFL,2014100602,8176,0,0.0
afl |AFL,2014100915,1000,2,0.002
afl |AFL,2014100603,9384,0,0.0
afl |AFL,2014100912,2545,4,0.0015717092337917485
afl |AFL,2014100608,13680,8,5.847953216374269E-4
afl |AFL,2014100913,6771,26,0.0038399054792497417
afl |AFL,2014100609,13287,6,4.515692029803567E-4
afl |AFL,2014100810,6053,5,8.260366760284157E-4
afl |AFL,2014100606,4334,3,6.922011998154131E-4
afl |AFL,2014100607,6194,7,0.0011301259283177268
afl |AFL,2014100707,4802,2,4.1649312786339027E-4
afl |AFL,2014100813,7061,3,4.24868998725393E-4
afl |AFL,2014100708,5400,1,1.8518518518518518E-4
afl |AFL,2014100814,6011,4,6.654466810846781E-4
afl |AFL,2014100705,2740,1,3.64963503649635E-4
afl |AFL,2014100811,6604,1,1.5142337976983646E-4
afl |AFL,2014100706,3398,2,5.885815185403178E-4
afl |AFL,2014100812,5896,13,0.0022048846675712347
afl |AFL,2014100817,6743,6,8.898116565327006E-4
afl |AFL,2014100600,15771,16,0.0010145203221102023
afl |AFL,2014100703,5792,1,1.7265193370165745E-4
afl |AFL,2014100818,7400,11,0.0014864864864864865
afl |AFL,2014100601,8669,1,1.1535355865728458E-4
afl |AFL,2014100704,3010,0,0.0
afl |AFL,2014100815,5628,9,0.0015991471215351812
afl |AFL,2014100701,13455,1,7.432181345224824E-5
afl |AFL,2014100816,7857,7,8.909252895507191E-4
afl |AFL,2014100702,8524,1,1.1731581417175035E-4
afl |AFL,2014100509,9287,6,6.460643910843114E-4
afl |AFL,2014100508,6498,1,1.538935056940597E-4
afl |AFL,2014100819,4300,15,0.0034883720930232558
afl |AFL,2014100507,16911,2,1.182662172550411E-4
afl |AFL,2014100403,6749,0,0.0
afl |AFL,2014100506,11836,1,8.448800270361608E-5
afl |AFL,2014100402,6613,2,3.0243459851807047E-4
afl |AFL,2014100505,6487,2,3.083089255433945E-4
afl |AFL,2014100401,4570,3,6.564551422319475E-4
afl |AFL,2014100504,3861,1,2.59000259000259E-4
afl |AFL,2014100400,5285,5,9.46073793755913E-4
afl |AFL,2014100503,4540,0,0.0
afl |AFL,2014100709,5572,4,7.178750897343862E-4
afl |AFL,2014100407,7111,5,7.031359864997891E-4
afl |AFL,2014100406,10763,5,4.6455449224193997E-4
