board |board |boards,2014100223,8580,9,0.001048951048951049
board |board |boards,2014100222,12009,11,9.159796819052377E-4
board |board |boards,2014100221,14828,56,0.0037766387914755866
board |board |boards,2014100220,15090,9,5.964214711729623E-4
board |board |boards,2014093023,7216,1,1.385809312638581E-4
board |board |boards,2014093020,2478,3,0.0012106537530266344
board |board |boards,2014093022,2524,1,3.961965134706815E-4
board |board |boards,2014093021,2547,1,3.9261876717707107E-4
board |board |boards,2014100321,9080,7,7.709251101321586E-4
board |board |boards,2014100322,8671,3,3.4598085572598315E-4
board |board |boards,2014100320,9381,7,7.461891056390577E-4
board |board |boards,2014100323,6929,6,8.659258190215039E-4
board |board |boards,2014100123,8836,12,0.001358080579447714
board |board |boards,2014100122,10378,22,0.002119868953555598
board |board |boards,2014100121,12311,33,0.002680529607667939
board |board |boards,2014100200,11724,3,2.5588536335721597E-4
board |board |boards,2014100201,6861,1,1.4575134819997084E-4
board |board |boards,2014100309,9997,22,0.002200660198059418
board |board |boards,2014100307,6926,6,8.663008951775916E-4
board |board |boards,2014100204,8387,0,0.0
board |board |boards,2014100308,8532,16,0.001875293014533521
board |board |boards,2014100205,14882,5,3.3597634726515254E-4
board |board |boards,2014100305,3838,1,2.605523710265763E-4
board |board |boards,2014100202,5853,0,0.0
board |board |boards,2014100306,5526,1,1.8096272167933406E-4
board |board |boards,2014100203,5613,0,0.0
board |board |boards,2014100303,5043,0,0.0
board |board |boards,2014100208,9640,35,0.0036307053941908715
board |board |boards,2014100304,4725,1,2.1164021164021165E-4
board |board |boards,2014100209,12321,43,0.003489976462949436
board |board |boards,2014100301,4480,1,2.232142857142857E-4
board |board |boards,2014100206,9203,5,5.433010974682169E-4
board |board |boards,2014100302,8095,2,2.470660901791229E-4
board |board |boards,2014100207,9445,32,0.0033880359978824773
board |board |boards,2014100300,6707,4,5.963918294319368E-4
board |board |boards,2014100106,45483,5,1.099311830793923E-4
board |board |boards,2014100105,7742,0,0.0
board |board |boards,2014100104,8731,0,0.0
board |board |boards,2014100103,1127,0,0.0
board |board |boards,2014100102,2940,0,0.0
board |board |boards,2014100101,3598,1,2.7793218454697053E-4
board |board |boards,2014100100,1816,1,5.506607929515419E-4
board |board |boards,2014100109,10999,12,0.0010910082734794072
board |board |boards,2014100108,14670,8,5.453306066803E-4
board |board |boards,2014100107,32104,2,6.22975330176925E-5
board |board |boards,2014100210,10300,95,0.009223300970873786
board |board |boards,2014100211,11008,48,0.00436046511627907
board |board |boards,2014100212,11567,235,0.020316417394311403
board |board |boards,2014100316,10537,5,4.745183638606814E-4
board |board |boards,2014100213,10976,218,0.019861516034985423
board |board |boards,2014100317,9832,5,5.085435313262816E-4
board |board |boards,2014100214,12210,68,0.005569205569205569
board |board |boards,2014100318,9075,5,5.509641873278236E-4
board |board |boards,2014100215,11832,33,0.002789046653144016
board |board |boards,2014100319,8645,8,9.253903990746096E-4
board |board |boards,2014100216,10725,30,0.002797202797202797
board |board |boards,2014100312,10661,9,8.441984804427352E-4
board |board |boards,2014100217,9835,19,0.0019318759532282665
board |board |boards,2014100313,9887,3,3.034287448164256E-4
board |board |boards,2014100218,9907,19,0.0019178358736247098
board |board |boards,2014100314,9820,5,5.091649694501018E-4
board |board |boards,2014100219,11100,14,0.0012612612612612612
board |board |boards,2014100420,8163,4,4.900159255175794E-4
board |board |boards,2014100315,10271,8,7.788920260928828E-4
board |board |boards,2014100120,12122,51,0.004207226530275532
board |board |boards,2014100421,8099,1,1.2347203358439315E-4
board |board |boards,2014100422,8432,1,1.1859582542694497E-4
board |board |boards,2014100423,6306,3,4.757373929590866E-4
board |board |boards,2014100310,10343,12,0.0011602049695446195
board |board |boards,2014100311,11400,12,0.0010526315789473684
board |board |boards,2014100115,14152,7,4.946297343131713E-4
board |board |boards,2014100114,11535,18,0.0015604681404421327
board |board |boards,2014100117,11365,75,0.006599208095028597
