judge |Judge |judge |judges,2014100223,8580,6,6.993006993006993E-4
judge |Judge |judge |judges,2014100222,12009,6,4.996252810392206E-4
judge |Judge |judge |judges,2014100221,14828,5,3.371998920960345E-4
judge |Judge |judge |judges,2014100220,15090,5,3.313452617627568E-4
judge |Judge |judge |judges,2014093023,7216,8,0.0011086474501108647
judge |Judge |judge |judges,2014093020,2478,1,4.035512510088781E-4
judge |Judge |judge |judges,2014093022,2524,3,0.0011885895404120444
judge |Judge |judge |judges,2014093021,2547,6,0.002355712603062426
judge |Judge |judge |judges,2014100321,9080,3,3.303964757709251E-4
judge |Judge |judge |judges,2014100322,8671,1,1.1532695190866105E-4
judge |Judge |judge |judges,2014100320,9381,6,6.395906619763352E-4
judge |Judge |judge |judges,2014100323,6929,9,0.0012988887285322558
judge |Judge |judge |judges,2014100123,8836,3,3.395201448619285E-4
judge |Judge |judge |judges,2014100122,10378,8,7.708614376565812E-4
judge |Judge |judge |judges,2014100121,12311,11,8.935098692226465E-4
judge |Judge |judge |judges,2014100200,11724,6,5.117707267144319E-4
judge |Judge |judge |judges,2014100201,6861,5,7.287567409998542E-4
judge |Judge |judge |judges,2014100309,9997,0,0.0
judge |Judge |judge |judges,2014100307,6926,0,0.0
judge |Judge |judge |judges,2014100204,8387,4,4.769285799451532E-4
judge |Judge |judge |judges,2014100308,8532,2,2.3441162681669012E-4
judge |Judge |judge |judges,2014100205,14882,2,1.3439053890606102E-4
judge |Judge |judge |judges,2014100305,3838,1,2.605523710265763E-4
judge |Judge |judge |judges,2014100202,5853,0,0.0
judge |Judge |judge |judges,2014100306,5526,1,1.8096272167933406E-4
judge |Judge |judge |judges,2014100203,5613,1,1.7815784785319794E-4
judge |Judge |judge |judges,2014100303,5043,1,1.98294665873488E-4
judge |Judge |judge |judges,2014100208,9640,0,0.0
judge |Judge |judge |judges,2014100304,4725,0,0.0
judge |Judge |judge |judges,2014100209,12321,3,2.4348672997321646E-4
judge |Judge |judge |judges,2014100301,4480,0,0.0
judge |Judge |judge |judges,2014100206,9203,1,1.0866021949364337E-4
judge |Judge |judge |judges,2014100302,8095,1,1.2353304508956145E-4
judge |Judge |judge |judges,2014100207,9445,4,4.2350449973530967E-4
judge |Judge |judge |judges,2014100300,6707,7,0.0010436857015058893
judge |Judge |judge |judges,2014100106,45483,3,6.595870984763538E-5
judge |Judge |judge |judges,2014100105,7742,0,0.0
judge |Judge |judge |judges,2014100104,8731,1,1.1453441759248655E-4
judge |Judge |judge |judges,2014100103,1127,1,8.873114463176575E-4
judge |Judge |judge |judges,2014100102,2940,0,0.0
judge |Judge |judge |judges,2014100101,3598,0,0.0
judge |Judge |judge |judges,2014100100,1816,3,0.0016519823788546256
judge |Judge |judge |judges,2014100109,10999,5,4.545867806164197E-4
judge |Judge |judge |judges,2014100108,14670,5,3.4083162917518747E-4
judge |Judge |judge |judges,2014100107,32104,8,2.4919013207077E-4
judge |Judge |judge |judges,2014100210,10300,2,1.941747572815534E-4
judge |Judge |judge |judges,2014100211,11008,5,4.5421511627906976E-4
judge |Judge |judge |judges,2014100212,11567,7,6.051698798305524E-4
judge |Judge |judge |judges,2014100316,10537,3,2.847110183164088E-4
judge |Judge |judge |judges,2014100213,10976,6,5.466472303206997E-4
judge |Judge |judge |judges,2014100317,9832,4,4.068348250610252E-4
judge |Judge |judge |judges,2014100214,12210,11,9.009009009009009E-4
judge |Judge |judge |judges,2014100318,9075,1,1.1019283746556474E-4
judge |Judge |judge |judges,2014100215,11832,2,1.6903313049357674E-4
judge |Judge |judge |judges,2014100319,8645,5,5.78368999421631E-4
judge |Judge |judge |judges,2014100216,10725,10,9.324009324009324E-4
judge |Judge |judge |judges,2014100312,10661,8,7.503986492824313E-4
judge |Judge |judge |judges,2014100217,9835,5,5.083884087442806E-4
judge |Judge |judge |judges,2014100313,9887,4,4.0457165975523417E-4
judge |Judge |judge |judges,2014100218,9907,0,0.0
judge |Judge |judge |judges,2014100314,9820,6,6.109979633401223E-4
judge |Judge |judge |judges,2014100219,11100,8,7.207207207207207E-4
judge |Judge |judge |judges,2014100420,8163,0,0.0
judge |Judge |judge |judges,2014100315,10271,7,6.815305228312725E-4
judge |Judge |judge |judges,2014100120,12122,11,9.074410163339383E-4
judge |Judge |judge |judges,2014100421,8099,3,3.704161007531794E-4
judge |Judge |judge |judges,2014100422,8432,6,7.115749525616698E-4
judge |Judge |judge |judges,2014100423,6306,4,6.343165239454488E-4
judge |Judge |judge |judges,2014100310,10343,2,1.9336749492410325E-4
judge |Judge |judge |judges,2014100311,11400,5,4.385964912280702E-4
judge |Judge |judge |judges,2014100115,14152,3,2.1198417184850198E-4
judge |Judge |judge |judges,2014100114,11535,4,3.4677069787602947E-4
judge |Judge |judge |judges,2014100117,11365,12,0.0010558732952045756
judge |Judge |judge |judges,2014100116,10904,4,3.6683785766691124E-4
judge |Judge |judge |judges,2014100111,9571,5,5.224114512590116E-4
judge |Judge |judge |judges,2014100110,9126,1,1.0957703265395574E-4
judge |Judge |judge |judges,2014100823,5727,1,1.7461148943600488E-4
judge |Judge |judge |judges,2014100113,11543,9,7.7969332062722E-4
judge |Judge |judge |judges,2014100822,900,1,0.0011111111111111111
judge |Judge |judge |judges,2014100112,11651,2,1.7165908505707665E-4
judge |Judge |judge |judges,2014100119,11403,14,0.0012277470841006752
judge |Judge |judge |judges,2014100118,10294,7,6.800077715173888E-4
judge |Judge |judge |judges,2014100604,4638,1,2.1561017680034498E-4
judge |Judge |judge |judges,2014100605,8675,3,3.45821325648415E-4
judge |Judge |judge |judges,2014100700,5207,2,3.840983291722681E-4
judge |Judge |judge |judges,2014100914,3191,21,0.006581009088060169
judge |Judge |judge |judges,2014100602,8176,3,3.669275929549902E-4
judge |Judge |judge |judges,2014100915,1000,12,0.012
judge |Judge |judge |judges,2014100603,9384,2,2.1312872975277067E-4
judge |Judge |judge |judges,2014100912,2545,14,0.00550098231827112
judge |Judge |judge |judges,2014100608,13680,4,2.9239766081871346E-4
judge |Judge |judge |judges,2014100913,6771,22,0.003249150790134397
judge |Judge |judge |judges,2014100609,13287,2,1.5052306766011892E-4
