rate |rate |rates,2014100223,8580,7,8.158508158508159E-4
rate |rate |rates,2014100222,12009,5,4.1635440086601716E-4
rate |rate |rates,2014100221,14828,4,2.697599136768276E-4
rate |rate |rates,2014100220,15090,5,3.313452617627568E-4
rate |rate |rates,2014093023,7216,3,4.157427937915743E-4
rate |rate |rates,2014093020,2478,4,0.0016142050040355124
rate |rate |rates,2014093022,2524,0,0.0
rate |rate |rates,2014093021,2547,2,7.852375343541421E-4
rate |rate |rates,2014100321,9080,1,1.1013215859030837E-4
rate |rate |rates,2014100322,8671,2,2.306539038173221E-4
rate |rate |rates,2014100320,9381,2,2.1319688732544505E-4
rate |rate |rates,2014100323,6929,12,0.0017318516380430077
rate |rate |rates,2014100123,8836,3,3.395201448619285E-4
rate |rate |rates,2014100122,10378,0,0.0
rate |rate |rates,2014100121,12311,10,8.12281699293315E-4
rate |rate |rates,2014100200,11724,2,1.70590242238144E-4
rate |rate |rates,2014100201,6861,8,0.0011660107855997668
rate |rate |rates,2014100309,9997,5,5.001500450135041E-4
rate |rate |rates,2014100307,6926,3,4.331504475887958E-4
rate |rate |rates,2014100204,8387,1,1.192321449862883E-4
rate |rate |rates,2014100308,8532,8,9.376465072667605E-4
rate |rate |rates,2014100205,14882,2,1.3439053890606102E-4
rate |rate |rates,2014100305,3838,0,0.0
rate |rate |rates,2014100202,5853,0,0.0
rate |rate |rates,2014100306,5526,5,9.048136083966703E-4
rate |rate |rates,2014100203,5613,2,3.563156957063959E-4
rate |rate |rates,2014100303,5043,1,1.98294665873488E-4
rate |rate |rates,2014100208,9640,10,0.001037344398340249
rate |rate |rates,2014100304,4725,1,2.1164021164021165E-4
rate |rate |rates,2014100209,12321,7,5.681357032708384E-4
rate |rate |rates,2014100301,4480,2,4.464285714285714E-4
rate |rate |rates,2014100206,9203,4,4.346408779745735E-4
rate |rate |rates,2014100302,8095,2,2.470660901791229E-4
rate |rate |rates,2014100207,9445,1,1.0587612493382742E-4
rate |rate |rates,2014100300,6707,6,8.945877441479052E-4
rate |rate |rates,2014100106,45483,3,6.595870984763538E-5
rate |rate |rates,2014100105,7742,0,0.0
rate |rate |rates,2014100104,8731,2,2.290688351849731E-4
rate |rate |rates,2014100103,1127,1,8.873114463176575E-4
rate |rate |rates,2014100102,2940,0,0.0
rate |rate |rates,2014100101,3598,4,0.0011117287381878821
rate |rate |rates,2014100100,1816,3,0.0016519823788546256
rate |rate |rates,2014100109,10999,7,6.364214928629876E-4
rate |rate |rates,2014100108,14670,13,8.861622358554874E-4
rate |rate |rates,2014100107,32104,14,4.360827311238475E-4
rate |rate |rates,2014100210,10300,6,5.825242718446602E-4
rate |rate |rates,2014100211,11008,9,8.175872093023256E-4
rate |rate |rates,2014100212,11567,9,7.780755597821389E-4
rate |rate |rates,2014100316,10537,9,8.541330549492266E-4
rate |rate |rates,2014100213,10976,3,2.7332361516034986E-4
rate |rate |rates,2014100317,9832,3,3.051261187957689E-4
rate |rate |rates,2014100214,12210,8,6.552006552006552E-4
rate |rate |rates,2014100318,9075,3,3.3057851239669424E-4
rate |rate |rates,2014100215,11832,7,5.916159567275186E-4
rate |rate |rates,2014100319,8645,6,6.940427993059572E-4
