payment |payment |payments,2014100223,8580,0,0.0
payment |payment |payments,2014100222,12009,3,2.498126405196103E-4
payment |payment |payments,2014100221,14828,1,6.74399784192069E-5
payment |payment |payments,2014100220,15090,2,1.325381047051027E-4
payment |payment |payments,2014093023,7216,4,5.543237250554324E-4
payment |payment |payments,2014093020,2478,0,0.0
payment |payment |payments,2014093022,2524,1,3.961965134706815E-4
payment |payment |payments,2014093021,2547,0,0.0
payment |payment |payments,2014100321,9080,0,0.0
payment |payment |payments,2014100322,8671,0,0.0
payment |payment |payments,2014100320,9381,1,1.0659844366272253E-4
payment |payment |payments,2014100323,6929,1,1.443209698369173E-4
payment |payment |payments,2014100123,8836,0,0.0
payment |payment |payments,2014100122,10378,3,2.8907303912121797E-4
payment |payment |payments,2014100121,12311,2,1.6245633985866297E-4
payment |payment |payments,2014100200,11724,1,8.5295121119072E-5
payment |payment |payments,2014100201,6861,0,0.0
payment |payment |payments,2014100309,9997,2,2.0006001800540162E-4
payment |payment |payments,2014100307,6926,0,0.0
payment |payment |payments,2014100204,8387,2,2.384642899725766E-4
payment |payment |payments,2014100308,8532,1,1.1720581340834506E-4
payment |payment |payments,2014100205,14882,1,6.719526945303051E-5
payment |payment |payments,2014100305,3838,0,0.0
payment |payment |payments,2014100202,5853,0,0.0
payment |payment |payments,2014100306,5526,1,1.8096272167933406E-4
payment |payment |payments,2014100203,5613,0,0.0
payment |payment |payments,2014100303,5043,0,0.0
payment |payment |payments,2014100208,9640,4,4.149377593360996E-4
payment |payment |payments,2014100304,4725,0,0.0
payment |payment |payments,2014100209,12321,1,8.116224332440549E-5
payment |payment |payments,2014100301,4480,0,0.0
payment |payment |payments,2014100206,9203,1,1.0866021949364337E-4
payment |payment |payments,2014100302,8095,0,0.0
payment |payment |payments,2014100207,9445,5,5.293806246691371E-4
payment |payment |payments,2014100300,6707,0,0.0
payment |payment |payments,2014100106,45483,1,2.198623661587846E-5
payment |payment |payments,2014100105,7742,0,0.0
