australian |Australian |Australians,2014100223,8580,56,0.006526806526806527
australian |Australian |Australians,2014100222,12009,66,0.005495878091431427
australian |Australian |Australians,2014100221,14828,70,0.004720798489344483
australian |Australian |Australians,2014100220,15090,74,0.0049039098740888
australian |Australian |Australians,2014093023,7216,126,0.01746119733924612
australian |Australian |Australians,2014093020,2478,16,0.00645682001614205
australian |Australian |Australians,2014093022,2524,15,0.005942947702060222
australian |Australian |Australians,2014093021,2547,19,0.00745975657636435
australian |Australian |Australians,2014100321,9080,56,0.006167400881057269
australian |Australian |Australians,2014100322,8671,24,0.002767846845807865
australian |Australian |Australians,2014100320,9381,72,0.007675087943716022
australian |Australian |Australians,2014100323,6929,19,0.002742098426901429
australian |Australian |Australians,2014100123,8836,25,0.0028293345405160705
australian |Australian |Australians,2014100122,10378,41,0.003950664867989979
australian |Australian |Australians,2014100121,12311,45,0.0036552676468199173
australian |Australian |Australians,2014100200,11724,35,0.0029853292391675197
australian |Australian |Australians,2014100201,6861,22,0.0032065296603993585
australian |Australian |Australians,2014100309,9997,92,0.009202760828248474
australian |Australian |Australians,2014100307,6926,44,0.006352873231302339
australian |Australian |Australians,2014100204,8387,6,7.153928699177298E-4
australian |Australian |Australians,2014100308,8532,77,0.00902484763244257
australian |Australian |Australians,2014100205,14882,3,2.0158580835909153E-4
australian |Australian |Australians,2014100305,3838,2,5.211047420531526E-4
australian |Australian |Australians,2014100202,5853,5,8.542627712284299E-4
australian |Australian |Australians,2014100306,5526,22,0.003981179876945349
australian |Australian |Australians,2014100203,5613,6,0.0010689470871191875
australian |Australian |Australians,2014100303,5043,3,5.94883997620464E-4
australian |Australian |Australians,2014100208,9640,54,0.0056016597510373444
australian |Australian |Australians,2014100304,4725,9,0.0019047619047619048
australian |Australian |Australians,2014100209,12321,73,0.0059248437626816
australian |Australian |Australians,2014100301,4480,10,0.002232142857142857
australian |Australian |Australians,2014100206,9203,7,7.606215364555037E-4
australian |Australian |Australians,2014100302,8095,9,0.0011117974058060531
australian |Australian |Australians,2014100207,9445,53,0.005611434621492853
australian |Australian |Australians,2014100300,6707,20,0.002981959147159684
australian |Australian |Australians,2014100106,45483,17,3.7376602246993383E-4
australian |Australian |Australians,2014100105,7742,3,3.8749677086024286E-4
australian |Australian |Australians,2014100104,8731,0,0.0
australian |Australian |Australians,2014100103,1127,0,0.0
australian |Australian |Australians,2014100102,2940,5,0.0017006802721088435
australian |Australian |Australians,2014100101,3598,8,0.0022234574763757642
australian |Australian |Australians,2014100100,1816,3,0.0016519823788546256
australian |Australian |Australians,2014100109,10999,35,0.0031821074643149376
australian |Australian |Australians,2014100108,14670,40,0.0027266530334014998
australian |Australian |Australians,2014100107,32104,48,0.00149514079242462
australian |Australian |Australians,2014100210,10300,53,0.005145631067961165
australian |Australian |Australians,2014100211,11008,68,0.0061773255813953485
australian |Australian |Australians,2014100212,11567,93,0.008040114117748768
australian |Australian |Australians,2014100316,10537,44,0.004175761601973997
australian |Australian |Australians,2014100213,10976,75,0.006833090379008746
australian |Australian |Australians,2014100317,9832,52,0.0052888527257933275
australian |Australian |Australians,2014100214,12210,62,0.005077805077805078
australian |Australian |Australians,2014100318,9075,64,0.0070523415977961435
