kurd |Kurds,2014100223,8580,9,0.001048951048951049
kurd |Kurds,2014100222,12009,9,7.494379215588309E-4
kurd |Kurds,2014100221,14828,12,8.092797410304828E-4
kurd |Kurds,2014100220,15090,10,6.626905235255136E-4
kurd |Kurds,2014093023,7216,3,4.157427937915743E-4
kurd |Kurds,2014093020,2478,0,0.0
kurd |Kurds,2014093022,2524,0,0.0
kurd |Kurds,2014093021,2547,0,0.0
kurd |Kurds,2014100321,9080,0,0.0
kurd |Kurds,2014100322,8671,1,1.1532695190866105E-4
kurd |Kurds,2014100320,9381,8,8.527875493017802E-4
kurd |Kurds,2014100323,6929,1,1.443209698369173E-4
kurd |Kurds,2014100123,8836,1,1.1317338162064282E-4
kurd |Kurds,2014100122,10378,0,0.0
kurd |Kurds,2014100121,12311,7,5.685971895053204E-4
kurd |Kurds,2014100200,11724,0,0.0
kurd |Kurds,2014100201,6861,0,0.0
kurd |Kurds,2014100309,9997,0,0.0
kurd |Kurds,2014100307,6926,0,0.0
kurd |Kurds,2014100204,8387,0,0.0
kurd |Kurds,2014100308,8532,0,0.0
kurd |Kurds,2014100205,14882,0,0.0
kurd |Kurds,2014100305,3838,0,0.0
kurd |Kurds,2014100202,5853,0,0.0
kurd |Kurds,2014100306,5526,0,0.0
kurd |Kurds,2014100203,5613,0,0.0
kurd |Kurds,2014100303,5043,2,3.96589331746976E-4
kurd |Kurds,2014100208,9640,0,0.0
kurd |Kurds,2014100304,4725,0,0.0
kurd |Kurds,2014100209,12321,0,0.0
kurd |Kurds,2014100301,4480,10,0.002232142857142857
kurd |Kurds,2014100206,9203,0,0.0
kurd |Kurds,2014100302,8095,13,0.001605929586164299
kurd |Kurds,2014100207,9445,0,0.0
kurd |Kurds,2014100300,6707,4,5.963918294319368E-4
kurd |Kurds,2014100106,45483,0,0.0
kurd |Kurds,2014100105,7742,0,0.0
kurd |Kurds,2014100104,8731,0,0.0
kurd |Kurds,2014100103,1127,0,0.0
kurd |Kurds,2014100102,2940,0,0.0
kurd |Kurds,2014100101,3598,2,5.558643690939411E-4
kurd |Kurds,2014100100,1816,0,0.0
kurd |Kurds,2014100109,10999,0,0.0
kurd |Kurds,2014100108,14670,0,0.0
kurd |Kurds,2014100107,32104,0,0.0
kurd |Kurds,2014100210,10300,0,0.0
kurd |Kurds,2014100211,11008,0,0.0
kurd |Kurds,2014100212,11567,0,0.0
kurd |Kurds,2014100316,10537,0,0.0
kurd |Kurds,2014100213,10976,0,0.0
kurd |Kurds,2014100317,9832,1,1.017087062652563E-4
kurd |Kurds,2014100214,12210,0,0.0
kurd |Kurds,2014100318,9075,27,0.0029752066115702478
kurd |Kurds,2014100215,11832,0,0.0
kurd |Kurds,2014100319,8645,2,2.313475997686524E-4
kurd |Kurds,2014100216,10725,5,4.662004662004662E-4
kurd |Kurds,2014100312,10661,0,0.0
kurd |Kurds,2014100217,9835,6,6.100660904931368E-4
kurd |Kurds,2014100313,9887,0,0.0
kurd |Kurds,2014100218,9907,10,0.001009387301907742
kurd |Kurds,2014100314,9820,0,0.0
kurd |Kurds,2014100219,11100,2,1.8018018018018018E-4
kurd |Kurds,2014100420,8163,13,0.0015925517579321328
kurd |Kurds,2014100315,10271,3,2.9208450978483107E-4
kurd |Kurds,2014100120,12122,2,1.6498927569707968E-4
kurd |Kurds,2014100421,8099,9,0.0011112483022595382
kurd |Kurds,2014100422,8432,6,7.115749525616698E-4
kurd |Kurds,2014100423,6306,3,4.757373929590866E-4
kurd |Kurds,2014100310,10343,4,3.867349898482065E-4
kurd |Kurds,2014100311,11400,0,0.0
kurd |Kurds,2014100115,14152,2,1.4132278123233464E-4
kurd |Kurds,2014100114,11535,1,8.669267446900737E-5
kurd |Kurds,2014100117,11365,1,8.798944126704795E-5
kurd |Kurds,2014100116,10904,2,1.8341892883345562E-4
kurd |Kurds,2014100111,9571,0,0.0
kurd |Kurds,2014100110,9126,0,0.0
kurd |Kurds,2014100823,5727,1,1.7461148943600488E-4
kurd |Kurds,2014100113,11543,0,0.0
kurd |Kurds,2014100822,900,2,0.0022222222222222222
kurd |Kurds,2014100112,11651,3,2.57488627585615E-4
kurd |Kurds,2014100119,11403,0,0.0
kurd |Kurds,2014100118,10294,2,1.9428793471925395E-4
kurd |Kurds,2014100604,4638,2,4.3122035360068997E-4
