nurse |nurses |nurse |Nurses,2014100223,8580,1,1.1655011655011655E-4
nurse |nurses |nurse |Nurses,2014100222,12009,0,0.0
nurse |nurses |nurse |Nurses,2014100221,14828,3,2.023199352576207E-4
nurse |nurses |nurse |Nurses,2014100220,15090,1,6.626905235255136E-5
nurse |nurses |nurse |Nurses,2014093023,7216,2,2.771618625277162E-4
nurse |nurses |nurse |Nurses,2014093020,2478,3,0.0012106537530266344
nurse |nurses |nurse |Nurses,2014093022,2524,1,3.961965134706815E-4
nurse |nurses |nurse |Nurses,2014093021,2547,1,3.9261876717707107E-4
nurse |nurses |nurse |Nurses,2014100321,9080,0,0.0
nurse |nurses |nurse |Nurses,2014100322,8671,1,1.1532695190866105E-4
nurse |nurses |nurse |Nurses,2014100320,9381,4,4.263937746508901E-4
nurse |nurses |nurse |Nurses,2014100323,6929,2,2.886419396738346E-4
nurse |nurses |nurse |Nurses,2014100123,8836,2,2.2634676324128565E-4
nurse |nurses |nurse |Nurses,2014100122,10378,1,9.635767970707265E-5
nurse |nurses |nurse |Nurses,2014100121,12311,0,0.0
nurse |nurses |nurse |Nurses,2014100200,11724,1,8.5295121119072E-5
nurse |nurses |nurse |Nurses,2014100201,6861,2,2.915026963999417E-4
nurse |nurses |nurse |Nurses,2014100309,9997,2,2.0006001800540162E-4
nurse |nurses |nurse |Nurses,2014100307,6926,1,1.4438348252959862E-4
nurse |nurses |nurse |Nurses,2014100204,8387,0,0.0
nurse |nurses |nurse |Nurses,2014100308,8532,2,2.3441162681669012E-4
nurse |nurses |nurse |Nurses,2014100205,14882,0,0.0
nurse |nurses |nurse |Nurses,2014100305,3838,0,0.0
nurse |nurses |nurse |Nurses,2014100202,5853,0,0.0
nurse |nurses |nurse |Nurses,2014100306,5526,0,0.0
nurse |nurses |nurse |Nurses,2014100203,5613,0,0.0
nurse |nurses |nurse |Nurses,2014100303,5043,1,1.98294665873488E-4
nurse |nurses |nurse |Nurses,2014100208,9640,0,0.0
nurse |nurses |nurse |Nurses,2014100304,4725,0,0.0
nurse |nurses |nurse |Nurses,2014100209,12321,2,1.6232448664881097E-4
nurse |nurses |nurse |Nurses,2014100301,4480,0,0.0
nurse |nurses |nurse |Nurses,2014100206,9203,0,0.0
nurse |nurses |nurse |Nurses,2014100302,8095,0,0.0
nurse |nurses |nurse |Nurses,2014100207,9445,0,0.0
nurse |nurses |nurse |Nurses,2014100300,6707,0,0.0
nurse |nurses |nurse |Nurses,2014100106,45483,0,0.0
