frawley |Frawley,2014100223,8580,1,1.1655011655011655E-4
frawley |Frawley,2014100222,12009,15,0.0012490632025980515
frawley |Frawley,2014100221,14828,10,6.74399784192069E-4
frawley |Frawley,2014100220,15090,12,7.952286282306163E-4
frawley |Frawley,2014093023,7216,2,2.771618625277162E-4
frawley |Frawley,2014093020,2478,1,4.035512510088781E-4
frawley |Frawley,2014093022,2524,0,0.0
frawley |Frawley,2014093021,2547,0,0.0
frawley |Frawley,2014100321,9080,2,2.2026431718061675E-4
frawley |Frawley,2014100322,8671,1,1.1532695190866105E-4
frawley |Frawley,2014100320,9381,4,4.263937746508901E-4
frawley |Frawley,2014100323,6929,1,1.443209698369173E-4
frawley |Frawley,2014100123,8836,1,1.1317338162064282E-4
frawley |Frawley,2014100122,10378,0,0.0
frawley |Frawley,2014100121,12311,1,8.122816992933149E-5
frawley |Frawley,2014100200,11724,0,0.0
frawley |Frawley,2014100201,6861,1,1.4575134819997084E-4
frawley |Frawley,2014100309,9997,9,9.002700810243073E-4
frawley |Frawley,2014100307,6926,1,1.4438348252959862E-4
frawley |Frawley,2014100204,8387,0,0.0
frawley |Frawley,2014100308,8532,1,1.1720581340834506E-4
frawley |Frawley,2014100205,14882,0,0.0
frawley |Frawley,2014100305,3838,0,0.0
frawley |Frawley,2014100202,5853,0,0.0
frawley |Frawley,2014100306,5526,0,0.0
frawley |Frawley,2014100203,5613,0,0.0
frawley |Frawley,2014100303,5043,0,0.0
frawley |Frawley,2014100208,9640,0,0.0
frawley |Frawley,2014100304,4725,0,0.0
frawley |Frawley,2014100209,12321,3,2.4348672997321646E-4
frawley |Frawley,2014100301,4480,0,0.0
frawley |Frawley,2014100206,9203,0,0.0
frawley |Frawley,2014100302,8095,0,0.0
frawley |Frawley,2014100207,9445,1,1.0587612493382742E-4
frawley |Frawley,2014100300,6707,0,0.0
frawley |Frawley,2014100106,45483,1,2.198623661587846E-5
frawley |Frawley,2014100105,7742,0,0.0
frawley |Frawley,2014100104,8731,0,0.0
frawley |Frawley,2014100103,1127,0,0.0
frawley |Frawley,2014100102,2940,0,0.0
frawley |Frawley,2014100101,3598,0,0.0
frawley |Frawley,2014100100,1816,0,0.0
frawley |Frawley,2014100109,10999,5,4.545867806164197E-4
frawley |Frawley,2014100108,14670,5,3.4083162917518747E-4
frawley |Frawley,2014100107,32104,3,9.344629952653874E-5
frawley |Frawley,2014100210,10300,1,9.70873786407767E-5
