ban |ban |bans,2014100223,8580,13,0.0015151515151515152
ban |ban |bans,2014100222,12009,41,0.0034141060871013405
ban |ban |bans,2014100221,14828,44,0.002967359050445104
ban |ban |bans,2014100220,15090,136,0.009012591119946985
ban |ban |bans,2014093023,7216,1,1.385809312638581E-4
ban |ban |bans,2014093020,2478,2,8.071025020177562E-4
ban |ban |bans,2014093022,2524,1,3.961965134706815E-4
ban |ban |bans,2014093021,2547,0,0.0
ban |ban |bans,2014100321,9080,5,5.506607929515419E-4
ban |ban |bans,2014100322,8671,21,0.002421865990081882
ban |ban |bans,2014100320,9381,14,0.0014923782112781154
ban |ban |bans,2014100323,6929,10,0.001443209698369173
ban |ban |bans,2014100123,8836,7,7.922136713444998E-4
ban |ban |bans,2014100122,10378,10,9.635767970707265E-4
ban |ban |bans,2014100121,12311,20,0.00162456339858663
ban |ban |bans,2014100200,11724,7,5.97065847833504E-4
ban |ban |bans,2014100201,6861,4,5.830053927998834E-4
ban |ban |bans,2014100309,9997,47,0.0047014104231269385
ban |ban |bans,2014100307,6926,35,0.005053421888535951
ban |ban |bans,2014100204,8387,0,0.0
ban |ban |bans,2014100308,8532,39,0.004571026722925457
ban |ban |bans,2014100205,14882,2,1.3439053890606102E-4
ban |ban |bans,2014100305,3838,7,0.0018238665971860343
ban |ban |bans,2014100202,5853,0,0.0
ban |ban |bans,2014100306,5526,14,0.0025334781035106766
ban |ban |bans,2014100203,5613,0,0.0
ban |ban |bans,2014100303,5043,1,1.98294665873488E-4
ban |ban |bans,2014100208,9640,18,0.0018672199170124482
ban |ban |bans,2014100304,4725,3,6.349206349206349E-4
ban |ban |bans,2014100209,12321,15,0.0012174336498660824
ban |ban |bans,2014100301,4480,10,0.002232142857142857
ban |ban |bans,2014100206,9203,3,3.259806584809301E-4
ban |ban |bans,2014100302,8095,2,2.470660901791229E-4
ban |ban |bans,2014100207,9445,9,9.528851244044468E-4
ban |ban |bans,2014100300,6707,11,0.0016400775309378262
ban |ban |bans,2014100106,45483,5,1.099311830793923E-4
ban |ban |bans,2014100105,7742,3,3.8749677086024286E-4
ban |ban |bans,2014100104,8731,0,0.0
ban |ban |bans,2014100103,1127,0,0.0
ban |ban |bans,2014100102,2940,0,0.0
ban |ban |bans,2014100101,3598,0,0.0
ban |ban |bans,2014100100,1816,0,0.0
ban |ban |bans,2014100109,10999,13,0.001181925629602691
ban |ban |bans,2014100108,14670,7,4.7716428084526244E-4
ban |ban |bans,2014100107,32104,11,3.4263643159730873E-4
ban |ban |bans,2014100210,10300,10,9.70873786407767E-4
ban |ban |bans,2014100211,11008,12,0.0010901162790697674
ban |ban |bans,2014100212,11567,13,0.0011238869196853116
ban |ban |bans,2014100316,10537,11,0.0010439404004934992
ban |ban |bans,2014100213,10976,4,3.6443148688046647E-4
ban |ban |bans,2014100317,9832,61,0.006204231082180635
ban |ban |bans,2014100214,12210,31,0.002538902538902539
ban |ban |bans,2014100318,9075,32,0.0035261707988980717
ban |ban |bans,2014100215,11832,20,0.0016903313049357674
ban |ban |bans,2014100319,8645,38,0.004395604395604396
ban |ban |bans,2014100216,10725,21,0.001958041958041958
ban |ban |bans,2014100312,10661,45,0.004220992402213676
