world |World |worlds |world,2014100223,8580,40,0.004662004662004662
world |World |worlds |world,2014100222,12009,67,0.00557914897160463
world |World |worlds |world,2014100221,14828,66,0.004451038575667656
world |World |worlds |world,2014100220,15090,59,0.00390987408880053
world |World |worlds |world,2014093023,7216,37,0.00512749445676275
world |World |worlds |world,2014093020,2478,20,0.008071025020177562
world |World |worlds |world,2014093022,2524,13,0.005150554675118859
world |World |worlds |world,2014093021,2547,37,0.014526894385551629
world |World |worlds |world,2014100321,9080,55,0.006057268722466961
world |World |worlds |world,2014100322,8671,62,0.007150271018336985
world |World |worlds |world,2014100320,9381,46,0.004903528408485236
world |World |worlds |world,2014100323,6929,48,0.006927406552172031
world |World |worlds |world,2014100123,8836,91,0.010298777727478498
world |World |worlds |world,2014100122,10378,93,0.008961264212757758
world |World |worlds |world,2014100121,12311,106,0.008610186012509138
world |World |worlds |world,2014100200,11724,117,0.009979529170931423
world |World |worlds |world,2014100201,6861,60,0.00874508089199825
world |World |worlds |world,2014100309,9997,170,0.017005101530459137
world |World |worlds |world,2014100307,6926,42,0.006064106266243142
world |World |worlds |world,2014100204,8387,46,0.005484678669369262
world |World |worlds |world,2014100308,8532,69,0.00808720112517581
world |World |worlds |world,2014100205,14882,45,0.0030237871253863727
world |World |worlds |world,2014100305,3838,23,0.005992704533611256
world |World |worlds |world,2014100202,5853,47,0.008030070049547242
world |World |worlds |world,2014100306,5526,18,0.003257328990228013
world |World |worlds |world,2014100203,5613,34,0.0060573668270087295
world |World |worlds |world,2014100303,5043,9,0.001784651992861392
world |World |worlds |world,2014100208,9640,80,0.008298755186721992
world |World |worlds |world,2014100304,4725,15,0.0031746031746031746
world |World |worlds |world,2014100209,12321,67,0.005437870302735168
world |World |worlds |world,2014100301,4480,54,0.012053571428571429
world |World |worlds |world,2014100206,9203,38,0.004129088340758449
world |World |worlds |world,2014100302,8095,14,0.0017294626312538604
world |World |worlds |world,2014100207,9445,54,0.005717310746426681
world |World |worlds |world,2014100300,6707,33,0.004920232592813478
world |World |worlds |world,2014100106,45483,29,6.376008618604753E-4
world |World |worlds |world,2014100105,7742,14,0.0018083182640144665
world |World |worlds |world,2014100104,8731,61,0.006986599473141679
world |World |worlds |world,2014100103,1127,0,0.0
world |World |worlds |world,2014100102,2940,1,3.401360544217687E-4
world |World |worlds |world,2014100101,3598,19,0.0052807115063924406
world |World |worlds |world,2014100100,1816,6,0.003303964757709251
world |World |worlds |world,2014100109,10999,52,0.004727702518410764
world |World |worlds |world,2014100108,14670,42,0.0028629856850715747
world |World |worlds |world,2014100107,32104,32,9.9676052828308E-4
world |World |worlds |world,2014100210,10300,85,0.00825242718446602
world |World |worlds |world,2014100211,11008,276,0.02507267441860465
world |World |worlds |world,2014100212,11567,62,0.005360076078499179
world |World |worlds |world,2014100316,10537,60,0.005694220366328177
world |World |worlds |world,2014100213,10976,82,0.007470845481049562
world |World |worlds |world,2014100317,9832,55,0.005593978844589097
world |World |worlds |world,2014100214,12210,63,0.005159705159705159
world |World |worlds |world,2014100318,9075,82,0.009035812672176308
world |World |worlds |world,2014100215,11832,101,0.008536173089925625
world |World |worlds |world,2014100319,8645,65,0.007518796992481203
world |World |worlds |world,2014100216,10725,92,0.008578088578088578
world |World |worlds |world,2014100312,10661,79,0.007410186661664009
world |World |worlds |world,2014100217,9835,72,0.007320793085917641
world |World |worlds |world,2014100313,9887,188,0.019014868008496003
world |World |worlds |world,2014100218,9907,69,0.0069647723831634195
world |World |worlds |world,2014100314,9820,188,0.019144602851323828
world |World |worlds |world,2014100219,11100,54,0.004864864864864865
world |World |worlds |world,2014100420,8163,91,0.01114786230552493
world |World |worlds |world,2014100315,10271,187,0.018206601109921138
world |World |worlds |world,2014100120,12122,70,0.005774624649397789
world |World |worlds |world,2014100421,8099,37,0.004568465242622546
world |World |worlds |world,2014100422,8432,56,0.006641366223908918
world |World |worlds |world,2014100423,6306,79,0.012527751347922613
world |World |worlds |world,2014100310,10343,176,0.017016339553321085
world |World |worlds |world,2014100311,11400,272,0.023859649122807018
world |World |worlds |world,2014100115,14152,307,0.021693046919163367
world |World |worlds |world,2014100114,11535,266,0.02306025140875596
world |World |worlds |world,2014100117,11365,211,0.01856577210734712
world |World |worlds |world,2014100116,10904,157,0.014398385913426265
world |World |worlds |world,2014100111,9571,128,0.013373733152230697
world |World |worlds |world,2014100110,9126,676,0.07407407407407407
world |World |worlds |world,2014100823,5727,40,0.006984459577440196
world |World |worlds |world,2014100113,11543,133,0.011522134627046696
world |World |worlds |world,2014100822,900,3,0.0033333333333333335
world |World |worlds |world,2014100112,11651,167,0.0143335336022659
world |World |worlds |world,2014100119,11403,76,0.006664912742260809
world |World |worlds |world,2014100118,10294,73,0.007091509617252768
world |World |worlds |world,2014100604,4638,88,0.018973695558430356
world |World |worlds |world,2014100605,8675,91,0.010489913544668588
world |World |worlds |world,2014100700,5207,52,0.00998655655847897
world |World |worlds |world,2014100914,3191,18,0.005640864932623002
world |World |worlds |world,2014100602,8176,142,0.017367906066536203
world |World |worlds |world,2014100915,1000,4,0.004
world |World |worlds |world,2014100603,9384,109,0.011615515771526001
world |World |worlds |world,2014100912,2545,31,0.01218074656188605
world |World |worlds |world,2014100608,13680,85,0.0062134502923976605
world |World |worlds |world,2014100913,6771,61,0.009009009009009009
world |World |worlds |world,2014100609,13287,115,0.008655076390456838
world |World |worlds |world,2014100810,6053,26,0.0042953907153477616
world |World |worlds |world,2014100606,4334,52,0.011998154130133826
world |World |worlds |world,2014100607,6194,83,0.013400064578624474
world |World |worlds |world,2014100707,4802,29,0.006039150354019159
world |World |worlds |world,2014100813,7061,24,0.003398951989803144
world |World |worlds |world,2014100708,5400,40,0.007407407407407408
world |World |worlds |world,2014100814,6011,33,0.0054899351189485945
world |World |worlds |world,2014100705,2740,5,0.0018248175182481751
world |World |worlds |world,2014100811,6604,38,0.005754088431253785
world |World |worlds |world,2014100706,3398,16,0.004708652148322542
world |World |worlds |world,2014100812,5896,43,0.007293080054274084
world |World |worlds |world,2014100817,6743,26,0.0038558505116417026
world |World |worlds |world,2014100600,15771,176,0.011159723543212225
world |World |worlds |world,2014100703,5792,19,0.0032803867403314916
world |World |worlds |world,2014100818,7400,42,0.005675675675675676
world |World |worlds |world,2014100601,8669,135,0.015572730418733418
world |World |worlds |world,2014100704,3010,11,0.003654485049833887
world |World |worlds |world,2014100815,5628,31,0.00550817341862118
world |World |worlds |world,2014100701,13455,41,0.0030471943515421778
world |World |worlds |world,2014100816,7857,44,0.0056001018200330915
world |World |worlds |world,2014100702,8524,96,0.011262318160488035
world |World |worlds |world,2014100509,9287,38,0.004091741143533972
world |World |worlds |world,2014100508,6498,42,0.006463527239150508
world |World |worlds |world,2014100819,4300,27,0.006279069767441861
world |World |worlds |world,2014100507,16911,14,8.278635207852877E-4
world |World |worlds |world,2014100403,6749,16,0.002370721588383464
world |World |worlds |world,2014100506,11836,47,0.003970936127069956
world |World |worlds |world,2014100402,6613,13,0.001965824890367458
world |World |worlds |world,2014100505,6487,14,0.0021581624788037613
world |World |worlds |world,2014100401,4570,23,0.0050328227571115975
world |World |worlds |world,2014100504,3861,73,0.018907018907018906
world |World |worlds |world,2014100400,5285,25,0.004730368968779565
world |World |worlds |world,2014100503,4540,23,0.005066079295154185
world |World |worlds |world,2014100709,5572,62,0.011127063890882987
world |World |worlds |world,2014100407,7111,42,0.005906342286598228
world |World |worlds |world,2014100406,10763,30,0.00278732695345164
world |World |worlds |world,2014100501,6148,25,0.004066363044892648
world |World |worlds |world,2014100405,10366,10,9.646922631680494E-4
world |World |worlds |world,2014100500,11540,181,0.015684575389948007
world |World |worlds |world,2014100404,3086,12,0.0038885288399222295
world |World |worlds |world,2014100409,9932,66,0.0066451872734595244
world |World |worlds |world,2014100408,10458,33,0.003155479059093517
