hong kong |Hong Kong,2014100223,8580,4,4.662004662004662E-4
hong kong |Hong Kong,2014100222,12009,9,7.494379215588309E-4
hong kong |Hong Kong,2014100221,14828,13,8.767197194496898E-4
hong kong |Hong Kong,2014100220,15090,13,8.614976805831676E-4
hong kong |Hong Kong,2014093023,7216,9,0.0012472283813747228
hong kong |Hong Kong,2014093020,2478,1,4.035512510088781E-4
hong kong |Hong Kong,2014093022,2524,10,0.003961965134706815
hong kong |Hong Kong,2014093021,2547,8,0.0031409501374165686
hong kong |Hong Kong,2014100321,9080,5,5.506607929515419E-4
hong kong |Hong Kong,2014100322,8671,14,0.0016145773267212547
hong kong |Hong Kong,2014100320,9381,1,1.0659844366272253E-4
hong kong |Hong Kong,2014100323,6929,1,1.443209698369173E-4
hong kong |Hong Kong,2014100123,8836,7,7.922136713444998E-4
hong kong |Hong Kong,2014100122,10378,27,0.0026016573520909617
hong kong |Hong Kong,2014100121,12311,3,2.4368450978799449E-4
hong kong |Hong Kong,2014100200,11724,6,5.117707267144319E-4
hong kong |Hong Kong,2014100201,6861,3,4.3725404459991256E-4
hong kong |Hong Kong,2014100309,9997,5,5.001500450135041E-4
hong kong |Hong Kong,2014100307,6926,3,4.331504475887958E-4
hong kong |Hong Kong,2014100204,8387,18,0.0021461786097531897
hong kong |Hong Kong,2014100308,8532,8,9.376465072667605E-4
hong kong |Hong Kong,2014100205,14882,3,2.0158580835909153E-4
hong kong |Hong Kong,2014100305,3838,1,2.605523710265763E-4
hong kong |Hong Kong,2014100202,5853,3,5.125576627370579E-4
hong kong |Hong Kong,2014100306,5526,2,3.619254433586681E-4
hong kong |Hong Kong,2014100203,5613,0,0.0
hong kong |Hong Kong,2014100303,5043,2,3.96589331746976E-4
hong kong |Hong Kong,2014100208,9640,4,4.149377593360996E-4
hong kong |Hong Kong,2014100304,4725,2,4.232804232804233E-4
hong kong |Hong Kong,2014100209,12321,11,8.927846765684603E-4
hong kong |Hong Kong,2014100301,4480,5,0.0011160714285714285
hong kong |Hong Kong,2014100206,9203,5,5.433010974682169E-4
hong kong |Hong Kong,2014100302,8095,2,2.470660901791229E-4
hong kong |Hong Kong,2014100207,9445,3,3.1762837480148225E-4
hong kong |Hong Kong,2014100300,6707,4,5.963918294319368E-4
hong kong |Hong Kong,2014100106,45483,6,1.3191741969527076E-4
hong kong |Hong Kong,2014100105,7742,1,1.291655902867476E-4
hong kong |Hong Kong,2014100104,8731,0,0.0
hong kong |Hong Kong,2014100103,1127,0,0.0
hong kong |Hong Kong,2014100102,2940,4,0.0013605442176870747
hong kong |Hong Kong,2014100101,3598,1,2.7793218454697053E-4
hong kong |Hong Kong,2014100100,1816,0,0.0
hong kong |Hong Kong,2014100109,10999,14,0.0012728429857259752
hong kong |Hong Kong,2014100108,14670,15,0.0010224948875255625
hong kong |Hong Kong,2014100107,32104,8,2.4919013207077E-4
hong kong |Hong Kong,2014100210,10300,7,6.796116504854369E-4
hong kong |Hong Kong,2014100211,11008,5,4.5421511627906976E-4
hong kong |Hong Kong,2014100212,11567,5,4.3226419987896605E-4
hong kong |Hong Kong,2014100316,10537,0,0.0
hong kong |Hong Kong,2014100213,10976,4,3.6443148688046647E-4
hong kong |Hong Kong,2014100317,9832,0,0.0
hong kong |Hong Kong,2014100214,12210,11,9.009009009009009E-4
hong kong |Hong Kong,2014100318,9075,3,3.3057851239669424E-4
hong kong |Hong Kong,2014100215,11832,1,8.451656524678837E-5
hong kong |Hong Kong,2014100319,8645,5,5.78368999421631E-4
