ranking |rankings |Ranking,2014100223,8580,0,0.0
ranking |rankings |Ranking,2014100222,12009,0,0.0
ranking |rankings |Ranking,2014100221,14828,1,6.74399784192069E-5
ranking |rankings |Ranking,2014100220,15090,2,1.325381047051027E-4
ranking |rankings |Ranking,2014093023,7216,1,1.385809312638581E-4
ranking |rankings |Ranking,2014093020,2478,0,0.0
ranking |rankings |Ranking,2014093022,2524,0,0.0
ranking |rankings |Ranking,2014093021,2547,0,0.0
ranking |rankings |Ranking,2014100321,9080,0,0.0
ranking |rankings |Ranking,2014100322,8671,1,1.1532695190866105E-4
ranking |rankings |Ranking,2014100320,9381,0,0.0
ranking |rankings |Ranking,2014100323,6929,0,0.0
ranking |rankings |Ranking,2014100123,8836,0,0.0
ranking |rankings |Ranking,2014100122,10378,0,0.0
ranking |rankings |Ranking,2014100121,12311,0,0.0
ranking |rankings |Ranking,2014100200,11724,2,1.70590242238144E-4
ranking |rankings |Ranking,2014100201,6861,0,0.0
ranking |rankings |Ranking,2014100309,9997,4,4.0012003601080324E-4
ranking |rankings |Ranking,2014100307,6926,1,1.4438348252959862E-4
ranking |rankings |Ranking,2014100204,8387,0,0.0
ranking |rankings |Ranking,2014100308,8532,0,0.0
ranking |rankings |Ranking,2014100205,14882,0,0.0
ranking |rankings |Ranking,2014100305,3838,3,7.81657113079729E-4
ranking |rankings |Ranking,2014100202,5853,0,0.0
ranking |rankings |Ranking,2014100306,5526,3,5.428881650380022E-4
ranking |rankings |Ranking,2014100203,5613,0,0.0
ranking |rankings |Ranking,2014100303,5043,0,0.0
ranking |rankings |Ranking,2014100208,9640,30,0.0031120331950207467
ranking |rankings |Ranking,2014100304,4725,1,2.1164021164021165E-4
ranking |rankings |Ranking,2014100209,12321,15,0.0012174336498660824
ranking |rankings |Ranking,2014100301,4480,0,0.0
ranking |rankings |Ranking,2014100206,9203,0,0.0
ranking |rankings |Ranking,2014100302,8095,0,0.0
ranking |rankings |Ranking,2014100207,9445,10,0.0010587612493382743
ranking |rankings |Ranking,2014100300,6707,0,0.0
ranking |rankings |Ranking,2014100106,45483,0,0.0
ranking |rankings |Ranking,2014100105,7742,0,0.0
ranking |rankings |Ranking,2014100104,8731,0,0.0
ranking |rankings |Ranking,2014100103,1127,0,0.0
