thursday |Thursday,2014100223,8580,4,4.662004662004662E-4
thursday |Thursday,2014100222,12009,12,9.992505620784412E-4
thursday |Thursday,2014100221,14828,11,7.41839762611276E-4
thursday |Thursday,2014100220,15090,25,0.0016567263088137839
thursday |Thursday,2014093023,7216,5,6.929046563192905E-4
thursday |Thursday,2014093020,2478,1,4.035512510088781E-4
thursday |Thursday,2014093022,2524,1,3.961965134706815E-4
thursday |Thursday,2014093021,2547,0,0.0
thursday |Thursday,2014100321,9080,2,2.2026431718061675E-4
thursday |Thursday,2014100322,8671,0,0.0
thursday |Thursday,2014100320,9381,3,3.197953309881676E-4
thursday |Thursday,2014100323,6929,0,0.0
thursday |Thursday,2014100123,8836,6,6.79040289723857E-4
thursday |Thursday,2014100122,10378,1,9.635767970707265E-5
thursday |Thursday,2014100121,12311,4,3.2491267971732594E-4
thursday |Thursday,2014100200,11724,5,4.2647560559535994E-4
thursday |Thursday,2014100201,6861,1,1.4575134819997084E-4
thursday |Thursday,2014100309,9997,2,2.0006001800540162E-4
thursday |Thursday,2014100307,6926,1,1.4438348252959862E-4
thursday |Thursday,2014100204,8387,0,0.0
thursday |Thursday,2014100308,8532,2,2.3441162681669012E-4
thursday |Thursday,2014100205,14882,2,1.3439053890606102E-4
thursday |Thursday,2014100305,3838,0,0.0
thursday |Thursday,2014100202,5853,2,3.4170510849137196E-4
thursday |Thursday,2014100306,5526,3,5.428881650380022E-4
thursday |Thursday,2014100203,5613,3,5.344735435595938E-4
thursday |Thursday,2014100303,5043,2,3.96589331746976E-4
thursday |Thursday,2014100208,9640,18,0.0018672199170124482
thursday |Thursday,2014100304,4725,0,0.0
thursday |Thursday,2014100209,12321,23,0.0018667315964613262
thursday |Thursday,2014100301,4480,0,0.0
thursday |Thursday,2014100206,9203,17,0.0018472237313919375
thursday |Thursday,2014100302,8095,1,1.2353304508956145E-4
thursday |Thursday,2014100207,9445,11,0.0011646373742721016
thursday |Thursday,2014100300,6707,14,0.0020873714030117787
thursday |Thursday,2014100106,45483,1,2.198623661587846E-5
thursday |Thursday,2014100105,7742,0,0.0
thursday |Thursday,2014100104,8731,0,0.0
thursday |Thursday,2014100103,1127,0,0.0
thursday |Thursday,2014100102,2940,0,0.0
thursday |Thursday,2014100101,3598,1,2.7793218454697053E-4
thursday |Thursday,2014100100,1816,1,5.506607929515419E-4
thursday |Thursday,2014100109,10999,5,4.545867806164197E-4
thursday |Thursday,2014100108,14670,6,4.0899795501022495E-4
thursday |Thursday,2014100107,32104,4,1.24595066035385E-4
thursday |Thursday,2014100210,10300,11,0.0010679611650485437
thursday |Thursday,2014100211,11008,6,5.450581395348837E-4
