pick |picks |pick,2014100223,8580,12,0.0013986013986013986
pick |picks |pick,2014100222,12009,25,0.0020817720043300857
pick |picks |pick,2014100221,14828,29,0.001955759374157
pick |picks |pick,2014100220,15090,44,0.0029158383035122596
pick |picks |pick,2014093023,7216,17,0.0023558758314855877
pick |picks |pick,2014093020,2478,6,0.002421307506053269
pick |picks |pick,2014093022,2524,8,0.003169572107765452
pick |picks |pick,2014093021,2547,6,0.002355712603062426
pick |picks |pick,2014100321,9080,16,0.001762114537444934
pick |picks |pick,2014100322,8671,15,0.0017299042786299158
pick |picks |pick,2014100320,9381,17,0.001812173542266283
pick |picks |pick,2014100323,6929,9,0.0012988887285322558
pick |picks |pick,2014100123,8836,9,0.0010185604345857855
pick |picks |pick,2014100122,10378,17,0.0016380805550202352
pick |picks |pick,2014100121,12311,33,0.002680529607667939
pick |picks |pick,2014100200,11724,5,4.2647560559535994E-4
pick |picks |pick,2014100201,6861,2,2.915026963999417E-4
pick |picks |pick,2014100309,9997,40,0.004001200360108033
pick |picks |pick,2014100307,6926,12,0.0017326017903551833
pick |picks |pick,2014100204,8387,1,1.192321449862883E-4
pick |picks |pick,2014100308,8532,11,0.0012892639474917957
pick |picks |pick,2014100205,14882,2,1.3439053890606102E-4
pick |picks |pick,2014100305,3838,15,0.0039082855653986455
pick |picks |pick,2014100202,5853,3,5.125576627370579E-4
pick |picks |pick,2014100306,5526,4,7.238508867173362E-4
pick |picks |pick,2014100203,5613,1,1.7815784785319794E-4
pick |picks |pick,2014100303,5043,3,5.94883997620464E-4
pick |picks |pick,2014100208,9640,37,0.003838174273858921
pick |picks |pick,2014100304,4725,0,0.0
pick |picks |pick,2014100209,12321,9,7.304601899196494E-4
pick |picks |pick,2014100301,4480,3,6.696428571428571E-4
pick |picks |pick,2014100206,9203,7,7.606215364555037E-4
pick |picks |pick,2014100302,8095,3,3.705991352686844E-4
pick |picks |pick,2014100207,9445,11,0.0011646373742721016
pick |picks |pick,2014100300,6707,5,7.45489786789921E-4
pick |picks |pick,2014100106,45483,5,1.099311830793923E-4
pick |picks |pick,2014100105,7742,1,1.291655902867476E-4
pick |picks |pick,2014100104,8731,0,0.0
pick |picks |pick,2014100103,1127,0,0.0
pick |picks |pick,2014100102,2940,2,6.802721088435374E-4
pick |picks |pick,2014100101,3598,0,0.0
pick |picks |pick,2014100100,1816,2,0.0011013215859030838
pick |picks |pick,2014100109,10999,18,0.0016365124102191108
pick |picks |pick,2014100108,14670,17,0.0011588275391956374
pick |picks |pick,2014100107,32104,4,1.24595066035385E-4
pick |picks |pick,2014100210,10300,11,0.0010679611650485437
pick |picks |pick,2014100211,11008,15,0.0013626453488372093
pick |picks |pick,2014100212,11567,26,0.002247773839370623
pick |picks |pick,2014100316,10537,17,0.0016133624371263168
pick |picks |pick,2014100213,10976,45,0.004099854227405247
pick |picks |pick,2014100317,9832,48,0.004882017900732303
pick |picks |pick,2014100214,12210,18,0.0014742014742014742
pick |picks |pick,2014100318,9075,53,0.005840220385674931
pick |picks |pick,2014100215,11832,22,0.0018593644354293441
pick |picks |pick,2014100319,8645,26,0.0030075187969924814
pick |picks |pick,2014100216,10725,24,0.0022377622377622378
pick |picks |pick,2014100312,10661,43,0.004033392739893068
pick |picks |pick,2014100217,9835,32,0.003253685815963396
pick |picks |pick,2014100313,9887,21,0.0021240012137149792
pick |picks |pick,2014100218,9907,19,0.0019178358736247098
pick |picks |pick,2014100314,9820,23,0.0023421588594704683
pick |picks |pick,2014100219,11100,31,0.002792792792792793
pick |picks |pick,2014100420,8163,14,0.0017150557393115276
pick |picks |pick,2014100315,10271,24,0.0023366760782786485
pick |picks |pick,2014100120,12122,37,0.003052301600395974
pick |picks |pick,2014100421,8099,14,0.001728608470181504
pick |picks |pick,2014100422,8432,3,3.557874762808349E-4
pick |picks |pick,2014100423,6306,8,0.0012686330478908975
pick |picks |pick,2014100310,10343,105,0.010151793483515421
pick |picks |pick,2014100311,11400,29,0.002543859649122807
pick |picks |pick,2014100115,14152,21,0.0014838892029395139
pick |picks |pick,2014100114,11535,28,0.0024273948851322065
pick |picks |pick,2014100117,11365,28,0.0024637043554773426
pick |picks |pick,2014100116,10904,15,0.001375641966250917
pick |picks |pick,2014100111,9571,15,0.0015672343537770348
pick |picks |pick,2014100110,9126,16,0.0017532325224632918
pick |picks |pick,2014100823,5727,25,0.004365287235900122
pick |picks |pick,2014100113,11543,26,0.0022524473707008575
pick |picks |pick,2014100822,900,5,0.005555555555555556
pick |picks |pick,2014100112,11651,31,0.002660715818384688
pick |picks |pick,2014100119,11403,28,0.0024554941682013503
pick |picks |pick,2014100118,10294,24,0.0023314552166310474
pick |picks |pick,2014100604,4638,2,4.3122035360068997E-4
pick |picks |pick,2014100605,8675,1,1.1527377521613833E-4
pick |picks |pick,2014100700,5207,7,0.0013443441521029385
pick |picks |pick,2014100914,3191,22,0.006894390473205891
pick |picks |pick,2014100602,8176,5,6.11545988258317E-4
pick |picks |pick,2014100915,1000,18,0.018
pick |picks |pick,2014100603,9384,3,3.1969309462915604E-4
pick |picks |pick,2014100912,2545,10,0.003929273084479371
pick |picks |pick,2014100608,13680,8,5.847953216374269E-4
pick |picks |pick,2014100913,6771,24,0.003544528134692069
pick |picks |pick,2014100609,13287,20,0.0015052306766011891
pick |picks |pick,2014100810,6053,36,0.005947464067404593
pick |picks |pick,2014100606,4334,3,6.922011998154131E-4
pick |picks |pick,2014100607,6194,7,0.0011301259283177268
pick |picks |pick,2014100707,4802,8,0.001665972511453561
pick |picks |pick,2014100813,7061,25,0.003540574989378275
pick |picks |pick,2014100708,5400,25,0.004629629629629629
pick |picks |pick,2014100814,6011,18,0.002994510064881051
pick |picks |pick,2014100705,2740,1,3.64963503649635E-4
pick |picks |pick,2014100811,6604,38,0.005754088431253785
pick |picks |pick,2014100706,3398,3,8.828722778104767E-4
pick |picks |pick,2014100812,5896,41,0.006953867028493894
pick |picks |pick,2014100817,6743,25,0.0037075485688862525
pick |picks |pick,2014100600,15771,12,7.608902415826517E-4
pick |picks |pick,2014100703,5792,3,5.179558011049724E-4
pick |picks |pick,2014100818,7400,31,0.004189189189189189
pick |picks |pick,2014100601,8669,18,0.0020763640558311225
pick |picks |pick,2014100704,3010,3,9.966777408637873E-4
pick |picks |pick,2014100815,5628,12,0.0021321961620469083
pick |picks |pick,2014100701,13455,1,7.432181345224824E-5
pick |picks |pick,2014100816,7857,77,0.00980017818505791
pick |picks |pick,2014100702,8524,2,2.346316283435007E-4
pick |picks |pick,2014100509,9287,6,6.460643910843114E-4
pick |picks |pick,2014100508,6498,3,4.616805170821791E-4
pick |picks |pick,2014100819,4300,18,0.004186046511627907
pick |picks |pick,2014100507,16911,3,1.7739932588256165E-4
pick |picks |pick,2014100403,6749,3,4.4451029782189953E-4
pick |picks |pick,2014100506,11836,2,1.6897600540723216E-4
pick |picks |pick,2014100402,6613,3,4.536518977771057E-4
pick |picks |pick,2014100505,6487,3,4.624633883150917E-4
pick |picks |pick,2014100401,4570,3,6.564551422319475E-4
pick |picks |pick,2014100504,3861,1,2.59000259000259E-4
pick |picks |pick,2014100400,5285,9,0.0017029328287606433
pick |picks |pick,2014100503,4540,3,6.607929515418502E-4
pick |picks |pick,2014100709,5572,33,0.0059224694903086865
pick |picks |pick,2014100407,7111,9,0.0012656447756996202
pick |picks |pick,2014100406,10763,1,9.2910898448388E-5
pick |picks |pick,2014100501,6148,5,8.132726089785296E-4
pick |picks |pick,2014100405,10366,2,1.9293845263360988E-4
pick |picks |pick,2014100500,11540,4,3.466204506065858E-4
pick |picks |pick,2014100404,3086,0,0.0
pick |picks |pick,2014100409,9932,16,0.0016109544905356424
pick |picks |pick,2014100408,10458,10,9.562057754828839E-4
pick |picks |pick,2014100903,4141,2,4.829751267809708E-4
pick |picks |pick,2014100613,12260,51,0.004159869494290375
pick |picks |pick,2014100904,4854,1,2.0601565718994644E-4
pick |picks |pick,2014100614,10247,35,0.0034156338440519177
pick |picks |pick,2014100905,7777,3,3.8575286100038574E-4
pick |picks |pick,2014100615,8801,61,0.0069310305647085554
pick |picks |pick,2014100710,7431,36,0.004844570044408559
pick |picks |pick,2014100906,3505,2,5.706134094151213E-4
pick |picks |pick,2014100616,10833,37,0.0034154897073756115
pick |picks |pick,2014100711,13474,42,0.003117114442630251
pick |picks |pick,2014100617,11523,288,0.02499349127831294
pick |picks |pick,2014100900,3864,11,0.002846790890269151
pick |picks |pick,2014100618,10834,145,0.013383791766660514
pick |picks |pick,2014100901,3052,0,0.0
pick |picks |pick,2014100619,10472,474,0.04526355996944232
pick |picks |pick,2014100902,4916,1,2.034174125305126E-4
pick |picks |pick,2014100716,9756,74,0.007585075850758507
pick |picks |pick,2014100800,3418,1,2.925687536571094E-4
pick |picks |pick,2014100717,12018,43,0.0035779663837576968
pick |picks |pick,2014100801,4912,3,6.107491856677524E-4
pick |picks |pick,2014100718,9824,68,0.006921824104234527
pick |picks |pick,2014100802,4582,0,0.0
pick |picks |pick,2014100719,8904,49,0.00550314465408805
pick |picks |pick,2014100803,4750,1,2.105263157894737E-4
pick |picks |pick,2014100712,10146,49,0.004829489453972009
pick |picks |pick,2014100804,8238,1,1.2138868657441127E-4
pick |picks |pick,2014100610,8565,98,0.01144191476941039
pick |picks |pick,2014100713,7382,58,0.007856949336223246
pick |picks |pick,2014100805,6904,0,0.0
pick |picks |pick,2014100611,8676,36,0.004149377593360996
pick |picks |pick,2014100714,9294,32,0.003443081557994405
pick |picks |pick,2014100806,7696,4,5.197505197505198E-4
pick |picks |pick,2014100612,7761,23,0.0029635356268522097
pick |picks |pick,2014100715,8494,43,0.005062396986107841
pick |picks |pick,2014100807,6298,6,9.52683391552874E-4
pick |picks |pick,2014100519,13547,19,0.001402524544179523
pick |picks |pick,2014100809,5933,18,0.0030338783077700996
pick |picks |pick,2014100518,12589,14,0.0011120819763285408
pick |picks |pick,2014100808,7916,14,0.0017685699848408287
pick |picks |pick,2014100410,8297,13,0.0015668313848378932
pick |picks |pick,2014100412,8252,12,0.001454192922927775
pick |picks |pick,2014100515,6526,11,0.001685565430585351
pick |picks |pick,2014100411,8736,20,0.0022893772893772895
pick |picks |pick,2014100514,7337,8,0.0010903639089546136
pick |picks |pick,2014100414,8029,21,0.0026155187445510027
pick |picks |pick,2014100517,16635,14,8.415990381725278E-4
pick |picks |pick,2014100413,7649,14,0.0018303046149823507
pick |picks |pick,2014100516,7164,30,0.0041876046901172526
pick |picks |pick,2014100416,8535,25,0.0029291154071470417
pick |picks |pick,2014100511,8203,14,0.0017066926734121662
pick |picks |pick,2014100415,9288,10,0.0010766580534022395
pick |picks |pick,2014100510,7389,18,0.00243605359317905
pick |picks |pick,2014100418,8794,8,9.097111667045713E-4
pick |picks |pick,2014100513,8653,6,6.934011325551831E-4
pick |picks |pick,2014100417,9001,11,0.0012220864348405733
pick |picks |pick,2014100512,7658,20,0.0026116479498563593
pick |picks |pick,2014100908,14247,14,9.826630167754616E-4
pick |picks |pick,2014100907,7751,9,0.001161140498000258
pick |picks |pick,2014100419,8630,11,0.0012746234067207416
pick |picks |pick,2014100909,1000,3,0.003
pick |picks |pick,2014100721,11447,47,0.004105879269677645
pick |picks |pick,2014100722,8294,33,0.003978779840848806
pick |picks |pick,2014100720,10198,35,0.003432045499117474
pick |picks |pick,2014100723,5300,15,0.002830188679245283
pick |picks |pick,2014100520,14801,18,0.0012161340449969597
pick |picks |pick,2014100523,12605,20,0.0015866719555731853
pick |picks |pick,2014100522,10915,9,8.245533669262483E-4
pick |picks |pick,2014100521,14363,15,0.0010443500661421708
pick |picks |pick,2014100623,8800,13,0.0014772727272727272
pick |picks |pick,2014100622,9000,30,0.0033333333333333335
pick |picks |pick,2014100621,9007,39,0.004329965582324858
pick |picks |pick,2014100620,8998,86,0.009557679484329852
pick |picks |pick,2014093011,9741,20,0.002053177291859152
pick |picks |pick,2014093012,11191,24,0.0021445804664462515
pick |picks |pick,2014093013,5267,28,0.005316119232959939
pick |picks |pick,2014093017,3899,15,0.003847140292382662
pick |picks |pick,2014093018,99,1,0.010101010101010102
pick |picks |pick,2014093019,8564,28,0.003269500233535731
