blake |Blake,2014100223,8580,9,0.001048951048951049
blake |Blake,2014100222,12009,25,0.0020817720043300857
blake |Blake,2014100221,14828,103,0.006946317777178311
blake |Blake,2014100220,15090,138,0.009145129224652087
blake |Blake,2014093023,7216,1,1.385809312638581E-4
blake |Blake,2014093020,2478,0,0.0
blake |Blake,2014093022,2524,1,3.961965134706815E-4
blake |Blake,2014093021,2547,1,3.9261876717707107E-4
blake |Blake,2014100321,9080,8,8.81057268722467E-4
blake |Blake,2014100322,8671,5,5.766347595433052E-4
blake |Blake,2014100320,9381,7,7.461891056390577E-4
blake |Blake,2014100323,6929,1,1.443209698369173E-4
blake |Blake,2014100123,8836,1,1.1317338162064282E-4
blake |Blake,2014100122,10378,3,2.8907303912121797E-4
blake |Blake,2014100121,12311,6,4.8736901957598897E-4
blake |Blake,2014100200,11724,2,1.70590242238144E-4
blake |Blake,2014100201,6861,0,0.0
blake |Blake,2014100309,9997,24,0.0024007202160648195
blake |Blake,2014100307,6926,7,0.0010106843777071904
blake |Blake,2014100204,8387,0,0.0
blake |Blake,2014100308,8532,27,0.0031645569620253164
blake |Blake,2014100205,14882,0,0.0
blake |Blake,2014100305,3838,2,5.211047420531526E-4
blake |Blake,2014100202,5853,0,0.0
blake |Blake,2014100306,5526,3,5.428881650380022E-4
blake |Blake,2014100203,5613,0,0.0
blake |Blake,2014100303,5043,0,0.0
blake |Blake,2014100208,9640,0,0.0
blake |Blake,2014100304,4725,0,0.0
blake |Blake,2014100209,12321,0,0.0
blake |Blake,2014100301,4480,1,2.232142857142857E-4
blake |Blake,2014100206,9203,0,0.0
blake |Blake,2014100302,8095,1,1.2353304508956145E-4
blake |Blake,2014100207,9445,0,0.0
blake |Blake,2014100300,6707,1,1.490979573579842E-4
blake |Blake,2014100106,45483,0,0.0
blake |Blake,2014100105,7742,0,0.0
blake |Blake,2014100104,8731,0,0.0
blake |Blake,2014100103,1127,0,0.0
blake |Blake,2014100102,2940,1,3.401360544217687E-4
blake |Blake,2014100101,3598,0,0.0
blake |Blake,2014100100,1816,0,0.0
blake |Blake,2014100109,10999,0,0.0
blake |Blake,2014100108,14670,0,0.0
blake |Blake,2014100107,32104,0,0.0
blake |Blake,2014100210,10300,0,0.0
blake |Blake,2014100211,11008,1,9.084302325581395E-5
blake |Blake,2014100212,11567,0,0.0
blake |Blake,2014100316,10537,10,9.490367277213628E-4
blake |Blake,2014100213,10976,1,9.110787172011662E-5
blake |Blake,2014100317,9832,12,0.0012205044751830757
blake |Blake,2014100214,12210,3,2.457002457002457E-4
blake |Blake,2014100318,9075,22,0.0024242424242424242
blake |Blake,2014100215,11832,7,5.916159567275186E-4
blake |Blake,2014100319,8645,12,0.0013880855986119144
blake |Blake,2014100216,10725,2,1.8648018648018648E-4
blake |Blake,2014100312,10661,45,0.004220992402213676
blake |Blake,2014100217,9835,2,2.0335536349771224E-4
blake |Blake,2014100313,9887,33,0.003337716192980682
blake |Blake,2014100218,9907,2,2.018774603815484E-4
blake |Blake,2014100314,9820,21,0.002138492871690428
blake |Blake,2014100219,11100,49,0.004414414414414414
blake |Blake,2014100420,8163,0,0.0
blake |Blake,2014100315,10271,21,0.0020445915684938177
blake |Blake,2014100120,12122,77,0.006352087114337568
blake |Blake,2014100421,8099,4,4.938881343375726E-4
blake |Blake,2014100422,8432,1,1.1859582542694497E-4
blake |Blake,2014100423,6306,1,1.585791309863622E-4
blake |Blake,2014100310,10343,15,0.0014502562119307744
blake |Blake,2014100311,11400,46,0.004035087719298246
blake |Blake,2014100115,14152,0,0.0
blake |Blake,2014100114,11535,2,1.7338534893801473E-4
blake |Blake,2014100117,11365,0,0.0
blake |Blake,2014100116,10904,0,0.0
blake |Blake,2014100111,9571,1,1.0448229025180232E-4
blake |Blake,2014100110,9126,2,2.1915406530791147E-4
blake |Blake,2014100823,5727,0,0.0
blake |Blake,2014100113,11543,3,2.5989777354240665E-4
blake |Blake,2014100822,900,0,0.0
blake |Blake,2014100112,11651,2,1.7165908505707665E-4
blake |Blake,2014100119,11403,26,0.00228010172761554
blake |Blake,2014100118,10294,2,1.9428793471925395E-4
blake |Blake,2014100604,4638,0,0.0
blake |Blake,2014100605,8675,0,0.0
blake |Blake,2014100700,5207,8,0.0015363933166890724
blake |Blake,2014100914,3191,0,0.0
blake |Blake,2014100602,8176,0,0.0
blake |Blake,2014100915,1000,0,0.0
blake |Blake,2014100603,9384,0,0.0
blake |Blake,2014100912,2545,0,0.0
blake |Blake,2014100608,13680,5,3.654970760233918E-4
blake |Blake,2014100913,6771,0,0.0
blake |Blake,2014100609,13287,1,7.526153383005946E-5
blake |Blake,2014100810,6053,4,6.608293408227325E-4
blake |Blake,2014100606,4334,0,0.0
blake |Blake,2014100607,6194,0,0.0
blake |Blake,2014100707,4802,4,8.329862557267805E-4
blake |Blake,2014100813,7061,3,4.24868998725393E-4
blake |Blake,2014100708,5400,4,7.407407407407407E-4
blake |Blake,2014100814,6011,3,4.990850108135085E-4
blake |Blake,2014100705,2740,2,7.2992700729927E-4
blake |Blake,2014100811,6604,3,4.542701393095094E-4
blake |Blake,2014100706,3398,0,0.0
blake |Blake,2014100812,5896,0,0.0
blake |Blake,2014100817,6743,3,4.449058282663503E-4
blake |Blake,2014100600,15771,0,0.0
blake |Blake,2014100703,5792,2,3.453038674033149E-4
blake |Blake,2014100818,7400,2,2.702702702702703E-4
blake |Blake,2014100601,8669,0,0.0
blake |Blake,2014100704,3010,0,0.0
blake |Blake,2014100815,5628,3,5.330490405117271E-4
blake |Blake,2014100701,13455,4,2.9728725380899295E-4
blake |Blake,2014100816,7857,0,0.0
blake |Blake,2014100702,8524,0,0.0
blake |Blake,2014100509,9287,5,5.383869925702595E-4
blake |Blake,2014100508,6498,1,1.538935056940597E-4
blake |Blake,2014100819,4300,2,4.6511627906976747E-4
blake |Blake,2014100507,16911,2,1.182662172550411E-4
blake |Blake,2014100403,6749,0,0.0
blake |Blake,2014100506,11836,0,0.0
blake |Blake,2014100402,6613,0,0.0
blake |Blake,2014100505,6487,0,0.0
blake |Blake,2014100401,4570,1,2.188183807439825E-4
blake |Blake,2014100504,3861,0,0.0
blake |Blake,2014100400,5285,2,3.784295175023652E-4
blake |Blake,2014100503,4540,0,0.0
blake |Blake,2014100709,5572,6,0.0010768126346015793
blake |Blake,2014100407,7111,4,5.625087891998312E-4
blake |Blake,2014100406,10763,1,9.2910898448388E-5
blake |Blake,2014100501,6148,1,1.6265452179570593E-4
blake |Blake,2014100405,10366,0,0.0
blake |Blake,2014100500,11540,0,0.0
blake |Blake,2014100404,3086,0,0.0
blake |Blake,2014100409,9932,2,2.013693113169553E-4
blake |Blake,2014100408,10458,9,8.605851979345956E-4
blake |Blake,2014100903,4141,0,0.0
blake |Blake,2014100613,12260,0,0.0
blake |Blake,2014100904,4854,1,2.0601565718994644E-4
blake |Blake,2014100614,10247,2,1.9517907680296673E-4
blake |Blake,2014100905,7777,0,0.0
blake |Blake,2014100615,8801,5,5.681172594023407E-4
blake |Blake,2014100710,7431,13,0.0017494280715919794
blake |Blake,2014100906,3505,0,0.0
blake |Blake,2014100616,10833,5,4.615526631588664E-4
blake |Blake,2014100711,13474,10,7.421701053881549E-4
blake |Blake,2014100617,11523,7,6.074806907923284E-4
blake |Blake,2014100900,3864,0,0.0
blake |Blake,2014100618,10834,15,0.0013845301827579842
blake |Blake,2014100901,3052,0,0.0
blake |Blake,2014100619,10472,105,0.010026737967914439
blake |Blake,2014100902,4916,0,0.0
blake |Blake,2014100716,9756,3,3.075030750307503E-4
blake |Blake,2014100800,3418,1,2.925687536571094E-4
blake |Blake,2014100717,12018,8,6.656681644200366E-4
blake |Blake,2014100801,4912,0,0.0
blake |Blake,2014100718,9824,4,4.0716612377850165E-4
blake |Blake,2014100802,4582,0,0.0
blake |Blake,2014100719,8904,9,0.0010107816711590297
blake |Blake,2014100803,4750,1,2.105263157894737E-4
blake |Blake,2014100712,10146,14,0.0013798541297062883
blake |Blake,2014100804,8238,0,0.0
blake |Blake,2014100610,8565,4,4.670169293636894E-4
blake |Blake,2014100713,7382,5,6.77323218639935E-4
blake |Blake,2014100805,6904,1,1.4484356894553882E-4
blake |Blake,2014100611,8676,1,1.152604887044721E-4
blake |Blake,2014100714,9294,5,5.379814934366257E-4
blake |Blake,2014100806,7696,0,0.0
blake |Blake,2014100612,7761,5,6.442468754026543E-4
blake |Blake,2014100715,8494,3,3.531904874028726E-4
blake |Blake,2014100807,6298,0,0.0
blake |Blake,2014100519,13547,5,3.690854063630324E-4
blake |Blake,2014100809,5933,0,0.0
blake |Blake,2014100518,12589,1,7.943442688061006E-5
blake |Blake,2014100808,7916,0,0.0
blake |Blake,2014100410,8297,3,3.615764734241292E-4
blake |Blake,2014100412,8252,1,1.211827435773146E-4
blake |Blake,2014100515,6526,1,1.5323322096230462E-4
blake |Blake,2014100411,8736,0,0.0
blake |Blake,2014100514,7337,0,0.0
blake |Blake,2014100414,8029,3,3.736455349358575E-4
blake |Blake,2014100517,16635,3,1.8034265103697024E-4
blake |Blake,2014100413,7649,1,1.3073604392731077E-4
blake |Blake,2014100516,7164,7,9.77107761027359E-4
blake |Blake,2014100416,8535,1,1.1716461628588167E-4
blake |Blake,2014100511,8203,1,1.2190661952944045E-4
blake |Blake,2014100415,9288,0,0.0
blake |Blake,2014100510,7389,3,4.060089321965083E-4
blake |Blake,2014100418,8794,0,0.0
blake |Blake,2014100513,8653,1,1.1556685542586386E-4
blake |Blake,2014100417,9001,9,9.998889012331964E-4
blake |Blake,2014100512,7658,1,1.3058239749281798E-4
blake |Blake,2014100908,14247,0,0.0
blake |Blake,2014100907,7751,1,1.2901561088891756E-4
blake |Blake,2014100419,8630,3,3.476245654692932E-4
blake |Blake,2014100909,1000,0,0.0
blake |Blake,2014100721,11447,4,3.494365335895868E-4
blake |Blake,2014100722,8294,4,4.822763443453099E-4
blake |Blake,2014100720,10198,2,1.9611688566385565E-4
blake |Blake,2014100723,5300,1,1.8867924528301886E-4
blake |Blake,2014100520,14801,16,0.0010810080399972974
blake |Blake,2014100523,12605,2,1.5866719555731853E-4
blake |Blake,2014100522,10915,1,9.161704076958314E-5
blake |Blake,2014100521,14363,1,6.962333774281139E-5
blake |Blake,2014100623,8800,11,0.00125
blake |Blake,2014100622,9000,7,7.777777777777777E-4
blake |Blake,2014100621,9007,10,0.001110247585211502
blake |Blake,2014100620,8998,27,0.003000666814847744
blake |Blake,2014093011,9741,0,0.0
blake |Blake,2014093012,11191,1,8.935751943526048E-5
blake |Blake,2014093013,5267,0,0.0
blake |Blake,2014093017,3899,0,0.0
blake |Blake,2014093018,99,0,0.0
blake |Blake,2014093019,8564,1,1.1676786548341896E-4
