flower |Flowers |Flower,2014100223,8580,75,0.008741258741258742
flower |Flowers |Flower,2014100222,12009,312,0.025980514614039472
flower |Flowers |Flower,2014100221,14828,450,0.030347990288643108
flower |Flowers |Flower,2014100220,15090,23,0.0015241882041086812
flower |Flowers |Flower,2014093023,7216,5,6.929046563192905E-4
flower |Flowers |Flower,2014093020,2478,0,0.0
flower |Flowers |Flower,2014093022,2524,1,3.961965134706815E-4
flower |Flowers |Flower,2014093021,2547,10,0.0039261876717707105
flower |Flowers |Flower,2014100321,9080,13,0.0014317180616740088
flower |Flowers |Flower,2014100322,8671,11,0.0012685964709952715
flower |Flowers |Flower,2014100320,9381,23,0.002451764204242618
flower |Flowers |Flower,2014100323,6929,9,0.0012988887285322558
flower |Flowers |Flower,2014100123,8836,1,1.1317338162064282E-4
flower |Flowers |Flower,2014100122,10378,3,2.8907303912121797E-4
flower |Flowers |Flower,2014100121,12311,7,5.685971895053204E-4
flower |Flowers |Flower,2014100200,11724,3,2.5588536335721597E-4
flower |Flowers |Flower,2014100201,6861,1,1.4575134819997084E-4
flower |Flowers |Flower,2014100309,9997,52,0.005201560468140442
flower |Flowers |Flower,2014100307,6926,47,0.006786023678891135
flower |Flowers |Flower,2014100204,8387,0,0.0
flower |Flowers |Flower,2014100308,8532,51,0.005977496483825597
flower |Flowers |Flower,2014100205,14882,0,0.0
flower |Flowers |Flower,2014100305,3838,8,0.0020844189682126106
flower |Flowers |Flower,2014100202,5853,2,3.4170510849137196E-4
flower |Flowers |Flower,2014100306,5526,50,0.009048136083966703
flower |Flowers |Flower,2014100203,5613,0,0.0
flower |Flowers |Flower,2014100303,5043,4,7.93178663493952E-4
flower |Flowers |Flower,2014100208,9640,1,1.037344398340249E-4
flower |Flowers |Flower,2014100304,4725,1,2.1164021164021165E-4
flower |Flowers |Flower,2014100209,12321,7,5.681357032708384E-4
flower |Flowers |Flower,2014100301,4480,15,0.0033482142857142855
flower |Flowers |Flower,2014100206,9203,0,0.0
flower |Flowers |Flower,2014100302,8095,5,6.176652254478073E-4
flower |Flowers |Flower,2014100207,9445,1,1.0587612493382742E-4
flower |Flowers |Flower,2014100300,6707,36,0.005367526464887431
flower |Flowers |Flower,2014100106,45483,3,6.595870984763538E-5
flower |Flowers |Flower,2014100105,7742,0,0.0
flower |Flowers |Flower,2014100104,8731,0,0.0
flower |Flowers |Flower,2014100103,1127,0,0.0
flower |Flowers |Flower,2014100102,2940,1,3.401360544217687E-4
flower |Flowers |Flower,2014100101,3598,1,2.7793218454697053E-4
flower |Flowers |Flower,2014100100,1816,0,0.0
flower |Flowers |Flower,2014100109,10999,2,1.8183471224656787E-4
flower |Flowers |Flower,2014100108,14670,1,6.81663258350375E-5
flower |Flowers |Flower,2014100107,32104,4,1.24595066035385E-4
flower |Flowers |Flower,2014100210,10300,7,6.796116504854369E-4
flower |Flowers |Flower,2014100211,11008,0,0.0
flower |Flowers |Flower,2014100212,11567,2,1.729056799515864E-4
flower |Flowers |Flower,2014100316,10537,30,0.0028471101831640884
flower |Flowers |Flower,2014100213,10976,4,3.6443148688046647E-4
flower |Flowers |Flower,2014100317,9832,31,0.0031529698942229455
flower |Flowers |Flower,2014100214,12210,3,2.457002457002457E-4
flower |Flowers |Flower,2014100318,9075,25,0.0027548209366391185
flower |Flowers |Flower,2014100215,11832,4,3.380662609871535E-4
flower |Flowers |Flower,2014100319,8645,14,0.0016194331983805667
flower |Flowers |Flower,2014100216,10725,3,2.797202797202797E-4
flower |Flowers |Flower,2014100312,10661,16,0.0015007972985648626
flower |Flowers |Flower,2014100217,9835,0,0.0
flower |Flowers |Flower,2014100313,9887,25,0.0025285728734702135
