worker |Workers |workers,2014100223,8580,0,0.0
worker |Workers |workers,2014100222,12009,1,8.327088017320343E-5
worker |Workers |workers,2014100221,14828,0,0.0
worker |Workers |workers,2014100220,15090,8,5.301524188204108E-4
worker |Workers |workers,2014093023,7216,3,4.157427937915743E-4
worker |Workers |workers,2014093020,2478,1,4.035512510088781E-4
worker |Workers |workers,2014093022,2524,1,3.961965134706815E-4
worker |Workers |workers,2014093021,2547,0,0.0
worker |Workers |workers,2014100321,9080,27,0.002973568281938326
worker |Workers |workers,2014100322,8671,28,0.0032291546534425094
worker |Workers |workers,2014100320,9381,31,0.003304551753544398
worker |Workers |workers,2014100323,6929,7,0.001010246788858421
worker |Workers |workers,2014100123,8836,3,3.395201448619285E-4
worker |Workers |workers,2014100122,10378,3,2.8907303912121797E-4
worker |Workers |workers,2014100121,12311,6,4.8736901957598897E-4
worker |Workers |workers,2014100200,11724,1,8.5295121119072E-5
worker |Workers |workers,2014100201,6861,0,0.0
worker |Workers |workers,2014100309,9997,78,0.007802340702210663
worker |Workers |workers,2014100307,6926,3,4.331504475887958E-4
worker |Workers |workers,2014100204,8387,0,0.0
worker |Workers |workers,2014100308,8532,7,8.204406938584154E-4
worker |Workers |workers,2014100205,14882,0,0.0
worker |Workers |workers,2014100305,3838,1,2.605523710265763E-4
worker |Workers |workers,2014100202,5853,1,1.7085255424568598E-4
worker |Workers |workers,2014100306,5526,8,0.0014477017734346724
worker |Workers |workers,2014100203,5613,0,0.0
worker |Workers |workers,2014100303,5043,1,1.98294665873488E-4
worker |Workers |workers,2014100208,9640,4,4.149377593360996E-4
worker |Workers |workers,2014100304,4725,0,0.0
worker |Workers |workers,2014100209,12321,4,3.2464897329762194E-4
worker |Workers |workers,2014100301,4480,4,8.928571428571428E-4
worker |Workers |workers,2014100206,9203,5,5.433010974682169E-4
worker |Workers |workers,2014100302,8095,2,2.470660901791229E-4
worker |Workers |workers,2014100207,9445,7,7.41132874536792E-4
worker |Workers |workers,2014100300,6707,2,2.981959147159684E-4
worker |Workers |workers,2014100106,45483,0,0.0
worker |Workers |workers,2014100105,7742,1,1.291655902867476E-4
worker |Workers |workers,2014100104,8731,1,1.1453441759248655E-4
worker |Workers |workers,2014100103,1127,0,0.0
worker |Workers |workers,2014100102,2940,0,0.0
worker |Workers |workers,2014100101,3598,1,2.7793218454697053E-4
worker |Workers |workers,2014100100,1816,2,0.0011013215859030838
worker |Workers |workers,2014100109,10999,8,7.273388489862715E-4
worker |Workers |workers,2014100108,14670,5,3.4083162917518747E-4
worker |Workers |workers,2014100107,32104,2,6.22975330176925E-5
worker |Workers |workers,2014100210,10300,4,3.883495145631068E-4
worker |Workers |workers,2014100211,11008,9,8.175872093023256E-4
worker |Workers |workers,2014100212,11567,9,7.780755597821389E-4
worker |Workers |workers,2014100316,10537,18,0.0017082661098984531
worker |Workers |workers,2014100213,10976,6,5.466472303206997E-4
worker |Workers |workers,2014100317,9832,21,0.0021358828315703824
worker |Workers |workers,2014100214,12210,5,4.095004095004095E-4
worker |Workers |workers,2014100318,9075,27,0.0029752066115702478
worker |Workers |workers,2014100215,11832,4,3.380662609871535E-4
worker |Workers |workers,2014100319,8645,46,0.005320994794679005
worker |Workers |workers,2014100216,10725,12,0.0011188811188811189
worker |Workers |workers,2014100312,10661,62,0.005815589531938842
worker |Workers |workers,2014100217,9835,16,0.001626842907981698
worker |Workers |workers,2014100313,9887,14,0.0014160008091433196
worker |Workers |workers,2014100218,9907,7,7.065711113354194E-4
worker |Workers |workers,2014100314,9820,21,0.002138492871690428
worker |Workers |workers,2014100219,11100,13,0.0011711711711711711
worker |Workers |workers,2014100420,8163,17,0.002082567683449712
worker |Workers |workers,2014100315,10271,21,0.0020445915684938177
