monday |Monday,2014100223,8580,2,2.331002331002331E-4
monday |Monday,2014100222,12009,13,0.0010825214422516445
monday |Monday,2014100221,14828,5,3.371998920960345E-4
monday |Monday,2014100220,15090,7,4.6388336646785953E-4
monday |Monday,2014093023,7216,2,2.771618625277162E-4
monday |Monday,2014093020,2478,1,4.035512510088781E-4
monday |Monday,2014093022,2524,3,0.0011885895404120444
monday |Monday,2014093021,2547,3,0.001177856301531213
monday |Monday,2014100321,9080,8,8.81057268722467E-4
monday |Monday,2014100322,8671,12,0.0013839234229039326
monday |Monday,2014100320,9381,10,0.0010659844366272253
monday |Monday,2014100323,6929,9,0.0012988887285322558
monday |Monday,2014100123,8836,4,4.526935264825713E-4
monday |Monday,2014100122,10378,6,5.781460782424359E-4
monday |Monday,2014100121,12311,7,5.685971895053204E-4
monday |Monday,2014100200,11724,3,2.5588536335721597E-4
monday |Monday,2014100201,6861,1,1.4575134819997084E-4
monday |Monday,2014100309,9997,6,6.001800540162049E-4
monday |Monday,2014100307,6926,4,5.775339301183945E-4
monday |Monday,2014100204,8387,2,2.384642899725766E-4
monday |Monday,2014100308,8532,2,2.3441162681669012E-4
monday |Monday,2014100205,14882,0,0.0
monday |Monday,2014100305,3838,0,0.0
monday |Monday,2014100202,5853,2,3.4170510849137196E-4
monday |Monday,2014100306,5526,2,3.619254433586681E-4
monday |Monday,2014100203,5613,2,3.563156957063959E-4
monday |Monday,2014100303,5043,4,7.93178663493952E-4
monday |Monday,2014100208,9640,1,1.037344398340249E-4
monday |Monday,2014100304,4725,5,0.0010582010582010583
monday |Monday,2014100209,12321,2,1.6232448664881097E-4
monday |Monday,2014100301,4480,3,6.696428571428571E-4
monday |Monday,2014100206,9203,0,0.0
monday |Monday,2014100302,8095,1,1.2353304508956145E-4
monday |Monday,2014100207,9445,2,2.1175224986765483E-4
monday |Monday,2014100300,6707,4,5.963918294319368E-4
monday |Monday,2014100106,45483,4,8.794494646351384E-5
monday |Monday,2014100105,7742,2,2.583311805734952E-4
monday |Monday,2014100104,8731,0,0.0
monday |Monday,2014100103,1127,1,8.873114463176575E-4
monday |Monday,2014100102,2940,1,3.401360544217687E-4
monday |Monday,2014100101,3598,3,8.337965536409116E-4
monday |Monday,2014100100,1816,0,0.0
monday |Monday,2014100109,10999,8,7.273388489862715E-4
monday |Monday,2014100108,14670,5,3.4083162917518747E-4
monday |Monday,2014100107,32104,1,3.114876650884625E-5
monday |Monday,2014100210,10300,10,9.70873786407767E-4
monday |Monday,2014100211,11008,12,0.0010901162790697674
monday |Monday,2014100212,11567,8,6.916227198063456E-4
monday |Monday,2014100316,10537,5,4.745183638606814E-4
monday |Monday,2014100213,10976,5,4.5553935860058307E-4
monday |Monday,2014100317,9832,4,4.068348250610252E-4
monday |Monday,2014100214,12210,10,8.19000819000819E-4
monday |Monday,2014100318,9075,4,4.4077134986225897E-4
monday |Monday,2014100215,11832,4,3.380662609871535E-4
