security |Security |security,2014100223,8580,64,0.007459207459207459
security |Security |security,2014100222,12009,80,0.0066616704138562745
security |Security |security,2014100221,14828,14,9.441596978688966E-4
security |Security |security,2014100220,15090,26,0.0017229953611663353
security |Security |security,2014093023,7216,19,0.002633037694013304
security |Security |security,2014093020,2478,6,0.002421307506053269
security |Security |security,2014093022,2524,2,7.92393026941363E-4
security |Security |security,2014093021,2547,1,3.9261876717707107E-4
security |Security |security,2014100321,9080,8,8.81057268722467E-4
security |Security |security,2014100322,8671,6,6.919617114519663E-4
security |Security |security,2014100320,9381,18,0.0019187719859290054
security |Security |security,2014100323,6929,6,8.659258190215039E-4
security |Security |security,2014100123,8836,110,0.01244907197827071
security |Security |security,2014100122,10378,24,0.0023125843129697438
security |Security |security,2014100121,12311,26,0.0021119324181626186
security |Security |security,2014100200,11724,19,0.0016206073012623677
security |Security |security,2014100201,6861,8,0.0011660107855997668
security |Security |security,2014100309,9997,13,0.0013003901170351106
security |Security |security,2014100307,6926,10,0.0014438348252959862
security |Security |security,2014100204,8387,4,4.769285799451532E-4
security |Security |security,2014100308,8532,38,0.004453820909517112
security |Security |security,2014100205,14882,9,6.047574250772745E-4
security |Security |security,2014100305,3838,3,7.81657113079729E-4
security |Security |security,2014100202,5853,3,5.125576627370579E-4
security |Security |security,2014100306,5526,6,0.0010857763300760044
security |Security |security,2014100203,5613,6,0.0010689470871191875
security |Security |security,2014100303,5043,12,0.002379535990481856
security |Security |security,2014100208,9640,40,0.004149377593360996
security |Security |security,2014100304,4725,3,6.349206349206349E-4
security |Security |security,2014100209,12321,40,0.0032464897329762196
security |Security |security,2014100301,4480,6,0.0013392857142857143
security |Security |security,2014100206,9203,19,0.0020645441703792244
security |Security |security,2014100302,8095,12,0.0014823965410747375
security |Security |security,2014100207,9445,33,0.003493912122816305
security |Security |security,2014100300,6707,18,0.0026837632324437154
security |Security |security,2014100106,45483,13,2.8582107600642E-4
security |Security |security,2014100105,7742,2,2.583311805734952E-4
security |Security |security,2014100104,8731,4,4.581376703699462E-4
security |Security |security,2014100103,1127,1,8.873114463176575E-4
security |Security |security,2014100102,2940,0,0.0
security |Security |security,2014100101,3598,4,0.0011117287381878821
security |Security |security,2014100100,1816,0,0.0
security |Security |security,2014100109,10999,24,0.0021820165469588143
security |Security |security,2014100108,14670,37,0.0025221540558963873
security |Security |security,2014100107,32104,44,0.001370545726389235
security |Security |security,2014100210,10300,17,0.0016504854368932038
security |Security |security,2014100211,11008,38,0.0034520348837209303
security |Security |security,2014100212,11567,25,0.00216132099939483
security |Security |security,2014100316,10537,6,5.694220366328176E-4
security |Security |security,2014100213,10976,14,0.0012755102040816326
security |Security |security,2014100317,9832,8,8.136696501220504E-4
security |Security |security,2014100214,12210,12,9.828009828009828E-4
security |Security |security,2014100318,9075,9,9.917355371900827E-4
security |Security |security,2014100215,11832,52,0.004394861392832995
security |Security |security,2014100319,8645,4,4.626951995373048E-4
security |Security |security,2014100216,10725,46,0.004289044289044289
security |Security |security,2014100312,10661,63,0.005909389363099146
security |Security |security,2014100217,9835,30,0.003050330452465684
security |Security |security,2014100313,9887,23,0.0023262870435925963
security |Security |security,2014100218,9907,51,0.005147875239729484
security |Security |security,2014100314,9820,32,0.003258655804480652
security |Security |security,2014100219,11100,32,0.002882882882882883
security |Security |security,2014100420,8163,7,8.575278696557638E-4
security |Security |security,2014100315,10271,10,9.736150326161036E-4
