budget |budget,2014100223,8580,1,1.1655011655011655E-4
budget |budget,2014100222,12009,4,3.330835206928137E-4
budget |budget,2014100221,14828,4,2.697599136768276E-4
budget |budget,2014100220,15090,8,5.301524188204108E-4
budget |budget,2014093023,7216,0,0.0
budget |budget,2014093020,2478,2,8.071025020177562E-4
budget |budget,2014093022,2524,0,0.0
budget |budget,2014093021,2547,1,3.9261876717707107E-4
budget |budget,2014100321,9080,3,3.303964757709251E-4
budget |budget,2014100322,8671,0,0.0
budget |budget,2014100320,9381,3,3.197953309881676E-4
budget |budget,2014100323,6929,1,1.443209698369173E-4
budget |budget,2014100123,8836,4,4.526935264825713E-4
budget |budget,2014100122,10378,2,1.927153594141453E-4
budget |budget,2014100121,12311,5,4.061408496466575E-4
budget |budget,2014100200,11724,2,1.70590242238144E-4
budget |budget,2014100201,6861,1,1.4575134819997084E-4
budget |budget,2014100309,9997,11,0.001100330099029709
budget |budget,2014100307,6926,2,2.8876696505919725E-4
budget |budget,2014100204,8387,1,1.192321449862883E-4
budget |budget,2014100308,8532,22,0.0025785278949835913
budget |budget,2014100205,14882,0,0.0
budget |budget,2014100305,3838,0,0.0
budget |budget,2014100202,5853,2,3.4170510849137196E-4
budget |budget,2014100306,5526,1,1.8096272167933406E-4
budget |budget,2014100203,5613,0,0.0
budget |budget,2014100303,5043,0,0.0
budget |budget,2014100208,9640,23,0.002385892116182573
budget |budget,2014100304,4725,0,0.0
budget |budget,2014100209,12321,17,0.0013797581365148932
budget |budget,2014100301,4480,0,0.0
budget |budget,2014100206,9203,2,2.1732043898728675E-4
budget |budget,2014100302,8095,0,0.0
budget |budget,2014100207,9445,6,6.352567496029645E-4
budget |budget,2014100300,6707,9,0.0013418816162218577
budget |budget,2014100106,45483,0,0.0
budget |budget,2014100105,7742,1,1.291655902867476E-4
budget |budget,2014100104,8731,0,0.0
budget |budget,2014100103,1127,0,0.0
budget |budget,2014100102,2940,0,0.0
budget |budget,2014100101,3598,0,0.0
budget |budget,2014100100,1816,0,0.0
budget |budget,2014100109,10999,9,8.182562051095554E-4
budget |budget,2014100108,14670,2,1.36332651670075E-4
budget |budget,2014100107,32104,3,9.344629952653874E-5
budget |budget,2014100210,10300,8,7.766990291262136E-4
budget |budget,2014100211,11008,58,0.005268895348837209
budget |budget,2014100212,11567,29,0.002507132359298003
budget |budget,2014100316,10537,2,1.8980734554427256E-4
budget |budget,2014100213,10976,22,0.0020043731778425656
budget |budget,2014100317,9832,2,2.034174125305126E-4
budget |budget,2014100214,12210,46,0.0037674037674037676
budget |budget,2014100318,9075,3,3.3057851239669424E-4
budget |budget,2014100215,11832,15,0.0012677484787018255
budget |budget,2014100319,8645,3,3.470213996529786E-4
budget |budget,2014100216,10725,11,0.0010256410256410256
budget |budget,2014100312,10661,14,0.0013131976362442547
budget |budget,2014100217,9835,11,0.0011184544992374173
budget |budget,2014100313,9887,5,5.057145746940427E-4
budget |budget,2014100218,9907,10,0.001009387301907742
budget |budget,2014100314,9820,13,0.0013238289205702647
budget |budget,2014100219,11100,5,4.5045045045045046E-4
budget |budget,2014100420,8163,3,3.675119441381845E-4
budget |budget,2014100315,10271,1,9.736150326161036E-5
budget |budget,2014100120,12122,4,3.2997855139415937E-4
budget |budget,2014100421,8099,1,1.2347203358439315E-4
budget |budget,2014100422,8432,1,1.1859582542694497E-4
budget |budget,2014100423,6306,3,4.757373929590866E-4
budget |budget,2014100310,10343,8,7.73469979696413E-4
budget |budget,2014100311,11400,14,0.0012280701754385965
budget |budget,2014100115,14152,15,0.0010599208592425098
budget |budget,2014100114,11535,5,4.3346337234503684E-4
budget |budget,2014100117,11365,2,1.759788825340959E-4
budget |budget,2014100116,10904,7,6.419662509170946E-4
budget |budget,2014100111,9571,21,0.002194128095287849
budget |budget,2014100110,9126,12,0.0013149243918474688
budget |budget,2014100823,5727,5,8.730574471800245E-4
budget |budget,2014100113,11543,11,9.529585029888244E-4
budget |budget,2014100822,900,0,0.0
budget |budget,2014100112,11651,9,7.724658827568449E-4
budget |budget,2014100119,11403,11,9.646584232219592E-4
budget |budget,2014100118,10294,5,4.857198367981348E-4
budget |budget,2014100604,4638,0,0.0
budget |budget,2014100605,8675,0,0.0
budget |budget,2014100700,5207,1,1.9204916458613405E-4
budget |budget,2014100914,3191,7,0.0021936696960200563
budget |budget,2014100602,8176,0,0.0
budget |budget,2014100915,1000,0,0.0
budget |budget,2014100603,9384,3,3.1969309462915604E-4
budget |budget,2014100912,2545,7,0.00275049115913556
budget |budget,2014100608,13680,17,0.0012426900584795323
budget |budget,2014100913,6771,11,0.0016245753950671984
budget |budget,2014100609,13287,4,3.0104613532023783E-4
budget |budget,2014100810,6053,2,3.3041467041136624E-4
budget |budget,2014100606,4334,1,2.3073373327180433E-4
budget |budget,2014100607,6194,4,6.457862447529867E-4
budget |budget,2014100707,4802,0,0.0
budget |budget,2014100813,7061,2,2.83245999150262E-4
budget |budget,2014100708,5400,9,0.0016666666666666668
budget |budget,2014100814,6011,1,1.6636167027116953E-4
budget |budget,2014100705,2740,0,0.0
budget |budget,2014100811,6604,3,4.542701393095094E-4
budget |budget,2014100706,3398,1,2.942907592701589E-4
budget |budget,2014100812,5896,7,0.0011872455902306649
budget |budget,2014100817,6743,4,5.932077710218003E-4
