friend |friends |friend,2014100223,8580,40,0.004662004662004662
friend |friends |friend,2014100222,12009,79,0.006578399533683071
friend |friends |friend,2014100221,14828,107,0.007216077690855139
friend |friends |friend,2014100220,15090,57,0.0037773359840954273
friend |friends |friend,2014093023,7216,41,0.005681818181818182
friend |friends |friend,2014093020,2478,16,0.00645682001614205
friend |friends |friend,2014093022,2524,15,0.005942947702060222
friend |friends |friend,2014093021,2547,17,0.006674519042010208
friend |friends |friend,2014100321,9080,76,0.008370044052863436
friend |friends |friend,2014100322,8671,58,0.006688963210702341
friend |friends |friend,2014100320,9381,49,0.005223323739473404
friend |friends |friend,2014100323,6929,44,0.006350122672824361
friend |friends |friend,2014100123,8836,32,0.0036215482118605704
friend |friends |friend,2014100122,10378,51,0.004914241665060705
friend |friends |friend,2014100121,12311,53,0.004305093006254569
friend |friends |friend,2014100200,11724,40,0.0034118048447628795
friend |friends |friend,2014100201,6861,29,0.004226789097799155
friend |friends |friend,2014100309,9997,37,0.00370111033309993
friend |friends |friend,2014100307,6926,29,0.00418712099335836
friend |friends |friend,2014100204,8387,11,0.0013115535948491712
friend |friends |friend,2014100308,8532,39,0.004571026722925457
friend |friends |friend,2014100205,14882,1274,0.08560677328316087
friend |friends |friend,2014100305,3838,10,0.0026055237102657635
friend |friends |friend,2014100202,5853,18,0.0030753459764223477
friend |friends |friend,2014100306,5526,23,0.004162142598624683
friend |friends |friend,2014100203,5613,14,0.002494209869944771
friend |friends |friend,2014100303,5043,16,0.003172714653975808
friend |friends |friend,2014100208,9640,70,0.007261410788381743
friend |friends |friend,2014100304,4725,20,0.004232804232804233
friend |friends |friend,2014100209,12321,60,0.004869734599464329
friend |friends |friend,2014100301,4480,24,0.005357142857142857
friend |friends |friend,2014100206,9203,157,0.01705965446050201
friend |friends |friend,2014100302,8095,23,0.0028412600370599137
friend |friends |friend,2014100207,9445,69,0.007305452620434092
friend |friends |friend,2014100300,6707,36,0.005367526464887431
friend |friends |friend,2014100106,45483,21,4.617109689334477E-4
friend |friends |friend,2014100105,7742,6,7.749935417204857E-4
friend |friends |friend,2014100104,8731,4,4.581376703699462E-4
friend |friends |friend,2014100103,1127,1,8.873114463176575E-4
friend |friends |friend,2014100102,2940,3,0.0010204081632653062
friend |friends |friend,2014100101,3598,12,0.0033351862145636463
friend |friends |friend,2014100100,1816,7,0.003854625550660793
friend |friends |friend,2014100109,10999,46,0.004182198381671061
friend |friends |friend,2014100108,14670,27,0.0018404907975460123
friend |friends |friend,2014100107,32104,31,9.656117617742338E-4
friend |friends |friend,2014100210,10300,66,0.006407766990291262
friend |friends |friend,2014100211,11008,61,0.0055414244186046515
friend |friends |friend,2014100212,11567,58,0.005014264718596006
friend |friends |friend,2014100316,10537,37,0.0035114358925690424
friend |friends |friend,2014100213,10976,49,0.004464285714285714
friend |friends |friend,2014100317,9832,44,0.004475183075671277
friend |friends |friend,2014100214,12210,69,0.005651105651105651
friend |friends |friend,2014100318,9075,44,0.0048484848484848485
friend |friends |friend,2014100215,11832,71,0.006000676132521974
friend |friends |friend,2014100319,8645,48,0.005552342394447658
friend |friends |friend,2014100216,10725,45,0.004195804195804196
friend |friends |friend,2014100312,10661,32,0.0030015945971297252
friend |friends |friend,2014100217,9835,50,0.005083884087442806
friend |friends |friend,2014100313,9887,45,0.004551431172246385
friend |friends |friend,2014100218,9907,58,0.005854446351064904
friend |friends |friend,2014100314,9820,37,0.0037678207739307535
friend |friends |friend,2014100219,11100,61,0.005495495495495496
friend |friends |friend,2014100420,8163,85,0.010412838417248561
friend |friends |friend,2014100315,10271,27,0.00262876058806348
friend |friends |friend,2014100120,12122,56,0.004619699719518231
friend |friends |friend,2014100421,8099,72,0.008889986418076305
friend |friends |friend,2014100422,8432,53,0.006285578747628084
friend |friends |friend,2014100423,6306,45,0.007136060894386299
friend |friends |friend,2014100310,10343,49,0.0047375036256405295
friend |friends |friend,2014100311,11400,62,0.00543859649122807
friend |friends |friend,2014100115,14152,40,0.002826455624646693
friend |friends |friend,2014100114,11535,31,0.0026874729085392284
friend |friends |friend,2014100117,11365,49,0.0043114826220853495
friend |friends |friend,2014100116,10904,39,0.0035766691122523842
friend |friends |friend,2014100111,9571,54,0.005642043673597325
friend |friends |friend,2014100110,9126,34,0.003725619110234495
friend |friends |friend,2014100823,5727,23,0.004016064257028112
friend |friends |friend,2014100113,11543,35,0.0030321406913280777
friend |friends |friend,2014100822,900,3,0.0033333333333333335
friend |friends |friend,2014100112,11651,48,0.00411981804136984
friend |friends |friend,2014100119,11403,45,0.003946329913180742
friend |friends |friend,2014100118,10294,70,0.006800077715173888
friend |friends |friend,2014100604,4638,99,0.021345407503234153
friend |friends |friend,2014100605,8675,86,0.009913544668587897
friend |friends |friend,2014100700,5207,40,0.007681966583445362
friend |friends |friend,2014100914,3191,15,0.004700720777185835
friend |friends |friend,2014100602,8176,153,0.0187133072407045
friend |friends |friend,2014100915,1000,3,0.003
friend |friends |friend,2014100603,9384,111,0.011828644501278773
friend |friends |friend,2014100912,2545,11,0.004322200392927309
friend |friends |friend,2014100608,13680,72,0.005263157894736842
friend |friends |friend,2014100913,6771,36,0.005316792202038104
friend |friends |friend,2014100609,13287,106,0.007977722585986302
friend |friends |friend,2014100810,6053,26,0.0042953907153477616
friend |friends |friend,2014100606,4334,73,0.016843562528841716
friend |friends |friend,2014100607,6194,77,0.012431385211494995
friend |friends |friend,2014100707,4802,28,0.0058309037900874635
friend |friends |friend,2014100813,7061,24,0.003398951989803144
friend |friends |friend,2014100708,5400,20,0.003703703703703704
friend |friends |friend,2014100814,6011,24,0.003992680086508068
friend |friends |friend,2014100705,2740,12,0.004379562043795621
friend |friends |friend,2014100811,6604,26,0.003937007874015748
friend |friends |friend,2014100706,3398,26,0.007651559741024131
friend |friends |friend,2014100812,5896,23,0.0039009497964721846
friend |friends |friend,2014100817,6743,26,0.0038558505116417026
friend |friends |friend,2014100600,15771,218,0.013822839388751507
friend |friends |friend,2014100703,5792,15,0.0025897790055248618
friend |friends |friend,2014100818,7400,30,0.004054054054054054
friend |friends |friend,2014100601,8669,182,0.02099434767562579
friend |friends |friend,2014100704,3010,14,0.004651162790697674
friend |friends |friend,2014100815,5628,25,0.004442075337597726
friend |friends |friend,2014100701,13455,25,0.0018580453363062058
friend |friends |friend,2014100816,7857,38,0.004836451571846761
friend |friends |friend,2014100702,8524,35,0.004106053496011263
friend |friends |friend,2014100509,9287,28,0.003014967158393453
friend |friends |friend,2014100508,6498,11,0.001692828562634657
friend |friends |friend,2014100819,4300,21,0.004883720930232558
friend |friends |friend,2014100507,16911,24,0.0014191946070604932
friend |friends |friend,2014100403,6749,12,0.0017780411912875981
friend |friends |friend,2014100506,11836,43,0.003632984116255492
friend |friends |friend,2014100402,6613,18,0.0027219113866626342
friend |friends |friend,2014100505,6487,27,0.004162170494835826
friend |friends |friend,2014100401,4570,16,0.00350109409190372
friend |friends |friend,2014100504,3861,19,0.004921004921004921
friend |friends |friend,2014100400,5285,46,0.0087038789025544
friend |friends |friend,2014100503,4540,20,0.004405286343612335
friend |friends |friend,2014100709,5572,17,0.0030509691313711416
friend |friends |friend,2014100407,7111,511,0.07186049782027844
friend |friends |friend,2014100406,10763,3690,0.3428412152745517
friend |friends |friend,2014100501,6148,42,0.0068314899154196486
friend |friends |friend,2014100405,10366,8,7.717538105344395E-4
friend |friends |friend,2014100500,11540,44,0.0038128249566724438
friend |friends |friend,2014100404,3086,9,0.002916396629941672
friend |friends |friend,2014100409,9932,90,0.009061619009262988
friend |friends |friend,2014100408,10458,159,0.015203671830177854
friend |friends |friend,2014100903,4141,11,0.0026563631972953395
friend |friends |friend,2014100613,12260,60,0.004893964110929853
friend |friends |friend,2014100904,4854,10,0.0020601565718994645
friend |friends |friend,2014100614,10247,40,0.0039035815360593342
friend |friends |friend,2014100905,7777,9,0.0011572585830011573
friend |friends |friend,2014100615,8801,51,0.005794796045903875
friend |friends |friend,2014100710,7431,19,0.0025568564123267393
friend |friends |friend,2014100906,3505,3,8.559201141226819E-4
friend |friends |friend,2014100616,10833,58,0.0053540108926428505
friend |friends |friend,2014100711,13474,30,0.002226510316164465
friend |friends |friend,2014100617,11523,67,0.005814458040440857
friend |friends |friend,2014100900,3864,21,0.005434782608695652
friend |friends |friend,2014100618,10834,59,0.005445818718848071
friend |friends |friend,2014100901,3052,14,0.0045871559633027525
friend |friends |friend,2014100619,10472,49,0.004679144385026738
friend |friends |friend,2014100902,4916,10,0.0020341741253051262
friend |friends |friend,2014100716,9756,53,0.005432554325543256
friend |friends |friend,2014100800,3418,23,0.006729081334113517
friend |friends |friend,2014100717,12018,50,0.0041604260276252285
friend |friends |friend,2014100801,4912,23,0.004682410423452769
friend |friends |friend,2014100718,9824,47,0.0047842019543973945
friend |friends |friend,2014100802,4582,15,0.003273679615888258
friend |friends |friend,2014100719,8904,53,0.005952380952380952
friend |friends |friend,2014100803,4750,12,0.0025263157894736842
friend |friends |friend,2014100712,10146,41,0.00404100137985413
friend |friends |friend,2014100804,8238,14,0.0016994416120417577
friend |friends |friend,2014100610,8565,69,0.008056042031523642
friend |friends |friend,2014100713,7382,31,0.004199403955567597
friend |friends |friend,2014100805,6904,7,0.0010139049826187717
friend |friends |friend,2014100611,8676,49,0.005647763946519133
friend |friends |friend,2014100714,9294,24,0.0025823111684958036
friend |friends |friend,2014100806,7696,11,0.0014293139293139294
friend |friends |friend,2014100612,7761,56,0.007215565004509728
friend |friends |friend,2014100715,8494,32,0.0037673651989639746
friend |friends |friend,2014100807,6298,9,0.0014290250873293109
friend |friends |friend,2014100519,13547,474,0.034989296523215474
friend |friends |friend,2014100809,5933,36,0.006067756615540199
friend |friends |friend,2014100518,12589,560,0.04448327905314163
friend |friends |friend,2014100808,7916,46,0.005811015664477008
friend |friends |friend,2014100410,8297,50,0.00602627455706882
friend |friends |friend,2014100412,8252,42,0.005089675230247213
friend |friends |friend,2014100515,6526,61,0.009347226478700583
friend |friends |friend,2014100411,8736,64,0.007326007326007326
friend |friends |friend,2014100514,7337,49,0.006678478942347008
friend |friends |friend,2014100414,8029,55,0.006850168140490721
friend |friends |friend,2014100517,16635,1709,0.10273519687406071
friend |friends |friend,2014100413,7649,40,0.00522944175709243
friend |friends |friend,2014100516,7164,78,0.010887772194304857
friend |friends |friend,2014100416,8535,58,0.006795547744581136
friend |friends |friend,2014100511,8203,29,0.003535291966353773
friend |friends |friend,2014100415,9288,70,0.007536606373815676
friend |friends |friend,2014100510,7389,38,0.005142779807822438
friend |friends |friend,2014100418,8794,66,0.007505117125312713
friend |friends |friend,2014100513,8653,33,0.0038137062290535075
friend |friends |friend,2014100417,9001,85,0.00944339517831352
friend |friends |friend,2014100512,7658,34,0.004439801514755811
friend |friends |friend,2014100908,14247,37,0.002597037972906577
friend |friends |friend,2014100907,7751,20,0.0025803122177783513
friend |friends |friend,2014100419,8630,76,0.00880648899188876
friend |friends |friend,2014100909,1000,0,0.0
friend |friends |friend,2014100721,11447,76,0.006639294138202149
friend |friends |friend,2014100722,8294,62,0.0074752833373523024
friend |friends |friend,2014100720,10198,64,0.006275740341243381
friend |friends |friend,2014100723,5300,34,0.006415094339622641
friend |friends |friend,2014100520,14801,427,0.028849402067427875
friend |friends |friend,2014100523,12605,264,0.020944069813566044
friend |friends |friend,2014100522,10915,228,0.020888685295464955
friend |friends |friend,2014100521,14363,263,0.018310937826359397
friend |friends |friend,2014100623,8800,50,0.005681818181818182
friend |friends |friend,2014100622,9000,53,0.005888888888888889
friend |friends |friend,2014100621,9007,53,0.005884312201620961
friend |friends |friend,2014100620,8998,43,0.004778839742164926
friend |friends |friend,2014093011,9741,23,0.0023611538856380247
friend |friends |friend,2014093012,11191,53,0.004735948530068805
friend |friends |friend,2014093013,5267,25,0.004746535029428517
friend |friends |friend,2014093017,3899,5,0.0012823800974608873
friend |friends |friend,2014093018,99,2,0.020202020202020204
friend |friends |friend,2014093019,8564,55,0.006422232601588043
