burqa |burqas |burqa,2014100223,8580,37,0.004312354312354313
burqa |burqas |burqa,2014100222,12009,143,0.011907735864768091
burqa |burqas |burqa,2014100221,14828,54,0.003641758834637173
burqa |burqas |burqa,2014100220,15090,190,0.012591119946984758
burqa |burqas |burqa,2014093023,7216,0,0.0
burqa |burqas |burqa,2014093020,2478,0,0.0
burqa |burqas |burqa,2014093022,2524,0,0.0
burqa |burqas |burqa,2014093021,2547,0,0.0
burqa |burqas |burqa,2014100321,9080,15,0.0016519823788546256
burqa |burqas |burqa,2014100322,8671,11,0.0012685964709952715
burqa |burqas |burqa,2014100320,9381,11,0.0011725828802899478
burqa |burqas |burqa,2014100323,6929,13,0.001876172607879925
burqa |burqas |burqa,2014100123,8836,17,0.001923947487550928
burqa |burqas |burqa,2014100122,10378,41,0.003950664867989979
burqa |burqas |burqa,2014100121,12311,39,0.0031678986272439284
burqa |burqas |burqa,2014100200,11724,8,6.82360968952576E-4
burqa |burqas |burqa,2014100201,6861,6,8.745080891998251E-4
burqa |burqas |burqa,2014100309,9997,60,0.006001800540162049
burqa |burqas |burqa,2014100307,6926,59,0.008518625469246319
burqa |burqas |burqa,2014100204,8387,0,0.0
burqa |burqas |burqa,2014100308,8532,54,0.006329113924050633
burqa |burqas |burqa,2014100205,14882,2,1.3439053890606102E-4
burqa |burqas |burqa,2014100305,3838,6,0.001563314226159458
burqa |burqas |burqa,2014100202,5853,1,1.7085255424568598E-4
burqa |burqas |burqa,2014100306,5526,22,0.003981179876945349
burqa |burqas |burqa,2014100203,5613,4,7.126313914127917E-4
burqa |burqas |burqa,2014100303,5043,1,1.98294665873488E-4
burqa |burqas |burqa,2014100208,9640,60,0.006224066390041493
burqa |burqas |burqa,2014100304,4725,2,4.232804232804233E-4
burqa |burqas |burqa,2014100209,12321,9,7.304601899196494E-4
burqa |burqas |burqa,2014100301,4480,9,0.0020089285714285712
burqa |burqas |burqa,2014100206,9203,12,0.0013039226339237205
burqa |burqas |burqa,2014100302,8095,7,8.647313156269302E-4
burqa |burqas |burqa,2014100207,9445,15,0.0015881418740074113
burqa |burqas |burqa,2014100300,6707,22,0.0032801550618756525
burqa |burqas |burqa,2014100106,45483,0,0.0
burqa |burqas |burqa,2014100105,7742,0,0.0
burqa |burqas |burqa,2014100104,8731,0,0.0
burqa |burqas |burqa,2014100103,1127,0,0.0
burqa |burqas |burqa,2014100102,2940,0,0.0
burqa |burqas |burqa,2014100101,3598,1,2.7793218454697053E-4
burqa |burqas |burqa,2014100100,1816,0,0.0
burqa |burqas |burqa,2014100109,10999,16,0.001454677697972543
burqa |burqas |burqa,2014100108,14670,6,4.0899795501022495E-4
burqa |burqas |burqa,2014100107,32104,7,2.1804136556192376E-4
burqa |burqas |burqa,2014100210,10300,13,0.001262135922330097
burqa |burqas |burqa,2014100211,11008,46,0.0041787790697674415
burqa |burqas |burqa,2014100212,11567,78,0.00674332151811187
burqa |burqas |burqa,2014100316,10537,14,0.001328651418809908
burqa |burqas |burqa,2014100213,10976,23,0.0020954810495626822
burqa |burqas |burqa,2014100317,9832,16,0.0016273393002441008
burqa |burqas |burqa,2014100214,12210,88,0.007207207207207207
burqa |burqas |burqa,2014100318,9075,13,0.0014325068870523416
burqa |burqas |burqa,2014100215,11832,82,0.006930358350236646
burqa |burqas |burqa,2014100319,8645,20,0.002313475997686524
burqa |burqas |burqa,2014100216,10725,57,0.005314685314685315
burqa |burqas |burqa,2014100312,10661,38,0.0035643935840915485
burqa |burqas |burqa,2014100217,9835,73,0.007422470767666497
burqa |burqas |burqa,2014100313,9887,60,0.0060685748963285125
burqa |burqas |burqa,2014100218,9907,136,0.01372766730594529
burqa |burqas |burqa,2014100314,9820,31,0.003156822810590631
burqa |burqas |burqa,2014100219,11100,97,0.008738738738738738
burqa |burqas |burqa,2014100420,8163,0,0.0
burqa |burqas |burqa,2014100315,10271,36,0.003505014117417973
burqa |burqas |burqa,2014100120,12122,26,0.002144860584062036
burqa |burqas |burqa,2014100421,8099,3,3.704161007531794E-4
burqa |burqas |burqa,2014100422,8432,0,0.0
burqa |burqas |burqa,2014100423,6306,3,4.757373929590866E-4
burqa |burqas |burqa,2014100310,10343,84,0.008121434786812336
burqa |burqas |burqa,2014100311,11400,50,0.0043859649122807015
burqa |burqas |burqa,2014100115,14152,114,0.008055398530243075
burqa |burqas |burqa,2014100114,11535,65,0.005635023840485479
