staff |staff,2014100223,8580,7,8.158508158508159E-4
staff |staff,2014100222,12009,16,0.0013323340827712548
staff |staff,2014100221,14828,16,0.0010790396547073105
staff |staff,2014100220,15090,20,0.0013253810470510272
staff |staff,2014093023,7216,3,4.157427937915743E-4
staff |staff,2014093020,2478,3,0.0012106537530266344
staff |staff,2014093022,2524,0,0.0
staff |staff,2014093021,2547,5,0.0019630938358853552
staff |staff,2014100321,9080,15,0.0016519823788546256
staff |staff,2014100322,8671,7,8.072886633606274E-4
staff |staff,2014100320,9381,21,0.002238567316917173
staff |staff,2014100323,6929,8,0.0011545677586953383
staff |staff,2014100123,8836,6,6.79040289723857E-4
staff |staff,2014100122,10378,4,3.854307188282906E-4
staff |staff,2014100121,12311,3,2.4368450978799449E-4
staff |staff,2014100200,11724,5,4.2647560559535994E-4
staff |staff,2014100201,6861,1,1.4575134819997084E-4
staff |staff,2014100309,9997,7,7.002100630189057E-4
staff |staff,2014100307,6926,9,0.0012994513427663876
staff |staff,2014100204,8387,34,0.004053892929533802
staff |staff,2014100308,8532,11,0.0012892639474917957
staff |staff,2014100205,14882,31,0.0020830533530439457
staff |staff,2014100305,3838,2,5.211047420531526E-4
staff |staff,2014100202,5853,261,0.04459251665812404
staff |staff,2014100306,5526,3,5.428881650380022E-4
staff |staff,2014100203,5613,87,0.01549973276322822
staff |staff,2014100303,5043,3,5.94883997620464E-4
staff |staff,2014100208,9640,20,0.002074688796680498
staff |staff,2014100304,4725,3,6.349206349206349E-4
staff |staff,2014100209,12321,24,0.0019478938397857316
staff |staff,2014100301,4480,4,8.928571428571428E-4
staff |staff,2014100206,9203,26,0.0028251657068347276
staff |staff,2014100302,8095,4,4.941321803582458E-4
staff |staff,2014100207,9445,61,0.006458443620963473
staff |staff,2014100300,6707,3,4.472938720739526E-4
staff |staff,2014100106,45483,9,1.9787612954290615E-4
staff |staff,2014100105,7742,1,1.291655902867476E-4
staff |staff,2014100104,8731,0,0.0
staff |staff,2014100103,1127,1,8.873114463176575E-4
staff |staff,2014100102,2940,0,0.0
staff |staff,2014100101,3598,3,8.337965536409116E-4
staff |staff,2014100100,1816,0,0.0
staff |staff,2014100109,10999,31,0.002818438039821802
staff |staff,2014100108,14670,14,9.543285616905249E-4
staff |staff,2014100107,32104,9,2.8033889857961624E-4
staff |staff,2014100210,10300,16,0.0015533980582524273
staff |staff,2014100211,11008,11,9.992732558139535E-4
staff |staff,2014100212,11567,14,0.0012103397596611048
staff |staff,2014100316,10537,5,4.745183638606814E-4
staff |staff,2014100213,10976,24,0.002186588921282799
staff |staff,2014100317,9832,5,5.085435313262816E-4
staff |staff,2014100214,12210,16,0.0013104013104013104
staff |staff,2014100318,9075,7,7.713498622589532E-4
staff |staff,2014100215,11832,13,0.0010987153482082488
staff |staff,2014100319,8645,11,0.0012724117987275882
staff |staff,2014100216,10725,19,0.0017715617715617716
staff |staff,2014100312,10661,12,0.001125597973923647
staff |staff,2014100217,9835,16,0.001626842907981698
staff |staff,2014100313,9887,8,8.091433195104683E-4
staff |staff,2014100218,9907,9,9.084485717169678E-4
staff |staff,2014100314,9820,12,0.0012219959266802445
staff |staff,2014100219,11100,7,6.306306306306306E-4
staff |staff,2014100420,8163,9,0.0011025358324145535
staff |staff,2014100315,10271,9,8.762535293544932E-4
staff |staff,2014100120,12122,8,6.599571027883187E-4
staff |staff,2014100421,8099,5,6.173601679219657E-4
staff |staff,2014100422,8432,7,8.301707779886148E-4
staff |staff,2014100423,6306,5,7.92895654931811E-4
staff |staff,2014100310,10343,11,0.0010635212220825678
staff |staff,2014100311,11400,11,9.649122807017544E-4
staff |staff,2014100115,14152,18,0.001271905031091012
staff |staff,2014100114,11535,7,6.068487212830516E-4
staff |staff,2014100117,11365,8,7.039155301363836E-4
staff |staff,2014100116,10904,10,9.17094644167278E-4
staff |staff,2014100111,9571,16,0.0016717166440288372
staff |staff,2014100110,9126,13,0.0014245014245014246
staff |staff,2014100823,5727,5,8.730574471800245E-4
