plan |plans |plan,2014100223,8580,6,6.993006993006993E-4
plan |plans |plan,2014100222,12009,24,0.0019985011241568824
plan |plans |plan,2014100221,14828,39,0.0026301591583490695
plan |plans |plan,2014100220,15090,48,0.0031809145129224653
plan |plans |plan,2014093023,7216,11,0.001524390243902439
plan |plans |plan,2014093020,2478,2,8.071025020177562E-4
plan |plans |plan,2014093022,2524,2,7.92393026941363E-4
plan |plans |plan,2014093021,2547,5,0.0019630938358853552
plan |plans |plan,2014100321,9080,14,0.0015418502202643172
plan |plans |plan,2014100322,8671,13,0.0014992503748125937
plan |plans |plan,2014100320,9381,18,0.0019187719859290054
plan |plans |plan,2014100323,6929,8,0.0011545677586953383
plan |plans |plan,2014100123,8836,11,0.001244907197827071
plan |plans |plan,2014100122,10378,27,0.0026016573520909617
plan |plans |plan,2014100121,12311,32,0.0025993014377386076
plan |plans |plan,2014100200,11724,5,4.2647560559535994E-4
plan |plans |plan,2014100201,6861,7,0.001020259437399796
plan |plans |plan,2014100309,9997,16,0.001600480144043213
plan |plans |plan,2014100307,6926,18,0.0025989026855327752
plan |plans |plan,2014100204,8387,3,3.576964349588649E-4
plan |plans |plan,2014100308,8532,11,0.0012892639474917957
plan |plans |plan,2014100205,14882,3,2.0158580835909153E-4
plan |plans |plan,2014100305,3838,3,7.81657113079729E-4
plan |plans |plan,2014100202,5853,7,0.0011959678797198018
plan |plans |plan,2014100306,5526,18,0.003257328990228013
plan |plans |plan,2014100203,5613,7,0.0012471049349723855
plan |plans |plan,2014100303,5043,9,0.001784651992861392
plan |plans |plan,2014100208,9640,44,0.004564315352697096
plan |plans |plan,2014100304,4725,2,4.232804232804233E-4
plan |plans |plan,2014100209,12321,34,0.0027595162730297863
plan |plans |plan,2014100301,4480,1,2.232142857142857E-4
plan |plans |plan,2014100206,9203,16,0.001738563511898294
plan |plans |plan,2014100302,8095,8,9.882643607164916E-4
plan |plans |plan,2014100207,9445,25,0.0026469031233456856
plan |plans |plan,2014100300,6707,11,0.0016400775309378262
plan |plans |plan,2014100106,45483,10,2.198623661587846E-4
plan |plans |plan,2014100105,7742,2,2.583311805734952E-4
plan |plans |plan,2014100104,8731,4,4.581376703699462E-4
plan |plans |plan,2014100103,1127,0,0.0
plan |plans |plan,2014100102,2940,0,0.0
plan |plans |plan,2014100101,3598,6,0.0016675931072818232
plan |plans |plan,2014100100,1816,3,0.0016519823788546256
plan |plans |plan,2014100109,10999,26,0.002363851259205382
plan |plans |plan,2014100108,14670,22,0.0014996591683708249
plan |plans |plan,2014100107,32104,18,5.606777971592325E-4
plan |plans |plan,2014100210,10300,43,0.004174757281553398
plan |plans |plan,2014100211,11008,23,0.0020893895348837207
plan |plans |plan,2014100212,11567,16,0.0013832454396126913
plan |plans |plan,2014100316,10537,20,0.0018980734554427255
plan |plans |plan,2014100213,10976,21,0.001913265306122449
plan |plans |plan,2014100317,9832,27,0.0027461350691619204
plan |plans |plan,2014100214,12210,22,0.0018018018018018018
plan |plans |plan,2014100318,9075,12,0.001322314049586777
plan |plans |plan,2014100215,11832,20,0.0016903313049357674
plan |plans |plan,2014100319,8645,16,0.0018507807981492192
plan |plans |plan,2014100216,10725,41,0.003822843822843823
plan |plans |plan,2014100312,10661,18,0.0016883969608854704
plan |plans |plan,2014100217,9835,16,0.001626842907981698
plan |plans |plan,2014100313,9887,20,0.0020228582987761707
plan |plans |plan,2014100218,9907,19,0.0019178358736247098
plan |plans |plan,2014100314,9820,19,0.001934826883910387
plan |plans |plan,2014100219,11100,16,0.0014414414414414415
plan |plans |plan,2014100420,8163,8,9.800318510351587E-4
plan |plans |plan,2014100315,10271,25,0.002434037581540259
plan |plans |plan,2014100120,12122,21,0.0017323873948193367
plan |plans |plan,2014100421,8099,11,0.0013581923694283246
plan |plans |plan,2014100422,8432,15,0.0017789373814041745
plan |plans |plan,2014100423,6306,6,9.514747859181732E-4
plan |plans |plan,2014100310,10343,19,0.001836991201778981
plan |plans |plan,2014100311,11400,15,0.0013157894736842105
plan |plans |plan,2014100115,14152,22,0.0015545505935556812
plan |plans |plan,2014100114,11535,9,7.802340702210664E-4
plan |plans |plan,2014100117,11365,19,0.0016717993840739112
plan |plans |plan,2014100116,10904,30,0.002751283932501834
plan |plans |plan,2014100111,9571,31,0.0032389509978058718
plan |plans |plan,2014100110,9126,23,0.0025202717510409817
plan |plans |plan,2014100823,5727,7,0.0012222804260520342
plan |plans |plan,2014100113,11543,21,0.0018192844147968466
plan |plans |plan,2014100822,900,2,0.0022222222222222222
plan |plans |plan,2014100112,11651,29,0.002489056733327611
plan |plans |plan,2014100119,11403,12,0.0010523546435148646
plan |plans |plan,2014100118,10294,26,0.002525743151350301
plan |plans |plan,2014100604,4638,0,0.0
plan |plans |plan,2014100605,8675,3,3.45821325648415E-4
plan |plans |plan,2014100700,5207,4,7.681966583445362E-4
plan |plans |plan,2014100914,3191,8,0.0025070510811657787
plan |plans |plan,2014100602,8176,6,7.338551859099804E-4
plan |plans |plan,2014100915,1000,3,0.003
plan |plans |plan,2014100603,9384,5,5.328218243819267E-4
plan |plans |plan,2014100912,2545,11,0.004322200392927309
plan |plans |plan,2014100608,13680,10,7.309941520467836E-4
plan |plans |plan,2014100913,6771,11,0.0016245753950671984
plan |plans |plan,2014100609,13287,39,0.002935199819372319
plan |plans |plan,2014100810,6053,25,0.004130183380142078
plan |plans |plan,2014100606,4334,8,0.0018458698661744347
plan |plans |plan,2014100607,6194,10,0.0016144656118824668
plan |plans |plan,2014100707,4802,13,0.0027072053311120365
plan |plans |plan,2014100813,7061,18,0.002549213992352358
plan |plans |plan,2014100708,5400,27,0.005
plan |plans |plan,2014100814,6011,14,0.0023290633837963733
plan |plans |plan,2014100705,2740,2,7.2992700729927E-4
plan |plans |plan,2014100811,6604,23,0.0034827377347062386
plan |plans |plan,2014100706,3398,3,8.828722778104767E-4
plan |plans |plan,2014100812,5896,13,0.0022048846675712347
plan |plans |plan,2014100817,6743,16,0.0023728310840872013
plan |plans |plan,2014100600,15771,7,4.438526409232135E-4
plan |plans |plan,2014100703,5792,7,0.0012085635359116022
plan |plans |plan,2014100818,7400,16,0.002162162162162162
plan |plans |plan,2014100601,8669,5,5.767677932864229E-4
plan |plans |plan,2014100704,3010,2,6.64451827242525E-4
plan |plans |plan,2014100815,5628,10,0.0017768301350390902
plan |plans |plan,2014100701,13455,8,5.945745076179859E-4
plan |plans |plan,2014100816,7857,8,0.0010182003309151075
plan |plans |plan,2014100702,8524,7,8.212106992022525E-4
plan |plans |plan,2014100509,9287,5,5.383869925702595E-4
plan |plans |plan,2014100508,6498,7,0.0010772545398584179
plan |plans |plan,2014100819,4300,19,0.004418604651162791
plan |plans |plan,2014100507,16911,6,3.547986517651233E-4
plan |plans |plan,2014100403,6749,2,2.96340198547933E-4
plan |plans |plan,2014100506,11836,1,8.448800270361608E-5
plan |plans |plan,2014100402,6613,3,4.536518977771057E-4
plan |plans |plan,2014100505,6487,1,1.5415446277169725E-4
plan |plans |plan,2014100401,4570,6,0.001312910284463895
plan |plans |plan,2014100504,3861,2,5.18000518000518E-4
plan |plans |plan,2014100400,5285,9,0.0017029328287606433
plan |plans |plan,2014100503,4540,2,4.405286343612335E-4
plan |plans |plan,2014100709,5572,51,0.009152907394113424
plan |plans |plan,2014100407,7111,4,5.625087891998312E-4
plan |plans |plan,2014100406,10763,5,4.6455449224193997E-4
plan |plans |plan,2014100501,6148,4,6.506180871828237E-4
plan |plans |plan,2014100405,10366,0,0.0
plan |plans |plan,2014100500,11540,9,7.79896013864818E-4
plan |plans |plan,2014100404,3086,6,0.0019442644199611147
plan |plans |plan,2014100409,9932,13,0.0013089005235602095
plan |plans |plan,2014100408,10458,12,0.0011474469305794606
plan |plans |plan,2014100903,4141,0,0.0
plan |plans |plan,2014100613,12260,51,0.004159869494290375
plan |plans |plan,2014100904,4854,3,6.180469715698393E-4
plan |plans |plan,2014100614,10247,31,0.0030252756904459843
plan |plans |plan,2014100905,7777,4,5.143371480005143E-4
plan |plans |plan,2014100615,8801,20,0.0022724690376093627
plan |plans |plan,2014100710,7431,23,0.003095141972816579
plan |plans |plan,2014100906,3505,4,0.0011412268188302425
plan |plans |plan,2014100616,10833,48,0.004430905566325118
