violence |violence,2014100223,8580,0,0.0
violence |violence,2014100222,12009,5,4.1635440086601716E-4
violence |violence,2014100221,14828,6,4.046398705152414E-4
violence |violence,2014100220,15090,5,3.313452617627568E-4
violence |violence,2014093023,7216,3,4.157427937915743E-4
violence |violence,2014093020,2478,3,0.0012106537530266344
violence |violence,2014093022,2524,0,0.0
violence |violence,2014093021,2547,1,3.9261876717707107E-4
violence |violence,2014100321,9080,3,3.303964757709251E-4
violence |violence,2014100322,8671,5,5.766347595433052E-4
violence |violence,2014100320,9381,24,0.0025583626479053407
violence |violence,2014100323,6929,5,7.216048491845865E-4
violence |violence,2014100123,8836,5,5.658669081032141E-4
violence |violence,2014100122,10378,2,1.927153594141453E-4
violence |violence,2014100121,12311,3,2.4368450978799449E-4
violence |violence,2014100200,11724,3,2.5588536335721597E-4
violence |violence,2014100201,6861,0,0.0
violence |violence,2014100309,9997,31,0.0031009302790837253
violence |violence,2014100307,6926,4,5.775339301183945E-4
violence |violence,2014100204,8387,0,0.0
violence |violence,2014100308,8532,28,0.0032817627754336614
violence |violence,2014100205,14882,1,6.719526945303051E-5
violence |violence,2014100305,3838,0,0.0
violence |violence,2014100202,5853,1,1.7085255424568598E-4
violence |violence,2014100306,5526,2,3.619254433586681E-4
violence |violence,2014100203,5613,0,0.0
violence |violence,2014100303,5043,0,0.0
violence |violence,2014100208,9640,2,2.074688796680498E-4
violence |violence,2014100304,4725,0,0.0
violence |violence,2014100209,12321,8,6.492979465952439E-4
violence |violence,2014100301,4480,3,6.696428571428571E-4
violence |violence,2014100206,9203,0,0.0
violence |violence,2014100302,8095,1,1.2353304508956145E-4
violence |violence,2014100207,9445,4,4.2350449973530967E-4
violence |violence,2014100300,6707,1,1.490979573579842E-4
violence |violence,2014100106,45483,0,0.0
violence |violence,2014100105,7742,0,0.0
violence |violence,2014100104,8731,0,0.0
violence |violence,2014100103,1127,0,0.0
violence |violence,2014100102,2940,0,0.0
violence |violence,2014100101,3598,1,2.7793218454697053E-4
violence |violence,2014100100,1816,0,0.0
violence |violence,2014100109,10999,4,3.6366942449313574E-4
violence |violence,2014100108,14670,2,1.36332651670075E-4
violence |violence,2014100107,32104,7,2.1804136556192376E-4
violence |violence,2014100210,10300,7,6.796116504854369E-4
violence |violence,2014100211,11008,13,0.0011809593023255813
violence |violence,2014100212,11567,4,3.458113599031728E-4
violence |violence,2014100316,10537,8,7.592293821770903E-4
violence |violence,2014100213,10976,17,0.0015488338192419825
violence |violence,2014100317,9832,5,5.085435313262816E-4
violence |violence,2014100214,12210,6,4.914004914004914E-4
violence |violence,2014100318,9075,9,9.917355371900827E-4
violence |violence,2014100215,11832,9,7.606490872210953E-4
violence |violence,2014100319,8645,2,2.313475997686524E-4
violence |violence,2014100216,10725,8,7.459207459207459E-4
violence |violence,2014100312,10661,16,0.0015007972985648626
violence |violence,2014100217,9835,4,4.067107269954245E-4
violence |violence,2014100313,9887,5,5.057145746940427E-4
violence |violence,2014100218,9907,7,7.065711113354194E-4
violence |violence,2014100314,9820,2,2.0366598778004074E-4
violence |violence,2014100219,11100,2,1.8018018018018018E-4
violence |violence,2014100420,8163,12,0.001470047776552738
violence |violence,2014100315,10271,2,1.947230065232207E-4
violence |violence,2014100120,12122,4,3.2997855139415937E-4
violence |violence,2014100421,8099,3,3.704161007531794E-4
violence |violence,2014100422,8432,1,1.1859582542694497E-4
violence |violence,2014100423,6306,0,0.0
violence |violence,2014100310,10343,9,8.701537271584647E-4
violence |violence,2014100311,11400,4,3.508771929824561E-4
violence |violence,2014100115,14152,1,7.066139061616732E-5
violence |violence,2014100114,11535,5,4.3346337234503684E-4
violence |violence,2014100117,11365,4,3.519577650681918E-4
violence |violence,2014100116,10904,1,9.170946441672781E-5
violence |violence,2014100111,9571,6,6.268937415108139E-4
violence |violence,2014100110,9126,4,4.3830813061582295E-4
violence |violence,2014100823,5727,6,0.0010476689366160294
violence |violence,2014100113,11543,17,0.0014727540500736377
violence |violence,2014100822,900,1,0.0011111111111111111
violence |violence,2014100112,11651,4,3.433181701141533E-4
violence |violence,2014100119,11403,1,8.769622029290537E-5
violence |violence,2014100118,10294,4,3.885758694385079E-4
violence |violence,2014100604,4638,0,0.0
violence |violence,2014100605,8675,0,0.0
violence |violence,2014100700,5207,2,3.840983291722681E-4
violence |violence,2014100914,3191,0,0.0
violence |violence,2014100602,8176,1,1.223091976516634E-4
violence |violence,2014100915,1000,0,0.0
violence |violence,2014100603,9384,0,0.0
violence |violence,2014100912,2545,4,0.0015717092337917485
violence |violence,2014100608,13680,6,4.385964912280702E-4
violence |violence,2014100913,6771,4,5.907546891153448E-4
violence |violence,2014100609,13287,7,5.268307368104162E-4
violence |violence,2014100810,6053,7,0.001156451346439782
violence |violence,2014100606,4334,1,2.3073373327180433E-4
violence |violence,2014100607,6194,4,6.457862447529867E-4
violence |violence,2014100707,4802,7,0.0014577259475218659
violence |violence,2014100813,7061,6,8.49737997450786E-4
violence |violence,2014100708,5400,4,7.407407407407407E-4
violence |violence,2014100814,6011,13,0.0021627017135252037
violence |violence,2014100705,2740,1,3.64963503649635E-4
violence |violence,2014100811,6604,11,0.001665657177468201
violence |violence,2014100706,3398,2,5.885815185403178E-4
violence |violence,2014100812,5896,21,0.0035617367706919944
violence |violence,2014100817,6743,2,2.9660388551090017E-4
violence |violence,2014100600,15771,2,1.268150402637753E-4
violence |violence,2014100703,5792,0,0.0
violence |violence,2014100818,7400,21,0.002837837837837838
violence |violence,2014100601,8669,1,1.1535355865728458E-4
violence |violence,2014100704,3010,0,0.0
violence |violence,2014100815,5628,21,0.0037313432835820895
violence |violence,2014100701,13455,4,2.9728725380899295E-4
violence |violence,2014100816,7857,5,6.363752068219422E-4
violence |violence,2014100702,8524,1,1.1731581417175035E-4
violence |violence,2014100509,9287,14,0.0015074835791967266
violence |violence,2014100508,6498,0,0.0
violence |violence,2014100819,4300,2,4.6511627906976747E-4
violence |violence,2014100507,16911,1,5.913310862752055E-5
violence |violence,2014100403,6749,0,0.0
violence |violence,2014100506,11836,0,0.0
violence |violence,2014100402,6613,1,1.5121729925903524E-4
violence |violence,2014100505,6487,0,0.0
violence |violence,2014100401,4570,1,2.188183807439825E-4
violence |violence,2014100504,3861,0,0.0
violence |violence,2014100400,5285,1,1.892147587511826E-4
violence |violence,2014100503,4540,0,0.0
violence |violence,2014100709,5572,15,0.0026920315865039484
violence |violence,2014100407,7111,2,2.812543945999156E-4
violence |violence,2014100406,10763,1,9.2910898448388E-5
violence |violence,2014100501,6148,2,3.2530904359141186E-4
violence |violence,2014100405,10366,0,0.0
violence |violence,2014100500,11540,0,0.0
violence |violence,2014100404,3086,0,0.0
violence |violence,2014100409,9932,3,3.0205396697543293E-4
violence |violence,2014100408,10458,1,9.562057754828839E-5
violence |violence,2014100903,4141,0,0.0
violence |violence,2014100613,12260,2,1.631321370309951E-4
violence |violence,2014100904,4854,0,0.0
violence |violence,2014100614,10247,8,7.807163072118669E-4
violence |violence,2014100905,7777,1,1.2858428700012858E-4
violence |violence,2014100615,8801,6,6.817407112828088E-4
violence |violence,2014100710,7431,13,0.0017494280715919794
violence |violence,2014100906,3505,1,2.853067047075606E-4
violence |violence,2014100616,10833,3,2.7693159789531985E-4
violence |violence,2014100711,13474,9,6.679530948493394E-4
violence |violence,2014100617,11523,4,3.4713182330990195E-4
violence |violence,2014100900,3864,3,7.763975155279503E-4
violence |violence,2014100618,10834,2,1.8460402436773122E-4
violence |violence,2014100901,3052,0,0.0
violence |violence,2014100619,10472,1,9.549274255156608E-5
violence |violence,2014100902,4916,0,0.0
violence |violence,2014100716,9756,11,0.001127511275112751
violence |violence,2014100800,3418,1,2.925687536571094E-4
violence |violence,2014100717,12018,22,0.0018305874521551007
violence |violence,2014100801,4912,0,0.0
violence |violence,2014100718,9824,14,0.0014250814332247557
violence |violence,2014100802,4582,1,2.1824530772588389E-4
violence |violence,2014100719,8904,19,0.0021338724168912847
violence |violence,2014100803,4750,0,0.0
violence |violence,2014100712,10146,24,0.002365464222353637
violence |violence,2014100804,8238,1,1.2138868657441127E-4
violence |violence,2014100610,8565,4,4.670169293636894E-4
violence |violence,2014100713,7382,5,6.77323218639935E-4
violence |violence,2014100805,6904,1,1.4484356894553882E-4
violence |violence,2014100611,8676,0,0.0
violence |violence,2014100714,9294,14,0.001506348181622552
violence |violence,2014100806,7696,0,0.0
violence |violence,2014100612,7761,10,0.0012884937508053087
violence |violence,2014100715,8494,2,2.354603249352484E-4
violence |violence,2014100807,6298,3,4.76341695776437E-4
violence |violence,2014100519,13547,7,5.167195689082454E-4
violence |violence,2014100809,5933,16,0.0026967807180178663
violence |violence,2014100518,12589,10,7.943442688061005E-4
violence |violence,2014100808,7916,14,0.0017685699848408287
violence |violence,2014100410,8297,0,0.0
violence |violence,2014100412,8252,2,2.423654871546292E-4
violence |violence,2014100515,6526,10,0.0015323322096230463
violence |violence,2014100411,8736,0,0.0
violence |violence,2014100514,7337,4,5.451819544773068E-4
violence |violence,2014100414,8029,10,0.0012454851164528584
violence |violence,2014100517,16635,5,3.0057108506161706E-4
violence |violence,2014100413,7649,0,0.0
violence |violence,2014100516,7164,2,2.7917364600781687E-4
violence |violence,2014100416,8535,2,2.3432923257176333E-4
violence |violence,2014100511,8203,0,0.0
violence |violence,2014100415,9288,7,7.536606373815676E-4
violence |violence,2014100510,7389,5,6.766815536608473E-4
violence |violence,2014100418,8794,3,3.411416875142142E-4
violence |violence,2014100513,8653,10,0.0011556685542586387
violence |violence,2014100417,9001,2,2.2219753360737697E-4
violence |violence,2014100512,7658,0,0.0
violence |violence,2014100908,14247,5,3.5095107741980766E-4
violence |violence,2014100907,7751,1,1.2901561088891756E-4
violence |violence,2014100419,8630,11,0.0012746234067207416
violence |violence,2014100909,1000,0,0.0
violence |violence,2014100721,11447,13,0.0011356687341661572
violence |violence,2014100722,8294,10,0.0012056908608632747
violence |violence,2014100720,10198,13,0.0012747597568150619
violence |violence,2014100723,5300,13,0.0024528301886792454
violence |violence,2014100520,14801,9,6.080670224984799E-4
violence |violence,2014100523,12605,4,3.1733439111463705E-4
violence |violence,2014100522,10915,1,9.161704076958314E-5
violence |violence,2014100521,14363,4,2.7849335097124555E-4
violence |violence,2014100623,8800,11,0.00125
violence |violence,2014100622,9000,11,0.0012222222222222222
violence |violence,2014100621,9007,4,4.4409903408460086E-4
violence |violence,2014100620,8998,5,5.556790397866192E-4
violence |violence,2014093011,9741,12,0.0012319063751154912
violence |violence,2014093012,11191,2,1.7871503887052095E-4
violence |violence,2014093013,5267,5,9.493070058857034E-4
violence |violence,2014093017,3899,1,2.5647601949217746E-4
violence |violence,2014093018,99,0,0.0
violence |violence,2014093019,8564,9,0.0010509107893507707
