essendon |Essendon,2014100223,8580,5,5.827505827505828E-4
essendon |Essendon,2014100222,12009,55,0.004579898409526189
essendon |Essendon,2014100221,14828,30,0.002023199352576207
essendon |Essendon,2014100220,15090,42,0.002783300198807157
essendon |Essendon,2014093023,7216,1,1.385809312638581E-4
essendon |Essendon,2014093020,2478,1,4.035512510088781E-4
essendon |Essendon,2014093022,2524,0,0.0
essendon |Essendon,2014093021,2547,0,0.0
essendon |Essendon,2014100321,9080,6,6.607929515418502E-4
essendon |Essendon,2014100322,8671,1,1.1532695190866105E-4
essendon |Essendon,2014100320,9381,3,3.197953309881676E-4
essendon |Essendon,2014100323,6929,7,0.001010246788858421
essendon |Essendon,2014100123,8836,21,0.0023766410140334993
essendon |Essendon,2014100122,10378,87,0.008383118134515321
essendon |Essendon,2014100121,12311,313,0.025424417187880757
essendon |Essendon,2014100200,11724,5,4.2647560559535994E-4
essendon |Essendon,2014100201,6861,2,2.915026963999417E-4
essendon |Essendon,2014100309,9997,15,0.0015004501350405122
essendon |Essendon,2014100307,6926,22,0.0031764366156511693
essendon |Essendon,2014100204,8387,0,0.0
essendon |Essendon,2014100308,8532,14,0.0016408813877168307
essendon |Essendon,2014100205,14882,2,1.3439053890606102E-4
essendon |Essendon,2014100305,3838,0,0.0
essendon |Essendon,2014100202,5853,1,1.7085255424568598E-4
essendon |Essendon,2014100306,5526,3,5.428881650380022E-4
essendon |Essendon,2014100203,5613,1,1.7815784785319794E-4
essendon |Essendon,2014100303,5043,0,0.0
essendon |Essendon,2014100208,9640,49,0.00508298755186722
essendon |Essendon,2014100304,4725,3,6.349206349206349E-4
essendon |Essendon,2014100209,12321,39,0.003165327489651814
essendon |Essendon,2014100301,4480,0,0.0
essendon |Essendon,2014100206,9203,15,0.0016299032924046507
essendon |Essendon,2014100302,8095,2,2.470660901791229E-4
essendon |Essendon,2014100207,9445,50,0.005293806246691371
essendon |Essendon,2014100300,6707,2,2.981959147159684E-4
essendon |Essendon,2014100106,45483,0,0.0
essendon |Essendon,2014100105,7742,0,0.0
essendon |Essendon,2014100104,8731,0,0.0
essendon |Essendon,2014100103,1127,0,0.0
essendon |Essendon,2014100102,2940,0,0.0
essendon |Essendon,2014100101,3598,0,0.0
essendon |Essendon,2014100100,1816,0,0.0
essendon |Essendon,2014100109,10999,5,4.545867806164197E-4
essendon |Essendon,2014100108,14670,19,0.0012951601908657124
essendon |Essendon,2014100107,32104,13,4.0493396461500127E-4
essendon |Essendon,2014100210,10300,146,0.014174757281553398
essendon |Essendon,2014100211,11008,211,0.019167877906976744
essendon |Essendon,2014100212,11567,474,0.04097864614852598
essendon |Essendon,2014100316,10537,4,3.7961469108854513E-4
essendon |Essendon,2014100213,10976,263,0.02396137026239067
essendon |Essendon,2014100317,9832,4,4.068348250610252E-4
essendon |Essendon,2014100214,12210,74,0.006060606060606061
essendon |Essendon,2014100318,9075,3,3.3057851239669424E-4
essendon |Essendon,2014100215,11832,34,0.0028735632183908046
essendon |Essendon,2014100319,8645,5,5.78368999421631E-4
essendon |Essendon,2014100216,10725,33,0.003076923076923077
essendon |Essendon,2014100312,10661,13,0.0012193978050839508
essendon |Essendon,2014100217,9835,55,0.005592272496187087
essendon |Essendon,2014100313,9887,21,0.0021240012137149792
essendon |Essendon,2014100218,9907,64,0.006460078732209548
essendon |Essendon,2014100314,9820,7,7.128309572301426E-4
essendon |Essendon,2014100219,11100,45,0.004054054054054054
essendon |Essendon,2014100420,8163,7,8.575278696557638E-4
essendon |Essendon,2014100315,10271,8,7.788920260928828E-4
essendon |Essendon,2014100120,12122,93,0.007672001319914206
essendon |Essendon,2014100421,8099,1,1.2347203358439315E-4
essendon |Essendon,2014100422,8432,1,1.1859582542694497E-4
essendon |Essendon,2014100423,6306,2,3.171582619727244E-4
essendon |Essendon,2014100310,10343,11,0.0010635212220825678
essendon |Essendon,2014100311,11400,13,0.0011403508771929824
essendon |Essendon,2014100115,14152,47,0.0033210853589598645
essendon |Essendon,2014100114,11535,5,4.3346337234503684E-4
essendon |Essendon,2014100117,11365,92,0.008095028596568412
essendon |Essendon,2014100116,10904,78,0.0071533382245047685
essendon |Essendon,2014100111,9571,4,4.179291610072093E-4
essendon |Essendon,2014100110,9126,2,2.1915406530791147E-4
essendon |Essendon,2014100823,5727,6,0.0010476689366160294
essendon |Essendon,2014100113,11543,24,0.002079182188339253
essendon |Essendon,2014100822,900,1,0.0011111111111111111
essendon |Essendon,2014100112,11651,37,0.003175693073555918
essendon |Essendon,2014100119,11403,154,0.013505217925107428
essendon |Essendon,2014100118,10294,99,0.00961725276860307
essendon |Essendon,2014100604,4638,0,0.0
essendon |Essendon,2014100605,8675,0,0.0
essendon |Essendon,2014100700,5207,4,7.681966583445362E-4
essendon |Essendon,2014100914,3191,2,6.267627702914447E-4
essendon |Essendon,2014100602,8176,0,0.0
essendon |Essendon,2014100915,1000,0,0.0
essendon |Essendon,2014100603,9384,0,0.0
essendon |Essendon,2014100912,2545,2,7.858546168958742E-4
essendon |Essendon,2014100608,13680,6,4.385964912280702E-4
essendon |Essendon,2014100913,6771,8,0.0011815093782306897
essendon |Essendon,2014100609,13287,10,7.526153383005946E-4
essendon |Essendon,2014100810,6053,16,0.00264331736329093
essendon |Essendon,2014100606,4334,1,2.3073373327180433E-4
essendon |Essendon,2014100607,6194,0,0.0
essendon |Essendon,2014100707,4802,4,8.329862557267805E-4
essendon |Essendon,2014100813,7061,15,0.0021243449936269652
essendon |Essendon,2014100708,5400,18,0.0033333333333333335
essendon |Essendon,2014100814,6011,10,0.0016636167027116952
essendon |Essendon,2014100705,2740,1,3.64963503649635E-4
essendon |Essendon,2014100811,6604,5,7.571168988491823E-4
essendon |Essendon,2014100706,3398,1,2.942907592701589E-4
essendon |Essendon,2014100812,5896,42,0.007123473541383989
essendon |Essendon,2014100817,6743,4,5.932077710218003E-4
essendon |Essendon,2014100600,15771,1,6.340752013188764E-5
essendon |Essendon,2014100703,5792,0,0.0
essendon |Essendon,2014100818,7400,23,0.003108108108108108
essendon |Essendon,2014100601,8669,1,1.1535355865728458E-4
essendon |Essendon,2014100704,3010,0,0.0
essendon |Essendon,2014100815,5628,8,0.0014214641080312722
essendon |Essendon,2014100701,13455,1,7.432181345224824E-5
essendon |Essendon,2014100816,7857,5,6.363752068219422E-4
essendon |Essendon,2014100702,8524,0,0.0
essendon |Essendon,2014100509,9287,0,0.0
essendon |Essendon,2014100508,6498,1,1.538935056940597E-4
essendon |Essendon,2014100819,4300,9,0.0020930232558139536
essendon |Essendon,2014100507,16911,0,0.0
essendon |Essendon,2014100403,6749,0,0.0
essendon |Essendon,2014100506,11836,1,8.448800270361608E-5
essendon |Essendon,2014100402,6613,1,1.5121729925903524E-4
essendon |Essendon,2014100505,6487,0,0.0
essendon |Essendon,2014100401,4570,1,2.188183807439825E-4
essendon |Essendon,2014100504,3861,0,0.0
essendon |Essendon,2014100400,5285,2,3.784295175023652E-4
essendon |Essendon,2014100503,4540,0,0.0
essendon |Essendon,2014100709,5572,9,0.001615218951902369
essendon |Essendon,2014100407,7111,0,0.0
essendon |Essendon,2014100406,10763,0,0.0
essendon |Essendon,2014100501,6148,0,0.0
essendon |Essendon,2014100405,10366,0,0.0
essendon |Essendon,2014100500,11540,1,8.665511265164645E-5
essendon |Essendon,2014100404,3086,0,0.0
essendon |Essendon,2014100409,9932,5,5.034232782923883E-4
essendon |Essendon,2014100408,10458,5,4.7810288774144193E-4
essendon |Essendon,2014100903,4141,0,0.0
essendon |Essendon,2014100613,12260,29,0.002365415986949429
essendon |Essendon,2014100904,4854,0,0.0
essendon |Essendon,2014100614,10247,10,9.758953840148336E-4
essendon |Essendon,2014100905,7777,0,0.0
essendon |Essendon,2014100615,8801,24,0.0027269628451312353
essendon |Essendon,2014100710,7431,17,0.0022877136320818194
essendon |Essendon,2014100906,3505,0,0.0
essendon |Essendon,2014100616,10833,204,0.01883134865688175
essendon |Essendon,2014100711,13474,15,0.0011132551580822325
essendon |Essendon,2014100617,11523,106,0.0091989933177124
essendon |Essendon,2014100900,3864,2,5.175983436853002E-4
essendon |Essendon,2014100618,10834,61,0.005630422743215802
essendon |Essendon,2014100901,3052,0,0.0
essendon |Essendon,2014100619,10472,31,0.0029602750190985483
essendon |Essendon,2014100902,4916,0,0.0
essendon |Essendon,2014100716,9756,8,8.200082000820008E-4
essendon |Essendon,2014100800,3418,2,5.851375073142189E-4
essendon |Essendon,2014100717,12018,8,6.656681644200366E-4
essendon |Essendon,2014100801,4912,2,4.0716612377850165E-4
essendon |Essendon,2014100718,9824,8,8.143322475570033E-4
essendon |Essendon,2014100802,4582,0,0.0
essendon |Essendon,2014100719,8904,7,7.861635220125787E-4
essendon |Essendon,2014100803,4750,0,0.0
essendon |Essendon,2014100712,10146,18,0.0017740981667652277
essendon |Essendon,2014100804,8238,1,1.2138868657441127E-4
essendon |Essendon,2014100610,8565,9,0.0010507880910683013
essendon |Essendon,2014100713,7382,12,0.001625575724735844
essendon |Essendon,2014100805,6904,0,0.0
essendon |Essendon,2014100611,8676,9,0.001037344398340249
essendon |Essendon,2014100714,9294,7,7.53174090811276E-4
essendon |Essendon,2014100806,7696,1,1.2993762993762994E-4
essendon |Essendon,2014100612,7761,25,0.0032212343770132716
essendon |Essendon,2014100715,8494,6,7.063809748057452E-4
essendon |Essendon,2014100807,6298,1,1.5878056525881233E-4
essendon |Essendon,2014100519,13547,2,1.4763416254521297E-4
essendon |Essendon,2014100809,5933,5,8.427439743805831E-4
essendon |Essendon,2014100518,12589,7,5.560409881642704E-4
essendon |Essendon,2014100808,7916,11,0.0013895907023749369
essendon |Essendon,2014100410,8297,8,9.642039291310112E-4
essendon |Essendon,2014100412,8252,7,8.482792050412022E-4
essendon |Essendon,2014100515,6526,8,0.001225865767698437
essendon |Essendon,2014100411,8736,4,4.578754578754579E-4
essendon |Essendon,2014100514,7337,3,4.088864658579801E-4
essendon |Essendon,2014100414,8029,10,0.0012454851164528584
essendon |Essendon,2014100517,16635,1,6.0114217012323416E-5
essendon |Essendon,2014100413,7649,12,0.001568832527127729
essendon |Essendon,2014100516,7164,3,4.187604690117253E-4
essendon |Essendon,2014100416,8535,11,0.0012888107791446982
essendon |Essendon,2014100511,8203,7,8.533463367060831E-4
essendon |Essendon,2014100415,9288,8,8.613264427217916E-4
essendon |Essendon,2014100510,7389,3,4.060089321965083E-4
essendon |Essendon,2014100418,8794,1,1.1371389583807141E-4
essendon |Essendon,2014100513,8653,4,4.6226742170345545E-4
essendon |Essendon,2014100417,9001,3,3.3329630041106545E-4
essendon |Essendon,2014100512,7658,3,3.917471924784539E-4
essendon |Essendon,2014100908,14247,4,2.807608619358461E-4
essendon |Essendon,2014100907,7751,3,3.8704683266675265E-4
essendon |Essendon,2014100419,8630,3,3.476245654692932E-4
essendon |Essendon,2014100909,1000,1,0.001
essendon |Essendon,2014100721,11447,23,0.002009260068140124
essendon |Essendon,2014100722,8294,28,0.003375934410417169
essendon |Essendon,2014100720,10198,7,6.864090998234948E-4
essendon |Essendon,2014100723,5300,1,1.8867924528301886E-4
essendon |Essendon,2014100520,14801,4,2.7025200999932435E-4
essendon |Essendon,2014100523,12605,0,0.0
essendon |Essendon,2014100522,10915,2,1.832340815391663E-4
essendon |Essendon,2014100521,14363,2,1.3924667548562277E-4
essendon |Essendon,2014100623,8800,11,0.00125
essendon |Essendon,2014100622,9000,28,0.003111111111111111
essendon |Essendon,2014100621,9007,36,0.003996891306761408
essendon |Essendon,2014100620,8998,47,0.005223382973994221
essendon |Essendon,2014093011,9741,0,0.0
essendon |Essendon,2014093012,11191,1,8.935751943526048E-5
essendon |Essendon,2014093013,5267,5,9.493070058857034E-4
essendon |Essendon,2014093017,3899,0,0.0
essendon |Essendon,2014093018,99,0,0.0
essendon |Essendon,2014093019,8564,4,4.6707146193367583E-4
