son |son,2014100223,8580,5,5.827505827505828E-4
son |son,2014100222,12009,5,4.1635440086601716E-4
son |son,2014100221,14828,10,6.74399784192069E-4
son |son,2014100220,15090,2,1.325381047051027E-4
son |son,2014093023,7216,5,6.929046563192905E-4
son |son,2014093020,2478,3,0.0012106537530266344
son |son,2014093022,2524,2,7.92393026941363E-4
son |son,2014093021,2547,8,0.0031409501374165686
son |son,2014100321,9080,3,3.303964757709251E-4
son |son,2014100322,8671,5,5.766347595433052E-4
son |son,2014100320,9381,4,4.263937746508901E-4
son |son,2014100323,6929,9,0.0012988887285322558
son |son,2014100123,8836,5,5.658669081032141E-4
son |son,2014100122,10378,4,3.854307188282906E-4
son |son,2014100121,12311,2,1.6245633985866297E-4
son |son,2014100200,11724,2,1.70590242238144E-4
son |son,2014100201,6861,2,2.915026963999417E-4
son |son,2014100309,9997,2,2.0006001800540162E-4
son |son,2014100307,6926,3,4.331504475887958E-4
son |son,2014100204,8387,1,1.192321449862883E-4
son |son,2014100308,8532,4,4.6882325363338024E-4
son |son,2014100205,14882,3,2.0158580835909153E-4
son |son,2014100305,3838,0,0.0
son |son,2014100202,5853,0,0.0
son |son,2014100306,5526,3,5.428881650380022E-4
son |son,2014100203,5613,0,0.0
son |son,2014100303,5043,1,1.98294665873488E-4
son |son,2014100208,9640,10,0.001037344398340249
son |son,2014100304,4725,1,2.1164021164021165E-4
son |son,2014100209,12321,9,7.304601899196494E-4
son |son,2014100301,4480,0,0.0
son |son,2014100206,9203,2,2.1732043898728675E-4
son |son,2014100302,8095,1,1.2353304508956145E-4
son |son,2014100207,9445,4,4.2350449973530967E-4
son |son,2014100300,6707,2,2.981959147159684E-4
son |son,2014100106,45483,0,0.0
son |son,2014100105,7742,0,0.0
son |son,2014100104,8731,1,1.1453441759248655E-4
son |son,2014100103,1127,0,0.0
son |son,2014100102,2940,1,3.401360544217687E-4
son |son,2014100101,3598,2,5.558643690939411E-4
son |son,2014100100,1816,0,0.0
son |son,2014100109,10999,4,3.6366942449313574E-4
son |son,2014100108,14670,3,2.0449897750511248E-4
son |son,2014100107,32104,3,9.344629952653874E-5
son |son,2014100210,10300,5,4.854368932038835E-4
son |son,2014100211,11008,2,1.816860465116279E-4
son |son,2014100212,11567,13,0.0011238869196853116
son |son,2014100316,10537,2,1.8980734554427256E-4
son |son,2014100213,10976,6,5.466472303206997E-4
son |son,2014100317,9832,6,6.102522375915378E-4
son |son,2014100214,12210,8,6.552006552006552E-4
son |son,2014100318,9075,9,9.917355371900827E-4
son |son,2014100215,11832,4,3.380662609871535E-4
son |son,2014100319,8645,3,3.470213996529786E-4
son |son,2014100216,10725,4,3.7296037296037296E-4
son |son,2014100312,10661,8,7.503986492824313E-4
son |son,2014100217,9835,4,4.067107269954245E-4
son |son,2014100313,9887,19,0.0019217153838373621
son |son,2014100218,9907,2,2.018774603815484E-4
