side |side |sides,2014100223,8580,12,0.0013986013986013986
side |side |sides,2014100222,12009,22,0.0018319593638104754
side |side |sides,2014100221,14828,12,8.092797410304828E-4
side |side |sides,2014100220,15090,19,0.0012591119946984758
side |side |sides,2014093023,7216,68,0.009423503325942351
side |side |sides,2014093020,2478,6,0.002421307506053269
side |side |sides,2014093022,2524,17,0.006735340729001585
side |side |sides,2014093021,2547,2,7.852375343541421E-4
side |side |sides,2014100321,9080,18,0.001982378854625551
side |side |sides,2014100322,8671,14,0.0016145773267212547
side |side |sides,2014100320,9381,18,0.0019187719859290054
side |side |sides,2014100323,6929,10,0.001443209698369173
side |side |sides,2014100123,8836,8,9.053870529651426E-4
side |side |sides,2014100122,10378,24,0.0023125843129697438
side |side |sides,2014100121,12311,30,0.0024368450978799446
side |side |sides,2014100200,11724,7,5.97065847833504E-4
side |side |sides,2014100201,6861,3,4.3725404459991256E-4
side |side |sides,2014100309,9997,9,9.002700810243073E-4
side |side |sides,2014100307,6926,3,4.331504475887958E-4
side |side |sides,2014100204,8387,6,7.153928699177298E-4
side |side |sides,2014100308,8532,11,0.0012892639474917957
side |side |sides,2014100205,14882,5,3.3597634726515254E-4
side |side |sides,2014100305,3838,2,5.211047420531526E-4
side |side |sides,2014100202,5853,7,0.0011959678797198018
side |side |sides,2014100306,5526,6,0.0010857763300760044
side |side |sides,2014100203,5613,7,0.0012471049349723855
side |side |sides,2014100303,5043,3,5.94883997620464E-4
side |side |sides,2014100208,9640,9,9.336099585062241E-4
side |side |sides,2014100304,4725,2,4.232804232804233E-4
side |side |sides,2014100209,12321,14,0.0011362714065416767
side |side |sides,2014100301,4480,7,0.0015625
side |side |sides,2014100206,9203,9,9.779419754427903E-4
side |side |sides,2014100302,8095,6,7.411982705373688E-4
side |side |sides,2014100207,9445,8,8.470089994706193E-4
side |side |sides,2014100300,6707,5,7.45489786789921E-4
side |side |sides,2014100106,45483,46,0.0010113668843304091
side |side |sides,2014100105,7742,16,0.0020666494445879618
side |side |sides,2014100104,8731,58,0.006642996220364219
side |side |sides,2014100103,1127,0,0.0
side |side |sides,2014100102,2940,0,0.0
side |side |sides,2014100101,3598,7,0.0019455252918287938
side |side |sides,2014100100,1816,7,0.003854625550660793
side |side |sides,2014100109,10999,12,0.0010910082734794072
side |side |sides,2014100108,14670,18,0.001226993865030675
side |side |sides,2014100107,32104,18,5.606777971592325E-4
side |side |sides,2014100210,10300,18,0.0017475728155339806
side |side |sides,2014100211,11008,9,8.175872093023256E-4
side |side |sides,2014100212,11567,17,0.0014696982795884845
side |side |sides,2014100316,10537,7,6.64325709404954E-4
side |side |sides,2014100213,10976,11,0.0010021865889212828
