house |houses |House |house,2014100223,8580,18,0.002097902097902098
house |houses |House |house,2014100222,12009,55,0.004579898409526189
house |houses |House |house,2014100221,14828,58,0.003911518748314
house |houses |House |house,2014100220,15090,112,0.0074221338634857525
house |houses |House |house,2014093023,7216,25,0.0034645232815964525
house |houses |House |house,2014093020,2478,8,0.003228410008071025
house |houses |House |house,2014093022,2524,9,0.0035657686212361333
house |houses |House |house,2014093021,2547,5,0.0019630938358853552
house |houses |House |house,2014100321,9080,26,0.0028634361233480176
house |houses |House |house,2014100322,8671,16,0.0018452312305385769
house |houses |House |house,2014100320,9381,27,0.002878157978893508
house |houses |House |house,2014100323,6929,16,0.0023091355173906767
house |houses |House |house,2014100123,8836,14,0.0015844273426889996
house |houses |House |house,2014100122,10378,18,0.0017344382347273077
house |houses |House |house,2014100121,12311,47,0.0038177239866785803
house |houses |House |house,2014100200,11724,9,7.676560900716479E-4
house |houses |House |house,2014100201,6861,6,8.745080891998251E-4
house |houses |House |house,2014100309,9997,23,0.0023006902070621185
house |houses |House |house,2014100307,6926,18,0.0025989026855327752
house |houses |House |house,2014100204,8387,2,2.384642899725766E-4
house |houses |House |house,2014100308,8532,35,0.004102203469292077
house |houses |House |house,2014100205,14882,6,4.0317161671818305E-4
house |houses |House |house,2014100305,3838,4,0.0010422094841063053
house |houses |House |house,2014100202,5853,2,3.4170510849137196E-4
house |houses |House |house,2014100306,5526,15,0.0027144408251900108
house |houses |House |house,2014100203,5613,2,3.563156957063959E-4
house |houses |House |house,2014100303,5043,10,0.00198294665873488
house |houses |House |house,2014100208,9640,31,0.0032157676348547716
house |houses |House |house,2014100304,4725,1,2.1164021164021165E-4
house |houses |House |house,2014100209,12321,42,0.0034088142196250304
house |houses |House |house,2014100301,4480,4,8.928571428571428E-4
house |houses |House |house,2014100206,9203,8,8.69281755949147E-4
house |houses |House |house,2014100302,8095,5,6.176652254478073E-4
house |houses |House |house,2014100207,9445,8,8.470089994706193E-4
house |houses |House |house,2014100300,6707,14,0.0020873714030117787
house |houses |House |house,2014100106,45483,9,1.9787612954290615E-4
house |houses |House |house,2014100105,7742,1,1.291655902867476E-4
house |houses |House |house,2014100104,8731,2,2.290688351849731E-4
house |houses |House |house,2014100103,1127,0,0.0
house |houses |House |house,2014100102,2940,6,0.0020408163265306124
house |houses |House |house,2014100101,3598,7,0.0019455252918287938
house |houses |House |house,2014100100,1816,6,0.003303964757709251
house |houses |House |house,2014100109,10999,21,0.0019092644785889627
house |houses |House |house,2014100108,14670,26,0.0017723244717109748
house |houses |House |house,2014100107,32104,23,7.164216297034637E-4
house |houses |House |house,2014100210,10300,38,0.0036893203883495147
house |houses |House |house,2014100211,11008,111,0.01008357558139535
house |houses |House |house,2014100212,11567,39,0.003371660759055935
house |houses |House |house,2014100316,10537,19,0.0018031697826705894
house |houses |House |house,2014100213,10976,28,0.002551020408163265
house |houses |House |house,2014100317,9832,19,0.0019324654190398698
house |houses |House |house,2014100214,12210,44,0.0036036036036036037
house |houses |House |house,2014100318,9075,22,0.0024242424242424242
house |houses |House |house,2014100215,11832,71,0.006000676132521974
house |houses |House |house,2014100319,8645,20,0.002313475997686524
house |houses |House |house,2014100216,10725,53,0.004941724941724942
house |houses |House |house,2014100312,10661,32,0.0030015945971297252
house |houses |House |house,2014100217,9835,56,0.0056939501779359435
house |houses |House |house,2014100313,9887,26,0.002629715788409022
house |houses |House |house,2014100218,9907,57,0.00575350762087413
house |houses |House |house,2014100314,9820,43,0.004378818737270876
house |houses |House |house,2014100219,11100,49,0.004414414414414414
house |houses |House |house,2014100420,8163,15,0.0018375597206909224
house |houses |House |house,2014100315,10271,32,0.0031155681043715314
house |houses |House |house,2014100120,12122,36,0.0029698069625474343
house |houses |House |house,2014100421,8099,24,0.002963328806025435
house |houses |House |house,2014100422,8432,22,0.0026091081593927895
house |houses |House |house,2014100423,6306,12,0.0019029495718363464
house |houses |House |house,2014100310,10343,27,0.002610461181475394
house |houses |House |house,2014100311,11400,21,0.0018421052631578947
house |houses |House |house,2014100115,14152,37,0.002614471452798191
house |houses |House |house,2014100114,11535,23,0.0019939315127871695
house |houses |House |house,2014100117,11365,25,0.002199736031676199
house |houses |House |house,2014100116,10904,29,0.0026595744680851063
house |houses |House |house,2014100111,9571,19,0.001985163514784244
