melbourne |Melbourne,2014100223,8580,89,0.010372960372960373
melbourne |Melbourne,2014100222,12009,147,0.012240819385460905
melbourne |Melbourne,2014100221,14828,244,0.016455354734286484
melbourne |Melbourne,2014100220,15090,74,0.0049039098740888
melbourne |Melbourne,2014093023,7216,50,0.006929046563192905
melbourne |Melbourne,2014093020,2478,17,0.006860371267150928
melbourne |Melbourne,2014093022,2524,17,0.006735340729001585
melbourne |Melbourne,2014093021,2547,20,0.007852375343541421
melbourne |Melbourne,2014100321,9080,81,0.008920704845814979
melbourne |Melbourne,2014100322,8671,87,0.010033444816053512
melbourne |Melbourne,2014100320,9381,61,0.006502505063426074
melbourne |Melbourne,2014100323,6929,26,0.00375234521575985
melbourne |Melbourne,2014100123,8836,23,0.002602987777274785
melbourne |Melbourne,2014100122,10378,46,0.004432453266525342
melbourne |Melbourne,2014100121,12311,55,0.004467549346113232
melbourne |Melbourne,2014100200,11724,22,0.0018764926646195838
melbourne |Melbourne,2014100201,6861,16,0.0023320215711995335
melbourne |Melbourne,2014100309,9997,68,0.006802040612183655
melbourne |Melbourne,2014100307,6926,29,0.00418712099335836
melbourne |Melbourne,2014100204,8387,6,7.153928699177298E-4
melbourne |Melbourne,2014100308,8532,66,0.007735583684950774
melbourne |Melbourne,2014100205,14882,4,2.6878107781212203E-4
melbourne |Melbourne,2014100305,3838,13,0.0033871808233454925
melbourne |Melbourne,2014100202,5853,8,0.0013668204339654878
melbourne |Melbourne,2014100306,5526,25,0.004524068041983352
melbourne |Melbourne,2014100203,5613,4,7.126313914127917E-4
melbourne |Melbourne,2014100303,5043,6,0.001189767995240928
melbourne |Melbourne,2014100208,9640,65,0.006742738589211619
melbourne |Melbourne,2014100304,4725,10,0.0021164021164021165
melbourne |Melbourne,2014100209,12321,103,0.008359711062413766
melbourne |Melbourne,2014100301,4480,45,0.010044642857142858
melbourne |Melbourne,2014100206,9203,19,0.0020645441703792244
melbourne |Melbourne,2014100302,8095,5,6.176652254478073E-4
melbourne |Melbourne,2014100207,9445,35,0.0037056643726839597
melbourne |Melbourne,2014100300,6707,37,0.005516624422245415
melbourne |Melbourne,2014100106,45483,22,4.836972055493261E-4
melbourne |Melbourne,2014100105,7742,7,9.041591320072332E-4
melbourne |Melbourne,2014100104,8731,5,5.726720879624327E-4
melbourne |Melbourne,2014100103,1127,1,8.873114463176575E-4
melbourne |Melbourne,2014100102,2940,6,0.0020408163265306124
melbourne |Melbourne,2014100101,3598,13,0.003613118399110617
melbourne |Melbourne,2014100100,1816,11,0.006057268722466961
melbourne |Melbourne,2014100109,10999,56,0.005091371942903901
melbourne |Melbourne,2014100108,14670,68,0.00463531015678255
melbourne |Melbourne,2014100107,32104,46,0.0014328432594069274
melbourne |Melbourne,2014100210,10300,91,0.008834951456310679
melbourne |Melbourne,2014100211,11008,97,0.008811773255813954
melbourne |Melbourne,2014100212,11567,59,0.005100717558571799
melbourne |Melbourne,2014100316,10537,88,0.008351523203947993
melbourne |Melbourne,2014100213,10976,88,0.008017492711370262
melbourne |Melbourne,2014100317,9832,116,0.011798209926769731
melbourne |Melbourne,2014100214,12210,99,0.008108108108108109
melbourne |Melbourne,2014100318,9075,74,0.008154269972451791
melbourne |Melbourne,2014100215,11832,72,0.006085192697768763
melbourne |Melbourne,2014100319,8645,71,0.00821283979178716
melbourne |Melbourne,2014100216,10725,68,0.00634032634032634
melbourne |Melbourne,2014100312,10661,82,0.007691586155144921
melbourne |Melbourne,2014100217,9835,65,0.0066090493136756485
melbourne |Melbourne,2014100313,9887,71,0.007181146960655406
melbourne |Melbourne,2014100218,9907,116,0.011708892702129808
melbourne |Melbourne,2014100314,9820,109,0.01109979633401222
melbourne |Melbourne,2014100219,11100,83,0.007477477477477477
melbourne |Melbourne,2014100420,8163,51,0.006247703050349137
melbourne |Melbourne,2014100315,10271,99,0.009638788822899426
melbourne |Melbourne,2014100120,12122,58,0.004784688995215311
melbourne |Melbourne,2014100421,8099,60,0.007408322015063588
melbourne |Melbourne,2014100422,8432,51,0.006048387096774193
melbourne |Melbourne,2014100423,6306,49,0.007770377418331748
melbourne |Melbourne,2014100310,10343,105,0.010151793483515421
melbourne |Melbourne,2014100311,11400,74,0.006491228070175438
melbourne |Melbourne,2014100115,14152,80,0.005652911249293386
melbourne |Melbourne,2014100114,11535,65,0.005635023840485479
melbourne |Melbourne,2014100117,11365,95,0.008358996920369555
melbourne |Melbourne,2014100116,10904,103,0.009446074834922965
melbourne |Melbourne,2014100111,9571,87,0.009089959251906803
melbourne |Melbourne,2014100110,9126,62,0.006793776024545255
melbourne |Melbourne,2014100823,5727,31,0.0054129561725161516
melbourne |Melbourne,2014100113,11543,72,0.00623754656501776
melbourne |Melbourne,2014100822,900,5,0.005555555555555556
melbourne |Melbourne,2014100112,11651,88,0.007552999742511372
melbourne |Melbourne,2014100119,11403,71,0.006226431640796282
melbourne |Melbourne,2014100118,10294,84,0.008160093258208665
melbourne |Melbourne,2014100604,4638,7,0.001509271237602415
melbourne |Melbourne,2014100605,8675,12,0.00138328530259366
melbourne |Melbourne,2014100700,5207,10,0.0019204916458613404
melbourne |Melbourne,2014100914,3191,18,0.005640864932623002
melbourne |Melbourne,2014100602,8176,8,9.784735812133072E-4
melbourne |Melbourne,2014100915,1000,13,0.013
melbourne |Melbourne,2014100603,9384,8,8.525149190110827E-4
melbourne |Melbourne,2014100912,2545,23,0.009037328094302554
melbourne |Melbourne,2014100608,13680,51,0.0037280701754385964
melbourne |Melbourne,2014100913,6771,58,0.0085659429921725
melbourne |Melbourne,2014100609,13287,58,0.004365168962143448
melbourne |Melbourne,2014100810,6053,50,0.008260366760284157
melbourne |Melbourne,2014100606,4334,37,0.00853714813105676
melbourne |Melbourne,2014100607,6194,52,0.008395221181788828
melbourne |Melbourne,2014100707,4802,70,0.014577259475218658
melbourne |Melbourne,2014100813,7061,47,0.0066562809800311575
melbourne |Melbourne,2014100708,5400,61,0.011296296296296296
melbourne |Melbourne,2014100814,6011,47,0.007818998502744968
