street |street |streets,2014100223,8580,10,0.0011655011655011655
street |street |streets,2014100222,12009,22,0.0018319593638104754
street |street |streets,2014100221,14828,16,0.0010790396547073105
street |street |streets,2014100220,15090,21,0.0013916500994035786
street |street |streets,2014093023,7216,7,9.700665188470067E-4
street |street |streets,2014093020,2478,3,0.0012106537530266344
street |street |streets,2014093022,2524,5,0.0019809825673534074
street |street |streets,2014093021,2547,4,0.0015704750687082843
street |street |streets,2014100321,9080,13,0.0014317180616740088
street |street |streets,2014100322,8671,8,9.226156152692884E-4
street |street |streets,2014100320,9381,13,0.0013857797676153929
street |street |streets,2014100323,6929,19,0.002742098426901429
street |street |streets,2014100123,8836,22,0.002489814395654142
street |street |streets,2014100122,10378,15,0.0014453651956060898
street |street |streets,2014100121,12311,8,6.498253594346519E-4
street |street |streets,2014100200,11724,11,9.382463323097919E-4
street |street |streets,2014100201,6861,6,8.745080891998251E-4
street |street |streets,2014100309,9997,21,0.002100630189056717
street |street |streets,2014100307,6926,11,0.0015882183078255846
street |street |streets,2014100204,8387,5,5.961607249314415E-4
street |street |streets,2014100308,8532,17,0.0019924988279418658
street |street |streets,2014100205,14882,2,1.3439053890606102E-4
street |street |streets,2014100305,3838,2,5.211047420531526E-4
street |street |streets,2014100202,5853,3,5.125576627370579E-4
street |street |streets,2014100306,5526,3,5.428881650380022E-4
street |street |streets,2014100203,5613,2,3.563156957063959E-4
street |street |streets,2014100303,5043,2,3.96589331746976E-4
street |street |streets,2014100208,9640,28,0.002904564315352697
street |street |streets,2014100304,4725,2,4.232804232804233E-4
street |street |streets,2014100209,12321,39,0.003165327489651814
street |street |streets,2014100301,4480,4,8.928571428571428E-4
street |street |streets,2014100206,9203,8,8.69281755949147E-4
street |street |streets,2014100302,8095,2,2.470660901791229E-4
street |street |streets,2014100207,9445,9,9.528851244044468E-4
street |street |streets,2014100300,6707,4,5.963918294319368E-4
street |street |streets,2014100106,45483,4,8.794494646351384E-5
street |street |streets,2014100105,7742,4,5.166623611469904E-4
street |street |streets,2014100104,8731,2,2.290688351849731E-4
street |street |streets,2014100103,1127,0,0.0
street |street |streets,2014100102,2940,3,0.0010204081632653062
street |street |streets,2014100101,3598,2,5.558643690939411E-4
street |street |streets,2014100100,1816,2,0.0011013215859030838
street |street |streets,2014100109,10999,22,0.0020001818347122466
street |street |streets,2014100108,14670,15,0.0010224948875255625
street |street |streets,2014100107,32104,11,3.4263643159730873E-4
street |street |streets,2014100210,10300,15,0.0014563106796116505
street |street |streets,2014100211,11008,26,0.0023619186046511626
street |street |streets,2014100212,11567,19,0.001642603959540071
street |street |streets,2014100316,10537,19,0.0018031697826705894
street |street |streets,2014100213,10976,16,0.0014577259475218659
street |street |streets,2014100317,9832,25,0.0025427176566314076
street |street |streets,2014100214,12210,16,0.0013104013104013104
street |street |streets,2014100318,9075,19,0.00209366391184573
street |street |streets,2014100215,11832,23,0.0019438810006761325
street |street |streets,2014100319,8645,9,0.0010410641989589359
street |street |streets,2014100216,10725,14,0.0013053613053613054
street |street |streets,2014100312,10661,18,0.0016883969608854704
street |street |streets,2014100217,9835,27,0.0027452974072191155
street |street |streets,2014100313,9887,25,0.0025285728734702135
street |street |streets,2014100218,9907,22,0.0022206520641970323
street |street |streets,2014100314,9820,20,0.002036659877800407
street |street |streets,2014100219,11100,23,0.002072072072072072
street |street |streets,2014100420,8163,11,0.001347543795173343
street |street |streets,2014100315,10271,29,0.0028234835945867005
street |street |streets,2014100120,12122,11,9.074410163339383E-4
street |street |streets,2014100421,8099,11,0.0013581923694283246
street |street |streets,2014100422,8432,7,8.301707779886148E-4
street |street |streets,2014100423,6306,9,0.0014272121788772598
street |street |streets,2014100310,10343,22,0.0021270424441651357
street |street |streets,2014100311,11400,10,8.771929824561404E-4
street |street |streets,2014100115,14152,23,0.0016252119841718485
street |street |streets,2014100114,11535,16,0.0013870827915041179
street |street |streets,2014100117,11365,17,0.0014958205015398152
street |street |streets,2014100116,10904,22,0.0020176082171680116
street |street |streets,2014100111,9571,19,0.001985163514784244
street |street |streets,2014100110,9126,17,0.0018628095551172475
street |street |streets,2014100823,5727,5,8.730574471800245E-4
street |street |streets,2014100113,11543,18,0.00155938664125444
street |street |streets,2014100822,900,1,0.0011111111111111111
street |street |streets,2014100112,11651,13,0.0011157840528709983
street |street |streets,2014100119,11403,11,9.646584232219592E-4
street |street |streets,2014100118,10294,22,0.002137167281911793
street |street |streets,2014100604,4638,4,8.624407072013799E-4
street |street |streets,2014100605,8675,3,3.45821325648415E-4
street |street |streets,2014100700,5207,2,3.840983291722681E-4
street |street |streets,2014100914,3191,37,0.011595111250391726
street |street |streets,2014100602,8176,4,4.892367906066536E-4
street |street |streets,2014100915,1000,13,0.013
street |street |streets,2014100603,9384,4,4.2625745950554135E-4
street |street |streets,2014100912,2545,27,0.010609037328094302
street |street |streets,2014100608,13680,13,9.502923976608187E-4
street |street |streets,2014100913,6771,49,0.007236744941662975
street |street |streets,2014100609,13287,20,0.0015052306766011891
street |street |streets,2014100810,6053,10,0.0016520733520568314
street |street |streets,2014100606,4334,4,9.229349330872173E-4
street |street |streets,2014100607,6194,14,0.0022602518566354536
street |street |streets,2014100707,4802,10,0.0020824656393169513
street |street |streets,2014100813,7061,11,0.001557852995326441
street |street |streets,2014100708,5400,13,0.0024074074074074076
street |street |streets,2014100814,6011,16,0.0026617867243387125
street |street |streets,2014100705,2740,3,0.0010948905109489052
street |street |streets,2014100811,6604,10,0.0015142337976983646
street |street |streets,2014100706,3398,2,5.885815185403178E-4
street |street |streets,2014100812,5896,6,0.0010176390773405698
street |street |streets,2014100817,6743,12,0.0017796233130654012
street |street |streets,2014100600,15771,15,9.511128019783146E-4
street |street |streets,2014100703,5792,4,6.906077348066298E-4
street |street |streets,2014100818,7400,5,6.756756756756757E-4
street |street |streets,2014100601,8669,17,0.0019610104971738377
street |street |streets,2014100704,3010,1,3.322259136212625E-4
street |street |streets,2014100815,5628,8,0.0014214641080312722
street |street |streets,2014100701,13455,9,6.688963210702341E-4
street |street |streets,2014100816,7857,13,0.0016545755377370497
street |street |streets,2014100702,8524,1,1.1731581417175035E-4
street |street |streets,2014100509,9287,7,7.537417895983633E-4
street |street |streets,2014100508,6498,6,9.233610341643582E-4
street |street |streets,2014100819,4300,8,0.0018604651162790699
street |street |streets,2014100507,16911,2,1.182662172550411E-4
street |street |streets,2014100403,6749,5,7.408504963698325E-4
street |street |streets,2014100506,11836,3,2.5346400811084827E-4
street |street |streets,2014100402,6613,4,6.048691970361409E-4
street |street |streets,2014100505,6487,5,7.707723138584862E-4
street |street |streets,2014100401,4570,6,0.001312910284463895
street |street |streets,2014100504,3861,4,0.001036001036001036
street |street |streets,2014100400,5285,9,0.0017029328287606433
street |street |streets,2014100503,4540,1,2.2026431718061675E-4
street |street |streets,2014100709,5572,53,0.009511844938980617
street |street |streets,2014100407,7111,8,0.0011250175783996624
street |street |streets,2014100406,10763,3,2.78732695345164E-4
street |street |streets,2014100501,6148,8,0.0013012361743656475
street |street |streets,2014100405,10366,4,3.8587690526721975E-4
street |street |streets,2014100500,11540,7,6.065857885615251E-4
street |street |streets,2014100404,3086,0,0.0
street |street |streets,2014100409,9932,19,0.0019130084575110754
street |street |streets,2014100408,10458,12,0.0011474469305794606
street |street |streets,2014100903,4141,3,7.244626901714562E-4
street |street |streets,2014100613,12260,9,7.34094616639478E-4
street |street |streets,2014100904,4854,5,0.0010300782859497322
street |street |streets,2014100614,10247,11,0.001073484922416317
street |street |streets,2014100905,7777,0,0.0
street |street |streets,2014100615,8801,9,0.0010226110669242132
street |street |streets,2014100710,7431,58,0.007805140627102678
street |street |streets,2014100906,3505,6,0.0017118402282453639
street |street |streets,2014100616,10833,19,0.0017539001200036924
street |street |streets,2014100711,13474,44,0.003265548463707882
street |street |streets,2014100617,11523,13,0.0011281784257571813
street |street |streets,2014100900,3864,5,0.0012939958592132505
street |street |streets,2014100618,10834,10,9.230201218386561E-4
street |street |streets,2014100901,3052,5,0.00163826998689384
street |street |streets,2014100619,10472,18,0.0017188693659281895
street |street |streets,2014100902,4916,7,0.0014239218877135883
street |street |streets,2014100716,9756,18,0.0018450184501845018
street |street |streets,2014100800,3418,6,0.0017554125219426564
street |street |streets,2014100717,12018,26,0.002163421534365119
street |street |streets,2014100801,4912,6,0.0012214983713355048
street |street |streets,2014100718,9824,25,0.002544788273615635
street |street |streets,2014100802,4582,1,2.1824530772588389E-4
street |street |streets,2014100719,8904,25,0.002807726864330638
street |street |streets,2014100803,4750,4,8.421052631578948E-4
street |street |streets,2014100712,10146,36,0.0035481963335304554
street |street |streets,2014100804,8238,4,4.8555474629764507E-4
street |street |streets,2014100610,8565,12,0.0014010507880910684
street |street |streets,2014100713,7382,28,0.003793010024383636
street |street |streets,2014100805,6904,4,5.793742757821553E-4
street |street |streets,2014100611,8676,12,0.0013831258644536654
street |street |streets,2014100714,9294,16,0.0017215407789972026
street |street |streets,2014100806,7696,5,6.496881496881497E-4
street |street |streets,2014100612,7761,7,9.01945625563716E-4
street |street |streets,2014100715,8494,28,0.0032964445490934777
street |street |streets,2014100807,6298,11,0.0017465862178469354
street |street |streets,2014100519,13547,13,9.596220565438843E-4
street |street |streets,2014100809,5933,14,0.002359683128265633
street |street |streets,2014100518,12589,20,0.001588688537612201
street |street |streets,2014100808,7916,26,0.003284487114704396
street |street |streets,2014100410,8297,25,0.00301313727853441
street |street |streets,2014100412,8252,14,0.0016965584100824044
street |street |streets,2014100515,6526,8,0.001225865767698437
street |street |streets,2014100411,8736,17,0.001945970695970696
street |street |streets,2014100514,7337,9,0.0012266593975739403
street |street |streets,2014100414,8029,23,0.0028646157678415742
street |street |streets,2014100517,16635,13,7.814848211602044E-4
