hawthorn |Hawthorn,2014100223,8580,2,2.331002331002331E-4
hawthorn |Hawthorn,2014100222,12009,2,1.6654176034640685E-4
hawthorn |Hawthorn,2014100221,14828,4,2.697599136768276E-4
hawthorn |Hawthorn,2014100220,15090,6,3.9761431411530816E-4
hawthorn |Hawthorn,2014093023,7216,0,0.0
hawthorn |Hawthorn,2014093020,2478,0,0.0
hawthorn |Hawthorn,2014093022,2524,0,0.0
hawthorn |Hawthorn,2014093021,2547,1,3.9261876717707107E-4
hawthorn |Hawthorn,2014100321,9080,1,1.1013215859030837E-4
hawthorn |Hawthorn,2014100322,8671,2,2.306539038173221E-4
hawthorn |Hawthorn,2014100320,9381,7,7.461891056390577E-4
hawthorn |Hawthorn,2014100323,6929,2,2.886419396738346E-4
hawthorn |Hawthorn,2014100123,8836,2,2.2634676324128565E-4
hawthorn |Hawthorn,2014100122,10378,7,6.745037579495086E-4
hawthorn |Hawthorn,2014100121,12311,4,3.2491267971732594E-4
hawthorn |Hawthorn,2014100200,11724,0,0.0
hawthorn |Hawthorn,2014100201,6861,1,1.4575134819997084E-4
hawthorn |Hawthorn,2014100309,9997,14,0.0014004201260378114
hawthorn |Hawthorn,2014100307,6926,0,0.0
hawthorn |Hawthorn,2014100204,8387,0,0.0
hawthorn |Hawthorn,2014100308,8532,3,3.5161744022503517E-4
hawthorn |Hawthorn,2014100205,14882,1,6.719526945303051E-5
hawthorn |Hawthorn,2014100305,3838,0,0.0
hawthorn |Hawthorn,2014100202,5853,0,0.0
hawthorn |Hawthorn,2014100306,5526,0,0.0
hawthorn |Hawthorn,2014100203,5613,0,0.0
hawthorn |Hawthorn,2014100303,5043,0,0.0
hawthorn |Hawthorn,2014100208,9640,2,2.074688796680498E-4
hawthorn |Hawthorn,2014100304,4725,0,0.0
hawthorn |Hawthorn,2014100209,12321,5,4.0581121662202745E-4
hawthorn |Hawthorn,2014100301,4480,0,0.0
hawthorn |Hawthorn,2014100206,9203,0,0.0
hawthorn |Hawthorn,2014100302,8095,1,1.2353304508956145E-4
hawthorn |Hawthorn,2014100207,9445,0,0.0
hawthorn |Hawthorn,2014100300,6707,0,0.0
hawthorn |Hawthorn,2014100106,45483,0,0.0
hawthorn |Hawthorn,2014100105,7742,0,0.0
hawthorn |Hawthorn,2014100104,8731,0,0.0
hawthorn |Hawthorn,2014100103,1127,0,0.0
hawthorn |Hawthorn,2014100102,2940,1,3.401360544217687E-4
hawthorn |Hawthorn,2014100101,3598,0,0.0
hawthorn |Hawthorn,2014100100,1816,0,0.0
hawthorn |Hawthorn,2014100109,10999,2,1.8183471224656787E-4
hawthorn |Hawthorn,2014100108,14670,5,3.4083162917518747E-4
hawthorn |Hawthorn,2014100107,32104,0,0.0
hawthorn |Hawthorn,2014100210,10300,1,9.70873786407767E-5
hawthorn |Hawthorn,2014100211,11008,2,1.816860465116279E-4
hawthorn |Hawthorn,2014100212,11567,18,0.0015561511195642777
hawthorn |Hawthorn,2014100316,10537,3,2.847110183164088E-4
hawthorn |Hawthorn,2014100213,10976,8,7.288629737609329E-4
hawthorn |Hawthorn,2014100317,9832,3,3.051261187957689E-4
hawthorn |Hawthorn,2014100214,12210,3,2.457002457002457E-4
hawthorn |Hawthorn,2014100318,9075,5,5.509641873278236E-4
hawthorn |Hawthorn,2014100215,11832,9,7.606490872210953E-4
hawthorn |Hawthorn,2014100319,8645,4,4.626951995373048E-4
hawthorn |Hawthorn,2014100216,10725,4,3.7296037296037296E-4
hawthorn |Hawthorn,2014100312,10661,10,9.379983116030392E-4
hawthorn |Hawthorn,2014100217,9835,11,0.0011184544992374173
hawthorn |Hawthorn,2014100313,9887,6,6.068574896328512E-4
hawthorn |Hawthorn,2014100218,9907,2,2.018774603815484E-4
hawthorn |Hawthorn,2014100314,9820,2,2.0366598778004074E-4
hawthorn |Hawthorn,2014100219,11100,5,4.5045045045045046E-4
hawthorn |Hawthorn,2014100420,8163,6,7.35023888276369E-4
hawthorn |Hawthorn,2014100315,10271,4,3.894460130464414E-4
hawthorn |Hawthorn,2014100120,12122,4,3.2997855139415937E-4
hawthorn |Hawthorn,2014100421,8099,7,8.64304235090752E-4
hawthorn |Hawthorn,2014100422,8432,2,2.3719165085388995E-4
hawthorn |Hawthorn,2014100423,6306,4,6.343165239454488E-4
hawthorn |Hawthorn,2014100310,10343,61,0.005897708595185149
hawthorn |Hawthorn,2014100311,11400,22,0.0019298245614035089
hawthorn |Hawthorn,2014100115,14152,2,1.4132278123233464E-4
hawthorn |Hawthorn,2014100114,11535,2,1.7338534893801473E-4
hawthorn |Hawthorn,2014100117,11365,4,3.519577650681918E-4
hawthorn |Hawthorn,2014100116,10904,4,3.6683785766691124E-4
hawthorn |Hawthorn,2014100111,9571,2,2.0896458050360465E-4
hawthorn |Hawthorn,2014100110,9126,0,0.0
hawthorn |Hawthorn,2014100823,5727,0,0.0
hawthorn |Hawthorn,2014100113,11543,2,1.7326518236160444E-4
hawthorn |Hawthorn,2014100822,900,0,0.0
hawthorn |Hawthorn,2014100112,11651,10,8.582954252853832E-4
hawthorn |Hawthorn,2014100119,11403,4,3.507848811716215E-4
hawthorn |Hawthorn,2014100118,10294,1,9.714396735962697E-5
hawthorn |Hawthorn,2014100604,4638,0,0.0
hawthorn |Hawthorn,2014100605,8675,1,1.1527377521613833E-4
hawthorn |Hawthorn,2014100700,5207,0,0.0
hawthorn |Hawthorn,2014100914,3191,2,6.267627702914447E-4
hawthorn |Hawthorn,2014100602,8176,1,1.223091976516634E-4
hawthorn |Hawthorn,2014100915,1000,1,0.001
hawthorn |Hawthorn,2014100603,9384,0,0.0
hawthorn |Hawthorn,2014100912,2545,2,7.858546168958742E-4
hawthorn |Hawthorn,2014100608,13680,1,7.309941520467836E-5
hawthorn |Hawthorn,2014100913,6771,7,0.0010338207059518536
hawthorn |Hawthorn,2014100609,13287,3,2.2578460149017836E-4
hawthorn |Hawthorn,2014100810,6053,3,4.956220056170494E-4
hawthorn |Hawthorn,2014100606,4334,0,0.0
hawthorn |Hawthorn,2014100607,6194,2,3.2289312237649337E-4
hawthorn |Hawthorn,2014100707,4802,3,6.247396917950854E-4
hawthorn |Hawthorn,2014100813,7061,2,2.83245999150262E-4
hawthorn |Hawthorn,2014100708,5400,3,5.555555555555556E-4
hawthorn |Hawthorn,2014100814,6011,2,3.3272334054233906E-4
hawthorn |Hawthorn,2014100705,2740,0,0.0
hawthorn |Hawthorn,2014100811,6604,2,3.028467595396729E-4
hawthorn |Hawthorn,2014100706,3398,1,2.942907592701589E-4
hawthorn |Hawthorn,2014100812,5896,3,5.088195386702849E-4
hawthorn |Hawthorn,2014100817,6743,1,1.4830194275545008E-4
hawthorn |Hawthorn,2014100600,15771,1,6.340752013188764E-5
hawthorn |Hawthorn,2014100703,5792,0,0.0
hawthorn |Hawthorn,2014100818,7400,1,1.3513513513513514E-4
hawthorn |Hawthorn,2014100601,8669,0,0.0
hawthorn |Hawthorn,2014100704,3010,0,0.0
hawthorn |Hawthorn,2014100815,5628,1,1.7768301350390902E-4
hawthorn |Hawthorn,2014100701,13455,0,0.0
hawthorn |Hawthorn,2014100816,7857,0,0.0
hawthorn |Hawthorn,2014100702,8524,0,0.0
hawthorn |Hawthorn,2014100509,9287,3,3.230321955421557E-4
hawthorn |Hawthorn,2014100508,6498,4,6.155740227762388E-4
hawthorn |Hawthorn,2014100819,4300,1,2.3255813953488373E-4
hawthorn |Hawthorn,2014100507,16911,0,0.0
hawthorn |Hawthorn,2014100403,6749,0,0.0
hawthorn |Hawthorn,2014100506,11836,0,0.0
hawthorn |Hawthorn,2014100402,6613,0,0.0
hawthorn |Hawthorn,2014100505,6487,1,1.5415446277169725E-4
hawthorn |Hawthorn,2014100401,4570,0,0.0
hawthorn |Hawthorn,2014100504,3861,1,2.59000259000259E-4
hawthorn |Hawthorn,2014100400,5285,0,0.0
hawthorn |Hawthorn,2014100503,4540,0,0.0
hawthorn |Hawthorn,2014100709,5572,2,3.589375448671931E-4
hawthorn |Hawthorn,2014100407,7111,2,2.812543945999156E-4
hawthorn |Hawthorn,2014100406,10763,1,9.2910898448388E-5
hawthorn |Hawthorn,2014100501,6148,1,1.6265452179570593E-4
hawthorn |Hawthorn,2014100405,10366,0,0.0
hawthorn |Hawthorn,2014100500,11540,2,1.733102253032929E-4
hawthorn |Hawthorn,2014100404,3086,0,0.0
hawthorn |Hawthorn,2014100409,9932,5,5.034232782923883E-4
hawthorn |Hawthorn,2014100408,10458,1,9.562057754828839E-5
hawthorn |Hawthorn,2014100903,4141,1,2.414875633904854E-4
hawthorn |Hawthorn,2014100613,12260,1,8.156606851549755E-5
hawthorn |Hawthorn,2014100904,4854,0,0.0
hawthorn |Hawthorn,2014100614,10247,3,2.927686152044501E-4
hawthorn |Hawthorn,2014100905,7777,0,0.0
hawthorn |Hawthorn,2014100615,8801,38,0.004317691171457789
hawthorn |Hawthorn,2014100710,7431,2,2.6914278024491994E-4
hawthorn |Hawthorn,2014100906,3505,0,0.0
hawthorn |Hawthorn,2014100616,10833,3,2.7693159789531985E-4
hawthorn |Hawthorn,2014100711,13474,2,1.4843402107763098E-4
hawthorn |Hawthorn,2014100617,11523,66,0.005727675084613382
hawthorn |Hawthorn,2014100900,3864,2,5.175983436853002E-4
hawthorn |Hawthorn,2014100618,10834,33,0.0030459664020675652
hawthorn |Hawthorn,2014100901,3052,0,0.0
hawthorn |Hawthorn,2014100619,10472,18,0.0017188693659281895
hawthorn |Hawthorn,2014100902,4916,0,0.0
hawthorn |Hawthorn,2014100716,9756,33,0.0033825338253382535
hawthorn |Hawthorn,2014100800,3418,0,0.0
hawthorn |Hawthorn,2014100717,12018,24,0.00199700449326011
hawthorn |Hawthorn,2014100801,4912,0,0.0
hawthorn |Hawthorn,2014100718,9824,8,8.143322475570033E-4
hawthorn |Hawthorn,2014100802,4582,0,0.0
hawthorn |Hawthorn,2014100719,8904,63,0.007075471698113208
hawthorn |Hawthorn,2014100803,4750,0,0.0
hawthorn |Hawthorn,2014100712,10146,2,1.9712201852946975E-4
hawthorn |Hawthorn,2014100804,8238,0,0.0
hawthorn |Hawthorn,2014100610,8565,4,4.670169293636894E-4
hawthorn |Hawthorn,2014100713,7382,7,9.48252506095909E-4
hawthorn |Hawthorn,2014100805,6904,0,0.0
hawthorn |Hawthorn,2014100611,8676,2,2.305209774089442E-4
hawthorn |Hawthorn,2014100714,9294,3,3.2278889606197545E-4
hawthorn |Hawthorn,2014100806,7696,1,1.2993762993762994E-4
hawthorn |Hawthorn,2014100612,7761,7,9.01945625563716E-4
hawthorn |Hawthorn,2014100715,8494,2,2.354603249352484E-4
hawthorn |Hawthorn,2014100807,6298,0,0.0
hawthorn |Hawthorn,2014100519,13547,9,6.643537314534584E-4
hawthorn |Hawthorn,2014100809,5933,2,3.370975897522333E-4
hawthorn |Hawthorn,2014100518,12589,13,0.0010326475494479308
hawthorn |Hawthorn,2014100808,7916,1,1.2632642748863063E-4
hawthorn |Hawthorn,2014100410,8297,7,8.436784379896348E-4
hawthorn |Hawthorn,2014100412,8252,1,1.211827435773146E-4
hawthorn |Hawthorn,2014100515,6526,3,4.5969966288691386E-4
hawthorn |Hawthorn,2014100411,8736,2,2.2893772893772894E-4
hawthorn |Hawthorn,2014100514,7337,1,1.362954886193267E-4
hawthorn |Hawthorn,2014100414,8029,8,9.963880931622867E-4
hawthorn |Hawthorn,2014100517,16635,5,3.0057108506161706E-4
hawthorn |Hawthorn,2014100413,7649,4,5.229441757092431E-4
hawthorn |Hawthorn,2014100516,7164,1,1.3958682300390843E-4
hawthorn |Hawthorn,2014100416,8535,3,3.51493848857645E-4
hawthorn |Hawthorn,2014100511,8203,1,1.2190661952944045E-4
hawthorn |Hawthorn,2014100415,9288,2,2.153316106804479E-4
hawthorn |Hawthorn,2014100510,7389,5,6.766815536608473E-4
hawthorn |Hawthorn,2014100418,8794,2,2.2742779167614282E-4
hawthorn |Hawthorn,2014100513,8653,5,5.778342771293193E-4
hawthorn |Hawthorn,2014100417,9001,8,8.887901344295079E-4
hawthorn |Hawthorn,2014100512,7658,3,3.917471924784539E-4
hawthorn |Hawthorn,2014100908,14247,7,4.913315083877308E-4
hawthorn |Hawthorn,2014100907,7751,1,1.2901561088891756E-4
hawthorn |Hawthorn,2014100419,8630,7,8.111239860950173E-4
hawthorn |Hawthorn,2014100909,1000,0,0.0
hawthorn |Hawthorn,2014100721,11447,10,8.73591333973967E-4
hawthorn |Hawthorn,2014100722,8294,8,9.645526886906198E-4
hawthorn |Hawthorn,2014100720,10198,19,0.0018631104138066288
hawthorn |Hawthorn,2014100723,5300,3,5.660377358490566E-4
hawthorn |Hawthorn,2014100520,14801,3,2.0268900749949328E-4
hawthorn |Hawthorn,2014100523,12605,2,1.5866719555731853E-4
hawthorn |Hawthorn,2014100522,10915,1,9.161704076958314E-5
hawthorn |Hawthorn,2014100521,14363,5,3.4811668871405696E-4
hawthorn |Hawthorn,2014100623,8800,0,0.0
hawthorn |Hawthorn,2014100622,9000,8,8.888888888888889E-4
hawthorn |Hawthorn,2014100621,9007,10,0.001110247585211502
hawthorn |Hawthorn,2014100620,8998,12,0.0013336296954878863
hawthorn |Hawthorn,2014093011,9741,3,3.079765937788728E-4
hawthorn |Hawthorn,2014093012,11191,2,1.7871503887052095E-4
hawthorn |Hawthorn,2014093013,5267,2,3.7972280235428136E-4
hawthorn |Hawthorn,2014093017,3899,2,5.129520389843549E-4
hawthorn |Hawthorn,2014093018,99,0,0.0
hawthorn |Hawthorn,2014093019,8564,2,2.3353573096683791E-4
