murder |murder |murders,2014100223,8580,8,9.324009324009324E-4
murder |murder |murders,2014100222,12009,2,1.6654176034640685E-4
murder |murder |murders,2014100221,14828,1,6.74399784192069E-5
murder |murder |murders,2014100220,15090,4,2.650762094102054E-4
murder |murder |murders,2014093023,7216,0,0.0
murder |murder |murders,2014093020,2478,1,4.035512510088781E-4
murder |murder |murders,2014093022,2524,1,3.961965134706815E-4
murder |murder |murders,2014093021,2547,1,3.9261876717707107E-4
murder |murder |murders,2014100321,9080,5,5.506607929515419E-4
murder |murder |murders,2014100322,8671,1,1.1532695190866105E-4
murder |murder |murders,2014100320,9381,1,1.0659844366272253E-4
murder |murder |murders,2014100323,6929,1,1.443209698369173E-4
murder |murder |murders,2014100123,8836,2,2.2634676324128565E-4
murder |murder |murders,2014100122,10378,1,9.635767970707265E-5
murder |murder |murders,2014100121,12311,2,1.6245633985866297E-4
murder |murder |murders,2014100200,11724,2,1.70590242238144E-4
murder |murder |murders,2014100201,6861,1,1.4575134819997084E-4
murder |murder |murders,2014100309,9997,7,7.002100630189057E-4
murder |murder |murders,2014100307,6926,14,0.0020213687554143807
murder |murder |murders,2014100204,8387,0,0.0
murder |murder |murders,2014100308,8532,10,0.0011720581340834506
murder |murder |murders,2014100205,14882,0,0.0
murder |murder |murders,2014100305,3838,4,0.0010422094841063053
murder |murder |murders,2014100202,5853,1,1.7085255424568598E-4
murder |murder |murders,2014100306,5526,3,5.428881650380022E-4
murder |murder |murders,2014100203,5613,0,0.0
murder |murder |murders,2014100303,5043,0,0.0
murder |murder |murders,2014100208,9640,1,1.037344398340249E-4
murder |murder |murders,2014100304,4725,0,0.0
murder |murder |murders,2014100209,12321,0,0.0
murder |murder |murders,2014100301,4480,1,2.232142857142857E-4
murder |murder |murders,2014100206,9203,0,0.0
murder |murder |murders,2014100302,8095,0,0.0
murder |murder |murders,2014100207,9445,8,8.470089994706193E-4
murder |murder |murders,2014100300,6707,3,4.472938720739526E-4
murder |murder |murders,2014100106,45483,2,4.397247323175692E-5
murder |murder |murders,2014100105,7742,0,0.0
murder |murder |murders,2014100104,8731,0,0.0
murder |murder |murders,2014100103,1127,0,0.0
murder |murder |murders,2014100102,2940,0,0.0
murder |murder |murders,2014100101,3598,0,0.0
murder |murder |murders,2014100100,1816,0,0.0
murder |murder |murders,2014100109,10999,1,9.091735612328394E-5
murder |murder |murders,2014100108,14670,0,0.0
murder |murder |murders,2014100107,32104,0,0.0
murder |murder |murders,2014100210,10300,0,0.0
murder |murder |murders,2014100211,11008,5,4.5421511627906976E-4
murder |murder |murders,2014100212,11567,1,8.64528399757932E-5
murder |murder |murders,2014100316,10537,3,2.847110183164088E-4
murder |murder |murders,2014100213,10976,1,9.110787172011662E-5
murder |murder |murders,2014100317,9832,4,4.068348250610252E-4
murder |murder |murders,2014100214,12210,1,8.19000819000819E-5
murder |murder |murders,2014100318,9075,0,0.0
murder |murder |murders,2014100215,11832,1,8.451656524678837E-5
murder |murder |murders,2014100319,8645,0,0.0
murder |murder |murders,2014100216,10725,2,1.8648018648018648E-4
murder |murder |murders,2014100312,10661,4,3.7519932464121565E-4
murder |murder |murders,2014100217,9835,4,4.067107269954245E-4
murder |murder |murders,2014100313,9887,4,4.0457165975523417E-4
murder |murder |murders,2014100218,9907,1,1.009387301907742E-4
murder |murder |murders,2014100314,9820,3,3.054989816700611E-4
murder |murder |murders,2014100219,11100,1,9.009009009009009E-5
murder |murder |murders,2014100420,8163,1,1.2250398137939484E-4
murder |murder |murders,2014100315,10271,2,1.947230065232207E-4
murder |murder |murders,2014100120,12122,2,1.6498927569707968E-4
murder |murder |murders,2014100421,8099,3,3.704161007531794E-4
murder |murder |murders,2014100422,8432,2,2.3719165085388995E-4
murder |murder |murders,2014100423,6306,3,4.757373929590866E-4
murder |murder |murders,2014100310,10343,5,4.8341873731025815E-4
murder |murder |murders,2014100311,11400,4,3.508771929824561E-4
murder |murder |murders,2014100115,14152,1,7.066139061616732E-5
murder |murder |murders,2014100114,11535,3,2.600780234070221E-4
murder |murder |murders,2014100117,11365,4,3.519577650681918E-4
murder |murder |murders,2014100116,10904,0,0.0
murder |murder |murders,2014100111,9571,16,0.0016717166440288372
murder |murder |murders,2014100110,9126,1,1.0957703265395574E-4
murder |murder |murders,2014100823,5727,4,6.984459577440195E-4
murder |murder |murders,2014100113,11543,3,2.5989777354240665E-4
murder |murder |murders,2014100822,900,1,0.0011111111111111111
murder |murder |murders,2014100112,11651,5,4.291477126426916E-4
murder |murder |murders,2014100119,11403,2,1.7539244058581075E-4
murder |murder |murders,2014100118,10294,0,0.0
murder |murder |murders,2014100604,4638,151,0.03255713669685209
murder |murder |murders,2014100605,8675,99,0.011412103746397695
murder |murder |murders,2014100700,5207,6,0.0011522949875168043
murder |murder |murders,2014100914,3191,1,3.1338138514572234E-4
murder |murder |murders,2014100602,8176,71,0.008683953033268101
murder |murder |murders,2014100915,1000,0,0.0
murder |murder |murders,2014100603,9384,115,0.012254901960784314
murder |murder |murders,2014100912,2545,0,0.0
murder |murder |murders,2014100608,13680,29,0.0021198830409356723
murder |murder |murders,2014100913,6771,6,8.861320336730173E-4
murder |murder |murders,2014100609,13287,33,0.002483630616391962
murder |murder |murders,2014100810,6053,4,6.608293408227325E-4
murder |murder |murders,2014100606,4334,50,0.011536686663590217
murder |murder |murders,2014100607,6194,29,0.004681950274459154
murder |murder |murders,2014100707,4802,5,0.0010412328196584756
murder |murder |murders,2014100813,7061,6,8.49737997450786E-4
murder |murder |murders,2014100708,5400,6,0.0011111111111111111
murder |murder |murders,2014100814,6011,17,0.002828148394609882
murder |murder |murders,2014100705,2740,1,3.64963503649635E-4
murder |murder |murders,2014100811,6604,6,9.085402786190188E-4
murder |murder |murders,2014100706,3398,1,2.942907592701589E-4
murder |murder |murders,2014100812,5896,2,3.3921302578018993E-4
murder |murder |murders,2014100817,6743,4,5.932077710218003E-4
