road |road,2014100223,8580,6,6.993006993006993E-4
road |road,2014100222,12009,17,0.0014156049629444583
road |road,2014100221,14828,31,0.0020906393309954143
road |road,2014100220,15090,20,0.0013253810470510272
road |road,2014093023,7216,12,0.0016629711751662971
road |road,2014093020,2478,3,0.0012106537530266344
road |road,2014093022,2524,5,0.0019809825673534074
road |road,2014093021,2547,4,0.0015704750687082843
road |road,2014100321,9080,7,7.709251101321586E-4
road |road,2014100322,8671,5,5.766347595433052E-4
road |road,2014100320,9381,10,0.0010659844366272253
road |road,2014100323,6929,15,0.0021648145475537594
road |road,2014100123,8836,8,9.053870529651426E-4
road |road,2014100122,10378,6,5.781460782424359E-4
road |road,2014100121,12311,16,0.0012996507188693038
road |road,2014100200,11724,8,6.82360968952576E-4
road |road,2014100201,6861,8,0.0011660107855997668
road |road,2014100309,9997,13,0.0013003901170351106
road |road,2014100307,6926,8,0.001155067860236789
road |road,2014100204,8387,9,0.0010730893048765948
road |road,2014100308,8532,7,8.204406938584154E-4
road |road,2014100205,14882,10,6.719526945303051E-4
road |road,2014100305,3838,3,7.81657113079729E-4
road |road,2014100202,5853,14,0.0023919357594396036
road |road,2014100306,5526,1,1.8096272167933406E-4
road |road,2014100203,5613,6,0.0010689470871191875
road |road,2014100303,5043,7,0.001388062661114416
road |road,2014100208,9640,19,0.001970954356846473
road |road,2014100304,4725,2,4.232804232804233E-4
road |road,2014100209,12321,12,9.739469198928658E-4
road |road,2014100301,4480,0,0.0
road |road,2014100206,9203,7,7.606215364555037E-4
road |road,2014100302,8095,6,7.411982705373688E-4
road |road,2014100207,9445,7,7.41132874536792E-4
road |road,2014100300,6707,7,0.0010436857015058893
road |road,2014100106,45483,15,3.297935492381769E-4
road |road,2014100105,7742,6,7.749935417204857E-4
road |road,2014100104,8731,5,5.726720879624327E-4
road |road,2014100103,1127,2,0.001774622892635315
road |road,2014100102,2940,5,0.0017006802721088435
road |road,2014100101,3598,4,0.0011117287381878821
road |road,2014100100,1816,3,0.0016519823788546256
road |road,2014100109,10999,13,0.001181925629602691
road |road,2014100108,14670,28,0.0019086571233810498
road |road,2014100107,32104,33,0.0010279092947919261
road |road,2014100210,10300,40,0.003883495145631068
road |road,2014100211,11008,30,0.0027252906976744187
road |road,2014100212,11567,9,7.780755597821389E-4
road |road,2014100316,10537,18,0.0017082661098984531
road |road,2014100213,10976,14,0.0012755102040816326
road |road,2014100317,9832,15,0.0015256305939788447
