bomber |Bombers,2014100223,8580,2,2.331002331002331E-4
bomber |Bombers,2014100222,12009,16,0.0013323340827712548
bomber |Bombers,2014100221,14828,6,4.046398705152414E-4
bomber |Bombers,2014100220,15090,7,4.6388336646785953E-4
bomber |Bombers,2014093023,7216,1,1.385809312638581E-4
bomber |Bombers,2014093020,2478,1,4.035512510088781E-4
bomber |Bombers,2014093022,2524,0,0.0
bomber |Bombers,2014093021,2547,0,0.0
bomber |Bombers,2014100321,9080,11,0.001211453744493392
bomber |Bombers,2014100322,8671,5,5.766347595433052E-4
bomber |Bombers,2014100320,9381,10,0.0010659844366272253
bomber |Bombers,2014100323,6929,0,0.0
bomber |Bombers,2014100123,8836,34,0.003847894975101856
bomber |Bombers,2014100122,10378,121,0.01165927924455579
bomber |Bombers,2014100121,12311,393,0.031922670782227276
bomber |Bombers,2014100200,11724,8,6.82360968952576E-4
bomber |Bombers,2014100201,6861,7,0.001020259437399796
bomber |Bombers,2014100309,9997,2,2.0006001800540162E-4
bomber |Bombers,2014100307,6926,0,0.0
bomber |Bombers,2014100204,8387,1,1.192321449862883E-4
bomber |Bombers,2014100308,8532,2,2.3441162681669012E-4
bomber |Bombers,2014100205,14882,1,6.719526945303051E-5
bomber |Bombers,2014100305,3838,0,0.0
bomber |Bombers,2014100202,5853,0,0.0
bomber |Bombers,2014100306,5526,2,3.619254433586681E-4
bomber |Bombers,2014100203,5613,1,1.7815784785319794E-4
bomber |Bombers,2014100303,5043,0,0.0
bomber |Bombers,2014100208,9640,20,0.002074688796680498
bomber |Bombers,2014100304,4725,0,0.0
bomber |Bombers,2014100209,12321,24,0.0019478938397857316
bomber |Bombers,2014100301,4480,0,0.0
bomber |Bombers,2014100206,9203,9,9.779419754427903E-4
bomber |Bombers,2014100302,8095,0,0.0
bomber |Bombers,2014100207,9445,42,0.004446797247220751
bomber |Bombers,2014100300,6707,0,0.0
bomber |Bombers,2014100106,45483,1,2.198623661587846E-5
bomber |Bombers,2014100105,7742,0,0.0
bomber |Bombers,2014100104,8731,0,0.0
bomber |Bombers,2014100103,1127,0,0.0
bomber |Bombers,2014100102,2940,0,0.0
bomber |Bombers,2014100101,3598,0,0.0
bomber |Bombers,2014100100,1816,0,0.0
bomber |Bombers,2014100109,10999,5,4.545867806164197E-4
bomber |Bombers,2014100108,14670,4,2.7266530334015E-4
bomber |Bombers,2014100107,32104,8,2.4919013207077E-4
bomber |Bombers,2014100210,10300,18,0.0017475728155339806
bomber |Bombers,2014100211,11008,20,0.001816860465116279
bomber |Bombers,2014100212,11567,50,0.00432264199878966
bomber |Bombers,2014100316,10537,10,9.490367277213628E-4
bomber |Bombers,2014100213,10976,71,0.00646865889212828
bomber |Bombers,2014100317,9832,9,9.153783563873067E-4
bomber |Bombers,2014100214,12210,39,0.0031941031941031942
bomber |Bombers,2014100318,9075,12,0.001322314049586777
