hotel |Hotels |hotel |hotels,2014100223,8580,8,9.324009324009324E-4
hotel |Hotels |hotel |hotels,2014100222,12009,14,0.001165792322424848
hotel |Hotels |hotel |hotels,2014100221,14828,36,0.0024278392230914487
hotel |Hotels |hotel |hotels,2014100220,15090,7,4.6388336646785953E-4
hotel |Hotels |hotel |hotels,2014093023,7216,14,0.0019401330376940134
hotel |Hotels |hotel |hotels,2014093020,2478,7,0.002824858757062147
hotel |Hotels |hotel |hotels,2014093022,2524,8,0.003169572107765452
hotel |Hotels |hotel |hotels,2014093021,2547,3,0.001177856301531213
hotel |Hotels |hotel |hotels,2014100321,9080,10,0.0011013215859030838
hotel |Hotels |hotel |hotels,2014100322,8671,11,0.0012685964709952715
hotel |Hotels |hotel |hotels,2014100320,9381,8,8.527875493017802E-4
hotel |Hotels |hotel |hotels,2014100323,6929,10,0.001443209698369173
hotel |Hotels |hotel |hotels,2014100123,8836,6,6.79040289723857E-4
hotel |Hotels |hotel |hotels,2014100122,10378,6,5.781460782424359E-4
hotel |Hotels |hotel |hotels,2014100121,12311,5,4.061408496466575E-4
hotel |Hotels |hotel |hotels,2014100200,11724,13,0.001108836574547936
hotel |Hotels |hotel |hotels,2014100201,6861,8,0.0011660107855997668
hotel |Hotels |hotel |hotels,2014100309,9997,6,6.001800540162049E-4
hotel |Hotels |hotel |hotels,2014100307,6926,5,7.219174126479931E-4
hotel |Hotels |hotel |hotels,2014100204,8387,11,0.0013115535948491712
hotel |Hotels |hotel |hotels,2014100308,8532,6,7.032348804500703E-4
hotel |Hotels |hotel |hotels,2014100205,14882,11,7.391479639833355E-4
hotel |Hotels |hotel |hotels,2014100305,3838,3,7.81657113079729E-4
hotel |Hotels |hotel |hotels,2014100202,5853,5,8.542627712284299E-4
hotel |Hotels |hotel |hotels,2014100306,5526,2,3.619254433586681E-4
hotel |Hotels |hotel |hotels,2014100203,5613,4,7.126313914127917E-4
hotel |Hotels |hotel |hotels,2014100303,5043,3,5.94883997620464E-4
hotel |Hotels |hotel |hotels,2014100208,9640,9,9.336099585062241E-4
hotel |Hotels |hotel |hotels,2014100304,4725,1,2.1164021164021165E-4
hotel |Hotels |hotel |hotels,2014100209,12321,12,9.739469198928658E-4
hotel |Hotels |hotel |hotels,2014100301,4480,4,8.928571428571428E-4
hotel |Hotels |hotel |hotels,2014100206,9203,7,7.606215364555037E-4
hotel |Hotels |hotel |hotels,2014100302,8095,4,4.941321803582458E-4
hotel |Hotels |hotel |hotels,2014100207,9445,7,7.41132874536792E-4
hotel |Hotels |hotel |hotels,2014100300,6707,9,0.0013418816162218577
hotel |Hotels |hotel |hotels,2014100106,45483,58,0.0012752017237209507
hotel |Hotels |hotel |hotels,2014100105,7742,20,0.0025833118057349523
hotel |Hotels |hotel |hotels,2014100104,8731,13,0.001488947428702325
hotel |Hotels |hotel |hotels,2014100103,1127,1,8.873114463176575E-4
hotel |Hotels |hotel |hotels,2014100102,2940,16,0.005442176870748299
hotel |Hotels |hotel |hotels,2014100101,3598,27,0.007504168982768205
hotel |Hotels |hotel |hotels,2014100100,1816,6,0.003303964757709251
hotel |Hotels |hotel |hotels,2014100109,10999,13,0.001181925629602691
hotel |Hotels |hotel |hotels,2014100108,14670,11,7.498295841854124E-4
hotel |Hotels |hotel |hotels,2014100107,32104,36,0.001121355594318465
hotel |Hotels |hotel |hotels,2014100210,10300,8,7.766990291262136E-4
hotel |Hotels |hotel |hotels,2014100211,11008,12,0.0010901162790697674
hotel |Hotels |hotel |hotels,2014100212,11567,14,0.0012103397596611048
hotel |Hotels |hotel |hotels,2014100316,10537,5,4.745183638606814E-4
hotel |Hotels |hotel |hotels,2014100213,10976,9,8.199708454810496E-4
hotel |Hotels |hotel |hotels,2014100317,9832,19,0.0019324654190398698
hotel |Hotels |hotel |hotels,2014100214,12210,6,4.914004914004914E-4
hotel |Hotels |hotel |hotels,2014100318,9075,13,0.0014325068870523416
hotel |Hotels |hotel |hotels,2014100215,11832,6,5.070993914807302E-4
hotel |Hotels |hotel |hotels,2014100319,8645,5,5.78368999421631E-4
hotel |Hotels |hotel |hotels,2014100216,10725,7,6.526806526806527E-4
hotel |Hotels |hotel |hotels,2014100312,10661,3,2.813994934809117E-4
hotel |Hotels |hotel |hotels,2014100217,9835,7,7.117437722419929E-4
hotel |Hotels |hotel |hotels,2014100313,9887,4,4.0457165975523417E-4
hotel |Hotels |hotel |hotels,2014100218,9907,9,9.084485717169678E-4
hotel |Hotels |hotel |hotels,2014100314,9820,6,6.109979633401223E-4
hotel |Hotels |hotel |hotels,2014100219,11100,11,9.90990990990991E-4
hotel |Hotels |hotel |hotels,2014100420,8163,9,0.0011025358324145535
hotel |Hotels |hotel |hotels,2014100315,10271,13,0.0012656995424009346
hotel |Hotels |hotel |hotels,2014100120,12122,4,3.2997855139415937E-4
hotel |Hotels |hotel |hotels,2014100421,8099,12,0.0014816644030127175
hotel |Hotels |hotel |hotels,2014100422,8432,8,9.487666034155598E-4
hotel |Hotels |hotel |hotels,2014100423,6306,7,0.0011100539169045353
hotel |Hotels |hotel |hotels,2014100310,10343,10,9.668374746205163E-4
hotel |Hotels |hotel |hotels,2014100311,11400,7,6.140350877192983E-4
hotel |Hotels |hotel |hotels,2014100115,14152,6,4.2396834369700395E-4
hotel |Hotels |hotel |hotels,2014100114,11535,10,8.669267446900737E-4
hotel |Hotels |hotel |hotels,2014100117,11365,9,7.919049714034316E-4
hotel |Hotels |hotel |hotels,2014100116,10904,8,7.336757153338225E-4
hotel |Hotels |hotel |hotels,2014100111,9571,7,7.313760317626162E-4
hotel |Hotels |hotel |hotels,2014100110,9126,13,0.0014245014245014246
hotel |Hotels |hotel |hotels,2014100823,5727,20,0.003492229788720098
hotel |Hotels |hotel |hotels,2014100113,11543,4,3.465303647232089E-4
hotel |Hotels |hotel |hotels,2014100822,900,2,0.0022222222222222222
hotel |Hotels |hotel |hotels,2014100112,11651,7,6.008067976997683E-4
hotel |Hotels |hotel |hotels,2014100119,11403,12,0.0010523546435148646
hotel |Hotels |hotel |hotels,2014100118,10294,17,0.0016514474451136585
hotel |Hotels |hotel |hotels,2014100604,4638,99,0.021345407503234153
hotel |Hotels |hotel |hotels,2014100605,8675,96,0.01106628242074928
hotel |Hotels |hotel |hotels,2014100700,5207,8,0.0015363933166890724
hotel |Hotels |hotel |hotels,2014100914,3191,3,9.40144155437167E-4
hotel |Hotels |hotel |hotels,2014100602,8176,162,0.01981409001956947
hotel |Hotels |hotel |hotels,2014100915,1000,2,0.002
hotel |Hotels |hotel |hotels,2014100603,9384,128,0.013640238704177323
hotel |Hotels |hotel |hotels,2014100912,2545,2,7.858546168958742E-4
hotel |Hotels |hotel |hotels,2014100608,13680,55,0.00402046783625731
hotel |Hotels |hotel |hotels,2014100913,6771,12,0.0017722640673460345
hotel |Hotels |hotel |hotels,2014100609,13287,28,0.002107322947241665
hotel |Hotels |hotel |hotels,2014100810,6053,65,0.010738476788369403
hotel |Hotels |hotel |hotels,2014100606,4334,50,0.011536686663590217
hotel |Hotels |hotel |hotels,2014100607,6194,43,0.006942202131094608
hotel |Hotels |hotel |hotels,2014100707,4802,8,0.001665972511453561
hotel |Hotels |hotel |hotels,2014100813,7061,23,0.003257328990228013
hotel |Hotels |hotel |hotels,2014100708,5400,1,1.8518518518518518E-4
hotel |Hotels |hotel |hotels,2014100814,6011,37,0.006155381800033272
hotel |Hotels |hotel |hotels,2014100705,2740,6,0.0021897810218978104
hotel |Hotels |hotel |hotels,2014100811,6604,34,0.00514839491217444
hotel |Hotels |hotel |hotels,2014100706,3398,10,0.002942907592701589
hotel |Hotels |hotel |hotels,2014100812,5896,17,0.0028833107191316145
hotel |Hotels |hotel |hotels,2014100817,6743,38,0.005635473824707104
hotel |Hotels |hotel |hotels,2014100600,15771,1876,0.11895250776742122
hotel |Hotels |hotel |hotels,2014100703,5792,8,0.0013812154696132596
hotel |Hotels |hotel |hotels,2014100818,7400,28,0.0037837837837837837
hotel |Hotels |hotel |hotels,2014100601,8669,243,0.028030914753720153
hotel |Hotels |hotel |hotels,2014100704,3010,9,0.002990033222591362
hotel |Hotels |hotel |hotels,2014100815,5628,35,0.006218905472636816
hotel |Hotels |hotel |hotels,2014100701,13455,15,0.0011148272017837235
hotel |Hotels |hotel |hotels,2014100816,7857,39,0.004963726613211149
hotel |Hotels |hotel |hotels,2014100702,8524,6,7.038948850305022E-4
hotel |Hotels |hotel |hotels,2014100509,9287,6,6.460643910843114E-4
hotel |Hotels |hotel |hotels,2014100508,6498,2,3.077870113881194E-4
hotel |Hotels |hotel |hotels,2014100819,4300,12,0.0027906976744186047
hotel |Hotels |hotel |hotels,2014100507,16911,4,2.365324345100822E-4
hotel |Hotels |hotel |hotels,2014100403,6749,3,4.4451029782189953E-4
hotel |Hotels |hotel |hotels,2014100506,11836,6,5.069280162216965E-4
hotel |Hotels |hotel |hotels,2014100402,6613,3,4.536518977771057E-4
