business |businesses |business,2014100223,8580,24,0.002797202797202797
business |businesses |business,2014100222,12009,51,0.004246814888833375
business |businesses |business,2014100221,14828,41,0.002765039115187483
business |businesses |business,2014100220,15090,27,0.0017892644135188867
business |businesses |business,2014093023,7216,17,0.0023558758314855877
business |businesses |business,2014093020,2478,4,0.0016142050040355124
business |businesses |business,2014093022,2524,0,0.0
business |businesses |business,2014093021,2547,3,0.001177856301531213
business |businesses |business,2014100321,9080,23,0.0025330396475770926
business |businesses |business,2014100322,8671,17,0.0019605581824472377
business |businesses |business,2014100320,9381,32,0.003411150197207121
business |businesses |business,2014100323,6929,24,0.0034637032760860154
business |businesses |business,2014100123,8836,20,0.0022634676324128564
business |businesses |business,2014100122,10378,30,0.0028907303912121796
business |businesses |business,2014100121,12311,39,0.0031678986272439284
business |businesses |business,2014100200,11724,11,9.382463323097919E-4
business |businesses |business,2014100201,6861,5,7.287567409998542E-4
business |businesses |business,2014100309,9997,42,0.004201260378113434
business |businesses |business,2014100307,6926,31,0.004475887958417557
business |businesses |business,2014100204,8387,4,4.769285799451532E-4
business |businesses |business,2014100308,8532,47,0.005508673230192217
business |businesses |business,2014100205,14882,5,3.3597634726515254E-4
business |businesses |business,2014100305,3838,2,5.211047420531526E-4
business |businesses |business,2014100202,5853,10,0.0017085255424568598
business |businesses |business,2014100306,5526,11,0.0019905899384726746
business |businesses |business,2014100203,5613,10,0.0017815784785319793
business |businesses |business,2014100303,5043,6,0.001189767995240928
business |businesses |business,2014100208,9640,54,0.0056016597510373444
business |businesses |business,2014100304,4725,5,0.0010582010582010583
business |businesses |business,2014100209,12321,43,0.003489976462949436
business |businesses |business,2014100301,4480,11,0.002455357142857143
business |businesses |business,2014100206,9203,14,0.0015212430729110073
business |businesses |business,2014100302,8095,7,8.647313156269302E-4
business |businesses |business,2014100207,9445,40,0.004235044997353097
business |businesses |business,2014100300,6707,14,0.0020873714030117787
business |businesses |business,2014100106,45483,30,6.595870984763538E-4
business |businesses |business,2014100105,7742,2,2.583311805734952E-4
business |businesses |business,2014100104,8731,1,1.1453441759248655E-4
