number |numbers |number,2014100223,8580,12,0.0013986013986013986
number |numbers |number,2014100222,12009,28,0.002331584644849696
number |numbers |number,2014100221,14828,30,0.002023199352576207
number |numbers |number,2014100220,15090,24,0.0015904572564612327
number |numbers |number,2014093023,7216,32,0.004434589800443459
number |numbers |number,2014093020,2478,9,0.0036319612590799033
number |numbers |number,2014093022,2524,21,0.00832012678288431
number |numbers |number,2014093021,2547,1,3.9261876717707107E-4
number |numbers |number,2014100321,9080,21,0.002312775330396476
number |numbers |number,2014100322,8671,38,0.00438242417252912
number |numbers |number,2014100320,9381,14,0.0014923782112781154
number |numbers |number,2014100323,6929,11,0.0015875306682060903
number |numbers |number,2014100123,8836,18,0.002037120869171571
number |numbers |number,2014100122,10378,27,0.0026016573520909617
number |numbers |number,2014100121,12311,25,0.002030704248233287
number |numbers |number,2014100200,11724,9,7.676560900716479E-4
number |numbers |number,2014100201,6861,10,0.0014575134819997085
number |numbers |number,2014100309,9997,28,0.0028008402520756227
number |numbers |number,2014100307,6926,16,0.002310135720473578
number |numbers |number,2014100204,8387,2,2.384642899725766E-4
number |numbers |number,2014100308,8532,11,0.0012892639474917957
number |numbers |number,2014100205,14882,7,4.7036688617121356E-4
number |numbers |number,2014100305,3838,2,5.211047420531526E-4
number |numbers |number,2014100202,5853,5,8.542627712284299E-4
number |numbers |number,2014100306,5526,5,9.048136083966703E-4
number |numbers |number,2014100203,5613,4,7.126313914127917E-4
number |numbers |number,2014100303,5043,2,3.96589331746976E-4
number |numbers |number,2014100208,9640,16,0.0016597510373443983
number |numbers |number,2014100304,4725,0,0.0
number |numbers |number,2014100209,12321,14,0.0011362714065416767
number |numbers |number,2014100301,4480,7,0.0015625
number |numbers |number,2014100206,9203,8,8.69281755949147E-4
number |numbers |number,2014100302,8095,4,4.941321803582458E-4
number |numbers |number,2014100207,9445,10,0.0010587612493382743
number |numbers |number,2014100300,6707,5,7.45489786789921E-4
number |numbers |number,2014100106,45483,5,1.099311830793923E-4
number |numbers |number,2014100105,7742,6,7.749935417204857E-4
number |numbers |number,2014100104,8731,5,5.726720879624327E-4
number |numbers |number,2014100103,1127,3,0.0026619343389529724
number |numbers |number,2014100102,2940,18,0.006122448979591836
number |numbers |number,2014100101,3598,39,0.01083935519733185
number |numbers |number,2014100100,1816,2,0.0011013215859030838
number |numbers |number,2014100109,10999,14,0.0012728429857259752
number |numbers |number,2014100108,14670,16,0.0010906612133606
number |numbers |number,2014100107,32104,12,3.73785198106155E-4
number |numbers |number,2014100210,10300,20,0.001941747572815534
number |numbers |number,2014100211,11008,12,0.0010901162790697674
number |numbers |number,2014100212,11567,26,0.002247773839370623
number |numbers |number,2014100316,10537,41,0.0038910505836575876
number |numbers |number,2014100213,10976,16,0.0014577259475218659
number |numbers |number,2014100317,9832,11,0.0011187957689178193
number |numbers |number,2014100214,12210,19,0.0015561015561015561
number |numbers |number,2014100318,9075,36,0.003966942148760331
number |numbers |number,2014100215,11832,21,0.0017748478701825558
number |numbers |number,2014100319,8645,15,0.001735106998264893
number |numbers |number,2014100216,10725,19,0.0017715617715617716
number |numbers |number,2014100312,10661,16,0.0015007972985648626
number |numbers |number,2014100217,9835,38,0.003863751906456533
number |numbers |number,2014100313,9887,19,0.0019217153838373621
number |numbers |number,2014100218,9907,24,0.0024225295245785807
number |numbers |number,2014100314,9820,19,0.001934826883910387
number |numbers |number,2014100219,11100,27,0.0024324324324324323
number |numbers |number,2014100420,8163,11,0.001347543795173343
number |numbers |number,2014100315,10271,41,0.003991821633726024
number |numbers |number,2014100120,12122,28,0.0023098498597591156
number |numbers |number,2014100421,8099,13,0.0016051364365971107
number |numbers |number,2014100422,8432,15,0.0017789373814041745
number |numbers |number,2014100423,6306,14,0.0022201078338090706
number |numbers |number,2014100310,10343,33,0.0031905636662477037
number |numbers |number,2014100311,11400,15,0.0013157894736842105
number |numbers |number,2014100115,14152,14,9.892594686263425E-4
number |numbers |number,2014100114,11535,11,9.536194191590811E-4
number |numbers |number,2014100117,11365,21,0.001847778266608007
number |numbers |number,2014100116,10904,22,0.0020176082171680116
number |numbers |number,2014100111,9571,21,0.002194128095287849
number |numbers |number,2014100110,9126,26,0.002849002849002849
number |numbers |number,2014100823,5727,3,5.238344683080147E-4
number |numbers |number,2014100113,11543,20,0.0017326518236160443
number |numbers |number,2014100822,900,0,0.0
number |numbers |number,2014100112,11651,19,0.0016307613080422281
number |numbers |number,2014100119,11403,18,0.0015785319652722968
number |numbers |number,2014100118,10294,20,0.0019428793471925393
number |numbers |number,2014100604,4638,7,0.001509271237602415
number |numbers |number,2014100605,8675,0,0.0
number |numbers |number,2014100700,5207,3,5.761474937584022E-4
number |numbers |number,2014100914,3191,8,0.0025070510811657787
number |numbers |number,2014100602,8176,1,1.223091976516634E-4
number |numbers |number,2014100915,1000,4,0.004
number |numbers |number,2014100603,9384,1,1.0656436487638534E-4
number |numbers |number,2014100912,2545,7,0.00275049115913556
number |numbers |number,2014100608,13680,10,7.309941520467836E-4
number |numbers |number,2014100913,6771,17,0.0025107074287402157
number |numbers |number,2014100609,13287,16,0.0012041845412809513
number |numbers |number,2014100810,6053,15,0.002478110028085247
number |numbers |number,2014100606,4334,2,4.6146746654360867E-4
number |numbers |number,2014100607,6194,9,0.0014530190506942201
number |numbers |number,2014100707,4802,3,6.247396917950854E-4
number |numbers |number,2014100813,7061,11,0.001557852995326441
number |numbers |number,2014100708,5400,27,0.005
number |numbers |number,2014100814,6011,17,0.002828148394609882
number |numbers |number,2014100705,2740,0,0.0
number |numbers |number,2014100811,6604,11,0.001665657177468201
number |numbers |number,2014100706,3398,0,0.0
number |numbers |number,2014100812,5896,10,0.0016960651289009499
number |numbers |number,2014100817,6743,8,0.0011864155420436007
number |numbers |number,2014100600,15771,6,3.8044512079132587E-4
number |numbers |number,2014100703,5792,2,3.453038674033149E-4
number |numbers |number,2014100818,7400,8,0.001081081081081081
number |numbers |number,2014100601,8669,5,5.767677932864229E-4
number |numbers |number,2014100704,3010,2,6.64451827242525E-4
number |numbers |number,2014100815,5628,14,0.0024875621890547263
number |numbers |number,2014100701,13455,0,0.0
number |numbers |number,2014100816,7857,15,0.0019091256204658267
number |numbers |number,2014100702,8524,1,1.1731581417175035E-4
number |numbers |number,2014100509,9287,2,2.153547970281038E-4
number |numbers |number,2014100508,6498,7,0.0010772545398584179
number |numbers |number,2014100819,4300,7,0.0016279069767441861
number |numbers |number,2014100507,16911,2,1.182662172550411E-4
number |numbers |number,2014100403,6749,1,1.481700992739665E-4
number |numbers |number,2014100506,11836,4,3.379520108144643E-4
number |numbers |number,2014100402,6613,3,4.536518977771057E-4
number |numbers |number,2014100505,6487,5,7.707723138584862E-4
number |numbers |number,2014100401,4570,3,6.564551422319475E-4
number |numbers |number,2014100504,3861,0,0.0
number |numbers |number,2014100400,5285,9,0.0017029328287606433
number |numbers |number,2014100503,4540,2,4.405286343612335E-4
number |numbers |number,2014100709,5572,19,0.0034099066762383347
number |numbers |number,2014100407,7111,5,7.031359864997891E-4
number |numbers |number,2014100406,10763,4,3.71643593793552E-4
number |numbers |number,2014100501,6148,6,9.759271307742355E-4
number |numbers |number,2014100405,10366,12,0.0011576307158016593
number |numbers |number,2014100500,11540,8,6.932409012131716E-4
number |numbers |number,2014100404,3086,2,6.480881399870382E-4
number |numbers |number,2014100409,9932,7,7.047925896093435E-4
number |numbers |number,2014100408,10458,7,6.693440428380187E-4
number |numbers |number,2014100903,4141,0,0.0
number |numbers |number,2014100613,12260,12,9.787928221859706E-4
number |numbers |number,2014100904,4854,0,0.0
number |numbers |number,2014100614,10247,15,0.0014638430760222504
number |numbers |number,2014100905,7777,1,1.2858428700012858E-4
number |numbers |number,2014100615,8801,21,0.002386092489489831
number |numbers |number,2014100710,7431,17,0.0022877136320818194
number |numbers |number,2014100906,3505,3,8.559201141226819E-4
number |numbers |number,2014100616,10833,13,0.0012000369242130527
number |numbers |number,2014100711,13474,13,9.648211370046015E-4
number |numbers |number,2014100617,11523,16,0.0013885272932396078
number |numbers |number,2014100900,3864,7,0.0018115942028985507
number |numbers |number,2014100618,10834,24,0.0022152482924127745
number |numbers |number,2014100901,3052,4,0.001310615989515072
number |numbers |number,2014100619,10472,18,0.0017188693659281895
number |numbers |number,2014100902,4916,3,6.102522375915378E-4
number |numbers |number,2014100716,9756,34,0.0034850348503485036
number |numbers |number,2014100800,3418,10,0.002925687536571094
number |numbers |number,2014100717,12018,16,0.0013313363288400732
number |numbers |number,2014100801,4912,3,6.107491856677524E-4
number |numbers |number,2014100718,9824,30,0.0030537459283387623
number |numbers |number,2014100802,4582,2,4.3649061545176777E-4
number |numbers |number,2014100719,8904,16,0.0017969451931716084
number |numbers |number,2014100803,4750,1,2.105263157894737E-4
number |numbers |number,2014100712,10146,25,0.002464025231618372
number |numbers |number,2014100804,8238,2,2.4277737314882253E-4
number |numbers |number,2014100610,8565,17,0.00198482194979568
number |numbers |number,2014100713,7382,22,0.002980222162015714
number |numbers |number,2014100805,6904,0,0.0
number |numbers |number,2014100611,8676,26,0.002996772706316275
number |numbers |number,2014100714,9294,22,0.0023671185711211535
number |numbers |number,2014100806,7696,1,1.2993762993762994E-4
number |numbers |number,2014100612,7761,9,0.0011596443757247777
number |numbers |number,2014100715,8494,13,0.0015304921120791147
number |numbers |number,2014100807,6298,8,0.0012702445220704986
number |numbers |number,2014100519,13547,35,0.002583597844541227
number |numbers |number,2014100809,5933,19,0.003202427102646216
number |numbers |number,2014100518,12589,9,7.149098419254905E-4
number |numbers |number,2014100808,7916,5,6.316321374431531E-4
number |numbers |number,2014100410,8297,55,0.006628902012775702
number |numbers |number,2014100412,8252,21,0.0025448376151236064
number |numbers |number,2014100515,6526,5,7.661661048115232E-4
number |numbers |number,2014100411,8736,15,0.001717032967032967
number |numbers |number,2014100514,7337,8,0.0010903639089546136
number |numbers |number,2014100414,8029,11,0.0013700336280981441
number |numbers |number,2014100517,16635,9,5.410279531109107E-4
number |numbers |number,2014100413,7649,20,0.002614720878546215
number |numbers |number,2014100516,7164,11,0.0015354550530429928
number |numbers |number,2014100416,8535,22,0.0025776215582893965
number |numbers |number,2014100511,8203,9,0.001097159575764964
