hong |Hong,2014100223,8580,5,5.827505827505828E-4
hong |Hong,2014100222,12009,11,9.159796819052377E-4
hong |Hong,2014100221,14828,18,0.0012139196115457244
hong |Hong,2014100220,15090,17,0.0011265738899933731
hong |Hong,2014093023,7216,11,0.001524390243902439
hong |Hong,2014093020,2478,1,4.035512510088781E-4
hong |Hong,2014093022,2524,12,0.004754358161648178
hong |Hong,2014093021,2547,11,0.0043188064389477815
hong |Hong,2014100321,9080,5,5.506607929515419E-4
hong |Hong,2014100322,8671,15,0.0017299042786299158
hong |Hong,2014100320,9381,3,3.197953309881676E-4
hong |Hong,2014100323,6929,1,1.443209698369173E-4
hong |Hong,2014100123,8836,9,0.0010185604345857855
hong |Hong,2014100122,10378,32,0.0030834457506263247
hong |Hong,2014100121,12311,8,6.498253594346519E-4
hong |Hong,2014100200,11724,6,5.117707267144319E-4
hong |Hong,2014100201,6861,3,4.3725404459991256E-4
hong |Hong,2014100309,9997,9,9.002700810243073E-4
hong |Hong,2014100307,6926,4,5.775339301183945E-4
hong |Hong,2014100204,8387,21,0.0025038750447120544
hong |Hong,2014100308,8532,11,0.0012892639474917957
hong |Hong,2014100205,14882,3,2.0158580835909153E-4
hong |Hong,2014100305,3838,1,2.605523710265763E-4
hong |Hong,2014100202,5853,3,5.125576627370579E-4
hong |Hong,2014100306,5526,3,5.428881650380022E-4
hong |Hong,2014100203,5613,0,0.0
hong |Hong,2014100303,5043,3,5.94883997620464E-4
hong |Hong,2014100208,9640,6,6.224066390041493E-4
hong |Hong,2014100304,4725,2,4.232804232804233E-4
hong |Hong,2014100209,12321,25,0.0020290560831101373
hong |Hong,2014100301,4480,5,0.0011160714285714285
hong |Hong,2014100206,9203,5,5.433010974682169E-4
hong |Hong,2014100302,8095,3,3.705991352686844E-4
hong |Hong,2014100207,9445,6,6.352567496029645E-4
hong |Hong,2014100300,6707,5,7.45489786789921E-4
hong |Hong,2014100106,45483,9,1.9787612954290615E-4
hong |Hong,2014100105,7742,2,2.583311805734952E-4
hong |Hong,2014100104,8731,2,2.290688351849731E-4
hong |Hong,2014100103,1127,0,0.0
hong |Hong,2014100102,2940,4,0.0013605442176870747
hong |Hong,2014100101,3598,2,5.558643690939411E-4
hong |Hong,2014100100,1816,0,0.0
hong |Hong,2014100109,10999,32,0.002909355395945086
hong |Hong,2014100108,14670,24,0.0016359918200408998
hong |Hong,2014100107,32104,15,4.6723149763269376E-4
hong |Hong,2014100210,10300,7,6.796116504854369E-4
hong |Hong,2014100211,11008,7,6.359011627906977E-4
hong |Hong,2014100212,11567,8,6.916227198063456E-4
hong |Hong,2014100316,10537,1,9.490367277213628E-5
hong |Hong,2014100213,10976,6,5.466472303206997E-4
hong |Hong,2014100317,9832,4,4.068348250610252E-4
hong |Hong,2014100214,12210,15,0.0012285012285012285
hong |Hong,2014100318,9075,5,5.509641873278236E-4
hong |Hong,2014100215,11832,1,8.451656524678837E-5
hong |Hong,2014100319,8645,6,6.940427993059572E-4
hong |Hong,2014100216,10725,2,1.8648018648018648E-4
hong |Hong,2014100312,10661,7,6.565988181221273E-4
hong |Hong,2014100217,9835,12,0.0012201321809862736
hong |Hong,2014100313,9887,7,7.080004045716598E-4
hong |Hong,2014100218,9907,7,7.065711113354194E-4
hong |Hong,2014100314,9820,5,5.091649694501018E-4
hong |Hong,2014100219,11100,7,6.306306306306306E-4
hong |Hong,2014100420,8163,5,6.125199068969741E-4
hong |Hong,2014100315,10271,3,2.9208450978483107E-4
hong |Hong,2014100120,12122,5,4.124731892426992E-4
hong |Hong,2014100421,8099,2,2.469440671687863E-4
hong |Hong,2014100422,8432,1,1.1859582542694497E-4
hong |Hong,2014100423,6306,9,0.0014272121788772598
hong |Hong,2014100310,10343,3,2.9005124238615487E-4
hong |Hong,2014100311,11400,3,2.631578947368421E-4
hong |Hong,2014100115,14152,3,2.1198417184850198E-4
hong |Hong,2014100114,11535,6,5.201560468140442E-4
hong |Hong,2014100117,11365,11,9.678838539375275E-4
hong |Hong,2014100116,10904,6,5.502567865003668E-4
hong |Hong,2014100111,9571,11,0.0011493051927698255
hong |Hong,2014100110,9126,14,0.0015340784571553803
hong |Hong,2014100823,5727,4,6.984459577440195E-4
hong |Hong,2014100113,11543,18,0.00155938664125444
hong |Hong,2014100822,900,2,0.0022222222222222222
hong |Hong,2014100112,11651,21,0.0018024203930993047
hong |Hong,2014100119,11403,9,7.892659826361484E-4
hong |Hong,2014100118,10294,11,0.0010685836409558966
hong |Hong,2014100604,4638,1,2.1561017680034498E-4
hong |Hong,2014100605,8675,4,4.610951008645533E-4
hong |Hong,2014100700,5207,2,3.840983291722681E-4
hong |Hong,2014100914,3191,1,3.1338138514572234E-4
