end |ends |end,2014100223,8580,25,0.002913752913752914
end |ends |end,2014100222,12009,53,0.004413356649179782
end |ends |end,2014100221,14828,45,0.0030347990288643106
end |ends |end,2014100220,15090,53,0.003512259774685222
end |ends |end,2014093023,7216,21,0.00291019955654102
end |ends |end,2014093020,2478,22,0.00887812752219532
end |ends |end,2014093022,2524,6,0.002377179080824089
end |ends |end,2014093021,2547,6,0.002355712603062426
end |ends |end,2014100321,9080,35,0.003854625550660793
end |ends |end,2014100322,8671,34,0.003921116364894475
end |ends |end,2014100320,9381,26,0.0027715595352307857
end |ends |end,2014100323,6929,19,0.002742098426901429
end |ends |end,2014100123,8836,19,0.0021502942507922135
end |ends |end,2014100122,10378,33,0.0031798034303333975
end |ends |end,2014100121,12311,43,0.0034928113069612543
end |ends |end,2014100200,11724,20,0.0017059024223814397
end |ends |end,2014100201,6861,18,0.0026235242675994755
end |ends |end,2014100309,9997,25,0.00250075022506752
end |ends |end,2014100307,6926,17,0.0024545192030031764
end |ends |end,2014100204,8387,7,8.346250149040181E-4
end |ends |end,2014100308,8532,21,0.0024613220815752463
end |ends |end,2014100205,14882,9,6.047574250772745E-4
end |ends |end,2014100305,3838,6,0.001563314226159458
end |ends |end,2014100202,5853,9,0.0015376729882111738
end |ends |end,2014100306,5526,7,0.0012667390517553383
end |ends |end,2014100203,5613,13,0.0023160520220915732
end |ends |end,2014100303,5043,3,5.94883997620464E-4
end |ends |end,2014100208,9640,25,0.0025933609958506223
end |ends |end,2014100304,4725,5,0.0010582010582010583
end |ends |end,2014100209,12321,27,0.002191380569758948
end |ends |end,2014100301,4480,10,0.002232142857142857
end |ends |end,2014100206,9203,15,0.0016299032924046507
end |ends |end,2014100302,8095,18,0.0022235948116121063
end |ends |end,2014100207,9445,18,0.0019057702488088936
end |ends |end,2014100300,6707,22,0.0032801550618756525
end |ends |end,2014100106,45483,46,0.0010113668843304091
end |ends |end,2014100105,7742,1,1.291655902867476E-4
end |ends |end,2014100104,8731,3,3.436032527774596E-4
end |ends |end,2014100103,1127,0,0.0
end |ends |end,2014100102,2940,3,0.0010204081632653062
end |ends |end,2014100101,3598,17,0.004724847137298499
end |ends |end,2014100100,1816,9,0.004955947136563877
end |ends |end,2014100109,10999,45,0.004091281025547777
end |ends |end,2014100108,14670,26,0.0017723244717109748
end |ends |end,2014100107,32104,36,0.001121355594318465
end |ends |end,2014100210,10300,41,0.0039805825242718446
end |ends |end,2014100211,11008,81,0.00735828488372093
end |ends |end,2014100212,11567,59,0.005100717558571799
end |ends |end,2014100316,10537,39,0.003701243238113315
end |ends |end,2014100213,10976,52,0.0047376093294460644
end |ends |end,2014100317,9832,58,0.0058991049633848654
end |ends |end,2014100214,12210,43,0.0035217035217035217
end |ends |end,2014100318,9075,33,0.0036363636363636364
end |ends |end,2014100215,11832,33,0.002789046653144016
end |ends |end,2014100319,8645,38,0.004395604395604396
end |ends |end,2014100216,10725,41,0.003822843822843823
end |ends |end,2014100312,10661,34,0.003189194259450333
end |ends |end,2014100217,9835,56,0.0056939501779359435
end |ends |end,2014100313,9887,25,0.0025285728734702135
end |ends |end,2014100218,9907,64,0.006460078732209548
end |ends |end,2014100314,9820,37,0.0037678207739307535
end |ends |end,2014100219,11100,36,0.003243243243243243
end |ends |end,2014100420,8163,21,0.0025725836089672913
end |ends |end,2014100315,10271,38,0.0036997371239411935
end |ends |end,2014100120,12122,34,0.0028048176868503546
end |ends |end,2014100421,8099,28,0.003457216940363008
end |ends |end,2014100422,8432,29,0.0034392789373814043
end |ends |end,2014100423,6306,35,0.005550269584522677
end |ends |end,2014100310,10343,35,0.003383931161171807
end |ends |end,2014100311,11400,36,0.003157894736842105
end |ends |end,2014100115,14152,49,0.003462408140192199
end |ends |end,2014100114,11535,36,0.0031209362808842654
end |ends |end,2014100117,11365,34,0.0029916410030796305
end |ends |end,2014100116,10904,37,0.003393250183418929
end |ends |end,2014100111,9571,25,0.002612057256295058
end |ends |end,2014100110,9126,44,0.004821389436774052
end |ends |end,2014100823,5727,22,0.0038414527675921075
end |ends |end,2014100113,11543,143,0.012388460538854717
end |ends |end,2014100822,900,6,0.006666666666666667
end |ends |end,2014100112,11651,46,0.003948158956312763
end |ends |end,2014100119,11403,42,0.003683241252302026
end |ends |end,2014100118,10294,53,0.005148630270060229
end |ends |end,2014100604,4638,5,0.0010780508840017248
end |ends |end,2014100605,8675,6,6.9164265129683E-4
end |ends |end,2014100700,5207,31,0.005953524102170156
end |ends |end,2014100914,3191,8,0.0025070510811657787
end |ends |end,2014100602,8176,22,0.0026908023483365948
end |ends |end,2014100915,1000,4,0.004
end |ends |end,2014100603,9384,5,5.328218243819267E-4
end |ends |end,2014100912,2545,8,0.003143418467583497
end |ends |end,2014100608,13680,22,0.001608187134502924
end |ends |end,2014100913,6771,14,0.002067641411903707
end |ends |end,2014100609,13287,22,0.001655753744261308
end |ends |end,2014100810,6053,15,0.002478110028085247
end |ends |end,2014100606,4334,4,9.229349330872173E-4
end |ends |end,2014100607,6194,4,6.457862447529867E-4
end |ends |end,2014100707,4802,7,0.0014577259475218659
end |ends |end,2014100813,7061,17,0.002407590992777227
end |ends |end,2014100708,5400,15,0.002777777777777778
end |ends |end,2014100814,6011,20,0.0033272334054233904
end |ends |end,2014100705,2740,5,0.0018248175182481751
end |ends |end,2014100811,6604,24,0.0036341611144760752
end |ends |end,2014100706,3398,5,0.0014714537963507945
end |ends |end,2014100812,5896,27,0.004579375848032564
end |ends |end,2014100817,6743,24,0.0035592466261308024
end |ends |end,2014100600,15771,28,0.001775410563692854
end |ends |end,2014100703,5792,8,0.0013812154696132596
end |ends |end,2014100818,7400,19,0.0025675675675675674
end |ends |end,2014100601,8669,9,0.0010381820279155613
end |ends |end,2014100704,3010,1,3.322259136212625E-4
end |ends |end,2014100815,5628,21,0.0037313432835820895
end |ends |end,2014100701,13455,12,8.918617614269788E-4
end |ends |end,2014100816,7857,26,0.0033091510754740994
end |ends |end,2014100702,8524,11,0.001290473955889254
end |ends |end,2014100509,9287,18,0.0019381931732529343
end |ends |end,2014100508,6498,9,0.0013850415512465374
end |ends |end,2014100819,4300,17,0.003953488372093023
end |ends |end,2014100507,16911,7,4.1393176039264385E-4
end |ends |end,2014100403,6749,3,4.4451029782189953E-4
end |ends |end,2014100506,11836,3,2.5346400811084827E-4
end |ends |end,2014100402,6613,12,0.0018146075911084228
end |ends |end,2014100505,6487,7,0.0010790812394018807
end |ends |end,2014100401,4570,9,0.0019693654266958426
end |ends |end,2014100504,3861,66,0.017094017094017096
end |ends |end,2014100400,5285,32,0.006054872280037843
end |ends |end,2014100503,4540,33,0.007268722466960352
end |ends |end,2014100709,5572,11,0.001974156496769562
end |ends |end,2014100407,7111,19,0.0026719167486991984
end |ends |end,2014100406,10763,17,0.001579485273622596
end |ends |end,2014100501,6148,56,0.009108653220559532
end |ends |end,2014100405,10366,13,0.0012540999421184642
end |ends |end,2014100500,11540,11,9.532062391681109E-4
end |ends |end,2014100404,3086,1,3.240440699935191E-4
end |ends |end,2014100409,9932,29,0.002919855014095852
end |ends |end,2014100408,10458,29,0.0027729967489003634
end |ends |end,2014100903,4141,2,4.829751267809708E-4
end |ends |end,2014100613,12260,46,0.0037520391517128875
end |ends |end,2014100904,4854,2,4.1203131437989287E-4
end |ends |end,2014100614,10247,53,0.005172245535278618
end |ends |end,2014100905,7777,4,5.143371480005143E-4
end |ends |end,2014100615,8801,39,0.004431314623338257
end |ends |end,2014100710,7431,12,0.0016148566814695195
end |ends |end,2014100906,3505,6,0.0017118402282453639
end |ends |end,2014100616,10833,86,0.007938705806332503
end |ends |end,2014100711,13474,29,0.0021522933056256494
end |ends |end,2014100617,11523,103,0.008938644450229976
end |ends |end,2014100900,3864,11,0.002846790890269151
end |ends |end,2014100618,10834,45,0.004153590548273953
end |ends |end,2014100901,3052,10,0.00327653997378768
end |ends |end,2014100619,10472,36,0.003437738731856379
end |ends |end,2014100902,4916,9,0.0018307567127746134
end |ends |end,2014100716,9756,32,0.003280032800328003
end |ends |end,2014100800,3418,14,0.004095962551199532
end |ends |end,2014100717,12018,23,0.0019137959727076053
end |ends |end,2014100801,4912,10,0.002035830618892508
end |ends |end,2014100718,9824,37,0.00376628664495114
end |ends |end,2014100802,4582,2,4.3649061545176777E-4
end |ends |end,2014100719,8904,38,0.004267744833782569
end |ends |end,2014100803,4750,4,8.421052631578948E-4
end |ends |end,2014100712,10146,28,0.0027597082594125765
end |ends |end,2014100804,8238,0,0.0
end |ends |end,2014100610,8565,65,0.007589025102159953
end |ends |end,2014100713,7382,48,0.006502302898943376
end |ends |end,2014100805,6904,6,8.690614136732329E-4
end |ends |end,2014100611,8676,28,0.003227293683725219
end |ends |end,2014100714,9294,37,0.00398106305143103
end |ends |end,2014100806,7696,5,6.496881496881497E-4
end |ends |end,2014100612,7761,30,0.003865481252415926
end |ends |end,2014100715,8494,26,0.0030609842241582294
end |ends |end,2014100807,6298,1,1.5878056525881233E-4
end |ends |end,2014100519,13547,47,0.0034694028198125047
end |ends |end,2014100809,5933,12,0.0020225855385133996
end |ends |end,2014100518,12589,38,0.003018508221463182
end |ends |end,2014100808,7916,12,0.0015159171298635675
end |ends |end,2014100410,8297,28,0.0033747137519585394
end |ends |end,2014100412,8252,37,0.00448376151236064
end |ends |end,2014100515,6526,24,0.003677597303095311
end |ends |end,2014100411,8736,75,0.008585164835164836
end |ends |end,2014100514,7337,42,0.005724410522011721
end |ends |end,2014100414,8029,43,0.005355586000747291
end |ends |end,2014100517,16635,40,0.0024045686804929365
end |ends |end,2014100413,7649,35,0.004575761537455877
end |ends |end,2014100516,7164,39,0.005443886097152429
end |ends |end,2014100416,8535,27,0.003163444639718805
end |ends |end,2014100511,8203,30,0.0036571985858832134
end |ends |end,2014100415,9288,32,0.0034453057708871662
end |ends |end,2014100510,7389,24,0.0032480714575720666
end |ends |end,2014100418,8794,29,0.003297702979304071
end |ends |end,2014100513,8653,20,0.0023113371085172773
end |ends |end,2014100417,9001,37,0.004110654371736474
end |ends |end,2014100512,7658,30,0.003917471924784539
end |ends |end,2014100908,14247,7,4.913315083877308E-4
end |ends |end,2014100907,7751,17,0.0021932653851115987
end |ends |end,2014100419,8630,36,0.004171494785631518
end |ends |end,2014100909,1000,3,0.003
end |ends |end,2014100721,11447,42,0.0036690836026906613
end |ends |end,2014100722,8294,41,0.004943332529539426
end |ends |end,2014100720,10198,36,0.003530103941949402
end |ends |end,2014100723,5300,26,0.004905660377358491
end |ends |end,2014100520,14801,29,0.001959327072495102
end |ends |end,2014100523,12605,41,0.0032526775089250295
end |ends |end,2014100522,10915,54,0.004947320201557489
end |ends |end,2014100521,14363,69,0.004804010304253986
end |ends |end,2014100623,8800,16,0.0018181818181818182
end |ends |end,2014100622,9000,46,0.005111111111111111
end |ends |end,2014100621,9007,45,0.0049961141334517595
end |ends |end,2014100620,8998,31,0.003445210046677039
end |ends |end,2014093011,9741,34,0.0034904013961605585
end |ends |end,2014093012,11191,37,0.0033062282191046377
end |ends |end,2014093013,5267,24,0.004556673628251376
end |ends |end,2014093017,3899,9,0.0023082841754295974
end |ends |end,2014093018,99,3,0.030303030303030304
end |ends |end,2014093019,8564,70,0.008173750583839328
