interest |interests |interest,2014100223,8580,6,6.993006993006993E-4
interest |interests |interest,2014100222,12009,5,4.1635440086601716E-4
interest |interests |interest,2014100221,14828,7,4.720798489344483E-4
interest |interests |interest,2014100220,15090,6,3.9761431411530816E-4
interest |interests |interest,2014093023,7216,10,0.001385809312638581
interest |interests |interest,2014093020,2478,0,0.0
interest |interests |interest,2014093022,2524,12,0.004754358161648178
interest |interests |interest,2014093021,2547,0,0.0
interest |interests |interest,2014100321,9080,3,3.303964757709251E-4
interest |interests |interest,2014100322,8671,3,3.4598085572598315E-4
interest |interests |interest,2014100320,9381,3,3.197953309881676E-4
interest |interests |interest,2014100323,6929,2,2.886419396738346E-4
interest |interests |interest,2014100123,8836,3,3.395201448619285E-4
interest |interests |interest,2014100122,10378,6,5.781460782424359E-4
interest |interests |interest,2014100121,12311,18,0.001462107058727967
interest |interests |interest,2014100200,11724,2,1.70590242238144E-4
interest |interests |interest,2014100201,6861,2,2.915026963999417E-4
interest |interests |interest,2014100309,9997,6,6.001800540162049E-4
interest |interests |interest,2014100307,6926,2,2.8876696505919725E-4
interest |interests |interest,2014100204,8387,0,0.0
interest |interests |interest,2014100308,8532,6,7.032348804500703E-4
interest |interests |interest,2014100205,14882,1,6.719526945303051E-5
interest |interests |interest,2014100305,3838,0,0.0
interest |interests |interest,2014100202,5853,1,1.7085255424568598E-4
interest |interests |interest,2014100306,5526,2,3.619254433586681E-4
interest |interests |interest,2014100203,5613,1,1.7815784785319794E-4
interest |interests |interest,2014100303,5043,0,0.0
interest |interests |interest,2014100208,9640,3,3.1120331950207467E-4
interest |interests |interest,2014100304,4725,0,0.0
interest |interests |interest,2014100209,12321,7,5.681357032708384E-4
interest |interests |interest,2014100301,4480,2,4.464285714285714E-4
interest |interests |interest,2014100206,9203,3,3.259806584809301E-4
interest |interests |interest,2014100302,8095,2,2.470660901791229E-4
interest |interests |interest,2014100207,9445,2,2.1175224986765483E-4
interest |interests |interest,2014100300,6707,1,1.490979573579842E-4
interest |interests |interest,2014100106,45483,1,2.198623661587846E-5
interest |interests |interest,2014100105,7742,0,0.0
interest |interests |interest,2014100104,8731,1,1.1453441759248655E-4
interest |interests |interest,2014100103,1127,0,0.0
interest |interests |interest,2014100102,2940,0,0.0
interest |interests |interest,2014100101,3598,4,0.0011117287381878821
interest |interests |interest,2014100100,1816,0,0.0
interest |interests |interest,2014100109,10999,12,0.0010910082734794072
