death |Death |deaths |death,2014100223,8580,4,4.662004662004662E-4
death |Death |deaths |death,2014100222,12009,10,8.327088017320343E-4
death |Death |deaths |death,2014100221,14828,18,0.0012139196115457244
death |Death |deaths |death,2014100220,15090,22,0.0014579191517561298
death |Death |deaths |death,2014093023,7216,5,6.929046563192905E-4
death |Death |deaths |death,2014093020,2478,2,8.071025020177562E-4
death |Death |deaths |death,2014093022,2524,4,0.001584786053882726
death |Death |deaths |death,2014093021,2547,4,0.0015704750687082843
death |Death |deaths |death,2014100321,9080,10,0.0011013215859030838
death |Death |deaths |death,2014100322,8671,9,0.0010379425671779494
death |Death |deaths |death,2014100320,9381,9,9.593859929645027E-4
death |Death |deaths |death,2014100323,6929,8,0.0011545677586953383
death |Death |deaths |death,2014100123,8836,7,7.922136713444998E-4
death |Death |deaths |death,2014100122,10378,4,3.854307188282906E-4
death |Death |deaths |death,2014100121,12311,11,8.935098692226465E-4
death |Death |deaths |death,2014100200,11724,15,0.00127942681678608
death |Death |deaths |death,2014100201,6861,4,5.830053927998834E-4
death |Death |deaths |death,2014100309,9997,8,8.002400720216065E-4
death |Death |deaths |death,2014100307,6926,4,5.775339301183945E-4
death |Death |deaths |death,2014100204,8387,3,3.576964349588649E-4
death |Death |deaths |death,2014100308,8532,8,9.376465072667605E-4
death |Death |deaths |death,2014100205,14882,3,2.0158580835909153E-4
death |Death |deaths |death,2014100305,3838,0,0.0
death |Death |deaths |death,2014100202,5853,1,1.7085255424568598E-4
death |Death |deaths |death,2014100306,5526,4,7.238508867173362E-4
death |Death |deaths |death,2014100203,5613,0,0.0
death |Death |deaths |death,2014100303,5043,4,7.93178663493952E-4
death |Death |deaths |death,2014100208,9640,19,0.001970954356846473
death |Death |deaths |death,2014100304,4725,0,0.0
death |Death |deaths |death,2014100209,12321,30,0.0024348672997321647
death |Death |deaths |death,2014100301,4480,2,4.464285714285714E-4
death |Death |deaths |death,2014100206,9203,3,3.259806584809301E-4
death |Death |deaths |death,2014100302,8095,1,1.2353304508956145E-4
death |Death |deaths |death,2014100207,9445,11,0.0011646373742721016
death |Death |deaths |death,2014100300,6707,3,4.472938720739526E-4
death |Death |deaths |death,2014100106,45483,4,8.794494646351384E-5
death |Death |deaths |death,2014100105,7742,0,0.0
death |Death |deaths |death,2014100104,8731,3,3.436032527774596E-4
death |Death |deaths |death,2014100103,1127,0,0.0
death |Death |deaths |death,2014100102,2940,0,0.0
death |Death |deaths |death,2014100101,3598,2,5.558643690939411E-4
death |Death |deaths |death,2014100100,1816,2,0.0011013215859030838
death |Death |deaths |death,2014100109,10999,8,7.273388489862715E-4
death |Death |deaths |death,2014100108,14670,8,5.453306066803E-4
death |Death |deaths |death,2014100107,32104,8,2.4919013207077E-4
death |Death |deaths |death,2014100210,10300,31,0.003009708737864078
death |Death |deaths |death,2014100211,11008,8,7.267441860465116E-4
death |Death |deaths |death,2014100212,11567,13,0.0011238869196853116
death |Death |deaths |death,2014100316,10537,9,8.541330549492266E-4
death |Death |deaths |death,2014100213,10976,17,0.0015488338192419825
death |Death |deaths |death,2014100317,9832,17,0.0017290480065093572
death |Death |deaths |death,2014100214,12210,15,0.0012285012285012285
death |Death |deaths |death,2014100318,9075,19,0.00209366391184573
death |Death |deaths |death,2014100215,11832,8,6.76132521974307E-4
death |Death |deaths |death,2014100319,8645,10,0.001156737998843262
death |Death |deaths |death,2014100216,10725,12,0.0011188811188811189
death |Death |deaths |death,2014100312,10661,28,0.0026263952724885093
death |Death |deaths |death,2014100217,9835,16,0.001626842907981698
death |Death |deaths |death,2014100313,9887,25,0.0025285728734702135
death |Death |deaths |death,2014100218,9907,3,3.028161905723226E-4
death |Death |deaths |death,2014100314,9820,14,0.0014256619144602852
death |Death |deaths |death,2014100219,11100,10,9.009009009009009E-4
death |Death |deaths |death,2014100420,8163,4,4.900159255175794E-4
death |Death |deaths |death,2014100315,10271,21,0.0020445915684938177
death |Death |deaths |death,2014100120,12122,3,2.474839135456195E-4
death |Death |deaths |death,2014100421,8099,8,9.877762686751452E-4
death |Death |deaths |death,2014100422,8432,3,3.557874762808349E-4
death |Death |deaths |death,2014100423,6306,1,1.585791309863622E-4
death |Death |deaths |death,2014100310,10343,19,0.001836991201778981
death |Death |deaths |death,2014100311,11400,8,7.017543859649122E-4
death |Death |deaths |death,2014100115,14152,7,4.946297343131713E-4
