south |Souths |south |South,2014100223,8580,6,6.993006993006993E-4
south |Souths |south |South,2014100222,12009,9,7.494379215588309E-4
south |Souths |south |South,2014100221,14828,8,5.395198273536552E-4
south |Souths |south |South,2014100220,15090,39,0.002584493041749503
south |Souths |south |South,2014093023,7216,3,4.157427937915743E-4
south |Souths |south |South,2014093020,2478,5,0.0020177562550443904
south |Souths |south |South,2014093022,2524,2,7.92393026941363E-4
south |Souths |south |South,2014093021,2547,0,0.0
south |Souths |south |South,2014100321,9080,4,4.405286343612335E-4
south |Souths |south |South,2014100322,8671,13,0.0014992503748125937
south |Souths |south |South,2014100320,9381,15,0.0015989766549408379
south |Souths |south |South,2014100323,6929,6,8.659258190215039E-4
south |Souths |south |South,2014100123,8836,8,9.053870529651426E-4
south |Souths |south |South,2014100122,10378,7,6.745037579495086E-4
south |Souths |south |South,2014100121,12311,5,4.061408496466575E-4
south |Souths |south |South,2014100200,11724,3,2.5588536335721597E-4
south |Souths |south |South,2014100201,6861,3,4.3725404459991256E-4
south |Souths |south |South,2014100309,9997,11,0.001100330099029709
south |Souths |south |South,2014100307,6926,3,4.331504475887958E-4
south |Souths |south |South,2014100204,8387,2,2.384642899725766E-4
south |Souths |south |South,2014100308,8532,9,0.0010548523206751054
south |Souths |south |South,2014100205,14882,2,1.3439053890606102E-4
south |Souths |south |South,2014100305,3838,0,0.0
south |Souths |south |South,2014100202,5853,1,1.7085255424568598E-4
south |Souths |south |South,2014100306,5526,7,0.0012667390517553383
south |Souths |south |South,2014100203,5613,3,5.344735435595938E-4
south |Souths |south |South,2014100303,5043,0,0.0
south |Souths |south |South,2014100208,9640,13,0.0013485477178423236
south |Souths |south |South,2014100304,4725,0,0.0
south |Souths |south |South,2014100209,12321,8,6.492979465952439E-4
south |Souths |south |South,2014100301,4480,4,8.928571428571428E-4
south |Souths |south |South,2014100206,9203,1,1.0866021949364337E-4
south |Souths |south |South,2014100302,8095,3,3.705991352686844E-4
south |Souths |south |South,2014100207,9445,9,9.528851244044468E-4
south |Souths |south |South,2014100300,6707,4,5.963918294319368E-4
south |Souths |south |South,2014100106,45483,0,0.0
south |Souths |south |South,2014100105,7742,0,0.0
south |Souths |south |South,2014100104,8731,0,0.0
south |Souths |south |South,2014100103,1127,0,0.0
south |Souths |south |South,2014100102,2940,0,0.0
south |Souths |south |South,2014100101,3598,2,5.558643690939411E-4
south |Souths |south |South,2014100100,1816,0,0.0
south |Souths |south |South,2014100109,10999,8,7.273388489862715E-4
south |Souths |south |South,2014100108,14670,9,6.134969325153375E-4
south |Souths |south |South,2014100107,32104,3,9.344629952653874E-5
south |Souths |south |South,2014100210,10300,5,4.854368932038835E-4
south |Souths |south |South,2014100211,11008,5,4.5421511627906976E-4
south |Souths |south |South,2014100212,11567,12,0.0010374340797095186
