brisbane |Brisbane,2014100223,8580,4,4.662004662004662E-4
brisbane |Brisbane,2014100222,12009,5,4.1635440086601716E-4
brisbane |Brisbane,2014100221,14828,7,4.720798489344483E-4
brisbane |Brisbane,2014100220,15090,3,1.9880715705765408E-4
brisbane |Brisbane,2014093023,7216,2,2.771618625277162E-4
brisbane |Brisbane,2014093020,2478,1,4.035512510088781E-4
brisbane |Brisbane,2014093022,2524,0,0.0
brisbane |Brisbane,2014093021,2547,0,0.0
brisbane |Brisbane,2014100321,9080,6,6.607929515418502E-4
brisbane |Brisbane,2014100322,8671,9,0.0010379425671779494
brisbane |Brisbane,2014100320,9381,4,4.263937746508901E-4
brisbane |Brisbane,2014100323,6929,4,5.772838793476692E-4
brisbane |Brisbane,2014100123,8836,2,2.2634676324128565E-4
brisbane |Brisbane,2014100122,10378,2,1.927153594141453E-4
brisbane |Brisbane,2014100121,12311,9,7.310535293639835E-4
brisbane |Brisbane,2014100200,11724,3,2.5588536335721597E-4
brisbane |Brisbane,2014100201,6861,1,1.4575134819997084E-4
brisbane |Brisbane,2014100309,9997,4,4.0012003601080324E-4
brisbane |Brisbane,2014100307,6926,1,1.4438348252959862E-4
brisbane |Brisbane,2014100204,8387,0,0.0
brisbane |Brisbane,2014100308,8532,2,2.3441162681669012E-4
brisbane |Brisbane,2014100205,14882,1,6.719526945303051E-5
brisbane |Brisbane,2014100305,3838,3,7.81657113079729E-4
brisbane |Brisbane,2014100202,5853,2,3.4170510849137196E-4
brisbane |Brisbane,2014100306,5526,2,3.619254433586681E-4
brisbane |Brisbane,2014100203,5613,1,1.7815784785319794E-4
brisbane |Brisbane,2014100303,5043,1,1.98294665873488E-4
brisbane |Brisbane,2014100208,9640,3,3.1120331950207467E-4
brisbane |Brisbane,2014100304,4725,2,4.232804232804233E-4
brisbane |Brisbane,2014100209,12321,7,5.681357032708384E-4
brisbane |Brisbane,2014100301,4480,3,6.696428571428571E-4
brisbane |Brisbane,2014100206,9203,2,2.1732043898728675E-4
brisbane |Brisbane,2014100302,8095,0,0.0
brisbane |Brisbane,2014100207,9445,4,4.2350449973530967E-4
brisbane |Brisbane,2014100300,6707,2,2.981959147159684E-4
brisbane |Brisbane,2014100106,45483,1,2.198623661587846E-5
brisbane |Brisbane,2014100105,7742,0,0.0
brisbane |Brisbane,2014100104,8731,1,1.1453441759248655E-4
brisbane |Brisbane,2014100103,1127,0,0.0
brisbane |Brisbane,2014100102,2940,1,3.401360544217687E-4
brisbane |Brisbane,2014100101,3598,1,2.7793218454697053E-4
brisbane |Brisbane,2014100100,1816,3,0.0016519823788546256
brisbane |Brisbane,2014100109,10999,1,9.091735612328394E-5
brisbane |Brisbane,2014100108,14670,4,2.7266530334015E-4
brisbane |Brisbane,2014100107,32104,3,9.344629952653874E-5
brisbane |Brisbane,2014100210,10300,6,5.825242718446602E-4
brisbane |Brisbane,2014100211,11008,4,3.633720930232558E-4
brisbane |Brisbane,2014100212,11567,5,4.3226419987896605E-4
brisbane |Brisbane,2014100316,10537,4,3.7961469108854513E-4
brisbane |Brisbane,2014100213,10976,4,3.6443148688046647E-4
brisbane |Brisbane,2014100317,9832,6,6.102522375915378E-4
brisbane |Brisbane,2014100214,12210,4,3.276003276003276E-4
brisbane |Brisbane,2014100318,9075,8,8.815426997245179E-4
brisbane |Brisbane,2014100215,11832,1,8.451656524678837E-5
brisbane |Brisbane,2014100319,8645,6,6.940427993059572E-4
brisbane |Brisbane,2014100216,10725,9,8.391608391608392E-4
brisbane |Brisbane,2014100312,10661,3,2.813994934809117E-4
brisbane |Brisbane,2014100217,9835,7,7.117437722419929E-4
brisbane |Brisbane,2014100313,9887,6,6.068574896328512E-4
brisbane |Brisbane,2014100218,9907,3,3.028161905723226E-4
brisbane |Brisbane,2014100314,9820,4,4.073319755600815E-4
brisbane |Brisbane,2014100219,11100,2,1.8018018018018018E-4
brisbane |Brisbane,2014100420,8163,0,0.0
brisbane |Brisbane,2014100315,10271,2,1.947230065232207E-4
brisbane |Brisbane,2014100120,12122,7,5.774624649397789E-4
brisbane |Brisbane,2014100421,8099,4,4.938881343375726E-4
brisbane |Brisbane,2014100422,8432,6,7.115749525616698E-4
brisbane |Brisbane,2014100423,6306,1,1.585791309863622E-4
brisbane |Brisbane,2014100310,10343,6,5.801024847723097E-4
brisbane |Brisbane,2014100311,11400,3,2.631578947368421E-4
brisbane |Brisbane,2014100115,14152,3,2.1198417184850198E-4
brisbane |Brisbane,2014100114,11535,9,7.802340702210664E-4
brisbane |Brisbane,2014100117,11365,10,8.798944126704796E-4
brisbane |Brisbane,2014100116,10904,4,3.6683785766691124E-4
brisbane |Brisbane,2014100111,9571,4,4.179291610072093E-4
brisbane |Brisbane,2014100110,9126,3,3.287310979618672E-4
brisbane |Brisbane,2014100823,5727,4,6.984459577440195E-4
brisbane |Brisbane,2014100113,11543,4,3.465303647232089E-4
brisbane |Brisbane,2014100822,900,0,0.0
brisbane |Brisbane,2014100112,11651,8,6.866363402283066E-4
brisbane |Brisbane,2014100119,11403,3,2.6308866087871614E-4
brisbane |Brisbane,2014100118,10294,4,3.885758694385079E-4
brisbane |Brisbane,2014100604,4638,2,4.3122035360068997E-4
brisbane |Brisbane,2014100605,8675,4,4.610951008645533E-4
brisbane |Brisbane,2014100700,5207,2,3.840983291722681E-4
brisbane |Brisbane,2014100914,3191,3,9.40144155437167E-4
brisbane |Brisbane,2014100602,8176,4,4.892367906066536E-4
brisbane |Brisbane,2014100915,1000,0,0.0
brisbane |Brisbane,2014100603,9384,2,2.1312872975277067E-4
brisbane |Brisbane,2014100912,2545,3,0.0011787819253438114
brisbane |Brisbane,2014100608,13680,1,7.309941520467836E-5
brisbane |Brisbane,2014100913,6771,1,1.476886722788362E-4
brisbane |Brisbane,2014100609,13287,4,3.0104613532023783E-4
brisbane |Brisbane,2014100810,6053,15,0.002478110028085247
brisbane |Brisbane,2014100606,4334,2,4.6146746654360867E-4
brisbane |Brisbane,2014100607,6194,3,4.8433968356474005E-4
brisbane |Brisbane,2014100707,4802,6,0.0012494793835901709
brisbane |Brisbane,2014100813,7061,9,0.001274606996176179
brisbane |Brisbane,2014100708,5400,3,5.555555555555556E-4
brisbane |Brisbane,2014100814,6011,6,9.98170021627017E-4
brisbane |Brisbane,2014100705,2740,0,0.0
brisbane |Brisbane,2014100811,6604,12,0.0018170805572380376
brisbane |Brisbane,2014100706,3398,1,2.942907592701589E-4
brisbane |Brisbane,2014100812,5896,18,0.0030529172320217096
brisbane |Brisbane,2014100817,6743,6,8.898116565327006E-4
brisbane |Brisbane,2014100600,15771,3,1.9022256039566293E-4
brisbane |Brisbane,2014100703,5792,2,3.453038674033149E-4
