islamic state |Islamic State,2014100223,8580,1,1.1655011655011655E-4
islamic state |Islamic State,2014100222,12009,0,0.0
islamic state |Islamic State,2014100221,14828,0,0.0
islamic state |Islamic State,2014100220,15090,0,0.0
islamic state |Islamic State,2014093023,7216,1,1.385809312638581E-4
islamic state |Islamic State,2014093020,2478,0,0.0
islamic state |Islamic State,2014093022,2524,0,0.0
islamic state |Islamic State,2014093021,2547,1,3.9261876717707107E-4
islamic state |Islamic State,2014100321,9080,1,1.1013215859030837E-4
islamic state |Islamic State,2014100322,8671,0,0.0
islamic state |Islamic State,2014100320,9381,0,0.0
islamic state |Islamic State,2014100323,6929,1,1.443209698369173E-4
islamic state |Islamic State,2014100123,8836,0,0.0
islamic state |Islamic State,2014100122,10378,0,0.0
islamic state |Islamic State,2014100121,12311,1,8.122816992933149E-5
islamic state |Islamic State,2014100200,11724,0,0.0
islamic state |Islamic State,2014100201,6861,0,0.0
islamic state |Islamic State,2014100309,9997,0,0.0
islamic state |Islamic State,2014100307,6926,1,1.4438348252959862E-4
islamic state |Islamic State,2014100204,8387,0,0.0
islamic state |Islamic State,2014100308,8532,3,3.5161744022503517E-4
islamic state |Islamic State,2014100205,14882,0,0.0
islamic state |Islamic State,2014100305,3838,0,0.0
islamic state |Islamic State,2014100202,5853,0,0.0
islamic state |Islamic State,2014100306,5526,0,0.0
islamic state |Islamic State,2014100203,5613,0,0.0
islamic state |Islamic State,2014100303,5043,0,0.0
islamic state |Islamic State,2014100208,9640,0,0.0
islamic state |Islamic State,2014100304,4725,0,0.0
islamic state |Islamic State,2014100209,12321,0,0.0
islamic state |Islamic State,2014100301,4480,0,0.0
islamic state |Islamic State,2014100206,9203,1,1.0866021949364337E-4
islamic state |Islamic State,2014100302,8095,0,0.0
islamic state |Islamic State,2014100207,9445,1,1.0587612493382742E-4
islamic state |Islamic State,2014100300,6707,0,0.0
islamic state |Islamic State,2014100106,45483,0,0.0
islamic state |Islamic State,2014100105,7742,0,0.0
islamic state |Islamic State,2014100104,8731,0,0.0
islamic state |Islamic State,2014100103,1127,0,0.0
islamic state |Islamic State,2014100102,2940,0,0.0
islamic state |Islamic State,2014100101,3598,1,2.7793218454697053E-4
islamic state |Islamic State,2014100100,1816,0,0.0
