abuse |abuse,2014100223,8580,2,2.331002331002331E-4
abuse |abuse,2014100222,12009,2,1.6654176034640685E-4
abuse |abuse,2014100221,14828,7,4.720798489344483E-4
abuse |abuse,2014100220,15090,3,1.9880715705765408E-4
abuse |abuse,2014093023,7216,0,0.0
abuse |abuse,2014093020,2478,1,4.035512510088781E-4
abuse |abuse,2014093022,2524,2,7.92393026941363E-4
abuse |abuse,2014093021,2547,1,3.9261876717707107E-4
abuse |abuse,2014100321,9080,21,0.002312775330396476
abuse |abuse,2014100322,8671,31,0.0035751355091684926
abuse |abuse,2014100320,9381,26,0.0027715595352307857
abuse |abuse,2014100323,6929,13,0.001876172607879925
abuse |abuse,2014100123,8836,1,1.1317338162064282E-4
abuse |abuse,2014100122,10378,4,3.854307188282906E-4
abuse |abuse,2014100121,12311,8,6.498253594346519E-4
abuse |abuse,2014100200,11724,0,0.0
abuse |abuse,2014100201,6861,1,1.4575134819997084E-4
abuse |abuse,2014100309,9997,173,0.01730519155746724
abuse |abuse,2014100307,6926,1,1.4438348252959862E-4
abuse |abuse,2014100204,8387,1,1.192321449862883E-4
abuse |abuse,2014100308,8532,57,0.006680731364275668
abuse |abuse,2014100205,14882,0,0.0
abuse |abuse,2014100305,3838,6,0.001563314226159458
abuse |abuse,2014100202,5853,1,1.7085255424568598E-4
abuse |abuse,2014100306,5526,6,0.0010857763300760044
abuse |abuse,2014100203,5613,0,0.0
abuse |abuse,2014100303,5043,2,3.96589331746976E-4
abuse |abuse,2014100208,9640,21,0.002178423236514523
abuse |abuse,2014100304,4725,2,4.232804232804233E-4
abuse |abuse,2014100209,12321,4,3.2464897329762194E-4
abuse |abuse,2014100301,4480,2,4.464285714285714E-4
abuse |abuse,2014100206,9203,2,2.1732043898728675E-4
abuse |abuse,2014100302,8095,2,2.470660901791229E-4
abuse |abuse,2014100207,9445,6,6.352567496029645E-4
abuse |abuse,2014100300,6707,10,0.001490979573579842
abuse |abuse,2014100106,45483,4,8.794494646351384E-5
abuse |abuse,2014100105,7742,0,0.0
abuse |abuse,2014100104,8731,0,0.0
abuse |abuse,2014100103,1127,0,0.0
abuse |abuse,2014100102,2940,0,0.0
abuse |abuse,2014100101,3598,1,2.7793218454697053E-4
abuse |abuse,2014100100,1816,0,0.0
abuse |abuse,2014100109,10999,20,0.0018183471224656788
abuse |abuse,2014100108,14670,44,0.0029993183367416497
abuse |abuse,2014100107,32104,10,3.114876650884625E-4
abuse |abuse,2014100210,10300,2,1.941747572815534E-4
abuse |abuse,2014100211,11008,8,7.267441860465116E-4
abuse |abuse,2014100212,11567,4,3.458113599031728E-4
abuse |abuse,2014100316,10537,28,0.002657302837619816
abuse |abuse,2014100213,10976,2,1.8221574344023323E-4
abuse |abuse,2014100317,9832,84,0.00854353132628153
abuse |abuse,2014100214,12210,6,4.914004914004914E-4
abuse |abuse,2014100318,9075,54,0.0059504132231404955
abuse |abuse,2014100215,11832,4,3.380662609871535E-4
abuse |abuse,2014100319,8645,43,0.004973973395026026
abuse |abuse,2014100216,10725,5,4.662004662004662E-4
abuse |abuse,2014100312,10661,80,0.007503986492824313
abuse |abuse,2014100217,9835,11,0.0011184544992374173
abuse |abuse,2014100313,9887,86,0.008698290684737535
abuse |abuse,2014100218,9907,8,8.075098415261935E-4
abuse |abuse,2014100314,9820,27,0.0027494908350305497
abuse |abuse,2014100219,11100,5,4.5045045045045046E-4
abuse |abuse,2014100420,8163,20,0.0024500796275878966
abuse |abuse,2014100315,10271,34,0.003310291110894752
abuse |abuse,2014100120,12122,3,2.474839135456195E-4
abuse |abuse,2014100421,8099,6,7.408322015063588E-4
abuse |abuse,2014100422,8432,4,4.743833017077799E-4
abuse |abuse,2014100423,6306,3,4.757373929590866E-4
abuse |abuse,2014100310,10343,59,0.005704341100261046
abuse |abuse,2014100311,11400,33,0.0028947368421052633
abuse |abuse,2014100115,14152,13,9.185980780101752E-4
abuse |abuse,2014100114,11535,4,3.4677069787602947E-4
abuse |abuse,2014100117,11365,6,5.279366476022878E-4
abuse |abuse,2014100116,10904,6,5.502567865003668E-4
abuse |abuse,2014100111,9571,33,0.0034479155783094764
abuse |abuse,2014100110,9126,11,0.001205347359193513
abuse |abuse,2014100823,5727,0,0.0
abuse |abuse,2014100113,11543,11,9.529585029888244E-4
abuse |abuse,2014100822,900,0,0.0
abuse |abuse,2014100112,11651,13,0.0011157840528709983
abuse |abuse,2014100119,11403,3,2.6308866087871614E-4
abuse |abuse,2014100118,10294,10,9.714396735962696E-4
abuse |abuse,2014100604,4638,1,2.1561017680034498E-4
abuse |abuse,2014100605,8675,0,0.0
abuse |abuse,2014100700,5207,7,0.0013443441521029385
abuse |abuse,2014100914,3191,0,0.0
abuse |abuse,2014100602,8176,3,3.669275929549902E-4
abuse |abuse,2014100915,1000,0,0.0
abuse |abuse,2014100603,9384,2,2.1312872975277067E-4
abuse |abuse,2014100912,2545,2,7.858546168958742E-4
abuse |abuse,2014100608,13680,18,0.0013157894736842105
abuse |abuse,2014100913,6771,8,0.0011815093782306897
abuse |abuse,2014100609,13287,8,6.020922706404757E-4
abuse |abuse,2014100810,6053,2,3.3041467041136624E-4
abuse |abuse,2014100606,4334,2,4.6146746654360867E-4
abuse |abuse,2014100607,6194,15,0.0024216984178237005
abuse |abuse,2014100707,4802,3,6.247396917950854E-4
abuse |abuse,2014100813,7061,4,5.66491998300524E-4
abuse |abuse,2014100708,5400,7,0.0012962962962962963
abuse |abuse,2014100814,6011,5,8.318083513558476E-4
