fee |fees,2014100223,8580,1,1.1655011655011655E-4
fee |fees,2014100222,12009,1,8.327088017320343E-5
fee |fees,2014100221,14828,3,2.023199352576207E-4
fee |fees,2014100220,15090,8,5.301524188204108E-4
fee |fees,2014093023,7216,0,0.0
fee |fees,2014093020,2478,2,8.071025020177562E-4
fee |fees,2014093022,2524,0,0.0
fee |fees,2014093021,2547,0,0.0
fee |fees,2014100321,9080,3,3.303964757709251E-4
fee |fees,2014100322,8671,1,1.1532695190866105E-4
fee |fees,2014100320,9381,3,3.197953309881676E-4
fee |fees,2014100323,6929,2,2.886419396738346E-4
fee |fees,2014100123,8836,0,0.0
fee |fees,2014100122,10378,13,0.0012526498361919445
fee |fees,2014100121,12311,1,8.122816992933149E-5
fee |fees,2014100200,11724,2,1.70590242238144E-4
fee |fees,2014100201,6861,1,1.4575134819997084E-4
fee |fees,2014100309,9997,2,2.0006001800540162E-4
fee |fees,2014100307,6926,5,7.219174126479931E-4
fee |fees,2014100204,8387,0,0.0
fee |fees,2014100308,8532,1,1.1720581340834506E-4
fee |fees,2014100205,14882,0,0.0
fee |fees,2014100305,3838,0,0.0
fee |fees,2014100202,5853,2,3.4170510849137196E-4
fee |fees,2014100306,5526,2,3.619254433586681E-4
fee |fees,2014100203,5613,5,8.907892392659896E-4
fee |fees,2014100303,5043,0,0.0
fee |fees,2014100208,9640,7,7.261410788381743E-4
fee |fees,2014100304,4725,0,0.0
fee |fees,2014100209,12321,11,8.927846765684603E-4
fee |fees,2014100301,4480,0,0.0
fee |fees,2014100206,9203,5,5.433010974682169E-4
fee |fees,2014100302,8095,0,0.0
fee |fees,2014100207,9445,4,4.2350449973530967E-4
fee |fees,2014100300,6707,0,0.0
fee |fees,2014100106,45483,3,6.595870984763538E-5
fee |fees,2014100105,7742,0,0.0
fee |fees,2014100104,8731,0,0.0
fee |fees,2014100103,1127,0,0.0
fee |fees,2014100102,2940,0,0.0
fee |fees,2014100101,3598,0,0.0
fee |fees,2014100100,1816,0,0.0
fee |fees,2014100109,10999,18,0.0016365124102191108
fee |fees,2014100108,14670,9,6.134969325153375E-4
fee |fees,2014100107,32104,2,6.22975330176925E-5
fee |fees,2014100210,10300,13,0.001262135922330097
fee |fees,2014100211,11008,16,0.0014534883720930232
fee |fees,2014100212,11567,4,3.458113599031728E-4
fee |fees,2014100316,10537,2,1.8980734554427256E-4
fee |fees,2014100213,10976,9,8.199708454810496E-4
fee |fees,2014100317,9832,2,2.034174125305126E-4
fee |fees,2014100214,12210,24,0.0019656019656019656
fee |fees,2014100318,9075,2,2.2038567493112948E-4
fee |fees,2014100215,11832,5,4.2258282623394185E-4
fee |fees,2014100319,8645,0,0.0
fee |fees,2014100216,10725,2,1.8648018648018648E-4
fee |fees,2014100312,10661,1,9.379983116030391E-5
fee |fees,2014100217,9835,4,4.067107269954245E-4
fee |fees,2014100313,9887,4,4.0457165975523417E-4
fee |fees,2014100218,9907,22,0.0022206520641970323
