speaker |speakers |Speaker,2014100223,8580,7,8.158508158508159E-4
speaker |speakers |Speaker,2014100222,12009,4,3.330835206928137E-4
speaker |speakers |Speaker,2014100221,14828,5,3.371998920960345E-4
speaker |speakers |Speaker,2014100220,15090,13,8.614976805831676E-4
speaker |speakers |Speaker,2014093023,7216,0,0.0
speaker |speakers |Speaker,2014093020,2478,1,4.035512510088781E-4
speaker |speakers |Speaker,2014093022,2524,0,0.0
speaker |speakers |Speaker,2014093021,2547,1,3.9261876717707107E-4
speaker |speakers |Speaker,2014100321,9080,1,1.1013215859030837E-4
speaker |speakers |Speaker,2014100322,8671,1,1.1532695190866105E-4
speaker |speakers |Speaker,2014100320,9381,1,1.0659844366272253E-4
speaker |speakers |Speaker,2014100323,6929,2,2.886419396738346E-4
speaker |speakers |Speaker,2014100123,8836,2,2.2634676324128565E-4
speaker |speakers |Speaker,2014100122,10378,4,3.854307188282906E-4
speaker |speakers |Speaker,2014100121,12311,2,1.6245633985866297E-4
speaker |speakers |Speaker,2014100200,11724,1,8.5295121119072E-5
speaker |speakers |Speaker,2014100201,6861,1,1.4575134819997084E-4
speaker |speakers |Speaker,2014100309,9997,3,3.0009002700810244E-4
speaker |speakers |Speaker,2014100307,6926,7,0.0010106843777071904
speaker |speakers |Speaker,2014100204,8387,0,0.0
speaker |speakers |Speaker,2014100308,8532,4,4.6882325363338024E-4
speaker |speakers |Speaker,2014100205,14882,0,0.0
speaker |speakers |Speaker,2014100305,3838,0,0.0
speaker |speakers |Speaker,2014100202,5853,0,0.0
speaker |speakers |Speaker,2014100306,5526,1,1.8096272167933406E-4
speaker |speakers |Speaker,2014100203,5613,0,0.0
speaker |speakers |Speaker,2014100303,5043,1,1.98294665873488E-4
speaker |speakers |Speaker,2014100208,9640,4,4.149377593360996E-4
speaker |speakers |Speaker,2014100304,4725,4,8.465608465608466E-4
speaker |speakers |Speaker,2014100209,12321,7,5.681357032708384E-4
speaker |speakers |Speaker,2014100301,4480,0,0.0
speaker |speakers |Speaker,2014100206,9203,2,2.1732043898728675E-4
speaker |speakers |Speaker,2014100302,8095,0,0.0
speaker |speakers |Speaker,2014100207,9445,1,1.0587612493382742E-4
speaker |speakers |Speaker,2014100300,6707,0,0.0
speaker |speakers |Speaker,2014100106,45483,1,2.198623661587846E-5
speaker |speakers |Speaker,2014100105,7742,0,0.0
speaker |speakers |Speaker,2014100104,8731,0,0.0
speaker |speakers |Speaker,2014100103,1127,0,0.0
speaker |speakers |Speaker,2014100102,2940,0,0.0
speaker |speakers |Speaker,2014100101,3598,1,2.7793218454697053E-4
speaker |speakers |Speaker,2014100100,1816,0,0.0
speaker |speakers |Speaker,2014100109,10999,2,1.8183471224656787E-4
speaker |speakers |Speaker,2014100108,14670,7,4.7716428084526244E-4
speaker |speakers |Speaker,2014100107,32104,1,3.114876650884625E-5
speaker |speakers |Speaker,2014100210,10300,8,7.766990291262136E-4
speaker |speakers |Speaker,2014100211,11008,4,3.633720930232558E-4
speaker |speakers |Speaker,2014100212,11567,4,3.458113599031728E-4
speaker |speakers |Speaker,2014100316,10537,3,2.847110183164088E-4
speaker |speakers |Speaker,2014100213,10976,3,2.7332361516034986E-4
speaker |speakers |Speaker,2014100317,9832,5,5.085435313262816E-4
speaker |speakers |Speaker,2014100214,12210,14,0.0011466011466011465
speaker |speakers |Speaker,2014100318,9075,3,3.3057851239669424E-4
speaker |speakers |Speaker,2014100215,11832,7,5.916159567275186E-4
speaker |speakers |Speaker,2014100319,8645,1,1.156737998843262E-4
speaker |speakers |Speaker,2014100216,10725,7,6.526806526806527E-4
speaker |speakers |Speaker,2014100312,10661,2,1.8759966232060783E-4
speaker |speakers |Speaker,2014100217,9835,8,8.13421453990849E-4
speaker |speakers |Speaker,2014100313,9887,3,3.034287448164256E-4
speaker |speakers |Speaker,2014100218,9907,3,3.028161905723226E-4
speaker |speakers |Speaker,2014100314,9820,0,0.0
speaker |speakers |Speaker,2014100219,11100,3,2.702702702702703E-4
speaker |speakers |Speaker,2014100420,8163,0,0.0
speaker |speakers |Speaker,2014100315,10271,6,5.841690195696621E-4
speaker |speakers |Speaker,2014100120,12122,6,4.94967827091239E-4
speaker |speakers |Speaker,2014100421,8099,4,4.938881343375726E-4
speaker |speakers |Speaker,2014100422,8432,1,1.1859582542694497E-4
speaker |speakers |Speaker,2014100423,6306,3,4.757373929590866E-4
speaker |speakers |Speaker,2014100310,10343,15,0.0014502562119307744
speaker |speakers |Speaker,2014100311,11400,5,4.385964912280702E-4
speaker |speakers |Speaker,2014100115,14152,5,3.5330695308083665E-4
speaker |speakers |Speaker,2014100114,11535,9,7.802340702210664E-4
speaker |speakers |Speaker,2014100117,11365,1,8.798944126704795E-5
speaker |speakers |Speaker,2014100116,10904,5,4.58547322083639E-4
speaker |speakers |Speaker,2014100111,9571,11,0.0011493051927698255
speaker |speakers |Speaker,2014100110,9126,7,7.670392285776902E-4
speaker |speakers |Speaker,2014100823,5727,0,0.0
speaker |speakers |Speaker,2014100113,11543,2,1.7326518236160444E-4
speaker |speakers |Speaker,2014100822,900,0,0.0
speaker |speakers |Speaker,2014100112,11651,6,5.1497725517123E-4
speaker |speakers |Speaker,2014100119,11403,6,5.261773217574323E-4
speaker |speakers |Speaker,2014100118,10294,1,9.714396735962697E-5
speaker |speakers |Speaker,2014100604,4638,1,2.1561017680034498E-4
speaker |speakers |Speaker,2014100605,8675,0,0.0
speaker |speakers |Speaker,2014100700,5207,1,1.9204916458613405E-4
speaker |speakers |Speaker,2014100914,3191,0,0.0
speaker |speakers |Speaker,2014100602,8176,1,1.223091976516634E-4
speaker |speakers |Speaker,2014100915,1000,0,0.0
speaker |speakers |Speaker,2014100603,9384,1,1.0656436487638534E-4
speaker |speakers |Speaker,2014100912,2545,1,3.929273084479371E-4
speaker |speakers |Speaker,2014100608,13680,1,7.309941520467836E-5
speaker |speakers |Speaker,2014100913,6771,1,1.476886722788362E-4
speaker |speakers |Speaker,2014100609,13287,5,3.763076691502973E-4
speaker |speakers |Speaker,2014100810,6053,7,0.001156451346439782
speaker |speakers |Speaker,2014100606,4334,0,0.0
speaker |speakers |Speaker,2014100607,6194,1,1.6144656118824668E-4
speaker |speakers |Speaker,2014100707,4802,2,4.1649312786339027E-4
speaker |speakers |Speaker,2014100813,7061,6,8.49737997450786E-4
speaker |speakers |Speaker,2014100708,5400,1,1.8518518518518518E-4
speaker |speakers |Speaker,2014100814,6011,2,3.3272334054233906E-4
speaker |speakers |Speaker,2014100705,2740,0,0.0
speaker |speakers |Speaker,2014100811,6604,5,7.571168988491823E-4
speaker |speakers |Speaker,2014100706,3398,0,0.0
speaker |speakers |Speaker,2014100812,5896,3,5.088195386702849E-4
speaker |speakers |Speaker,2014100817,6743,3,4.449058282663503E-4
speaker |speakers |Speaker,2014100600,15771,1,6.340752013188764E-5
speaker |speakers |Speaker,2014100703,5792,0,0.0
speaker |speakers |Speaker,2014100818,7400,2,2.702702702702703E-4
speaker |speakers |Speaker,2014100601,8669,1,1.1535355865728458E-4
speaker |speakers |Speaker,2014100704,3010,0,0.0
speaker |speakers |Speaker,2014100815,5628,1,1.7768301350390902E-4
speaker |speakers |Speaker,2014100701,13455,0,0.0
speaker |speakers |Speaker,2014100816,7857,3,3.8182512409316535E-4
speaker |speakers |Speaker,2014100702,8524,0,0.0
speaker |speakers |Speaker,2014100509,9287,2,2.153547970281038E-4
speaker |speakers |Speaker,2014100508,6498,0,0.0
speaker |speakers |Speaker,2014100819,4300,3,6.976744186046512E-4
speaker |speakers |Speaker,2014100507,16911,0,0.0
speaker |speakers |Speaker,2014100403,6749,0,0.0
speaker |speakers |Speaker,2014100506,11836,0,0.0
speaker |speakers |Speaker,2014100402,6613,1,1.5121729925903524E-4
speaker |speakers |Speaker,2014100505,6487,0,0.0
speaker |speakers |Speaker,2014100401,4570,3,6.564551422319475E-4
speaker |speakers |Speaker,2014100504,3861,0,0.0
speaker |speakers |Speaker,2014100400,5285,4,7.568590350047304E-4
speaker |speakers |Speaker,2014100503,4540,0,0.0
speaker |speakers |Speaker,2014100709,5572,3,5.384063173007897E-4
speaker |speakers |Speaker,2014100407,7111,1,1.406271972999578E-4
speaker |speakers |Speaker,2014100406,10763,0,0.0
speaker |speakers |Speaker,2014100501,6148,2,3.2530904359141186E-4
speaker |speakers |Speaker,2014100405,10366,0,0.0
speaker |speakers |Speaker,2014100500,11540,2,1.733102253032929E-4
speaker |speakers |Speaker,2014100404,3086,0,0.0
speaker |speakers |Speaker,2014100409,9932,2,2.013693113169553E-4
speaker |speakers |Speaker,2014100408,10458,0,0.0
speaker |speakers |Speaker,2014100903,4141,0,0.0
speaker |speakers |Speaker,2014100613,12260,4,3.262642740619902E-4
speaker |speakers |Speaker,2014100904,4854,0,0.0
speaker |speakers |Speaker,2014100614,10247,1,9.758953840148337E-5
speaker |speakers |Speaker,2014100905,7777,0,0.0
speaker |speakers |Speaker,2014100615,8801,2,2.2724690376093625E-4
speaker |speakers |Speaker,2014100710,7431,2,2.6914278024491994E-4
speaker |speakers |Speaker,2014100906,3505,0,0.0
speaker |speakers |Speaker,2014100616,10833,0,0.0
speaker |speakers |Speaker,2014100711,13474,2,1.4843402107763098E-4
speaker |speakers |Speaker,2014100617,11523,1,8.678295582747549E-5
speaker |speakers |Speaker,2014100900,3864,0,0.0
speaker |speakers |Speaker,2014100618,10834,4,3.6920804873546244E-4
speaker |speakers |Speaker,2014100901,3052,0,0.0
speaker |speakers |Speaker,2014100619,10472,1,9.549274255156608E-5
speaker |speakers |Speaker,2014100902,4916,5,0.0010170870626525631
speaker |speakers |Speaker,2014100716,9756,5,5.125051250512505E-4
speaker |speakers |Speaker,2014100800,3418,2,5.851375073142189E-4
speaker |speakers |Speaker,2014100717,12018,7,5.82459643867532E-4
speaker |speakers |Speaker,2014100801,4912,1,2.0358306188925082E-4
speaker |speakers |Speaker,2014100718,9824,4,4.0716612377850165E-4
speaker |speakers |Speaker,2014100802,4582,0,0.0
speaker |speakers |Speaker,2014100719,8904,7,7.861635220125787E-4
speaker |speakers |Speaker,2014100803,4750,0,0.0
speaker |speakers |Speaker,2014100712,10146,5,4.928050463236743E-4
speaker |speakers |Speaker,2014100804,8238,1,1.2138868657441127E-4
speaker |speakers |Speaker,2014100610,8565,10,0.0011675423234092236
speaker |speakers |Speaker,2014100713,7382,4,5.41858574911948E-4
speaker |speakers |Speaker,2014100805,6904,0,0.0
speaker |speakers |Speaker,2014100611,8676,5,5.763024435223605E-4
speaker |speakers |Speaker,2014100714,9294,6,6.455777921239509E-4
speaker |speakers |Speaker,2014100806,7696,1,1.2993762993762994E-4
speaker |speakers |Speaker,2014100612,7761,1,1.2884937508053087E-4
speaker |speakers |Speaker,2014100715,8494,7,8.241111372733694E-4
speaker |speakers |Speaker,2014100807,6298,2,3.1756113051762465E-4
speaker |speakers |Speaker,2014100519,13547,2,1.4763416254521297E-4
speaker |speakers |Speaker,2014100809,5933,5,8.427439743805831E-4
speaker |speakers |Speaker,2014100518,12589,2,1.588688537612201E-4
speaker |speakers |Speaker,2014100808,7916,2,2.5265285497726126E-4
speaker |speakers |Speaker,2014100410,8297,5,6.02627455706882E-4
speaker |speakers |Speaker,2014100412,8252,0,0.0
speaker |speakers |Speaker,2014100515,6526,4,6.129328838492185E-4
speaker |speakers |Speaker,2014100411,8736,7,8.012820512820513E-4
speaker |speakers |Speaker,2014100514,7337,1,1.362954886193267E-4
speaker |speakers |Speaker,2014100414,8029,0,0.0
speaker |speakers |Speaker,2014100517,16635,2,1.2022843402464683E-4
speaker |speakers |Speaker,2014100413,7649,1,1.3073604392731077E-4
speaker |speakers |Speaker,2014100516,7164,3,4.187604690117253E-4
speaker |speakers |Speaker,2014100416,8535,2,2.3432923257176333E-4
speaker |speakers |Speaker,2014100511,8203,1,1.2190661952944045E-4
speaker |speakers |Speaker,2014100415,9288,0,0.0
speaker |speakers |Speaker,2014100510,7389,2,2.706726214643389E-4
speaker |speakers |Speaker,2014100418,8794,3,3.411416875142142E-4
