place |places |place,2014100223,8580,349,0.040675990675990675
place |places |place,2014100222,12009,521,0.04338412857023899
place |places |place,2014100221,14828,886,0.05975182087941732
place |places |place,2014100220,15090,1866,0.12365805168986084
place |places |place,2014093023,7216,12,0.0016629711751662971
place |places |place,2014093020,2478,3,0.0012106537530266344
place |places |place,2014093022,2524,9,0.0035657686212361333
place |places |place,2014093021,2547,4,0.0015704750687082843
place |places |place,2014100321,9080,22,0.002422907488986784
place |places |place,2014100322,8671,42,0.004843731980163764
place |places |place,2014100320,9381,44,0.004690331521159791
place |places |place,2014100323,6929,36,0.005195554914129023
place |places |place,2014100123,8836,151,0.017089180624717065
place |places |place,2014100122,10378,214,0.020620543457313546
place |places |place,2014100121,12311,274,0.022256518560636828
place |places |place,2014100200,11724,191,0.01629136813374275
place |places |place,2014100201,6861,137,0.019967934703396008
place |places |place,2014100309,9997,97,0.009702910873261979
place |places |place,2014100307,6926,147,0.021224371931850998
place |places |place,2014100204,8387,125,0.014904018123286037
place |places |place,2014100308,8532,86,0.010079699953117674
place |places |place,2014100205,14882,64,0.0043004972449939526
place |places |place,2014100305,3838,157,0.040906722251172485
place |places |place,2014100202,5853,108,0.018452075858534086
place |places |place,2014100306,5526,134,0.024249004705030764
place |places |place,2014100203,5613,92,0.01639052200249421
place |places |place,2014100303,5043,173,0.034304977196113424
place |places |place,2014100208,9640,58,0.006016597510373444
place |places |place,2014100304,4725,157,0.03322751322751323
place |places |place,2014100209,12321,61,0.004950896842788734
place |places |place,2014100301,4480,302,0.06741071428571428
place |places |place,2014100206,9203,77,0.00836683690101054
place |places |place,2014100302,8095,267,0.03298332303891291
place |places |place,2014100207,9445,68,0.007199576495500265
place |places |place,2014100300,6707,337,0.05024601162964067
place |places |place,2014100106,45483,4,8.794494646351384E-5
place |places |place,2014100105,7742,3,3.8749677086024286E-4
place |places |place,2014100104,8731,2,2.290688351849731E-4
place |places |place,2014100103,1127,0,0.0
place |places |place,2014100102,2940,2,6.802721088435374E-4
place |places |place,2014100101,3598,8,0.0022234574763757642
place |places |place,2014100100,1816,1,5.506607929515419E-4
place |places |place,2014100109,10999,20,0.0018183471224656788
place |places |place,2014100108,14670,21,0.0014314928425357874
place |places |place,2014100107,32104,16,4.9838026414154E-4
place |places |place,2014100210,10300,43,0.004174757281553398
place |places |place,2014100211,11008,52,0.004723837209302325
place |places |place,2014100212,11567,52,0.004495547678741246
place |places |place,2014100316,10537,58,0.005504413020783905
place |places |place,2014100213,10976,23,0.0020954810495626822
place |places |place,2014100317,9832,51,0.005187144019528071
place |places |place,2014100214,12210,52,0.004258804258804259
place |places |place,2014100318,9075,51,0.005619834710743801
place |places |place,2014100215,11832,46,0.003887762001352265
place |places |place,2014100319,8645,26,0.0030075187969924814
place |places |place,2014100216,10725,40,0.0037296037296037296
place |places |place,2014100312,10661,65,0.0060969890254197546
place |places |place,2014100217,9835,30,0.003050330452465684
place |places |place,2014100313,9887,50,0.005057145746940427
place |places |place,2014100218,9907,48,0.0048450590491571615
place |places |place,2014100314,9820,44,0.004480651731160896
place |places |place,2014100219,11100,41,0.0036936936936936937
place |places |place,2014100420,8163,44,0.005390175180693372
place |places |place,2014100315,10271,66,0.006425859215266284
place |places |place,2014100120,12122,296,0.024418412803167793
place |places |place,2014100421,8099,25,0.0030868008396098285
place |places |place,2014100422,8432,33,0.003913662239089184
place |places |place,2014100423,6306,17,0.0026958452267681573
place |places |place,2014100310,10343,66,0.006381127332495407
place |places |place,2014100311,11400,67,0.005877192982456141
place |places |place,2014100115,14152,24,0.0016958733747880158
place |places |place,2014100114,11535,24,0.002080624187256177
place |places |place,2014100117,11365,23,0.002023757149142103
place |places |place,2014100116,10904,15,0.001375641966250917
place |places |place,2014100111,9571,20,0.0020896458050360463
place |places |place,2014100110,9126,21,0.0023011176857330702
place |places |place,2014100823,5727,25,0.004365287235900122
place |places |place,2014100113,11543,21,0.0018192844147968466
place |places |place,2014100822,900,3,0.0033333333333333335
place |places |place,2014100112,11651,32,0.0027465453609132264
place |places |place,2014100119,11403,400,0.03507848811716215
place |places |place,2014100118,10294,492,0.04779483194093647
place |places |place,2014100604,4638,19,0.004096593359206554
place |places |place,2014100605,8675,15,0.001729106628242075
place |places |place,2014100700,5207,9,0.0017284424812752065
place |places |place,2014100914,3191,12,0.003760576621748668
place |places |place,2014100602,8176,26,0.0031800391389432484
place |places |place,2014100915,1000,1,0.001
place |places |place,2014100603,9384,14,0.0014919011082693947
place |places |place,2014100912,2545,7,0.00275049115913556
place |places |place,2014100608,13680,26,0.0019005847953216374
place |places |place,2014100913,6771,11,0.0016245753950671984
place |places |place,2014100609,13287,15,0.001128923007450892
place |places |place,2014100810,6053,18,0.0029737320337022964
place |places |place,2014100606,4334,17,0.003922473465620674
place |places |place,2014100607,6194,13,0.002098805295447207
place |places |place,2014100707,4802,11,0.0022907122032486465
place |places |place,2014100813,7061,27,0.003823820988528537
place |places |place,2014100708,5400,26,0.004814814814814815
place |places |place,2014100814,6011,18,0.002994510064881051
place |places |place,2014100705,2740,2,7.2992700729927E-4
place |places |place,2014100811,6604,26,0.003937007874015748
place |places |place,2014100706,3398,5,0.0014714537963507945
place |places |place,2014100812,5896,22,0.0037313432835820895
place |places |place,2014100817,6743,23,0.0034109446833753524
place |places |place,2014100600,15771,56,0.003550821127385708
place |places |place,2014100703,5792,6,0.0010359116022099447
place |places |place,2014100818,7400,24,0.003243243243243243
place |places |place,2014100601,8669,23,0.0026531318491175454
place |places |place,2014100704,3010,3,9.966777408637873E-4
place |places |place,2014100815,5628,19,0.0033759772565742714
place |places |place,2014100701,13455,14,0.0010405053883314752
place |places |place,2014100816,7857,12,0.0015273004963726614
place |places |place,2014100702,8524,10,0.0011731581417175035
place |places |place,2014100509,9287,30,0.003230321955421557
place |places |place,2014100508,6498,14,0.0021545090797168358
place |places |place,2014100819,4300,11,0.0025581395348837207
place |places |place,2014100507,16911,37,0.0021879250192182605
place |places |place,2014100403,6749,37,0.005482293673136761
place |places |place,2014100506,11836,28,0.0023656640757012504
place |places |place,2014100402,6613,34,0.005141388174807198
place |places |place,2014100505,6487,32,0.004932942808694312
place |places |place,2014100401,4570,30,0.006564551422319475
place |places |place,2014100504,3861,52,0.013468013468013467
place |places |place,2014100400,5285,23,0.0043519394512772
place |places |place,2014100503,4540,14,0.0030837004405286344
place |places |place,2014100709,5572,27,0.004845656855707107
place |places |place,2014100407,7111,50,0.00703135986499789
place |places |place,2014100406,10763,71,0.006596673789835548
place |places |place,2014100501,6148,19,0.0030904359141184124
place |places |place,2014100405,10366,44,0.004244645957939417
place |places |place,2014100500,11540,18,0.001559792027729636
place |places |place,2014100404,3086,23,0.007453013609850939
place |places |place,2014100409,9932,33,0.0033225936367297622
place |places |place,2014100408,10458,39,0.0037292025243832474
place |places |place,2014100903,4141,5,0.001207437816952427
place |places |place,2014100613,12260,31,0.0025285481239804243
place |places |place,2014100904,4854,4,8.240626287597857E-4
place |places |place,2014100614,10247,18,0.0017566116912267006
place |places |place,2014100905,7777,4,5.143371480005143E-4
place |places |place,2014100615,8801,22,0.002499715941370299
place |places |place,2014100710,7431,29,0.003902570313551339
place |places |place,2014100906,3505,5,0.0014265335235378032
place |places |place,2014100616,10833,29,0.0026770054463214252
place |places |place,2014100711,13474,14,0.0010390381475434169
place |places |place,2014100617,11523,57,0.004946628482166103
place |places |place,2014100900,3864,7,0.0018115942028985507
