fund |funds |fund,2014100223,8580,3,3.4965034965034965E-4
fund |funds |fund,2014100222,12009,2,1.6654176034640685E-4
fund |funds |fund,2014100221,14828,2,1.348799568384138E-4
fund |funds |fund,2014100220,15090,2,1.325381047051027E-4
fund |funds |fund,2014093023,7216,2,2.771618625277162E-4
fund |funds |fund,2014093020,2478,1,4.035512510088781E-4
fund |funds |fund,2014093022,2524,1,3.961965134706815E-4
fund |funds |fund,2014093021,2547,0,0.0
fund |funds |fund,2014100321,9080,6,6.607929515418502E-4
fund |funds |fund,2014100322,8671,5,5.766347595433052E-4
fund |funds |fund,2014100320,9381,21,0.002238567316917173
fund |funds |fund,2014100323,6929,1,1.443209698369173E-4
fund |funds |fund,2014100123,8836,2,2.2634676324128565E-4
fund |funds |fund,2014100122,10378,5,4.8178839853536327E-4
fund |funds |fund,2014100121,12311,7,5.685971895053204E-4
fund |funds |fund,2014100200,11724,3,2.5588536335721597E-4
fund |funds |fund,2014100201,6861,1,1.4575134819997084E-4
fund |funds |fund,2014100309,9997,7,7.002100630189057E-4
fund |funds |fund,2014100307,6926,3,4.331504475887958E-4
fund |funds |fund,2014100204,8387,0,0.0
fund |funds |fund,2014100308,8532,0,0.0
fund |funds |fund,2014100205,14882,1,6.719526945303051E-5
fund |funds |fund,2014100305,3838,0,0.0
fund |funds |fund,2014100202,5853,1,1.7085255424568598E-4
fund |funds |fund,2014100306,5526,2,3.619254433586681E-4
fund |funds |fund,2014100203,5613,1,1.7815784785319794E-4
fund |funds |fund,2014100303,5043,1,1.98294665873488E-4
fund |funds |fund,2014100208,9640,13,0.0013485477178423236
fund |funds |fund,2014100304,4725,1,2.1164021164021165E-4
fund |funds |fund,2014100209,12321,18,0.0014609203798392988
fund |funds |fund,2014100301,4480,1,2.232142857142857E-4
fund |funds |fund,2014100206,9203,2,2.1732043898728675E-4
fund |funds |fund,2014100302,8095,3,3.705991352686844E-4
fund |funds |fund,2014100207,9445,12,0.001270513499205929
fund |funds |fund,2014100300,6707,2,2.981959147159684E-4
fund |funds |fund,2014100106,45483,2,4.397247323175692E-5
fund |funds |fund,2014100105,7742,1,1.291655902867476E-4
fund |funds |fund,2014100104,8731,0,0.0
fund |funds |fund,2014100103,1127,0,0.0
fund |funds |fund,2014100102,2940,0,0.0
fund |funds |fund,2014100101,3598,2,5.558643690939411E-4
fund |funds |fund,2014100100,1816,0,0.0
fund |funds |fund,2014100109,10999,8,7.273388489862715E-4
fund |funds |fund,2014100108,14670,22,0.0014996591683708249
fund |funds |fund,2014100107,32104,3,9.344629952653874E-5
fund |funds |fund,2014100210,10300,10,9.70873786407767E-4
fund |funds |fund,2014100211,11008,5,4.5421511627906976E-4
fund |funds |fund,2014100212,11567,2,1.729056799515864E-4
fund |funds |fund,2014100316,10537,14,0.001328651418809908
fund |funds |fund,2014100213,10976,6,5.466472303206997E-4
fund |funds |fund,2014100317,9832,6,6.102522375915378E-4
fund |funds |fund,2014100214,12210,11,9.009009009009009E-4
fund |funds |fund,2014100318,9075,1,1.1019283746556474E-4
fund |funds |fund,2014100215,11832,12,0.0010141987829614604
fund |funds |fund,2014100319,8645,3,3.470213996529786E-4
fund |funds |fund,2014100216,10725,25,0.002331002331002331
fund |funds |fund,2014100312,10661,3,2.813994934809117E-4
fund |funds |fund,2014100217,9835,17,0.0017285205897305542
fund |funds |fund,2014100313,9887,2,2.0228582987761708E-4
fund |funds |fund,2014100218,9907,5,5.04693650953871E-4
fund |funds |fund,2014100314,9820,7,7.128309572301426E-4
fund |funds |fund,2014100219,11100,4,3.6036036036036037E-4
fund |funds |fund,2014100420,8163,0,0.0
fund |funds |fund,2014100315,10271,7,6.815305228312725E-4
fund |funds |fund,2014100120,12122,13,0.001072430292031018
fund |funds |fund,2014100421,8099,1,1.2347203358439315E-4
fund |funds |fund,2014100422,8432,6,7.115749525616698E-4
fund |funds |fund,2014100423,6306,1,1.585791309863622E-4
fund |funds |fund,2014100310,10343,8,7.73469979696413E-4
fund |funds |fund,2014100311,11400,15,0.0013157894736842105
fund |funds |fund,2014100115,14152,10,7.066139061616733E-4
fund |funds |fund,2014100114,11535,5,4.3346337234503684E-4
fund |funds |fund,2014100117,11365,5,4.399472063352398E-4
fund |funds |fund,2014100116,10904,15,0.001375641966250917
fund |funds |fund,2014100111,9571,12,0.0012537874830216278
fund |funds |fund,2014100110,9126,9,9.861932938856016E-4
fund |funds |fund,2014100823,5727,3,5.238344683080147E-4
fund |funds |fund,2014100113,11543,14,0.001212856276531231
fund |funds |fund,2014100822,900,0,0.0
fund |funds |fund,2014100112,11651,5,4.291477126426916E-4
fund |funds |fund,2014100119,11403,20,0.0017539244058581076
fund |funds |fund,2014100118,10294,10,9.714396735962696E-4
fund |funds |fund,2014100604,4638,0,0.0
fund |funds |fund,2014100605,8675,0,0.0
fund |funds |fund,2014100700,5207,1,1.9204916458613405E-4
fund |funds |fund,2014100914,3191,1,3.1338138514572234E-4
fund |funds |fund,2014100602,8176,0,0.0
fund |funds |fund,2014100915,1000,1,0.001
fund |funds |fund,2014100603,9384,0,0.0
fund |funds |fund,2014100912,2545,1,3.929273084479371E-4
fund |funds |fund,2014100608,13680,9,6.578947368421052E-4
fund |funds |fund,2014100913,6771,2,2.953773445576724E-4
fund |funds |fund,2014100609,13287,32,0.0024083690825619027
fund |funds |fund,2014100810,6053,6,9.912440112340988E-4
fund |funds |fund,2014100606,4334,2,4.6146746654360867E-4
fund |funds |fund,2014100607,6194,7,0.0011301259283177268
fund |funds |fund,2014100707,4802,3,6.247396917950854E-4
fund |funds |fund,2014100813,7061,7,9.91360997025917E-4
fund |funds |fund,2014100708,5400,9,0.0016666666666666668
fund |funds |fund,2014100814,6011,2,3.3272334054233906E-4
fund |funds |fund,2014100705,2740,0,0.0
fund |funds |fund,2014100811,6604,2,3.028467595396729E-4
fund |funds |fund,2014100706,3398,1,2.942907592701589E-4
fund |funds |fund,2014100812,5896,3,5.088195386702849E-4
fund |funds |fund,2014100817,6743,11,0.0016313213703099511
fund |funds |fund,2014100600,15771,4,2.536300805275506E-4
fund |funds |fund,2014100703,5792,0,0.0
fund |funds |fund,2014100818,7400,8,0.001081081081081081
fund |funds |fund,2014100601,8669,1,1.1535355865728458E-4
fund |funds |fund,2014100704,3010,0,0.0
fund |funds |fund,2014100815,5628,13,0.0023098791755508173
fund |funds |fund,2014100701,13455,2,1.4864362690449647E-4
fund |funds |fund,2014100816,7857,7,8.909252895507191E-4
fund |funds |fund,2014100702,8524,0,0.0
fund |funds |fund,2014100509,9287,8,8.614191881124152E-4
fund |funds |fund,2014100508,6498,3,4.616805170821791E-4
fund |funds |fund,2014100819,4300,3,6.976744186046512E-4
fund |funds |fund,2014100507,16911,5,2.9566554313760273E-4
fund |funds |fund,2014100403,6749,0,0.0
fund |funds |fund,2014100506,11836,3,2.5346400811084827E-4
fund |funds |fund,2014100402,6613,0,0.0
fund |funds |fund,2014100505,6487,1,1.5415446277169725E-4
fund |funds |fund,2014100401,4570,1,2.188183807439825E-4
fund |funds |fund,2014100504,3861,0,0.0
fund |funds |fund,2014100400,5285,1,1.892147587511826E-4
fund |funds |fund,2014100503,4540,0,0.0
fund |funds |fund,2014100709,5572,43,0.0077171572146446515
fund |funds |fund,2014100407,7111,5,7.031359864997891E-4
fund |funds |fund,2014100406,10763,0,0.0
fund |funds |fund,2014100501,6148,3,4.8796356538711777E-4
fund |funds |fund,2014100405,10366,0,0.0
fund |funds |fund,2014100500,11540,3,2.5996533795493934E-4
fund |funds |fund,2014100404,3086,0,0.0
fund |funds |fund,2014100409,9932,3,3.0205396697543293E-4
fund |funds |fund,2014100408,10458,4,3.8248231019315357E-4
fund |funds |fund,2014100903,4141,1,2.414875633904854E-4
fund |funds |fund,2014100613,12260,2,1.631321370309951E-4
fund |funds |fund,2014100904,4854,0,0.0
fund |funds |fund,2014100614,10247,5,4.879476920074168E-4
fund |funds |fund,2014100905,7777,0,0.0
fund |funds |fund,2014100615,8801,4,4.544938075218725E-4
fund |funds |fund,2014100710,7431,11,0.0014802852913470596
fund |funds |fund,2014100906,3505,1,2.853067047075606E-4
fund |funds |fund,2014100616,10833,6,5.538631957906397E-4
fund |funds |fund,2014100711,13474,11,8.163871159269705E-4
fund |funds |fund,2014100617,11523,5,4.339147791373774E-4
fund |funds |fund,2014100900,3864,2,5.175983436853002E-4
fund |funds |fund,2014100618,10834,10,9.230201218386561E-4
fund |funds |fund,2014100901,3052,1,3.27653997378768E-4
fund |funds |fund,2014100619,10472,4,3.819709702062643E-4
fund |funds |fund,2014100902,4916,0,0.0
fund |funds |fund,2014100716,9756,8,8.200082000820008E-4
fund |funds |fund,2014100800,3418,6,0.0017554125219426564
fund |funds |fund,2014100717,12018,6,4.992511233150275E-4
fund |funds |fund,2014100801,4912,1,2.0358306188925082E-4
fund |funds |fund,2014100718,9824,26,0.0026465798045602605
fund |funds |fund,2014100802,4582,0,0.0
fund |funds |fund,2014100719,8904,15,0.0016846361185983828
fund |funds |fund,2014100803,4750,0,0.0
fund |funds |fund,2014100712,10146,14,0.0013798541297062883
fund |funds |fund,2014100804,8238,0,0.0
fund |funds |fund,2014100610,8565,13,0.0015178050204319906
fund |funds |fund,2014100713,7382,15,0.002031969655919805
fund |funds |fund,2014100805,6904,1,1.4484356894553882E-4
fund |funds |fund,2014100611,8676,10,0.001152604887044721
fund |funds |fund,2014100714,9294,4,4.3038519474930065E-4
fund |funds |fund,2014100806,7696,3,3.8981288981288983E-4
fund |funds |fund,2014100612,7761,7,9.01945625563716E-4
fund |funds |fund,2014100715,8494,5,5.886508123381211E-4
fund |funds |fund,2014100807,6298,1,1.5878056525881233E-4
fund |funds |fund,2014100519,13547,4,2.9526832509042594E-4
fund |funds |fund,2014100809,5933,5,8.427439743805831E-4
fund |funds |fund,2014100518,12589,9,7.149098419254905E-4
fund |funds |fund,2014100808,7916,4,5.053057099545225E-4
fund |funds |fund,2014100410,8297,5,6.02627455706882E-4
fund |funds |fund,2014100412,8252,7,8.482792050412022E-4
fund |funds |fund,2014100515,6526,6,9.193993257738277E-4
fund |funds |fund,2014100411,8736,1,1.1446886446886447E-4
fund |funds |fund,2014100514,7337,5,6.814774430966335E-4
fund |funds |fund,2014100414,8029,12,0.00149458213974343
fund |funds |fund,2014100517,16635,5,3.0057108506161706E-4
fund |funds |fund,2014100413,7649,5,6.536802196365538E-4
fund |funds |fund,2014100516,7164,6,8.375209380234506E-4
fund |funds |fund,2014100416,8535,1,1.1716461628588167E-4
fund |funds |fund,2014100511,8203,4,4.876264781177618E-4
fund |funds |fund,2014100415,9288,11,0.0011843238587424634
fund |funds |fund,2014100510,7389,5,6.766815536608473E-4
fund |funds |fund,2014100418,8794,2,2.2742779167614282E-4
fund |funds |fund,2014100513,8653,11,0.0012712354096845026
fund |funds |fund,2014100417,9001,2,2.2219753360737697E-4
fund |funds |fund,2014100512,7658,9,0.0011752415774353617
fund |funds |fund,2014100908,14247,4,2.807608619358461E-4
fund |funds |fund,2014100907,7751,3,3.8704683266675265E-4
fund |funds |fund,2014100419,8630,2,2.317497103128621E-4
fund |funds |fund,2014100909,1000,0,0.0
fund |funds |fund,2014100721,11447,5,4.367956669869835E-4
fund |funds |fund,2014100722,8294,6,7.234145165179648E-4
fund |funds |fund,2014100720,10198,8,7.844675426554226E-4
fund |funds |fund,2014100723,5300,5,9.433962264150943E-4
fund |funds |fund,2014100520,14801,4,2.7025200999932435E-4
fund |funds |fund,2014100523,12605,4,3.1733439111463705E-4
fund |funds |fund,2014100522,10915,5,4.580852038479157E-4
fund |funds |fund,2014100521,14363,4,2.7849335097124555E-4
fund |funds |fund,2014100623,8800,6,6.818181818181819E-4
fund |funds |fund,2014100622,9000,22,0.0024444444444444444
fund |funds |fund,2014100621,9007,22,0.002442544687465305
fund |funds |fund,2014100620,8998,2,2.222716159146477E-4
fund |funds |fund,2014093011,9741,45,0.004619648906683092
fund |funds |fund,2014093012,11191,24,0.0021445804664462515
fund |funds |fund,2014093013,5267,25,0.004746535029428517
fund |funds |fund,2014093017,3899,5,0.0012823800974608873
fund |funds |fund,2014093018,99,0,0.0
fund |funds |fund,2014093019,8564,5,5.838393274170948E-4
