sunday |Sunday,2014100223,8580,9,0.001048951048951049
sunday |Sunday,2014100222,12009,2,1.6654176034640685E-4
sunday |Sunday,2014100221,14828,8,5.395198273536552E-4
sunday |Sunday,2014100220,15090,6,3.9761431411530816E-4
sunday |Sunday,2014093023,7216,4,5.543237250554324E-4
sunday |Sunday,2014093020,2478,0,0.0
sunday |Sunday,2014093022,2524,2,7.92393026941363E-4
sunday |Sunday,2014093021,2547,1,3.9261876717707107E-4
sunday |Sunday,2014100321,9080,11,0.001211453744493392
sunday |Sunday,2014100322,8671,6,6.919617114519663E-4
sunday |Sunday,2014100320,9381,11,0.0011725828802899478
sunday |Sunday,2014100323,6929,14,0.002020493577716842
sunday |Sunday,2014100123,8836,3,3.395201448619285E-4
sunday |Sunday,2014100122,10378,9,8.672191173636539E-4
sunday |Sunday,2014100121,12311,10,8.12281699293315E-4
sunday |Sunday,2014100200,11724,4,3.41180484476288E-4
sunday |Sunday,2014100201,6861,8,0.0011660107855997668
sunday |Sunday,2014100309,9997,16,0.001600480144043213
sunday |Sunday,2014100307,6926,3,4.331504475887958E-4
sunday |Sunday,2014100204,8387,0,0.0
sunday |Sunday,2014100308,8532,8,9.376465072667605E-4
sunday |Sunday,2014100205,14882,1,6.719526945303051E-5
sunday |Sunday,2014100305,3838,1,2.605523710265763E-4
sunday |Sunday,2014100202,5853,2,3.4170510849137196E-4
sunday |Sunday,2014100306,5526,2,3.619254433586681E-4
sunday |Sunday,2014100203,5613,3,5.344735435595938E-4
sunday |Sunday,2014100303,5043,2,3.96589331746976E-4
sunday |Sunday,2014100208,9640,11,0.001141078838174274
sunday |Sunday,2014100304,4725,0,0.0
sunday |Sunday,2014100209,12321,16,0.0012985958931904878
sunday |Sunday,2014100301,4480,0,0.0
sunday |Sunday,2014100206,9203,3,3.259806584809301E-4
sunday |Sunday,2014100302,8095,4,4.941321803582458E-4
sunday |Sunday,2014100207,9445,8,8.470089994706193E-4
sunday |Sunday,2014100300,6707,5,7.45489786789921E-4
sunday |Sunday,2014100106,45483,1,2.198623661587846E-5
sunday |Sunday,2014100105,7742,1,1.291655902867476E-4
