patient |patients |patient,2014100223,8580,1,1.1655011655011655E-4
patient |patients |patient,2014100222,12009,3,2.498126405196103E-4
patient |patients |patient,2014100221,14828,3,2.023199352576207E-4
patient |patients |patient,2014100220,15090,6,3.9761431411530816E-4
patient |patients |patient,2014093023,7216,1,1.385809312638581E-4
patient |patients |patient,2014093020,2478,1,4.035512510088781E-4
patient |patients |patient,2014093022,2524,0,0.0
patient |patients |patient,2014093021,2547,2,7.852375343541421E-4
patient |patients |patient,2014100321,9080,2,2.2026431718061675E-4
patient |patients |patient,2014100322,8671,7,8.072886633606274E-4
patient |patients |patient,2014100320,9381,3,3.197953309881676E-4
patient |patients |patient,2014100323,6929,4,5.772838793476692E-4
patient |patients |patient,2014100123,8836,5,5.658669081032141E-4
patient |patients |patient,2014100122,10378,1,9.635767970707265E-5
patient |patients |patient,2014100121,12311,6,4.8736901957598897E-4
patient |patients |patient,2014100200,11724,3,2.5588536335721597E-4
patient |patients |patient,2014100201,6861,0,0.0
patient |patients |patient,2014100309,9997,1,1.0003000900270081E-4
patient |patients |patient,2014100307,6926,1,1.4438348252959862E-4
patient |patients |patient,2014100204,8387,1,1.192321449862883E-4
patient |patients |patient,2014100308,8532,4,4.6882325363338024E-4
patient |patients |patient,2014100205,14882,0,0.0
patient |patients |patient,2014100305,3838,0,0.0
patient |patients |patient,2014100202,5853,3,5.125576627370579E-4
patient |patients |patient,2014100306,5526,0,0.0
patient |patients |patient,2014100203,5613,2,3.563156957063959E-4
patient |patients |patient,2014100303,5043,1,1.98294665873488E-4
patient |patients |patient,2014100208,9640,3,3.1120331950207467E-4
patient |patients |patient,2014100304,4725,1,2.1164021164021165E-4
patient |patients |patient,2014100209,12321,3,2.4348672997321646E-4
patient |patients |patient,2014100301,4480,2,4.464285714285714E-4
patient |patients |patient,2014100206,9203,3,3.259806584809301E-4
patient |patients |patient,2014100302,8095,0,0.0
patient |patients |patient,2014100207,9445,7,7.41132874536792E-4
patient |patients |patient,2014100300,6707,1,1.490979573579842E-4
patient |patients |patient,2014100106,45483,1,2.198623661587846E-5
patient |patients |patient,2014100105,7742,2,2.583311805734952E-4
patient |patients |patient,2014100104,8731,0,0.0
patient |patients |patient,2014100103,1127,0,0.0
patient |patients |patient,2014100102,2940,0,0.0
patient |patients |patient,2014100101,3598,2,5.558643690939411E-4
patient |patients |patient,2014100100,1816,0,0.0
patient |patients |patient,2014100109,10999,8,7.273388489862715E-4
patient |patients |patient,2014100108,14670,10,6.816632583503749E-4
patient |patients |patient,2014100107,32104,11,3.4263643159730873E-4
patient |patients |patient,2014100210,10300,3,2.912621359223301E-4
patient |patients |patient,2014100211,11008,7,6.359011627906977E-4
patient |patients |patient,2014100212,11567,3,2.5935851992737964E-4
patient |patients |patient,2014100316,10537,4,3.7961469108854513E-4
patient |patients |patient,2014100213,10976,3,2.7332361516034986E-4
patient |patients |patient,2014100317,9832,5,5.085435313262816E-4
patient |patients |patient,2014100214,12210,4,3.276003276003276E-4
patient |patients |patient,2014100318,9075,6,6.611570247933885E-4
patient |patients |patient,2014100215,11832,5,4.2258282623394185E-4
patient |patients |patient,2014100319,8645,10,0.001156737998843262
patient |patients |patient,2014100216,10725,3,2.797202797202797E-4
patient |patients |patient,2014100312,10661,6,5.627989869618235E-4
patient |patients |patient,2014100217,9835,2,2.0335536349771224E-4
patient |patients |patient,2014100313,9887,2,2.0228582987761708E-4
patient |patients |patient,2014100218,9907,1,1.009387301907742E-4
patient |patients |patient,2014100314,9820,5,5.091649694501018E-4
patient |patients |patient,2014100219,11100,6,5.405405405405405E-4
