james |James,2014100223,8580,19,0.0022144522144522147
james |James,2014100222,12009,55,0.004579898409526189
james |James,2014100221,14828,62,0.0041812786619908286
james |James,2014100220,15090,66,0.00437375745526839
james |James,2014093023,7216,16,0.0022172949002217295
james |James,2014093020,2478,11,0.00443906376109766
james |James,2014093022,2524,6,0.002377179080824089
james |James,2014093021,2547,4,0.0015704750687082843
james |James,2014100321,9080,25,0.0027533039647577094
james |James,2014100322,8671,29,0.0033444816053511705
james |James,2014100320,9381,60,0.0063959066197633516
james |James,2014100323,6929,17,0.0024534564872275943
james |James,2014100123,8836,35,0.003961068356722499
james |James,2014100122,10378,117,0.011273848525727501
james |James,2014100121,12311,258,0.020956867841767524
james |James,2014100200,11724,26,0.002217673149095872
james |James,2014100201,6861,14,0.002040518874799592
james |James,2014100309,9997,36,0.003601080324097229
james |James,2014100307,6926,16,0.002310135720473578
james |James,2014100204,8387,366,0.04363896506498152
james |James,2014100308,8532,35,0.004102203469292077
james |James,2014100205,14882,276,0.01854589436903642
james |James,2014100305,3838,28,0.007295466388744137
james |James,2014100202,5853,15,0.0025627883136852894
james |James,2014100306,5526,23,0.004162142598624683
james |James,2014100203,5613,1334,0.23766256903616603
james |James,2014100303,5043,30,0.00594883997620464
james |James,2014100208,9640,120,0.012448132780082987
james |James,2014100304,4725,21,0.0044444444444444444
james |James,2014100209,12321,73,0.0059248437626816
james |James,2014100301,4480,19,0.004241071428571428
james |James,2014100206,9203,156,0.016950994241008367
james |James,2014100302,8095,32,0.003953057442865966
james |James,2014100207,9445,130,0.013763896241397565
james |James,2014100300,6707,38,0.0056657223796034
james |James,2014100106,45483,102,0.002242596134819603
james |James,2014100105,7742,85,0.010979075174373546
james |James,2014100104,8731,6,6.872065055549192E-4
james |James,2014100103,1127,2,0.001774622892635315
james |James,2014100102,2940,10,0.003401360544217687
james |James,2014100101,3598,8,0.0022234574763757642
james |James,2014100100,1816,4,0.0022026431718061676
james |James,2014100109,10999,11,0.0010000909173561233
james |James,2014100108,14670,20,0.0013633265167007499
james |James,2014100107,32104,62,0.0019312235235484675
james |James,2014100210,10300,334,0.032427184466019415
james |James,2014100211,11008,323,0.029342296511627907
james |James,2014100212,11567,562,0.048586496066395785
james |James,2014100316,10537,19,0.0018031697826705894
james |James,2014100213,10976,427,0.0389030612244898
james |James,2014100317,9832,12,0.0012205044751830757
james |James,2014100214,12210,133,0.010892710892710893
james |James,2014100318,9075,34,0.003746556473829201
james |James,2014100215,11832,94,0.007944557133198107
james |James,2014100319,8645,16,0.0018507807981492192
james |James,2014100216,10725,57,0.005314685314685315
james |James,2014100312,10661,31,0.002907794765969421
james |James,2014100217,9835,49,0.00498220640569395
james |James,2014100313,9887,31,0.003135430363103065
james |James,2014100218,9907,59,0.005955385081255678
james |James,2014100314,9820,17,0.0017311608961303462
james |James,2014100219,11100,53,0.004774774774774775
james |James,2014100420,8163,14,0.0017150557393115276
james |James,2014100315,10271,13,0.0012656995424009346
james |James,2014100120,12122,121,0.009981851179673321
james |James,2014100421,8099,23,0.002839856772441042
james |James,2014100422,8432,20,0.0023719165085388993
james |James,2014100423,6306,13,0.0020615287028227084
james |James,2014100310,10343,16,0.001546939959392826
james |James,2014100311,11400,40,0.0035087719298245615
james |James,2014100115,14152,10,7.066139061616733E-4
james |James,2014100114,11535,28,0.0024273948851322065
james |James,2014100117,11365,169,0.014870215574131105
james |James,2014100116,10904,117,0.010730007336757153
james |James,2014100111,9571,13,0.0013582697732734302
james |James,2014100110,9126,15,0.001643655489809336
james |James,2014100823,5727,6,0.0010476689366160294
james |James,2014100113,11543,27,0.00233907996188166
james |James,2014100822,900,0,0.0
james |James,2014100112,11651,33,0.0028323749034417645
james |James,2014100119,11403,193,0.016925370516530737
james |James,2014100118,10294,199,0.019331649504565767
james |James,2014100604,4638,10,0.0021561017680034496
james |James,2014100605,8675,11,0.0012680115273775215
james |James,2014100700,5207,11,0.0021125408104474747
james |James,2014100914,3191,2,6.267627702914447E-4
james |James,2014100602,8176,7,8.561643835616438E-4
james |James,2014100915,1000,0,0.0
james |James,2014100603,9384,25,0.0026641091219096334
james |James,2014100912,2545,2,7.858546168958742E-4
james |James,2014100608,13680,20,0.0014619883040935672
james |James,2014100913,6771,10,0.001476886722788362
james |James,2014100609,13287,20,0.0015052306766011891
james |James,2014100810,6053,3,4.956220056170494E-4
james |James,2014100606,4334,9,0.002076603599446239
james |James,2014100607,6194,18,0.0029060381013884403
james |James,2014100707,4802,7,0.0014577259475218659
james |James,2014100813,7061,2,2.83245999150262E-4
james |James,2014100708,5400,10,0.001851851851851852
james |James,2014100814,6011,7,0.0011645316918981866
james |James,2014100705,2740,7,0.0025547445255474453
james |James,2014100811,6604,10,0.0015142337976983646
james |James,2014100706,3398,5,0.0014714537963507945
james |James,2014100812,5896,7,0.0011872455902306649
james |James,2014100817,6743,10,0.001483019427554501
james |James,2014100600,15771,18,0.0011413353623739774
james |James,2014100703,5792,3,5.179558011049724E-4
james |James,2014100818,7400,5,6.756756756756757E-4
james |James,2014100601,8669,8,9.228284692582767E-4
james |James,2014100704,3010,7,0.002325581395348837
james |James,2014100815,5628,6,0.0010660980810234541
james |James,2014100701,13455,11,8.175399479747306E-4
james |James,2014100816,7857,6,7.636502481863307E-4
james |James,2014100702,8524,5,5.865790708587518E-4
james |James,2014100509,9287,13,0.0013998061806826747
james |James,2014100508,6498,14,0.0021545090797168358
james |James,2014100819,4300,2,4.6511627906976747E-4
james |James,2014100507,16911,24,0.0014191946070604932
james |James,2014100403,6749,9,0.0013335308934656986
james |James,2014100506,11836,15,0.0012673200405542413
james |James,2014100402,6613,14,0.0021170421896264933
james |James,2014100505,6487,9,0.0013873901649452752
james |James,2014100401,4570,12,0.00262582056892779
james |James,2014100504,3861,8,0.002072002072002072
james |James,2014100400,5285,19,0.0035950804162724692
james |James,2014100503,4540,13,0.0028634361233480176
james |James,2014100709,5572,7,0.001256281407035176
james |James,2014100407,7111,17,0.002390662354099283
james |James,2014100406,10763,16,0.001486574375174208
james |James,2014100501,6148,65,0.010572543916720885
james |James,2014100405,10366,25,0.0024117306579201233
james |James,2014100500,11540,11,9.532062391681109E-4
james |James,2014100404,3086,7,0.002268308489954634
james |James,2014100409,9932,21,0.0021143777688280305
james |James,2014100408,10458,18,0.0017211703958691911
james |James,2014100903,4141,9,0.0021733880705143687
james |James,2014100613,12260,18,0.001468189233278956
james |James,2014100904,4854,3,6.180469715698393E-4
james |James,2014100614,10247,53,0.005172245535278618
james |James,2014100905,7777,4,5.143371480005143E-4
james |James,2014100615,8801,36,0.004090444267696853
james |James,2014100710,7431,8,0.0010765711209796797
james |James,2014100906,3505,5,0.0014265335235378032
james |James,2014100616,10833,195,0.01800055386319579
james |James,2014100711,13474,20,0.0014843402107763098
james |James,2014100617,11523,142,0.01232317972750152
james |James,2014100900,3864,2,5.175983436853002E-4
james |James,2014100618,10834,102,0.009414805242754292
james |James,2014100901,3052,1,3.27653997378768E-4
james |James,2014100619,10472,46,0.00439266615737204
james |James,2014100902,4916,2,4.068348250610252E-4
james |James,2014100716,9756,33,0.0033825338253382535
james |James,2014100800,3418,1,2.925687536571094E-4
james |James,2014100717,12018,32,0.0026626726576801465
james |James,2014100801,4912,6,0.0012214983713355048
james |James,2014100718,9824,25,0.002544788273615635
james |James,2014100802,4582,4,8.729812309035355E-4
james |James,2014100719,8904,44,0.004941599281221923
james |James,2014100803,4750,2,4.210526315789474E-4
james |James,2014100712,10146,38,0.003745318352059925
james |James,2014100804,8238,0,0.0
james |James,2014100610,8565,34,0.00396964389959136
james |James,2014100713,7382,6,8.12787862367922E-4
james |James,2014100805,6904,4,5.793742757821553E-4
james |James,2014100611,8676,37,0.0042646380820654676
james |James,2014100714,9294,7,7.53174090811276E-4
james |James,2014100806,7696,5,6.496881496881497E-4
james |James,2014100612,7761,32,0.004123180002576988
james |James,2014100715,8494,10,0.0011773016246762421
james |James,2014100807,6298,9,0.0014290250873293109
james |James,2014100519,13547,24,0.0017716099505425556
james |James,2014100809,5933,4,6.741951795044666E-4
james |James,2014100518,12589,20,0.001588688537612201
james |James,2014100808,7916,5,6.316321374431531E-4
james |James,2014100410,8297,24,0.002892611787393034
james |James,2014100412,8252,16,0.0019389238972370335
james |James,2014100515,6526,2,3.0646644192460924E-4
james |James,2014100411,8736,18,0.0020604395604395605
james |James,2014100514,7337,10,0.001362954886193267
james |James,2014100414,8029,18,0.0022418732096151452
james |James,2014100517,16635,10,6.011421701232341E-4
james |James,2014100413,7649,17,0.002222512746764283
james |James,2014100516,7164,13,0.0018146286990508096
james |James,2014100416,8535,14,0.0016403046280023433
james |James,2014100511,8203,15,0.0018285992929416067
james |James,2014100415,9288,15,0.001614987080103359
james |James,2014100510,7389,22,0.0029773988361077278
james |James,2014100418,8794,14,0.0015919945417329998
james |James,2014100513,8653,16,0.0018490696868138218
james |James,2014100417,9001,18,0.0019997778024663927
james |James,2014100512,7658,14,0.0018281535648994515
james |James,2014100908,14247,0,0.0
james |James,2014100907,7751,1,1.2901561088891756E-4
james |James,2014100419,8630,16,0.0018539976825028969
james |James,2014100909,1000,4,0.004
james |James,2014100721,11447,20,0.001747182667947934
james |James,2014100722,8294,19,0.002290812635640222
james |James,2014100720,10198,15,0.0014708766424789174
james |James,2014100723,5300,6,0.0011320754716981133
james |James,2014100520,14801,24,0.0016215120599959462
james |James,2014100523,12605,12,9.520031733439112E-4
james |James,2014100522,10915,17,0.0015574896930829133
james |James,2014100521,14363,101,0.00703195711202395
james |James,2014100623,8800,11,0.00125
james |James,2014100622,9000,21,0.0023333333333333335
james |James,2014100621,9007,33,0.003663817031197957
james |James,2014100620,8998,57,0.006334741053567459
james |James,2014093011,9741,21,0.0021558361564521095
james |James,2014093012,11191,16,0.0014297203109641676
james |James,2014093013,5267,11,0.0020884754129485475
james |James,2014093017,3899,9,0.0023082841754295974
james |James,2014093018,99,0,0.0
james |James,2014093019,8564,7,8.173750583839327E-4
