thing |things |thing,2014100223,8580,105,0.012237762237762238
thing |things |thing,2014100222,12009,121,0.010075776500957615
thing |things |thing,2014100221,14828,174,0.011734556244942
thing |things |thing,2014100220,15090,152,0.010072895957587806
thing |things |thing,2014093023,7216,69,0.009562084257206208
thing |things |thing,2014093020,2478,27,0.010895883777239709
thing |things |thing,2014093022,2524,27,0.010697305863708399
thing |things |thing,2014093021,2547,38,0.0149195131527287
thing |things |thing,2014100321,9080,97,0.010682819383259911
thing |things |thing,2014100322,8671,82,0.009456810056510206
thing |things |thing,2014100320,9381,95,0.01012685214795864
thing |things |thing,2014100323,6929,94,0.013566171164670227
thing |things |thing,2014100123,8836,106,0.01199637845178814
thing |things |thing,2014100122,10378,130,0.012526498361919445
thing |things |thing,2014100121,12311,145,0.011778084639753066
thing |things |thing,2014100200,11724,108,0.009211873080859774
thing |things |thing,2014100201,6861,74,0.010785599766797842
thing |things |thing,2014100309,9997,109,0.010903270981294389
thing |things |thing,2014100307,6926,47,0.006786023678891135
thing |things |thing,2014100204,8387,36,0.004292357219506379
thing |things |thing,2014100308,8532,68,0.007969995311767463
thing |things |thing,2014100205,14882,31,0.0020830533530439457
thing |things |thing,2014100305,3838,35,0.009119332985930172
thing |things |thing,2014100202,5853,53,0.009055185375021356
thing |things |thing,2014100306,5526,48,0.008686210640608035
thing |things |thing,2014100203,5613,55,0.009798681631925887
thing |things |thing,2014100303,5043,39,0.007733491969066032
thing |things |thing,2014100208,9640,92,0.009543568464730291
thing |things |thing,2014100304,4725,19,0.004021164021164021
thing |things |thing,2014100209,12321,115,0.00933365798230663
thing |things |thing,2014100301,4480,35,0.0078125
thing |things |thing,2014100206,9203,39,0.004237748560252092
thing |things |thing,2014100302,8095,38,0.004694255713403335
thing |things |thing,2014100207,9445,81,0.008575966119640021
thing |things |thing,2014100300,6707,62,0.00924407335619502
thing |things |thing,2014100106,45483,80,0.0017588989292702769
thing |things |thing,2014100105,7742,24,0.003099974166881943
thing |things |thing,2014100104,8731,23,0.0026342916046271903
thing |things |thing,2014100103,1127,1,8.873114463176575E-4
thing |things |thing,2014100102,2940,16,0.005442176870748299
thing |things |thing,2014100101,3598,36,0.010005558643690939
thing |things |thing,2014100100,1816,21,0.011563876651982379
thing |things |thing,2014100109,10999,92,0.008364396763342122
thing |things |thing,2014100108,14670,97,0.006612133605998637
thing |things |thing,2014100107,32104,86,0.0026787939197607776
thing |things |thing,2014100210,10300,117,0.011359223300970873
thing |things |thing,2014100211,11008,131,0.011900436046511628
thing |things |thing,2014100212,11567,133,0.011498227716780496
thing |things |thing,2014100316,10537,114,0.010819018696023535
thing |things |thing,2014100213,10976,157,0.01430393586005831
thing |things |thing,2014100317,9832,79,0.008034987794955248
thing |things |thing,2014100214,12210,113,0.009254709254709255
thing |things |thing,2014100318,9075,92,0.010137741046831955
thing |things |thing,2014100215,11832,78,0.006592292089249493
thing |things |thing,2014100319,8645,83,0.009600925390399074
thing |things |thing,2014100216,10725,83,0.007738927738927739
thing |things |thing,2014100312,10661,81,0.0075977863239846165
thing |things |thing,2014100217,9835,114,0.011591255719369599
thing |things |thing,2014100313,9887,83,0.008394861939921108
thing |things |thing,2014100218,9907,117,0.011809831432320582
thing |things |thing,2014100314,9820,93,0.009470468431771894
thing |things |thing,2014100219,11100,125,0.01126126126126126
thing |things |thing,2014100420,8163,67,0.008207766752419453
thing |things |thing,2014100315,10271,110,0.01070976535877714
thing |things |thing,2014100120,12122,155,0.012786668866523677
thing |things |thing,2014100421,8099,63,0.007778738115816767
thing |things |thing,2014100422,8432,51,0.006048387096774193
thing |things |thing,2014100423,6306,73,0.01157627656200444
thing |things |thing,2014100310,10343,110,0.010635212220825679
thing |things |thing,2014100311,11400,92,0.008070175438596491
thing |things |thing,2014100115,14152,88,0.006218202374222725
thing |things |thing,2014100114,11535,102,0.008842652795838752
thing |things |thing,2014100117,11365,146,0.012846458424989002
thing |things |thing,2014100116,10904,164,0.01504035216434336
thing |things |thing,2014100111,9571,76,0.007940654059136977
thing |things |thing,2014100110,9126,101,0.011067280298049528
thing |things |thing,2014100823,5727,84,0.014667365112624411
thing |things |thing,2014100113,11543,118,0.010222645759334662
thing |things |thing,2014100822,900,12,0.013333333333333334
thing |things |thing,2014100112,11651,128,0.010986181443652905
thing |things |thing,2014100119,11403,142,0.012452863281592563
thing |things |thing,2014100118,10294,165,0.01602875461433845
thing |things |thing,2014100604,4638,9,0.0019404915912031048
thing |things |thing,2014100605,8675,24,0.00276657060518732
thing |things |thing,2014100700,5207,36,0.006913769925100826
thing |things |thing,2014100914,3191,45,0.014102162331557505
thing |things |thing,2014100602,8176,31,0.0037915851272015653
thing |things |thing,2014100915,1000,12,0.012
thing |things |thing,2014100603,9384,17,0.0018115942028985507
thing |things |thing,2014100912,2545,33,0.012966601178781925
thing |things |thing,2014100608,13680,50,0.003654970760233918
thing |things |thing,2014100913,6771,54,0.007975188303057155
thing |things |thing,2014100609,13287,50,0.0037630766915029727
thing |things |thing,2014100810,6053,66,0.010903684123575086
thing |things |thing,2014100606,4334,27,0.006229810798338717
thing |things |thing,2014100607,6194,44,0.007103648692282854
thing |things |thing,2014100707,4802,29,0.006039150354019159
thing |things |thing,2014100813,7061,70,0.00991360997025917
thing |things |thing,2014100708,5400,34,0.006296296296296296
thing |things |thing,2014100814,6011,76,0.012643486940608883
thing |things |thing,2014100705,2740,12,0.004379562043795621
thing |things |thing,2014100811,6604,70,0.010599636583888553
thing |things |thing,2014100706,3398,15,0.0044143613890523835
thing |things |thing,2014100812,5896,64,0.010854816824966078
thing |things |thing,2014100817,6743,73,0.010826041821147858
thing |things |thing,2014100600,15771,59,0.003741043687781371
thing |things |thing,2014100703,5792,11,0.001899171270718232
thing |things |thing,2014100818,7400,80,0.010810810810810811
thing |things |thing,2014100601,8669,58,0.006690506402122505
thing |things |thing,2014100704,3010,15,0.0049833887043189366
thing |things |thing,2014100815,5628,75,0.013326226012793176
thing |things |thing,2014100701,13455,34,0.00252694165737644
thing |things |thing,2014100816,7857,68,0.008654702812778414
thing |things |thing,2014100702,8524,18,0.002111684655091506
thing |things |thing,2014100509,9287,46,0.004953160331646387
thing |things |thing,2014100508,6498,35,0.00538627269929209
thing |things |thing,2014100819,4300,60,0.013953488372093023
