british |British,2014100223,8580,2,2.331002331002331E-4
british |British,2014100222,12009,3,2.498126405196103E-4
british |British,2014100221,14828,6,4.046398705152414E-4
british |British,2014100220,15090,1,6.626905235255136E-5
british |British,2014093023,7216,1,1.385809312638581E-4
british |British,2014093020,2478,2,8.071025020177562E-4
british |British,2014093022,2524,0,0.0
british |British,2014093021,2547,0,0.0
british |British,2014100321,9080,1,1.1013215859030837E-4
british |British,2014100322,8671,0,0.0
british |British,2014100320,9381,3,3.197953309881676E-4
british |British,2014100323,6929,1,1.443209698369173E-4
british |British,2014100123,8836,3,3.395201448619285E-4
british |British,2014100122,10378,1,9.635767970707265E-5
british |British,2014100121,12311,3,2.4368450978799449E-4
british |British,2014100200,11724,5,4.2647560559535994E-4
british |British,2014100201,6861,0,0.0
british |British,2014100309,9997,3,3.0009002700810244E-4
british |British,2014100307,6926,0,0.0
british |British,2014100204,8387,1,1.192321449862883E-4
british |British,2014100308,8532,2,2.3441162681669012E-4
british |British,2014100205,14882,0,0.0
british |British,2014100305,3838,0,0.0
british |British,2014100202,5853,0,0.0
british |British,2014100306,5526,2,3.619254433586681E-4
british |British,2014100203,5613,2,3.563156957063959E-4
british |British,2014100303,5043,1,1.98294665873488E-4
british |British,2014100208,9640,2,2.074688796680498E-4
british |British,2014100304,4725,0,0.0
british |British,2014100209,12321,2,1.6232448664881097E-4
british |British,2014100301,4480,2,4.464285714285714E-4
british |British,2014100206,9203,0,0.0
british |British,2014100302,8095,0,0.0
british |British,2014100207,9445,3,3.1762837480148225E-4
british |British,2014100300,6707,1,1.490979573579842E-4
british |British,2014100106,45483,1,2.198623661587846E-5
british |British,2014100105,7742,0,0.0
british |British,2014100104,8731,0,0.0
british |British,2014100103,1127,0,0.0
british |British,2014100102,2940,0,0.0
british |British,2014100101,3598,0,0.0
british |British,2014100100,1816,1,5.506607929515419E-4
british |British,2014100109,10999,4,3.6366942449313574E-4
british |British,2014100108,14670,0,0.0
british |British,2014100107,32104,1,3.114876650884625E-5
british |British,2014100210,10300,1,9.70873786407767E-5
british |British,2014100211,11008,3,2.7252906976744186E-4
british |British,2014100212,11567,0,0.0
british |British,2014100316,10537,2,1.8980734554427256E-4
british |British,2014100213,10976,1,9.110787172011662E-5
british |British,2014100317,9832,1,1.017087062652563E-4
british |British,2014100214,12210,1,8.19000819000819E-5
british |British,2014100318,9075,5,5.509641873278236E-4
british |British,2014100215,11832,4,3.380662609871535E-4
british |British,2014100319,8645,5,5.78368999421631E-4
british |British,2014100216,10725,2,1.8648018648018648E-4
british |British,2014100312,10661,3,2.813994934809117E-4
british |British,2014100217,9835,7,7.117437722419929E-4
british |British,2014100313,9887,4,4.0457165975523417E-4
british |British,2014100218,9907,1,1.009387301907742E-4
british |British,2014100314,9820,1,1.0183299389002037E-4
british |British,2014100219,11100,2,1.8018018018018018E-4
british |British,2014100420,8163,3,3.675119441381845E-4
british |British,2014100315,10271,2,1.947230065232207E-4
british |British,2014100120,12122,2,1.6498927569707968E-4
british |British,2014100421,8099,3,3.704161007531794E-4
british |British,2014100422,8432,0,0.0
british |British,2014100423,6306,5,7.92895654931811E-4
british |British,2014100310,10343,4,3.867349898482065E-4
british |British,2014100311,11400,6,5.263157894736842E-4
british |British,2014100115,14152,2,1.4132278123233464E-4
british |British,2014100114,11535,2,1.7338534893801473E-4
british |British,2014100117,11365,6,5.279366476022878E-4
british |British,2014100116,10904,1,9.170946441672781E-5
british |British,2014100111,9571,1,1.0448229025180232E-4
british |British,2014100110,9126,10,0.0010957703265395574
british |British,2014100823,5727,1,1.7461148943600488E-4
british |British,2014100113,11543,12,0.0010395910941696266
british |British,2014100822,900,0,0.0
british |British,2014100112,11651,2,1.7165908505707665E-4
british |British,2014100119,11403,6,5.261773217574323E-4
british |British,2014100118,10294,2,1.9428793471925395E-4
british |British,2014100604,4638,2,4.3122035360068997E-4
british |British,2014100605,8675,0,0.0
british |British,2014100700,5207,0,0.0
british |British,2014100914,3191,0,0.0
british |British,2014100602,8176,1,1.223091976516634E-4
british |British,2014100915,1000,0,0.0
british |British,2014100603,9384,0,0.0
british |British,2014100912,2545,0,0.0
british |British,2014100608,13680,1,7.309941520467836E-5
british |British,2014100913,6771,2,2.953773445576724E-4
british |British,2014100609,13287,1,7.526153383005946E-5
british |British,2014100810,6053,0,0.0
british |British,2014100606,4334,0,0.0
british |British,2014100607,6194,2,3.2289312237649337E-4
british |British,2014100707,4802,0,0.0
british |British,2014100813,7061,1,1.41622999575131E-4
british |British,2014100708,5400,2,3.7037037037037035E-4
british |British,2014100814,6011,2,3.3272334054233906E-4
british |British,2014100705,2740,0,0.0
british |British,2014100811,6604,0,0.0
british |British,2014100706,3398,0,0.0
british |British,2014100812,5896,3,5.088195386702849E-4
british |British,2014100817,6743,3,4.449058282663503E-4
british |British,2014100600,15771,1,6.340752013188764E-5
british |British,2014100703,5792,1,1.7265193370165745E-4
british |British,2014100818,7400,1,1.3513513513513514E-4
british |British,2014100601,8669,1,1.1535355865728458E-4
british |British,2014100704,3010,0,0.0
british |British,2014100815,5628,0,0.0
british |British,2014100701,13455,1,7.432181345224824E-5
british |British,2014100816,7857,2,2.545500827287769E-4
british |British,2014100702,8524,0,0.0
british |British,2014100509,9287,2,2.153547970281038E-4
british |British,2014100508,6498,0,0.0
british |British,2014100819,4300,2,4.6511627906976747E-4
british |British,2014100507,16911,0,0.0
british |British,2014100403,6749,0,0.0
british |British,2014100506,11836,0,0.0
british |British,2014100402,6613,1,1.5121729925903524E-4
british |British,2014100505,6487,0,0.0
british |British,2014100401,4570,0,0.0
british |British,2014100504,3861,2,5.18000518000518E-4
british |British,2014100400,5285,0,0.0
british |British,2014100503,4540,0,0.0
british |British,2014100709,5572,1,1.7946877243359656E-4
british |British,2014100407,7111,12,0.0016875263675994938
british |British,2014100406,10763,5,4.6455449224193997E-4
british |British,2014100501,6148,0,0.0
british |British,2014100405,10366,2,1.9293845263360988E-4
british |British,2014100500,11540,2,1.733102253032929E-4
british |British,2014100404,3086,0,0.0
british |British,2014100409,9932,2,2.013693113169553E-4
british |British,2014100408,10458,11,0.0010518263530311723
british |British,2014100903,4141,1,2.414875633904854E-4
british |British,2014100613,12260,4,3.262642740619902E-4
british |British,2014100904,4854,1,2.0601565718994644E-4
british |British,2014100614,10247,1,9.758953840148337E-5
british |British,2014100905,7777,0,0.0
british |British,2014100615,8801,2,2.2724690376093625E-4
british |British,2014100710,7431,1,1.3457139012245997E-4
british |British,2014100906,3505,1,2.853067047075606E-4
british |British,2014100616,10833,0,0.0
british |British,2014100711,13474,0,0.0
british |British,2014100617,11523,3,2.603488674824265E-4
british |British,2014100900,3864,1,2.587991718426501E-4
british |British,2014100618,10834,3,2.769060365515968E-4
british |British,2014100901,3052,0,0.0
british |British,2014100619,10472,3,2.8647822765469827E-4
british |British,2014100902,4916,1,2.034174125305126E-4
british |British,2014100716,9756,1,1.025010250102501E-4
british |British,2014100800,3418,1,2.925687536571094E-4
british |British,2014100717,12018,1,8.320852055250458E-5
british |British,2014100801,4912,0,0.0
british |British,2014100718,9824,5,5.08957654723127E-4
british |British,2014100802,4582,1,2.1824530772588389E-4
british |British,2014100719,8904,4,4.492362982929021E-4
british |British,2014100803,4750,0,0.0
british |British,2014100712,10146,0,0.0
british |British,2014100804,8238,0,0.0
british |British,2014100610,8565,2,2.335084646818447E-4
british |British,2014100713,7382,1,1.35464643727987E-4
british |British,2014100805,6904,0,0.0
british |British,2014100611,8676,1,1.152604887044721E-4
british |British,2014100714,9294,3,3.2278889606197545E-4
british |British,2014100806,7696,0,0.0
british |British,2014100612,7761,7,9.01945625563716E-4
british |British,2014100715,8494,2,2.354603249352484E-4
british |British,2014100807,6298,0,0.0
british |British,2014100519,13547,4,2.9526832509042594E-4
british |British,2014100809,5933,3,5.056463846283499E-4
british |British,2014100518,12589,7,5.560409881642704E-4
british |British,2014100808,7916,1,1.2632642748863063E-4
british |British,2014100410,8297,4,4.821019645655056E-4
british |British,2014100412,8252,4,4.847309743092584E-4
british |British,2014100515,6526,4,6.129328838492185E-4
british |British,2014100411,8736,4,4.578754578754579E-4
british |British,2014100514,7337,2,2.725909772386534E-4
british |British,2014100414,8029,2,2.4909702329057166E-4
british |British,2014100517,16635,2,1.2022843402464683E-4
british |British,2014100413,7649,3,3.922081317819323E-4
british |British,2014100516,7164,1,1.3958682300390843E-4
british |British,2014100416,8535,1,1.1716461628588167E-4
british |British,2014100511,8203,4,4.876264781177618E-4
british |British,2014100415,9288,6,6.459948320413437E-4
british |British,2014100510,7389,4,5.413452429286778E-4
british |British,2014100418,8794,0,0.0
british |British,2014100513,8653,0,0.0
british |British,2014100417,9001,1,1.1109876680368848E-4
british |British,2014100512,7658,1,1.3058239749281798E-4
british |British,2014100908,14247,1,7.019021548396153E-5
british |British,2014100907,7751,4,5.160624435556702E-4
british |British,2014100419,8630,0,0.0
