jack |Jack,2014100223,8580,4,4.662004662004662E-4
jack |Jack,2014100222,12009,6,4.996252810392206E-4
jack |Jack,2014100221,14828,3,2.023199352576207E-4
jack |Jack,2014100220,15090,5,3.313452617627568E-4
jack |Jack,2014093023,7216,7,9.700665188470067E-4
jack |Jack,2014093020,2478,2,8.071025020177562E-4
jack |Jack,2014093022,2524,4,0.001584786053882726
jack |Jack,2014093021,2547,1,3.9261876717707107E-4
jack |Jack,2014100321,9080,3,3.303964757709251E-4
jack |Jack,2014100322,8671,4,4.613078076346442E-4
jack |Jack,2014100320,9381,10,0.0010659844366272253
jack |Jack,2014100323,6929,4,5.772838793476692E-4
jack |Jack,2014100123,8836,3,3.395201448619285E-4
jack |Jack,2014100122,10378,7,6.745037579495086E-4
jack |Jack,2014100121,12311,7,5.685971895053204E-4
jack |Jack,2014100200,11724,2,1.70590242238144E-4
jack |Jack,2014100201,6861,2,2.915026963999417E-4
jack |Jack,2014100309,9997,3,3.0009002700810244E-4
jack |Jack,2014100307,6926,6,8.663008951775916E-4
jack |Jack,2014100204,8387,3,3.576964349588649E-4
jack |Jack,2014100308,8532,4,4.6882325363338024E-4
jack |Jack,2014100205,14882,0,0.0
jack |Jack,2014100305,3838,3,7.81657113079729E-4
jack |Jack,2014100202,5853,0,0.0
jack |Jack,2014100306,5526,4,7.238508867173362E-4
jack |Jack,2014100203,5613,0,0.0
jack |Jack,2014100303,5043,0,0.0
jack |Jack,2014100208,9640,4,4.149377593360996E-4
jack |Jack,2014100304,4725,1,2.1164021164021165E-4
jack |Jack,2014100209,12321,6,4.869734599464329E-4
jack |Jack,2014100301,4480,0,0.0
jack |Jack,2014100206,9203,0,0.0
jack |Jack,2014100302,8095,0,0.0
jack |Jack,2014100207,9445,2,2.1175224986765483E-4
jack |Jack,2014100300,6707,2,2.981959147159684E-4
jack |Jack,2014100106,45483,1,2.198623661587846E-5
jack |Jack,2014100105,7742,0,0.0
jack |Jack,2014100104,8731,0,0.0
jack |Jack,2014100103,1127,0,0.0
jack |Jack,2014100102,2940,0,0.0
jack |Jack,2014100101,3598,0,0.0
jack |Jack,2014100100,1816,0,0.0
jack |Jack,2014100109,10999,5,4.545867806164197E-4
jack |Jack,2014100108,14670,4,2.7266530334015E-4
jack |Jack,2014100107,32104,8,2.4919013207077E-4
jack |Jack,2014100210,10300,6,5.825242718446602E-4
jack |Jack,2014100211,11008,1,9.084302325581395E-5
jack |Jack,2014100212,11567,7,6.051698798305524E-4
jack |Jack,2014100316,10537,4,3.7961469108854513E-4
jack |Jack,2014100213,10976,12,0.0010932944606413995
jack |Jack,2014100317,9832,8,8.136696501220504E-4
jack |Jack,2014100214,12210,8,6.552006552006552E-4
jack |Jack,2014100318,9075,5,5.509641873278236E-4
jack |Jack,2014100215,11832,4,3.380662609871535E-4
jack |Jack,2014100319,8645,4,4.626951995373048E-4
jack |Jack,2014100216,10725,6,5.594405594405594E-4
jack |Jack,2014100312,10661,3,2.813994934809117E-4
jack |Jack,2014100217,9835,2,2.0335536349771224E-4
jack |Jack,2014100313,9887,8,8.091433195104683E-4
jack |Jack,2014100218,9907,3,3.028161905723226E-4
jack |Jack,2014100314,9820,60,0.006109979633401222
jack |Jack,2014100219,11100,6,5.405405405405405E-4
jack |Jack,2014100420,8163,2,2.450079627587897E-4
jack |Jack,2014100315,10271,24,0.0023366760782786485
jack |Jack,2014100120,12122,1,8.249463784853984E-5
jack |Jack,2014100421,8099,4,4.938881343375726E-4
jack |Jack,2014100422,8432,4,4.743833017077799E-4
jack |Jack,2014100423,6306,6,9.514747859181732E-4
jack |Jack,2014100310,10343,1,9.668374746205163E-5
jack |Jack,2014100311,11400,1,8.771929824561403E-5
jack |Jack,2014100115,14152,2,1.4132278123233464E-4
jack |Jack,2014100114,11535,4,3.4677069787602947E-4
jack |Jack,2014100117,11365,4,3.519577650681918E-4
jack |Jack,2014100116,10904,1,9.170946441672781E-5
jack |Jack,2014100111,9571,3,3.1344687075540695E-4
jack |Jack,2014100110,9126,5,5.478851632697787E-4
jack |Jack,2014100823,5727,2,3.4922297887200976E-4
jack |Jack,2014100113,11543,8,6.930607294464178E-4
jack |Jack,2014100822,900,0,0.0
jack |Jack,2014100112,11651,7,6.008067976997683E-4
jack |Jack,2014100119,11403,0,0.0
jack |Jack,2014100118,10294,2,1.9428793471925395E-4
jack |Jack,2014100604,4638,1,2.1561017680034498E-4
jack |Jack,2014100605,8675,1,1.1527377521613833E-4
jack |Jack,2014100700,5207,1,1.9204916458613405E-4
jack |Jack,2014100914,3191,0,0.0
jack |Jack,2014100602,8176,2,2.446183953033268E-4
jack |Jack,2014100915,1000,0,0.0
jack |Jack,2014100603,9384,2,2.1312872975277067E-4
jack |Jack,2014100912,2545,1,3.929273084479371E-4
jack |Jack,2014100608,13680,0,0.0
jack |Jack,2014100913,6771,5,7.38443361394181E-4
jack |Jack,2014100609,13287,8,6.020922706404757E-4
jack |Jack,2014100810,6053,3,4.956220056170494E-4
jack |Jack,2014100606,4334,1,2.3073373327180433E-4
jack |Jack,2014100607,6194,1,1.6144656118824668E-4
jack |Jack,2014100707,4802,1,2.0824656393169514E-4
jack |Jack,2014100813,7061,2,2.83245999150262E-4
jack |Jack,2014100708,5400,6,0.0011111111111111111
jack |Jack,2014100814,6011,5,8.318083513558476E-4
jack |Jack,2014100705,2740,0,0.0
jack |Jack,2014100811,6604,0,0.0
jack |Jack,2014100706,3398,2,5.885815185403178E-4
jack |Jack,2014100812,5896,1,1.6960651289009497E-4
jack |Jack,2014100817,6743,2,2.9660388551090017E-4
jack |Jack,2014100600,15771,10,6.340752013188764E-4
jack |Jack,2014100703,5792,0,0.0
jack |Jack,2014100818,7400,0,0.0
jack |Jack,2014100601,8669,3,3.460606759718537E-4
jack |Jack,2014100704,3010,1,3.322259136212625E-4
jack |Jack,2014100815,5628,5,8.884150675195451E-4
jack |Jack,2014100701,13455,1,7.432181345224824E-5
jack |Jack,2014100816,7857,3,3.8182512409316535E-4
jack |Jack,2014100702,8524,0,0.0
jack |Jack,2014100509,9287,2,2.153547970281038E-4
jack |Jack,2014100508,6498,0,0.0
jack |Jack,2014100819,4300,1,2.3255813953488373E-4
jack |Jack,2014100507,16911,1,5.913310862752055E-5
jack |Jack,2014100403,6749,2,2.96340198547933E-4
jack |Jack,2014100506,11836,2,1.6897600540723216E-4
jack |Jack,2014100402,6613,5,7.560864962951762E-4
jack |Jack,2014100505,6487,0,0.0
jack |Jack,2014100401,4570,0,0.0
jack |Jack,2014100504,3861,0,0.0
jack |Jack,2014100400,5285,1,1.892147587511826E-4
jack |Jack,2014100503,4540,2,4.405286343612335E-4
jack |Jack,2014100709,5572,3,5.384063173007897E-4
jack |Jack,2014100407,7111,1,1.406271972999578E-4
jack |Jack,2014100406,10763,3,2.78732695345164E-4
jack |Jack,2014100501,6148,1,1.6265452179570593E-4
jack |Jack,2014100405,10366,0,0.0
jack |Jack,2014100500,11540,4,3.466204506065858E-4
jack |Jack,2014100404,3086,1,3.240440699935191E-4
jack |Jack,2014100409,9932,0,0.0
jack |Jack,2014100408,10458,5,4.7810288774144193E-4
jack |Jack,2014100903,4141,2,4.829751267809708E-4
jack |Jack,2014100613,12260,2,1.631321370309951E-4
jack |Jack,2014100904,4854,0,0.0
jack |Jack,2014100614,10247,2,1.9517907680296673E-4
jack |Jack,2014100905,7777,0,0.0
jack |Jack,2014100615,8801,5,5.681172594023407E-4
jack |Jack,2014100710,7431,4,5.382855604898399E-4
jack |Jack,2014100906,3505,0,0.0
jack |Jack,2014100616,10833,5,4.615526631588664E-4
jack |Jack,2014100711,13474,0,0.0
jack |Jack,2014100617,11523,3,2.603488674824265E-4
jack |Jack,2014100900,3864,1,2.587991718426501E-4
jack |Jack,2014100618,10834,11,0.0010153221340225217
jack |Jack,2014100901,3052,3,9.82961992136304E-4
jack |Jack,2014100619,10472,7,6.684491978609625E-4
jack |Jack,2014100902,4916,0,0.0
jack |Jack,2014100716,9756,4,4.100041000410004E-4
jack |Jack,2014100800,3418,1,2.925687536571094E-4
jack |Jack,2014100717,12018,4,3.328340822100183E-4
jack |Jack,2014100801,4912,0,0.0
jack |Jack,2014100718,9824,4,4.0716612377850165E-4
jack |Jack,2014100802,4582,0,0.0
jack |Jack,2014100719,8904,3,3.3692722371967657E-4
jack |Jack,2014100803,4750,0,0.0
jack |Jack,2014100712,10146,7,6.899270648531441E-4
jack |Jack,2014100804,8238,1,1.2138868657441127E-4
jack |Jack,2014100610,8565,6,7.005253940455342E-4
jack |Jack,2014100713,7382,6,8.12787862367922E-4
jack |Jack,2014100805,6904,0,0.0
jack |Jack,2014100611,8676,4,4.610419548178884E-4
jack |Jack,2014100714,9294,4,4.3038519474930065E-4
jack |Jack,2014100806,7696,0,0.0
jack |Jack,2014100612,7761,3,3.8654812524159255E-4
jack |Jack,2014100715,8494,3,3.531904874028726E-4
