senator |Senator |senators |senator,2014100223,8580,1,1.1655011655011655E-4
senator |Senator |senators |senator,2014100222,12009,1,8.327088017320343E-5
senator |Senator |senators |senator,2014100221,14828,2,1.348799568384138E-4
senator |Senator |senators |senator,2014100220,15090,5,3.313452617627568E-4
senator |Senator |senators |senator,2014093023,7216,0,0.0
senator |Senator |senators |senator,2014093020,2478,1,4.035512510088781E-4
senator |Senator |senators |senator,2014093022,2524,0,0.0
senator |Senator |senators |senator,2014093021,2547,1,3.9261876717707107E-4
senator |Senator |senators |senator,2014100321,9080,1,1.1013215859030837E-4
senator |Senator |senators |senator,2014100322,8671,1,1.1532695190866105E-4
senator |Senator |senators |senator,2014100320,9381,1,1.0659844366272253E-4
senator |Senator |senators |senator,2014100323,6929,2,2.886419396738346E-4
senator |Senator |senators |senator,2014100123,8836,6,6.79040289723857E-4
senator |Senator |senators |senator,2014100122,10378,5,4.8178839853536327E-4
senator |Senator |senators |senator,2014100121,12311,17,0.0013808788887986353
senator |Senator |senators |senator,2014100200,11724,1,8.5295121119072E-5
senator |Senator |senators |senator,2014100201,6861,0,0.0
senator |Senator |senators |senator,2014100309,9997,8,8.002400720216065E-4
senator |Senator |senators |senator,2014100307,6926,2,2.8876696505919725E-4
senator |Senator |senators |senator,2014100204,8387,0,0.0
senator |Senator |senators |senator,2014100308,8532,3,3.5161744022503517E-4
senator |Senator |senators |senator,2014100205,14882,0,0.0
senator |Senator |senators |senator,2014100305,3838,0,0.0
senator |Senator |senators |senator,2014100202,5853,0,0.0
senator |Senator |senators |senator,2014100306,5526,0,0.0
senator |Senator |senators |senator,2014100203,5613,0,0.0
senator |Senator |senators |senator,2014100303,5043,1,1.98294665873488E-4
senator |Senator |senators |senator,2014100208,9640,10,0.001037344398340249
senator |Senator |senators |senator,2014100304,4725,0,0.0
senator |Senator |senators |senator,2014100209,12321,6,4.869734599464329E-4
senator |Senator |senators |senator,2014100301,4480,0,0.0
senator |Senator |senators |senator,2014100206,9203,5,5.433010974682169E-4
senator |Senator |senators |senator,2014100302,8095,2,2.470660901791229E-4
senator |Senator |senators |senator,2014100207,9445,8,8.470089994706193E-4
senator |Senator |senators |senator,2014100300,6707,1,1.490979573579842E-4
senator |Senator |senators |senator,2014100106,45483,2,4.397247323175692E-5
senator |Senator |senators |senator,2014100105,7742,0,0.0
senator |Senator |senators |senator,2014100104,8731,0,0.0
senator |Senator |senators |senator,2014100103,1127,0,0.0
senator |Senator |senators |senator,2014100102,2940,0,0.0
senator |Senator |senators |senator,2014100101,3598,0,0.0
senator |Senator |senators |senator,2014100100,1816,0,0.0
senator |Senator |senators |senator,2014100109,10999,0,0.0
senator |Senator |senators |senator,2014100108,14670,2,1.36332651670075E-4
senator |Senator |senators |senator,2014100107,32104,1,3.114876650884625E-5
senator |Senator |senators |senator,2014100210,10300,1,9.70873786407767E-5
senator |Senator |senators |senator,2014100211,11008,3,2.7252906976744186E-4
senator |Senator |senators |senator,2014100212,11567,2,1.729056799515864E-4
senator |Senator |senators |senator,2014100316,10537,8,7.592293821770903E-4
senator |Senator |senators |senator,2014100213,10976,2,1.8221574344023323E-4
senator |Senator |senators |senator,2014100317,9832,6,6.102522375915378E-4
senator |Senator |senators |senator,2014100214,12210,3,2.457002457002457E-4
senator |Senator |senators |senator,2014100318,9075,1,1.1019283746556474E-4
senator |Senator |senators |senator,2014100215,11832,0,0.0
senator |Senator |senators |senator,2014100319,8645,2,2.313475997686524E-4
senator |Senator |senators |senator,2014100216,10725,2,1.8648018648018648E-4
senator |Senator |senators |senator,2014100312,10661,2,1.8759966232060783E-4
senator |Senator |senators |senator,2014100217,9835,5,5.083884087442806E-4
senator |Senator |senators |senator,2014100313,9887,0,0.0
senator |Senator |senators |senator,2014100218,9907,2,2.018774603815484E-4
senator |Senator |senators |senator,2014100314,9820,2,2.0366598778004074E-4
senator |Senator |senators |senator,2014100219,11100,11,9.90990990990991E-4
senator |Senator |senators |senator,2014100420,8163,0,0.0
senator |Senator |senators |senator,2014100315,10271,2,1.947230065232207E-4
senator |Senator |senators |senator,2014100120,12122,23,0.0018973766705164164
senator |Senator |senators |senator,2014100421,8099,2,2.469440671687863E-4
senator |Senator |senators |senator,2014100422,8432,2,2.3719165085388995E-4
senator |Senator |senators |senator,2014100423,6306,0,0.0
senator |Senator |senators |senator,2014100310,10343,9,8.701537271584647E-4
senator |Senator |senators |senator,2014100311,11400,4,3.508771929824561E-4
senator |Senator |senators |senator,2014100115,14152,0,0.0
senator |Senator |senators |senator,2014100114,11535,3,2.600780234070221E-4
senator |Senator |senators |senator,2014100117,11365,2,1.759788825340959E-4
senator |Senator |senators |senator,2014100116,10904,3,2.751283932501834E-4
senator |Senator |senators |senator,2014100111,9571,3,3.1344687075540695E-4
senator |Senator |senators |senator,2014100110,9126,5,5.478851632697787E-4
senator |Senator |senators |senator,2014100823,5727,0,0.0
senator |Senator |senators |senator,2014100113,11543,4,3.465303647232089E-4
senator |Senator |senators |senator,2014100822,900,0,0.0
senator |Senator |senators |senator,2014100112,11651,3,2.57488627585615E-4
senator |Senator |senators |senator,2014100119,11403,14,0.0012277470841006752
senator |Senator |senators |senator,2014100118,10294,1,9.714396735962697E-5
senator |Senator |senators |senator,2014100604,4638,0,0.0
senator |Senator |senators |senator,2014100605,8675,0,0.0
senator |Senator |senators |senator,2014100700,5207,0,0.0
senator |Senator |senators |senator,2014100914,3191,0,0.0
senator |Senator |senators |senator,2014100602,8176,0,0.0
senator |Senator |senators |senator,2014100915,1000,0,0.0
senator |Senator |senators |senator,2014100603,9384,0,0.0
senator |Senator |senators |senator,2014100912,2545,0,0.0
senator |Senator |senators |senator,2014100608,13680,2,1.4619883040935673E-4
senator |Senator |senators |senator,2014100913,6771,0,0.0
senator |Senator |senators |senator,2014100609,13287,0,0.0
senator |Senator |senators |senator,2014100810,6053,0,0.0
senator |Senator |senators |senator,2014100606,4334,0,0.0
senator |Senator |senators |senator,2014100607,6194,0,0.0
senator |Senator |senators |senator,2014100707,4802,0,0.0
senator |Senator |senators |senator,2014100813,7061,0,0.0
senator |Senator |senators |senator,2014100708,5400,0,0.0
senator |Senator |senators |senator,2014100814,6011,2,3.3272334054233906E-4
senator |Senator |senators |senator,2014100705,2740,0,0.0
senator |Senator |senators |senator,2014100811,6604,2,3.028467595396729E-4
senator |Senator |senators |senator,2014100706,3398,0,0.0
senator |Senator |senators |senator,2014100812,5896,1,1.6960651289009497E-4
senator |Senator |senators |senator,2014100817,6743,0,0.0
senator |Senator |senators |senator,2014100600,15771,0,0.0
senator |Senator |senators |senator,2014100703,5792,0,0.0
senator |Senator |senators |senator,2014100818,7400,0,0.0
senator |Senator |senators |senator,2014100601,8669,0,0.0
senator |Senator |senators |senator,2014100704,3010,0,0.0
senator |Senator |senators |senator,2014100815,5628,5,8.884150675195451E-4
senator |Senator |senators |senator,2014100701,13455,2,1.4864362690449647E-4
senator |Senator |senators |senator,2014100816,7857,0,0.0
senator |Senator |senators |senator,2014100702,8524,0,0.0
senator |Senator |senators |senator,2014100509,9287,1,1.076773985140519E-4
senator |Senator |senators |senator,2014100508,6498,0,0.0
senator |Senator |senators |senator,2014100819,4300,1,2.3255813953488373E-4
senator |Senator |senators |senator,2014100507,16911,0,0.0
senator |Senator |senators |senator,2014100403,6749,0,0.0
senator |Senator |senators |senator,2014100506,11836,0,0.0
senator |Senator |senators |senator,2014100402,6613,1,1.5121729925903524E-4
senator |Senator |senators |senator,2014100505,6487,0,0.0
senator |Senator |senators |senator,2014100401,4570,0,0.0
senator |Senator |senators |senator,2014100504,3861,0,0.0
senator |Senator |senators |senator,2014100400,5285,0,0.0
senator |Senator |senators |senator,2014100503,4540,0,0.0
senator |Senator |senators |senator,2014100709,5572,1,1.7946877243359656E-4
senator |Senator |senators |senator,2014100407,7111,1,1.406271972999578E-4
