crowd |crowds |Crowds |crowd,2014100223,8580,3,3.4965034965034965E-4
crowd |crowds |Crowds |crowd,2014100222,12009,12,9.992505620784412E-4
crowd |crowds |Crowds |crowd,2014100221,14828,14,9.441596978688966E-4
crowd |crowds |Crowds |crowd,2014100220,15090,8,5.301524188204108E-4
crowd |crowds |Crowds |crowd,2014093023,7216,5,6.929046563192905E-4
crowd |crowds |Crowds |crowd,2014093020,2478,4,0.0016142050040355124
crowd |crowds |Crowds |crowd,2014093022,2524,8,0.003169572107765452
crowd |crowds |Crowds |crowd,2014093021,2547,3,0.001177856301531213
crowd |crowds |Crowds |crowd,2014100321,9080,10,0.0011013215859030838
crowd |crowds |Crowds |crowd,2014100322,8671,5,5.766347595433052E-4
crowd |crowds |Crowds |crowd,2014100320,9381,13,0.0013857797676153929
crowd |crowds |Crowds |crowd,2014100323,6929,7,0.001010246788858421
crowd |crowds |Crowds |crowd,2014100123,8836,8,9.053870529651426E-4
crowd |crowds |Crowds |crowd,2014100122,10378,6,5.781460782424359E-4
crowd |crowds |Crowds |crowd,2014100121,12311,11,8.935098692226465E-4
crowd |crowds |Crowds |crowd,2014100200,11724,5,4.2647560559535994E-4
crowd |crowds |Crowds |crowd,2014100201,6861,4,5.830053927998834E-4
crowd |crowds |Crowds |crowd,2014100309,9997,7,7.002100630189057E-4
crowd |crowds |Crowds |crowd,2014100307,6926,1,1.4438348252959862E-4
crowd |crowds |Crowds |crowd,2014100204,8387,3,3.576964349588649E-4
crowd |crowds |Crowds |crowd,2014100308,8532,8,9.376465072667605E-4
crowd |crowds |Crowds |crowd,2014100205,14882,6,4.0317161671818305E-4
crowd |crowds |Crowds |crowd,2014100305,3838,2,5.211047420531526E-4
crowd |crowds |Crowds |crowd,2014100202,5853,1,1.7085255424568598E-4
crowd |crowds |Crowds |crowd,2014100306,5526,0,0.0
crowd |crowds |Crowds |crowd,2014100203,5613,2,3.563156957063959E-4
crowd |crowds |Crowds |crowd,2014100303,5043,2,3.96589331746976E-4
crowd |crowds |Crowds |crowd,2014100208,9640,11,0.001141078838174274
crowd |crowds |Crowds |crowd,2014100304,4725,1,2.1164021164021165E-4
crowd |crowds |Crowds |crowd,2014100209,12321,5,4.0581121662202745E-4
crowd |crowds |Crowds |crowd,2014100301,4480,0,0.0
crowd |crowds |Crowds |crowd,2014100206,9203,1,1.0866021949364337E-4
crowd |crowds |Crowds |crowd,2014100302,8095,1,1.2353304508956145E-4
crowd |crowds |Crowds |crowd,2014100207,9445,4,4.2350449973530967E-4
crowd |crowds |Crowds |crowd,2014100300,6707,3,4.472938720739526E-4
crowd |crowds |Crowds |crowd,2014100106,45483,1,2.198623661587846E-5
crowd |crowds |Crowds |crowd,2014100105,7742,2,2.583311805734952E-4
crowd |crowds |Crowds |crowd,2014100104,8731,1,1.1453441759248655E-4
crowd |crowds |Crowds |crowd,2014100103,1127,0,0.0
crowd |crowds |Crowds |crowd,2014100102,2940,2,6.802721088435374E-4
crowd |crowds |Crowds |crowd,2014100101,3598,4,0.0011117287381878821
crowd |crowds |Crowds |crowd,2014100100,1816,2,0.0011013215859030838
crowd |crowds |Crowds |crowd,2014100109,10999,8,7.273388489862715E-4
crowd |crowds |Crowds |crowd,2014100108,14670,7,4.7716428084526244E-4
crowd |crowds |Crowds |crowd,2014100107,32104,25,7.787191627211562E-4
crowd |crowds |Crowds |crowd,2014100210,10300,13,0.001262135922330097
crowd |crowds |Crowds |crowd,2014100211,11008,9,8.175872093023256E-4
crowd |crowds |Crowds |crowd,2014100212,11567,5,4.3226419987896605E-4
