club |club |Club |Clubs |clubs,2014100223,8580,19,0.0022144522144522147
club |club |Club |Clubs |clubs,2014100222,12009,67,0.00557914897160463
club |club |Club |Clubs |clubs,2014100221,14828,86,0.005799838144051794
club |club |Club |Clubs |clubs,2014100220,15090,40,0.0026507620941020544
club |club |Club |Clubs |clubs,2014093023,7216,17,0.0023558758314855877
club |club |Club |Clubs |clubs,2014093020,2478,6,0.002421307506053269
club |club |Club |Clubs |clubs,2014093022,2524,3,0.0011885895404120444
club |club |Club |Clubs |clubs,2014093021,2547,6,0.002355712603062426
club |club |Club |Clubs |clubs,2014100321,9080,47,0.005176211453744493
club |club |Club |Clubs |clubs,2014100322,8671,42,0.004843731980163764
club |club |Club |Clubs |clubs,2014100320,9381,32,0.003411150197207121
club |club |Club |Clubs |clubs,2014100323,6929,29,0.004185308125270602
club |club |Club |Clubs |clubs,2014100123,8836,36,0.004074241738343142
club |club |Club |Clubs |clubs,2014100122,10378,72,0.006937752938909231
club |club |Club |Clubs |clubs,2014100121,12311,146,0.011859312809682398
club |club |Club |Clubs |clubs,2014100200,11724,21,0.0017911975435005118
club |club |Club |Clubs |clubs,2014100201,6861,13,0.001894767526599621
club |club |Club |Clubs |clubs,2014100309,9997,27,0.0027008102430729217
club |club |Club |Clubs |clubs,2014100307,6926,13,0.001876985272884782
club |club |Club |Clubs |clubs,2014100204,8387,4,4.769285799451532E-4
club |club |Club |Clubs |clubs,2014100308,8532,21,0.0024613220815752463
club |club |Club |Clubs |clubs,2014100205,14882,3,2.0158580835909153E-4
club |club |Club |Clubs |clubs,2014100305,3838,3,7.81657113079729E-4
club |club |Club |Clubs |clubs,2014100202,5853,11,0.0018793780967025456
club |club |Club |Clubs |clubs,2014100306,5526,7,0.0012667390517553383
club |club |Club |Clubs |clubs,2014100203,5613,4,7.126313914127917E-4
club |club |Club |Clubs |clubs,2014100303,5043,4,7.93178663493952E-4
club |club |Club |Clubs |clubs,2014100208,9640,49,0.00508298755186722
club |club |Club |Clubs |clubs,2014100304,4725,1,2.1164021164021165E-4
club |club |Club |Clubs |clubs,2014100209,12321,53,0.004301598896193491
club |club |Club |Clubs |clubs,2014100301,4480,5,0.0011160714285714285
club |club |Club |Clubs |clubs,2014100206,9203,12,0.0013039226339237205
club |club |Club |Clubs |clubs,2014100302,8095,8,9.882643607164916E-4
club |club |Club |Clubs |clubs,2014100207,9445,53,0.005611434621492853
club |club |Club |Clubs |clubs,2014100300,6707,10,0.001490979573579842
club |club |Club |Clubs |clubs,2014100106,45483,13,2.8582107600642E-4
club |club |Club |Clubs |clubs,2014100105,7742,2,2.583311805734952E-4
club |club |Club |Clubs |clubs,2014100104,8731,1,1.1453441759248655E-4
club |club |Club |Clubs |clubs,2014100103,1127,0,0.0
club |club |Club |Clubs |clubs,2014100102,2940,0,0.0
club |club |Club |Clubs |clubs,2014100101,3598,3,8.337965536409116E-4
club |club |Club |Clubs |clubs,2014100100,1816,3,0.0016519823788546256
club |club |Club |Clubs |clubs,2014100109,10999,23,0.0020910991908355304
club |club |Club |Clubs |clubs,2014100108,14670,12,8.179959100204499E-4
club |club |Club |Clubs |clubs,2014100107,32104,14,4.360827311238475E-4
club |club |Club |Clubs |clubs,2014100210,10300,53,0.005145631067961165
club |club |Club |Clubs |clubs,2014100211,11008,67,0.006086482558139535
club |club |Club |Clubs |clubs,2014100212,11567,110,0.009509812397337253
club |club |Club |Clubs |clubs,2014100316,10537,29,0.0027522065103919523
club |club |Club |Clubs |clubs,2014100213,10976,119,0.010841836734693877
club |club |Club |Clubs |clubs,2014100317,9832,36,0.003661513425549227
club |club |Club |Clubs |clubs,2014100214,12210,59,0.004832104832104832
club |club |Club |Clubs |clubs,2014100318,9075,56,0.006170798898071626
club |club |Club |Clubs |clubs,2014100215,11832,29,0.0024509803921568627
club |club |Club |Clubs |clubs,2014100319,8645,54,0.006246385193753615
club |club |Club |Clubs |clubs,2014100216,10725,57,0.005314685314685315
club |club |Club |Clubs |clubs,2014100312,10661,42,0.003939592908732764
